Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,26,40.802502,23625.0,0,0
15,26,40.802898,23612.0,0,0
15,26,40.803148,23613.0,0,0
15,26,40.803429,23606.0,0,0
15,26,40.803741,23604.0,0,0
15,26,40.803994,23609.0,0,0
15,26,40.804239,23613.0,0,0
15,26,40.804524,23574.0,0,0
15,26,40.805698,23523.0,0,0
15,26,40.809322,23485.0,0,0
15,26,40.817642,23450.0,0,0
15,26,40.830425,23451.0,0,0
15,26,40.839757,23454.0,0,0
15,26,40.85041,23449.0,0,0
15,26,40.864058,23459.0,0,0
15,26,40.871378,23454.0,0,0
15,26,40.883312,23458.0,0,0
15,26,40.891396,23453.0,0,0
15,26,40.903428,23468.0,0,0
15,26,40.912425,23456.0,0,0
15,26,40.924425,23461.0,0,0
15,26,40.936303,23453.0,0,0
15,26,40.944406,23455.0,0,0
15,26,40.957767,23439.0,0,0
15,26,40.965468,23436.0,0,0
15,26,40.977426,23446.0,0,0
15,26,40.985359,23445.0,0,0
15,26,40.998374,23452.0,0,0
15,26,41.010235,23447.0,0,0
15,26,41.018449,23451.0,0,0
15,26,41.030367,23455.0,0,0
15,26,41.03939,23454.0,0,0
15,26,41.051353,23460.0,0,0
15,26,41.059417,23472.0,0,0
15,26,41.07142,23483.0,0,0
15,26,41.084236,23496.0,0,0
15,26,41.092402,23498.0,0,0
15,26,41.104312,23501.0,0,0
15,26,41.112368,23496.0,0,0
15,26,41.125421,23493.0,0,0
15,26,41.133345,23508.0,0,0
15,26,41.145358,23491.0,0,0
15,26,41.157272,23507.0,0,0
15,26,41.166394,23511.0,0,0
15,26,41.178369,23494.0,0,0
15,26,41.186359,23507.0,0,0
15,26,41.199236,23521.0,0,0
15,26,41.207371,23507.0,0,0
15,26,41.219465,23504.0,0,0
15,26,41.231252,23511.0,0,0
15,26,41.239433,23513.0,0,0
15,26,41.252378,23512.0,0,0
15,26,41.260333,23511.0,0,0
15,26,41.27241,23514.0,0,0
15,26,41.280499,23521.0,0,0
15,26,41.293376,23520.0,0,0
15,26,41.305258,23527.0,0,0
15,26,41.31343,23532.0,0,0
15,26,41.325449,23532.0,0,0
15,26,41.334398,23531.0,0,0
15,26,41.346432,23532.0,0,0
15,26,41.354345,23531.0,0,0
15,26,41.366383,23531.0,0,0
15,26,41.379261,23530.0,0,0
15,26,41.387343,23526.0,0,0
15,26,41.399443,23534.0,0,0
15,26,41.407377,23528.0,0,0
15,26,41.420428,23528.0,0,0
15,26,41.428408,23530.0,0,0
15,26,41.440493,23539.0,0,0
15,26,41.452292,23525.0,0,0
15,26,41.461429,23522.0,0,0
15,26,41.47344,23517.0,0,0
15,26,41.481366,23531.0,0,0
15,26,41.493356,23515.0,0,0
15,26,41.501334,23528.0,0,0
15,26,41.518411,23520.0,0,0
15,26,41.52633,23522.0,0,0
15,26,41.534636,23520.0,0,0
15,26,41.547553,23514.0,0,0
15,26,41.55539,23515.0,0,0
15,26,41.567541,23518.0,0,0
15,26,41.575423,23516.0,0,0
15,26,41.588484,23522.0,0,0
15,26,41.601359,23523.0,0,0
15,26,41.6084,23514.0,0,0
15,26,41.620395,23507.0,0,0
15,26,41.628416,23500.0,0,0
15,26,41.642681,23506.0,0,0
15,26,41.653302,23507.0,0,0
15,26,41.661348,23503.0,0,0
15,26,41.674726,23497.0,0,0
15,26,41.682357,23496.0,0,0
15,26,41.694424,23507.0,0,0
15,26,41.702356,23503.0,0,0
15,26,41.714402,23500.0,0,0
15,26,41.727219,23489.0,0,0
15,26,41.735332,23493.0,0,0
15,26,41.747361,23494.0,0,0
15,26,41.755355,23483.0,0,0
15,26,41.768354,23592.0,23592.0,0
15,26,41.776398,23715.0,23715.0,0
15,26,41.788407,23778.0,23778.0,0
15,26,41.800211,23929.0,23929.0,0
15,26,41.809398,24448.0,24448.0,0
15,26,41.821301,25077.0,25077.0,0
15,26,41.831015,25417.0,25417.0,0
15,26,41.84146,25510.0,25510.0,0
15,26,41.850405,25596.0,25596.0,0
15,26,41.862424,25653.0,25653.0,0
15,26,41.874224,25664.0,25664.0,0
15,26,41.88238,25577.0,25577.0,0
15,26,41.895297,25319.0,25319.0,0
15,26,41.903385,24989.0,24989.0,0
15,26,41.915443,24703.0,24703.0,0
15,26,41.923412,24062.0,24062.0,0
15,26,41.936391,23694.0,23694.0,0
15,26,41.948232,23607.0,23607.0,0
15,26,41.956342,23594.0,23594.0,23594.0
15,26,41.968727,23590.0,23590.0,0
15,26,41.977348,23590.0,23590.0,0
15,26,41.989451,23591.0,0,0
15,26,41.997374,23608.0,0,0
15,26,42.082666,23614.0,0,0
15,26,42.082942,23616.0,0,0
15,26,42.083281,23606.0,0,0
15,26,42.083576,23605.0,0,0
15,26,42.083867,23605.0,0,0
15,26,42.084151,23597.0,0,0
15,26,42.084408,23611.0,0,0
15,26,42.084661,23605.0,0,0
15,26,42.095177,23594.0,0,0
15,26,42.104188,23607.0,0,0
15,26,42.116117,23597.0,0,0
15,26,42.12412,23587.0,0,0
15,26,42.136203,23554.0,0,0
15,26,42.145143,23530.0,0,0
15,26,42.157226,23538.0,0,0
15,26,42.169059,23553.0,0,0
15,26,42.177153,23541.0,0,0
15,26,42.190111,23543.0,0,0
15,26,42.198113,23545.0,0,0
15,26,42.210152,23547.0,0,0
15,26,42.218117,23547.0,0,0
15,26,42.231128,23570.0,0,0
15,26,42.243033,23560.0,0,0
15,26,42.251117,23555.0,0,0
15,26,42.263129,23555.0,0,0
15,26,42.272145,23561.0,0,0
15,26,42.284127,23553.0,0,0
15,26,42.292135,23555.0,0,0
15,26,42.304126,23569.0,0,0
15,26,42.317031,23551.0,0,0
15,26,42.325119,23567.0,0,0
15,26,42.337238,23568.0,0,0
15,26,42.345151,23560.0,0,0
15,26,42.358191,23551.0,0,0
15,26,42.366136,23553.0,0,0
15,26,42.378154,23554.0,0,0
15,26,42.390054,23548.0,0,0
15,26,42.398219,23555.0,0,0
15,26,42.411218,23556.0,0,0
15,26,42.419129,23553.0,0,0
15,26,42.431173,23553.0,0,0
15,26,42.439186,23555.0,0,0
15,26,42.452129,23551.0,0,0
15,26,42.464655,23559.0,0,0
15,26,42.472134,23556.0,0,0
15,26,42.485169,23557.0,0,0
15,26,42.493149,23558.0,0,0
15,26,42.505144,23560.0,0,0
15,26,42.513126,23553.0,0,0
15,26,42.525131,23550.0,0,0
15,26,42.538055,23546.0,0,0
15,26,42.546219,23547.0,0,0
15,26,42.558152,23546.0,0,0
15,26,42.566106,23538.0,0,0
15,26,42.579174,23538.0,0,0
15,26,42.587132,23543.0,0,0
15,26,42.599161,23541.0,0,0
15,26,42.611059,23541.0,0,0
15,26,42.620114,23549.0,0,0
15,26,42.632123,23542.0,0,0
15,26,42.640119,23533.0,0,0
15,26,42.652184,23546.0,0,0
15,26,42.661126,23541.0,0,0
15,26,42.673203,23538.0,0,0
15,26,42.685056,23547.0,0,0
15,26,42.693136,23545.0,0,0
15,26,42.706138,23613.0,0,0
15,26,42.714131,23547.0,0,0
15,26,42.726188,23541.0,0,0
15,26,42.737979,23539.0,0,0
15,26,42.747176,23535.0,0,0
15,26,42.759076,23537.0,0,0
15,26,42.768577,23542.0,0,0
15,26,42.779145,23545.0,0,0
15,26,42.788116,23538.0,0,0
15,26,42.800154,23533.0,0,0
15,26,42.811976,23525.0,0,0
15,26,42.820294,23532.0,0,0
15,26,42.833117,23534.0,0,0
15,26,42.841151,23545.0,0,0
15,26,42.861507,23541.0,0,0
15,26,42.861943,23536.0,0,0
15,26,42.874185,23536.0,0,0
15,26,42.886037,23528.0,0,0
15,26,42.894258,23525.0,0,0
15,26,42.906103,23530.0,0,0
15,26,42.915187,23527.0,0,0
15,26,42.927347,23521.0,0,0
15,26,42.935193,23531.0,0,0
15,26,42.947241,23537.0,0,0
15,26,42.960045,23543.0,0,0
15,26,42.968178,23541.0,0,0
15,26,42.980126,23534.0,0,0
15,26,42.988388,23538.0,0,0
15,26,43.001214,23537.0,0,0
15,26,43.009319,23543.0,0,0
15,26,43.021234,23531.0,0,0
15,26,43.033012,23519.0,0,0
15,26,43.042118,23527.0,0,0
15,26,43.054062,23524.0,0,0
15,26,43.062215,23522.0,0,0
15,26,43.074174,23523.0,0,0
15,26,43.083166,23534.0,0,0
15,26,43.095252,23515.0,0,0
15,26,43.107261,23526.0,0,0
15,26,43.115127,23502.0,0,0
15,26,43.133252,23522.0,0,0
15,26,43.136149,23515.0,0,0
15,26,43.148147,23519.0,0,0
15,26,43.156113,23522.0,0,0
15,26,43.169197,23518.0,0,0
15,26,43.181053,23519.0,0,0
15,26,43.189152,23510.0,0,0
