Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,23,1.406154,22408.0,0,0
14,23,1.418092,22407.0,0,0
14,23,1.427348,22403.0,0,0
14,23,1.439191,22401.0,0,0
14,23,1.447155,22397.0,0,0
14,23,1.459101,22396.0,0,0
14,23,1.481684,22391.0,0,0
14,23,1.482194,22382.0,0,0
14,23,1.492063,22394.0,0,0
14,23,1.500101,22394.0,0,0
14,23,1.512117,22399.0,0,0
14,23,1.523954,22406.0,0,0
14,23,1.533241,22402.0,0,0
14,23,1.545039,22388.0,0,0
14,23,1.553258,22390.0,0,0
14,23,1.565118,22399.0,0,0
14,23,1.574171,22411.0,0,0
14,23,1.586118,22402.0,0,0
14,23,1.597898,22399.0,0,0
14,23,1.606115,22417.0,0,0
14,23,1.618966,22425.0,0,0
14,23,1.627037,22413.0,0,0
14,23,1.639094,22411.0,0,0
14,23,1.647084,22404.0,0,0
14,23,1.660069,22434.0,0,0
14,23,1.671894,22409.0,0,0
14,23,1.680284,22415.0,0,0
14,23,1.692004,22411.0,0,0
14,23,1.701075,22418.0,0,0
14,23,1.713083,22421.0,0,0
14,23,1.721041,22419.0,0,0
14,23,1.73305,22419.0,0,0
14,23,1.745916,22421.0,0,0
14,23,1.754065,22427.0,0,0
14,23,1.765993,22436.0,0,0
14,23,1.774034,22444.0,0,0
14,23,1.78712,22445.0,0,0
14,23,1.795049,22440.0,0,0
14,23,1.80708,22443.0,0,0
14,23,1.818904,22445.0,0,0
14,23,1.828033,22446.0,0,0
14,23,1.840782,22427.0,0,0
14,23,1.848118,22442.0,0,0
14,23,1.860062,22436.0,0,0
14,23,1.869031,22439.0,0,0
14,23,1.881011,22449.0,0,0
14,23,1.892941,22446.0,0,0
14,23,1.90105,22436.0,0,0
14,23,1.914001,22441.0,0,0
14,23,1.922046,22433.0,0,0
14,23,1.934106,22454.0,0,0
14,23,1.942082,22466.0,0,0
14,23,1.955069,22472.0,0,0
14,23,1.966917,22465.0,0,0
14,23,1.97506,22468.0,0,0
14,23,1.986987,22469.0,0,0
14,23,1.996029,22478.0,0,0
14,23,2.008101,22483.0,0,0
14,23,2.016042,22482.0,0,0
14,23,2.028039,22476.0,0,0
14,23,2.040916,22482.0,0,0
14,23,2.049183,22476.0,0,0
