Hour,Minute,Second,Microsecond,IR1
17,48,52,120165,33792.0
17,48,52,128436,33786.0
17,48,52,142859,33785.0
17,48,52,149204,33774.0
17,48,52,161216,33770.0
17,48,52,169179,33770.0
17,48,52,182202,33765.0
17,48,52,194081,33760.0
17,48,52,202194,33755.0
17,48,52,214114,33764.0
17,48,52,223234,33777.0
17,48,52,235247,33770.0
17,48,52,243637,33765.0
17,48,52,255368,33766.0
17,48,52,268204,33746.0
17,48,52,276403,33738.0
17,48,52,288300,33746.0
17,48,52,296231,33746.0
17,48,52,309307,33746.0
17,48,52,317281,33741.0
17,48,52,329428,33737.0
17,48,52,341096,33738.0
17,48,52,350222,33741.0
17,48,52,362145,33741.0
17,48,52,370272,33735.0
17,48,52,382419,33726.0
17,48,52,391242,33728.0
17,48,52,403408,33726.0
17,48,52,415205,33722.0
17,48,52,423241,33725.0
17,48,52,436309,33729.0
17,48,52,444265,33729.0
17,48,52,456311,33717.0
17,48,52,464279,33713.0
17,48,52,477403,33712.0
17,48,52,489209,33705.0
17,48,52,497380,33701.0
17,48,52,509307,33723.0
17,48,52,518267,33801.0
17,48,52,530414,33858.0
17,48,52,538247,33806.0
17,48,52,550402,33747.0
17,48,52,563144,33745.0
17,48,52,571257,33746.0
17,48,52,583184,33741.0
17,48,52,591390,33740.0
17,48,52,604402,33745.0
17,48,52,612350,33742.0
17,48,52,624294,33738.0
17,48,52,636190,33741.0
17,48,52,645360,33732.0
17,48,52,657321,33728.0
17,48,52,665237,33724.0
17,48,52,677413,33711.0
17,48,52,685181,33699.0
17,48,52,698397,33674.0
17,48,52,710201,33656.0
17,48,52,718282,33648.0
17,48,52,731333,33678.0
17,48,52,739409,33863.0
17,48,52,751279,34087.0
17,48,52,759394,34216.0
17,48,52,771301,34278.0
17,48,52,784204,34272.0
17,48,52,792316,34256.0
17,48,52,804348,34262.0
17,48,52,813256,34272.0
17,48,52,825258,34281.0
17,48,52,833209,34290.0
17,48,52,845336,34295.0
17,48,52,857204,34284.0
17,48,52,866764,34248.0
17,48,52,878379,34216.0
17,48,52,886274,34207.0
17,48,52,898393,34213.0
17,48,52,907227,34217.0
17,48,52,919283,34212.0
17,48,52,931205,34207.0
17,48,52,939252,34203.0
17,48,52,952361,34177.0
17,48,52,960220,34147.0
17,48,52,972420,34101.0
17,48,52,980219,33993.0
17,48,52,993402,34019.0
17,48,53,7481,34003.0
17,48,53,13228,34000.0
17,48,53,25144,34036.0
17,48,53,34375,34099.0
17,48,53,46253,34205.0
17,48,53,54376,34294.0
17,48,53,66265,34333.0
17,48,53,79136,34314.0
17,48,53,87389,34262.0
17,48,53,99135,34256.0
17,48,53,107241,34247.0
17,48,53,120600,34235.0
17,48,53,128293,34224.0
17,48,53,140192,34201.0
17,48,53,153457,34187.0
17,48,53,161219,34190.0
17,48,53,173194,34188.0
17,48,53,181173,34149.0
17,48,53,193416,34080.0
17,48,53,202212,34050.0
17,48,53,214329,34169.0
17,48,53,226455,34331.0
17,48,53,234215,34310.0
17,48,53,247339,34227.0
17,48,53,255473,34035.0
17,48,53,267207,33910.0
17,48,53,275302,33646.0
17,48,53,288245,33388.0
17,48,53,300250,33140.0
17,48,53,308402,32877.0
17,48,53,320251,32604.0
17,48,53,329268,32105.0
17,48,53,341411,31425.0
17,48,53,349246,31189.0
17,48,53,361235,31354.0
17,48,53,374322,31773.0
17,48,53,382418,31876.0
17,48,53,394226,32039.0
17,48,53,402404,32239.0
17,48,53,415426,32323.0
17,48,53,423245,32418.0
17,48,53,435262,32520.0
17,48,53,447260,32623.0
17,48,53,455396,32721.0
17,48,53,468372,32800.0
17,48,53,476209,32858.0
17,48,53,488417,32924.0
17,48,53,496411,32974.0
17,48,53,509412,33016.0
17,48,53,521205,33039.0
17,48,53,529251,33059.0
17,48,53,541382,33075.0
17,48,53,550386,33107.0
17,48,53,562254,33150.0
17,48,53,570261,33183.0
17,48,53,582336,33208.0
17,48,53,595278,33240.0
17,48,53,603255,33274.0
17,48,53,615375,33293.0
17,48,53,623225,33323.0
17,48,53,636294,33350.0
17,48,53,644286,33349.0
17,48,53,656255,33327.0
17,48,53,668283,33282.0
17,48,53,677359,33296.0
17,48,53,689196,33320.0
17,48,53,697405,33309.0
17,48,53,709296,33314.0
17,48,53,718238,33324.0
17,48,53,730590,33338.0
17,48,53,742310,33348.0
17,48,53,750232,33371.0
17,48,53,763505,33385.0
17,48,53,771261,33414.0
17,48,53,783298,33437.0
17,48,53,791225,33461.0
17,48,53,804383,33485.0
17,48,53,816148,33514.0
17,48,53,824174,33540.0
17,48,53,836149,33551.0
17,48,53,845137,33576.0
17,48,53,857145,33603.0
17,48,53,865313,33625.0
17,48,53,877176,33646.0
17,48,53,890063,33672.0
17,48,53,898162,33681.0
17,48,53,910194,33698.0
17,48,53,918162,33705.0
17,48,53,931274,33727.0
17,48,53,939223,33727.0
17,48,53,951198,33727.0
17,48,53,963219,33702.0
17,48,53,972176,33703.0
17,48,53,984317,33735.0
17,48,53,992190,33730.0
17,48,54,4187,33742.0
17,48,54,13277,33765.0
17,48,54,25439,33771.0
17,48,54,37130,33795.0
17,48,54,45297,33798.0
17,48,54,58285,33824.0
17,48,54,67375,33835.0
17,48,54,78264,33862.0
17,48,54,86520,33866.0
17,48,54,99384,33884.0
17,48,54,111288,33892.0
17,48,54,119222,33901.0
17,48,54,131290,33921.0
17,48,54,140168,33932.0
17,48,54,152295,33952.0
17,48,54,160166,33977.0
17,48,54,172213,33978.0
17,48,54,185299,33993.0
17,48,54,193233,33993.0
17,48,54,205490,33995.0
17,48,54,213154,33995.0
17,48,54,226392,33988.0
17,48,54,234222,33983.0
17,48,54,246288,33993.0
17,48,54,258296,34003.0
17,48,54,266370,34019.0
17,48,54,279384,34040.0
17,48,54,287219,34044.0
17,48,54,299395,34050.0
17,48,54,307229,34061.0
17,48,54,320388,34074.0
17,48,54,332170,34084.0
17,48,54,340167,34090.0
17,48,54,352272,34092.0
17,48,54,361356,34123.0
17,48,54,373392,34120.0
17,48,54,385181,34136.0
17,48,54,393235,34135.0
17,48,54,406215,34145.0
17,48,54,414208,34147.0
17,48,54,426237,34162.0
17,48,54,434448,34179.0
17,48,54,447288,34182.0
17,48,54,459181,34197.0
17,48,54,467223,34211.0
17,48,54,479101,34224.0
17,48,54,488176,34224.0
17,48,54,500292,34238.0
17,48,54,508178,34249.0
17,48,54,520389,34247.0
17,48,54,533180,34254.0
17,48,54,541239,34265.0
17,48,54,553153,34271.0
17,48,54,561386,34266.0
17,48,54,574388,34273.0
17,48,54,582242,34293.0
17,48,54,594335,34281.0
17,48,54,606069,34280.0
17,48,54,615374,34312.0
17,48,54,627320,34311.0
17,48,54,635385,34318.0
17,48,54,647188,34300.0
17,48,54,656223,34333.0
17,48,54,668276,34337.0
17,48,54,680179,34345.0
17,48,54,688193,34343.0
17,48,54,701074,34349.0
17,48,54,709241,34350.0
17,48,54,721398,34352.0
17,48,54,729374,34362.0
17,48,54,742185,34355.0
17,48,54,754097,34361.0
17,48,54,762149,34356.0
17,48,54,774311,34358.0
17,48,54,783149,34362.0
17,48,54,795364,34365.0
17,48,54,803274,34376.0
17,48,54,815238,34377.0
17,48,54,828207,34368.0
17,48,54,836201,34380.0
17,48,54,848408,34384.0
17,48,54,856199,34389.0
17,48,54,869361,34381.0
17,48,54,877360,34396.0
17,48,54,889503,34406.0
17,48,54,901125,34409.0
17,48,54,910194,34401.0
17,48,54,922289,34393.0
17,48,54,930199,34398.0
17,48,54,942366,34384.0
17,48,54,950303,34385.0
17,48,54,963266,34389.0
17,48,54,975204,34384.0
17,48,54,983230,34395.0
17,48,54,997723,34408.0
17,48,55,17026,34392.0
17,48,55,17460,34396.0
17,48,55,24214,34404.0
17,48,55,44491,34424.0
17,48,55,49055,34433.0
17,48,55,57220,34434.0
17,48,55,69628,34444.0
17,48,55,77163,34453.0
17,48,55,90156,34451.0
17,48,55,98130,34457.0
17,48,55,110169,34460.0
17,48,55,122043,34444.0
17,48,55,131184,34431.0
17,48,55,143062,34394.0
17,48,55,151327,34317.0
17,48,55,163213,34089.0
17,48,55,172211,33669.0
17,48,55,184380,33247.0
17,48,55,196112,32957.0
17,48,55,204371,32802.0
17,48,55,217318,32797.0
17,48,55,225206,32822.0
17,48,55,237363,32798.0
17,48,55,245179,32778.0
17,48,55,258268,32780.0
17,48,55,270200,32775.0
17,48,55,278225,32779.0
17,48,55,290301,32767.0
17,48,55,299355,32748.0
17,48,55,311364,32785.0
17,48,55,319174,32796.0
17,48,55,331339,32792.0
17,48,55,344209,32615.0
17,48,55,352166,32195.0
17,48,55,364294,31828.0
17,48,55,372399,31667.0
17,48,55,385247,31624.0
17,48,55,393131,31610.0
17,48,55,405593,31622.0
17,48,55,417374,31625.0
17,48,55,426182,31624.0
17,48,55,438305,31628.0
17,48,55,446179,31618.0
17,48,55,458337,31627.0
17,48,55,467162,31643.0
17,48,55,479201,31637.0
17,48,55,491221,31643.0
17,48,55,499163,31647.0
17,48,55,512299,31646.0
17,48,55,520170,31640.0
17,48,55,532165,31636.0
17,48,55,540389,31647.0
17,48,55,553180,31641.0
17,48,55,565224,31643.0
17,48,55,573355,31649.0
17,48,55,585244,31652.0
17,48,55,594184,31652.0
17,48,55,606165,31653.0
17,48,55,614257,31642.0
17,48,55,626211,31629.0
17,48,55,639226,31620.0
17,48,55,647338,31627.0
17,48,55,659279,31618.0
17,48,55,667141,31617.0
17,48,55,680200,31595.0
17,48,55,688337,31579.0
17,48,55,700164,31503.0
17,48,55,712228,31383.0
17,48,55,721185,31272.0
17,48,55,733201,31234.0
17,48,55,741310,31240.0
17,48,55,753341,31242.0
17,48,55,761161,31247.0
17,48,55,774347,31246.0
17,48,55,786222,31245.0
17,48,55,794299,31248.0
17,48,55,807202,31169.0
17,48,55,815340,31018.0
17,48,55,827189,30866.0
17,48,55,835201,30779.0
17,48,55,847290,30760.0
17,48,55,860213,30768.0
17,48,55,868346,30762.0
17,48,55,880184,30752.0
17,48,55,888348,30746.0
17,48,55,901138,30741.0
17,48,55,909355,30744.0
17,48,55,921348,30742.0
17,48,55,933145,30747.0
17,48,55,942314,30739.0
17,48,55,954336,30734.0
17,48,55,962164,30727.0
17,48,55,974223,30729.0
17,48,55,983436,30710.0
17,48,55,995355,30715.0
17,48,56,7039,30710.0
17,48,56,15325,30703.0
17,48,56,28343,30676.0
17,48,56,36251,30617.0
17,48,56,48252,30559.0
17,48,56,56328,30567.0
17,48,56,69334,30589.0
17,48,56,81210,30589.0
17,48,56,89213,30579.0
17,48,56,101340,30579.0
17,48,56,110184,30574.0
17,48,56,122212,30572.0
17,48,56,130242,30570.0
17,48,56,142288,30568.0
17,48,56,155220,30562.0
17,48,56,163221,30564.0
17,48,56,175341,30557.0
17,48,56,183172,30542.0
17,48,56,196243,30546.0
17,48,56,204114,30545.0
17,48,56,217906,30552.0
17,48,56,228006,30546.0
17,48,56,237182,30543.0
17,48,56,249130,30547.0
17,48,56,257096,30541.0
17,48,56,269117,30538.0
17,48,56,278156,30533.0
17,48,56,290113,30535.0
17,48,56,302073,30474.0
17,48,56,310187,30414.0
17,48,56,323220,30408.0
17,48,56,331201,30448.0
17,48,56,343228,30492.0
17,48,56,351185,30500.0
17,48,56,364337,30532.0
17,48,56,376109,30543.0
17,48,56,384150,30556.0
17,48,56,396245,30555.0
17,48,56,405273,30552.0
17,48,56,417340,30542.0
17,48,56,425196,30543.0
17,48,56,437410,30542.0
17,48,56,450264,30536.0
17,48,56,458193,30532.0
17,48,56,470389,30533.0
17,48,56,478180,30533.0
17,48,56,491482,30528.0
17,48,56,503020,30511.0
17,48,56,511171,30460.0
17,48,56,523249,30425.0
17,48,56,532166,30459.0
17,48,56,544233,30535.0
17,48,56,552339,30596.0
17,48,56,564340,30624.0
17,48,56,577135,30656.0
17,48,56,585187,30695.0
17,48,56,597107,30730.0
17,48,56,605226,30765.0
17,48,56,618338,30792.0
17,48,56,626331,30819.0
17,48,56,638188,30844.0
17,48,56,650097,30860.0
17,48,56,658342,30871.0
17,48,56,671229,30882.0
17,48,56,679150,30889.0
17,48,56,691350,30897.0
17,48,56,699428,30906.0
17,48,56,712355,30911.0
17,48,56,724074,30915.0
17,48,56,732342,30915.0
17,48,56,744101,30909.0
17,48,56,753256,30911.0
17,48,56,765169,30923.0
17,48,56,773314,30929.0
17,48,56,785149,30920.0
17,48,56,798106,30922.0
17,48,56,806223,30936.0
17,48,56,818247,30939.0
17,48,56,826140,30942.0
17,48,56,839168,30952.0
17,48,56,847228,30953.0
17,48,56,859212,30948.0
17,48,56,871121,30952.0
17,48,56,880151,30957.0
17,48,56,892230,30962.0
17,48,56,900144,30985.0
17,48,56,912176,31092.0
17,48,56,921317,31364.0
17,48,56,933150,31713.0
17,48,56,944989,31982.0
17,48,56,953115,32173.0
17,48,56,966262,32323.0
17,48,56,974143,32430.0
17,48,56,986198,32493.0
17,48,56,994109,32530.0
17,48,57,7485,32558.0
17,48,57,18971,32597.0
17,48,57,27158,32643.0
17,48,57,39309,32681.0
17,48,57,48157,32700.0
17,48,57,60189,32678.0
17,48,57,68146,32660.0
17,48,57,80318,32677.0
17,48,57,92941,32703.0
17,48,57,101071,32752.0
17,48,57,113225,32818.0
17,48,57,121166,32862.0
17,48,57,134306,32890.0
17,48,57,142117,32927.0
17,48,57,154572,32944.0
17,48,57,165968,32883.0
17,48,57,175313,32697.0
17,48,57,187250,32472.0
17,48,57,195154,32293.0
17,48,57,207219,32172.0
17,48,57,216308,32198.0
17,48,57,228209,32315.0
17,48,57,239982,32405.0
17,48,57,248080,32497.0
17,48,57,261067,32601.0
17,48,57,269183,32670.0
17,48,57,281324,32725.0
17,48,57,289161,32798.0
17,48,57,302331,32871.0
17,48,57,314121,32927.0
17,48,57,322112,32963.0
17,48,57,334247,33007.0
17,48,57,342317,33046.0
17,48,57,355442,33039.0
17,48,57,363139,33008.0
17,48,57,375315,33003.0
17,48,57,388179,33091.0
17,48,57,396333,33075.0
17,48,57,408167,33103.0
17,48,57,416188,33122.0
17,48,57,447872,33171.0
17,48,57,484491,33212.0
17,48,57,484988,33249.0
17,48,57,489173,33257.0
17,48,57,489424,33273.0
17,48,57,489889,33284.0
17,48,57,490163,33291.0
17,48,57,502261,33297.0
17,48,57,510083,33310.0
17,48,57,523083,33332.0
17,48,57,535102,33336.0
17,48,57,543096,33324.0
17,48,57,555040,33323.0
17,48,57,564133,33330.0
17,48,57,576097,33337.0
17,48,57,584471,33341.0
17,48,57,596141,33322.0
17,48,57,609030,33318.0
17,48,57,617262,33310.0
17,48,57,629252,33310.0
17,48,57,637162,33299.0
17,48,57,650294,33293.0
17,48,57,658117,33301.0
17,48,57,670343,33290.0
17,48,57,682141,33277.0
17,48,57,691123,33271.0
17,48,57,703262,33298.0
17,48,57,711122,33341.0
17,48,57,723298,33359.0
17,48,57,732219,33344.0
17,48,57,744179,33353.0
17,48,57,755963,33349.0
17,48,57,764021,33336.0
