Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,29,8.294,19578.0,0,0
14,29,8.31,19574.0,0,0
14,29,8.31,19575.0,0,0
14,29,8.31,19580.0,0,0
14,29,8.326,19578.0,0,0
14,29,8.326,19563.0,0,0
14,29,8.326,19565.0,0,0
14,29,8.326,19572.0,0,0
14,29,8.326,19579.0,0,0
14,29,8.326,19575.0,0,0
14,29,8.341,19572.0,0,0
14,29,8.341,19569.0,0,0
14,29,8.357,19587.0,0,0
14,29,8.357,19575.0,0,0
14,29,8.372,19575.0,0,0
14,29,8.372,19576.0,0,0
14,29,8.388,19574.0,0,0
14,29,8.388,19582.0,0,0
14,29,8.404,19581.0,0,0
14,29,8.404,19581.0,0,0
14,29,8.419,19575.0,0,0
14,29,8.419,19572.0,0,0
14,29,8.435,19570.0,0,0
14,29,8.435,19570.0,0,0
14,29,8.45,19570.0,0,0
14,29,8.45,19572.0,0,0
14,29,8.466,19583.0,0,0
14,29,8.466,19583.0,0,0
14,29,8.482,19573.0,0,0
14,29,8.482,19572.0,0,0
14,29,8.497,19556.0,0,0
14,29,8.497,19556.0,0,0
14,29,8.513,19568.0,0,0
14,29,8.513,19562.0,0,0
14,29,8.528,19562.0,0,0
14,29,8.528,19562.0,0,0
14,29,8.544,19563.0,0,0
14,29,8.544,19571.0,0,0
14,29,8.56,19566.0,0,0
14,29,8.56,19566.0,0,0
14,29,8.575,19576.0,0,0
14,29,8.591,19589.0,0,0
14,29,8.591,19585.0,0,0
14,29,8.606,19581.0,0,0
14,29,8.606,19570.0,0,0
14,29,8.622,19587.0,0,0
14,29,8.622,19574.0,0,0
14,29,8.638,19571.0,0,0
14,29,8.638,19562.0,0,0
14,29,8.654,19577.0,0,0
14,29,8.654,19580.0,0,0
14,29,8.67,19568.0,0,0
14,29,8.67,19556.0,0,0
14,29,8.685,19572.0,0,0
14,29,8.685,19579.0,0,0
14,29,8.701,19565.0,0,0
14,29,8.701,19561.0,0,0
14,29,8.717,19571.0,0,0
14,29,8.717,19566.0,0,0
14,29,8.732,19560.0,0,0
14,29,8.732,19559.0,0,0
14,29,8.748,19564.0,0,0
14,29,8.748,19564.0,0,0
14,29,8.763,19559.0,0,0
14,29,8.763,19559.0,0,0
14,29,8.779,19555.0,0,0
14,29,8.779,19557.0,0,0
14,29,8.795,19547.0,0,0
14,29,8.795,19547.0,0,0
14,29,8.81,19552.0,0,0
14,29,8.81,19554.0,0,0
14,29,8.826,19554.0,0,0
