Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,31,39.411,17136.0,0,0
14,31,39.411,17137.0,0,0
14,31,39.411,17130.0,0,0
14,31,39.426,17130.0,0,0
14,31,39.426,17130.0,0,0
14,31,39.442,17132.0,0,0
14,31,39.442,17141.0,0,0
14,31,39.458,17135.0,0,0
14,31,39.473,17133.0,0,0
14,31,39.473,17146.0,0,0
14,31,39.473,17136.0,0,0
14,31,39.489,17139.0,0,0
14,31,39.489,17139.0,0,0
14,31,39.504,17159.0,0,0
14,31,39.52,17147.0,0,0
14,31,39.52,17152.0,0,0
14,31,39.536,17152.0,0,0
14,31,39.536,17141.0,0,0
14,31,39.551,17143.0,0,0
14,31,39.551,17148.0,0,0
14,31,39.567,17148.0,0,0
14,31,39.567,17157.0,0,0
14,31,39.582,17147.0,0,0
14,31,39.582,17155.0,0,0
14,31,39.598,17155.0,0,0
14,31,39.598,17145.0,0,0
14,31,39.614,17149.0,0,0
14,31,39.614,17147.0,0,0
14,31,39.629,17143.0,0,0
14,31,39.629,17133.0,0,0
14,31,39.645,17148.0,0,0
14,31,39.645,17143.0,0,0
14,31,39.66,17144.0,0,0
14,31,39.66,17148.0,0,0
14,31,39.676,17147.0,0,0
14,31,39.676,17154.0,0,0
14,31,39.692,17151.0,0,0
14,31,39.692,17148.0,0,0
14,31,39.707,17144.0,0,0
14,31,39.707,17128.0,0,0
14,31,39.723,17133.0,0,0
14,31,39.723,17138.0,0,0
14,31,39.738,17125.0,0,0
14,31,39.738,17120.0,0,0
14,31,39.754,17126.0,0,0
14,31,39.754,17129.0,0,0
14,31,39.77,17129.0,0,0
14,31,39.77,17120.0,0,0
14,31,39.785,17124.0,0,0
14,31,39.785,17124.0,0,0
14,31,39.801,17122.0,0,0
14,31,39.801,17121.0,0,0
14,31,39.816,17126.0,0,0
14,31,39.832,17126.0,0,0
14,31,39.832,17125.0,0,0
14,31,39.848,17131.0,0,0
14,31,39.848,17133.0,0,0
14,31,39.863,17133.0,0,0
14,31,39.863,17137.0,0,0
14,31,39.879,17138.0,0,0
14,31,39.879,17145.0,0,0
14,31,39.894,17145.0,0,0
14,31,39.894,17148.0,0,0
14,31,39.91,17165.0,0,0
14,31,39.91,17192.0,0,0
14,31,39.972,17192.0,0,0
14,31,39.972,17187.0,0,0
14,31,39.988,17192.0,0,0
14,31,39.988,17200.0,0,0
14,31,39.988,17200.0,0,0
14,31,39.988,17200.0,0,0
14,31,39.988,17194.0,0,0
14,31,39.988,17195.0,0,0
14,31,40.004,17200.0,0,0
14,31,40.004,17206.0,0,0
14,31,40.004,17201.0,0,0
14,31,40.004,17204.0,0,0
14,31,40.019,17203.0,0,0
14,31,40.019,17203.0,0,0
