Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,50,55.871,16100.0,0,0
15,50,55.887,16100.0,0,0
15,50,55.887,16074.0,0,0
15,50,55.902,16074.0,0,0
15,50,55.902,16074.0,0,0
15,50,55.902,16077.0,0,0
15,50,55.902,16070.0,0,0
15,50,55.902,16070.0,0,0
15,50,55.918,16087.0,0,0
15,50,55.918,16087.0,0,0
15,50,55.918,16070.0,0,0
15,50,55.918,16070.0,0,0
15,50,55.934,16071.0,0,0
15,50,55.949,16054.0,0,0
15,50,55.949,16053.0,0,0
15,50,55.965,16048.0,0,0
15,50,55.965,16043.0,0,0
15,50,55.98,16051.0,0,0
15,50,55.98,16035.0,0,0
15,50,55.996,16038.0,0,0
15,50,55.996,16039.0,0,0
15,50,56.012,16047.0,0,0
15,50,56.012,16060.0,0,0
15,50,56.027,16075.0,0,0
15,50,56.027,16075.0,0,0
15,50,56.043,16057.0,0,0
15,50,56.043,16057.0,0,0
15,50,56.058,16044.0,0,0
15,50,56.058,16044.0,0,0
15,50,56.074,16044.0,0,0
15,50,56.074,16038.0,0,0
15,50,56.09,16048.0,0,0
15,50,56.09,16048.0,0,0
15,50,56.105,16057.0,0,0
15,50,56.105,16069.0,0,0
15,50,56.121,16070.0,0,0
15,50,56.121,16070.0,0,0
15,50,56.136,16055.0,0,0
15,50,56.136,16055.0,0,0
15,50,56.152,16045.0,0,0
15,50,56.152,16042.0,0,0
15,50,56.168,16033.0,0,0
15,50,56.168,16044.0,0,0
15,50,56.183,16050.0,0,0
15,50,56.183,16051.0,0,0
15,50,56.199,16052.0,0,0
15,50,56.199,16057.0,0,0
15,50,56.214,16058.0,0,0
15,50,56.214,16047.0,0,0
15,50,56.23,16044.0,0,0
15,50,56.23,16045.0,0,0
15,50,56.246,16060.0,0,0
15,50,56.246,16059.0,0,0
15,50,56.261,16059.0,0,0
15,50,56.261,16054.0,0,0
15,50,56.278,16046.0,0,0
15,50,56.278,16042.0,0,0
15,50,56.293,16042.0,0,0
15,50,56.293,16034.0,0,0
15,50,56.309,16021.0,0,0
15,50,56.309,16037.0,0,0
15,50,56.325,16037.0,0,0
15,50,56.325,16040.0,0,0
15,50,56.34,16051.0,0,0
15,50,56.34,16051.0,0,0
15,50,56.356,16051.0,0,0
15,50,56.356,16043.0,0,0
15,50,56.371,16059.0,0,0
15,50,56.387,16049.0,0,0
15,50,56.387,16051.0,0,0
15,50,56.403,16058.0,0,0
15,50,56.403,16081.0,0,0
15,50,56.418,16091.0,0,0
15,50,56.418,16087.0,0,0
15,50,56.434,16084.0,0,0
15,50,56.434,16087.0,0,0
15,50,56.449,16076.0,0,0
15,50,56.449,16066.0,0,0
15,50,56.465,16063.0,0,0
15,50,56.465,16059.0,0,0
15,50,56.481,16062.0,0,0
15,50,56.481,16055.0,0,0
15,50,56.496,16053.0,0,0
15,50,56.496,16052.0,0,0
15,50,56.512,16048.0,0,0
15,50,56.512,16056.0,0,0
15,50,56.527,16056.0,0,0
15,50,56.527,16046.0,0,0
15,50,56.543,16050.0,0,0
15,50,56.543,16055.0,0,0
15,50,56.559,16055.0,0,0
15,50,56.559,16043.0,0,0
15,50,56.574,16049.0,0,0
15,50,56.574,16045.0,0,0
15,50,56.59,16045.0,0,0
15,50,56.59,16059.0,0,0
15,50,56.605,16073.0,0,0
15,50,56.605,16065.0,0,0
15,50,56.621,16064.0,0,0
15,50,56.637,16062.0,0,0
15,50,56.637,16053.0,0,0
