Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,53,11.467,22482.0,0,0
15,53,11.467,22508.0,0,0
15,53,11.467,22589.0,0,0
15,53,11.467,22607.0,0,0
15,53,11.483,22595.0,0,0
15,53,11.483,22580.0,0,0
15,53,11.483,22566.0,0,0
15,53,11.498,22534.0,0,0
15,53,11.498,22545.0,0,0
15,53,11.514,22564.0,0,0
15,53,11.514,22571.0,0,0
15,53,11.53,22620.0,0,0
15,53,11.53,22700.0,0,0
15,53,11.545,22720.0,0,0
15,53,11.545,22727.0,0,0
15,53,11.561,22754.0,0,0
15,53,11.561,22775.0,0,0
15,53,11.576,22777.0,0,0
15,53,11.576,22777.0,0,0
15,53,11.592,22780.0,0,0
15,53,11.592,22787.0,0,0
15,53,11.608,22814.0,0,0
15,53,11.608,22814.0,0,0
15,53,11.623,22789.0,0,0
15,53,11.623,22757.0,0,0
15,53,11.639,22723.0,0,0
15,53,11.639,22723.0,0,0
15,53,11.654,22714.0,0,0
15,53,11.654,22759.0,0,0
15,53,11.67,22830.0,0,0
15,53,11.67,22847.0,0,0
15,53,11.686,22899.0,0,0
15,53,11.686,22968.0,0,0
15,53,11.701,23015.0,0,0
15,53,11.701,23024.0,0,0
15,53,11.717,23034.0,0,0
15,53,11.717,23014.0,0,0
15,53,11.732,22972.0,0,0
15,53,11.732,22940.0,0,0
15,53,11.748,22930.0,0,0
15,53,11.748,22914.0,0,0
15,53,11.764,22935.0,0,0
15,53,11.764,22948.0,0,0
15,53,11.779,22948.0,0,0
15,53,11.795,22924.0,0,0
15,53,11.795,22903.0,0,0
15,53,11.81,22897.0,0,0
15,53,11.81,22897.0,0,0
15,53,11.826,22858.0,0,0
15,53,11.826,22848.0,0,0
15,53,11.842,22830.0,0,0
15,53,11.842,22830.0,0,0
15,53,11.857,22783.0,0,0
15,53,11.857,22543.0,0,0
15,53,11.873,22413.0,0,0
15,53,11.873,22405.0,0,0
15,53,11.888,22382.0,0,0
15,53,11.888,22363.0,0,0
15,53,11.904,22368.0,0,0
15,53,11.904,22356.0,0,0
15,53,11.92,22344.0,0,0
15,53,11.92,22334.0,0,0
15,53,11.935,22274.0,0,0
15,53,11.935,22260.0,0,0
15,53,11.951,22246.0,0,0
15,53,11.951,22265.0,0,0
15,53,11.966,22311.0,0,0
15,53,11.966,22341.0,0,0
15,53,11.982,22351.0,0,0
15,53,11.982,22393.0,0,0
15,53,11.998,22412.0,0,0
15,53,11.998,22424.0,0,0
15,53,12.013,22424.0,0,0
15,53,12.013,22402.0,0,0
15,53,12.029,22379.0,0,0
15,53,12.044,22380.0,0,0
15,53,12.044,22380.0,0,0
15,53,12.06,22368.0,0,0
15,53,12.06,22364.0,0,0
15,53,12.076,22364.0,0,0
15,53,12.076,22364.0,0,0
15,53,12.091,22360.0,0,0
15,53,12.091,22378.0,0,0
15,53,12.107,22384.0,0,0
15,53,12.107,22386.0,0,0
15,53,12.122,22393.0,0,0
15,53,12.122,22420.0,0,0
15,53,12.138,22417.0,0,0
15,53,12.138,22412.0,0,0
15,53,12.154,22398.0,0,0
15,53,12.154,22399.0,0,0
15,53,12.169,22384.0,0,0
15,53,12.169,22380.0,0,0
15,53,12.185,22377.0,0,0
15,53,12.185,22398.0,0,0
15,53,12.2,22381.0,0,0
15,53,12.2,22373.0,0,0
15,53,12.216,22371.0,0,0
15,53,12.216,22332.0,0,0
15,53,12.232,22307.0,0,0
15,53,12.232,22280.0,0,0
15,53,12.247,22280.0,0,0
15,53,12.247,22266.0,0,0
15,53,12.263,22282.0,0,0
15,53,12.263,22294.0,0,0
15,53,12.278,22294.0,0,0
15,53,12.278,22314.0,0,0
15,53,12.294,22304.0,0,0
