Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,55,55.559,14036.0,0,0
15,55,55.559,13984.0,0,0
15,55,55.559,14007.0,0,0
15,55,55.559,14020.0,0,0
15,55,55.559,14020.0,0,0
15,55,55.574,14032.0,0,0
15,55,55.574,14009.0,0,0
15,55,55.59,13982.0,0,0
15,55,55.59,13982.0,0,0
15,55,55.605,13980.0,0,0
15,55,55.605,13993.0,0,0
15,55,55.621,14007.0,0,0
15,55,55.621,14013.0,0,0
15,55,55.637,14031.0,0,0
15,55,55.637,14009.0,0,0
15,55,55.652,13999.0,0,0
15,55,55.652,14003.0,0,0
15,55,55.668,14007.0,0,0
15,55,55.668,14032.0,0,0
15,55,55.69,14104.0,0,0
15,55,55.698,14127.0,0,0
15,55,55.703,14135.0,0,0
15,55,55.703,14128.0,0,0
15,55,55.719,14089.0,0,0
15,55,55.719,14015.0,0,0
15,55,55.735,14015.0,0,0
15,55,55.735,13982.0,0,0
15,55,55.75,13989.0,0,0
15,55,55.75,14020.0,0,0
15,55,55.766,14020.0,0,0
15,55,55.766,14064.0,0,0
15,55,55.781,14062.0,0,0
15,55,55.781,14047.0,0,0
15,55,55.797,14047.0,0,0
15,55,55.797,14011.0,0,0
15,55,55.813,13972.0,0,0
15,55,55.813,13948.0,0,0
15,55,55.828,13944.0,0,0
15,55,55.828,13932.0,0,0
15,55,55.844,13930.0,0,0
15,55,55.844,13918.0,0,0
15,55,55.859,13904.0,0,0
15,55,55.859,13891.0,0,0
15,55,55.875,13883.0,0,0
15,55,55.875,13888.0,0,0
15,55,55.891,13891.0,0,0
15,55,55.891,13892.0,0,0
15,55,55.906,13931.0,0,0
15,55,55.906,13961.0,0,0
15,55,55.922,13985.0,0,0
15,55,55.937,13985.0,0,0
15,55,55.937,13961.0,0,0
15,55,55.953,13944.0,0,0
15,55,55.953,13914.0,0,0
15,55,55.969,13914.0,0,0
15,55,55.969,13893.0,0,0
15,55,55.984,13891.0,0,0
15,55,55.984,13904.0,0,0
15,55,56.0,13904.0,0,0
15,55,56.0,13916.0,0,0
15,55,56.015,13920.0,0,0
15,55,56.015,13908.0,0,0
15,55,56.031,13907.0,0,0
15,55,56.031,13904.0,0,0
15,55,56.047,13907.0,0,0
15,55,56.047,13902.0,0,0
15,55,56.062,13914.0,0,0
15,55,56.062,13926.0,0,0
15,55,56.078,13950.0,0,0
15,55,56.078,13952.0,0,0
15,55,56.093,13943.0,0,0
15,55,56.093,13935.0,0,0
15,55,56.109,13952.0,0,0
15,55,56.109,13957.0,0,0
15,55,56.125,13954.0,0,0
15,55,56.125,13954.0,0,0
15,55,56.14,13917.0,0,0
15,55,56.14,13860.0,0,0
15,55,56.156,13825.0,0,0
15,55,56.156,13825.0,0,0
15,55,56.171,13810.0,0,0
15,55,56.171,13815.0,0,0
15,55,56.187,13848.0,0,0
15,55,56.187,13848.0,0,0
15,55,56.203,13895.0,0,0
15,55,56.203,13912.0,0,0
15,55,56.218,13898.0,0,0
15,55,56.218,13898.0,0,0
15,55,56.234,13855.0,0,0
15,55,56.249,13803.0,0,0
15,55,56.249,13767.0,0,0
15,55,56.265,13759.0,0,0
15,55,56.265,13738.0,0,0
15,55,56.281,13703.0,0,0
15,55,56.281,13690.0,0,0
15,55,56.296,13676.0,0,0
15,55,56.296,13663.0,0,0
15,55,56.312,13682.0,0,0
15,55,56.312,13685.0,0,0
15,55,56.327,13685.0,0,0
15,55,56.327,13686.0,0,0
15,55,56.343,13688.0,0,0
15,55,56.343,13680.0,0,0
15,55,56.359,13670.0,0,0
15,55,56.359,13670.0,0,0
15,55,56.374,13673.0,0,0
15,55,56.374,13625.0,0,0
15,55,56.39,13596.0,0,0
15,55,56.39,13596.0,0,0
15,55,56.405,13568.0,0,0
15,55,56.405,13542.0,0,0
15,55,56.421,13556.0,0,0
15,55,56.421,13556.0,0,0
15,55,56.437,13567.0,0,0
15,55,56.437,13575.0,0,0
15,55,56.452,13581.0,0,0
15,55,56.452,13575.0,0,0
15,55,56.468,13560.0,0,0
15,55,56.468,13528.0,0,0
15,55,56.483,13495.0,0,0
15,55,56.483,13487.0,0,0
15,55,56.499,13480.0,0,0
