Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,49,25.403,35101.0,0,0
14,49,25.403,35097.0,0,0
14,49,25.403,35098.0,0,0
14,49,25.418,35121.0,0,0
14,49,25.418,35121.0,0,0
14,49,25.418,35121.0,0,0
14,49,25.434,35127.0,0,0
14,49,25.434,35109.0,0,0
14,49,25.449,35109.0,0,0
14,49,25.449,35118.0,0,0
14,49,25.465,35110.0,0,0
14,49,25.481,35102.0,0,0
14,49,25.481,35102.0,0,0
14,49,25.481,35116.0,0,0
14,49,25.496,35123.0,0,0
14,49,25.512,35120.0,0,0
14,49,25.512,35127.0,0,0
14,49,25.527,35151.0,0,0
14,49,25.527,35185.0,0,0
14,49,25.543,35251.0,0,0
14,49,25.543,35256.0,0,0
14,49,25.559,35272.0,0,0
14,49,25.559,35282.0,0,0
14,49,25.574,35277.0,0,0
14,49,25.574,35285.0,0,0
14,49,25.59,35293.0,0,0
14,49,25.59,35295.0,0,0
14,49,25.605,35287.0,0,0
14,49,25.605,35292.0,0,0
14,49,25.621,35294.0,0,0
14,49,25.621,35309.0,0,0
14,49,25.637,35292.0,0,0
14,49,25.637,35286.0,0,0
14,49,25.652,35286.0,0,0
14,49,25.652,35283.0,0,0
14,49,25.668,35314.0,0,0
14,49,25.668,35316.0,0,0
14,49,25.683,35316.0,0,0
14,49,25.683,35293.0,0,0
14,49,25.699,35284.0,0,0
14,49,25.699,35295.0,0,0
14,49,25.715,35295.0,0,0
14,49,25.715,35281.0,0,0
14,49,25.73,35289.0,0,0
14,49,25.73,35289.0,0,0
14,49,25.746,35291.0,0,0
14,49,25.746,35300.0,0,0
14,49,25.761,35317.0,0,0
14,49,25.761,35308.0,0,0
14,49,25.777,35310.0,0,0
14,49,25.777,35317.0,0,0
14,49,25.793,35314.0,0,0
14,49,25.793,35317.0,0,0
14,49,25.808,35311.0,0,0
14,49,25.808,35305.0,0,0
14,49,25.824,35288.0,0,0
14,49,25.824,35281.0,0,0
14,49,25.839,35260.0,0,0
14,49,25.855,35253.0,0,0
14,49,25.857,35247.0,0,0
14,49,25.857,35257.0,0,0
14,49,25.873,35243.0,0,0
14,49,25.873,35243.0,0,0
14,49,25.888,35247.0,0,0
14,49,25.888,35227.0,0,0
14,49,25.904,35248.0,0,0
14,49,25.904,35248.0,0,0
14,49,25.919,35242.0,0,0
14,49,25.919,35225.0,0,0
14,49,25.935,35207.0,0,0
14,49,25.935,35207.0,0,0
14,49,25.951,35212.0,0,0
14,49,25.951,35179.0,0,0
14,49,25.966,35169.0,0,0
14,49,25.982,35169.0,0,0
14,49,25.988,35135.0,0,0
14,49,25.988,35146.0,0,0
14,49,26.003,35109.0,0,0
14,49,26.003,35110.0,0,0
