Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,54,36.53,34019.0,0,0
14,54,36.546,34009.0,0,0
14,54,36.546,34018.0,0,0
14,54,36.546,34018.0,0,0
14,54,36.562,34010.0,0,0
14,54,36.562,33989.0,0,0
14,54,36.562,33991.0,0,0
14,54,36.562,33987.0,0,0
14,54,36.577,33978.0,0,0
14,54,36.577,33969.0,0,0
14,54,36.577,33956.0,0,0
14,54,36.577,33956.0,0,0
14,54,36.577,33956.0,0,0
14,54,36.593,33928.0,0,0
14,54,36.593,33922.0,0,0
14,54,36.608,33925.0,0,0
14,54,36.608,33926.0,0,0
14,54,36.624,33908.0,0,0
14,54,36.624,33907.0,0,0
14,54,36.64,33904.0,0,0
14,54,36.64,33904.0,0,0
14,54,36.655,33909.0,0,0
14,54,36.655,33883.0,0,0
14,54,36.671,33876.0,0,0
14,54,36.671,33876.0,0,0
14,54,36.686,33877.0,0,0
14,54,36.686,33864.0,0,0
14,54,36.702,33873.0,0,0
14,54,36.702,33873.0,0,0
14,54,36.718,33847.0,0,0
14,54,36.718,33847.0,0,0
14,54,36.733,33842.0,0,0
14,54,36.733,33842.0,0,0
14,54,36.749,33824.0,0,0
14,54,36.749,33826.0,0,0
14,54,36.764,33820.0,0,0
14,54,36.764,33820.0,0,0
14,54,36.78,33831.0,0,0
14,54,36.78,33826.0,0,0
14,54,36.796,33825.0,0,0
14,54,36.796,33820.0,0,0
14,54,36.813,33807.0,0,0
14,54,36.813,33823.0,0,0
14,54,36.829,33831.0,0,0
14,54,36.829,33828.0,0,0
14,54,36.844,33826.0,0,0
14,54,36.844,33830.0,0,0
14,54,36.86,33844.0,0,0
14,54,36.86,33844.0,0,0
14,54,36.876,33844.0,0,0
14,54,36.876,33855.0,0,0
14,54,36.891,33850.0,0,0
14,54,36.891,33856.0,0,0
14,54,36.907,33856.0,0,0
14,54,36.907,33840.0,0,0
14,54,36.922,33862.0,0,0
14,54,36.922,33856.0,0,0
14,54,36.938,33856.0,0,0
14,54,36.938,33848.0,0,0
14,54,36.954,33859.0,0,0
14,54,36.954,33880.0,0,0
14,54,36.969,33880.0,0,0
14,54,36.969,33866.0,0,0
14,54,36.985,33880.0,0,0
14,54,36.985,33890.0,0,0
14,54,37.0,33890.0,0,0
14,54,37.0,33885.0,0,0
14,54,37.016,33897.0,0,0
14,54,37.016,33897.0,0,0
14,54,37.032,33897.0,0,0
14,54,37.047,33900.0,0,0
14,54,37.047,33889.0,0,0
14,54,37.063,33901.0,0,0
14,54,37.063,33893.0,0,0
14,54,37.078,33885.0,0,0
14,54,37.078,33881.0,0,0
14,54,37.094,33919.0,0,0
14,54,37.094,33913.0,0,0
14,54,37.11,33907.0,0,0
14,54,37.11,33931.0,0,0
14,54,37.125,33925.0,0,0
14,54,37.125,33926.0,0,0
14,54,37.141,33927.0,0,0
14,54,37.141,33932.0,0,0
14,54,37.156,33935.0,0,0
14,54,37.156,33906.0,0,0
14,54,37.172,33906.0,0,0
14,54,37.172,33902.0,0,0
