Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,3,49.881,28096.0,0,0
15,3,49.896,28041.0,0,0
15,3,49.896,28021.0,0,0
15,3,49.896,27961.0,0,0
15,3,49.912,27919.0,0,0
15,3,49.912,27852.0,0,0
15,3,49.912,27813.0,0,0
15,3,49.912,27775.0,0,0
15,3,49.912,27683.0,0,0
15,3,49.927,27645.0,0,0
15,3,49.927,27723.0,0,0
15,3,49.943,27674.0,0,0
15,3,49.943,27624.0,0,0
15,3,49.959,27576.0,0,0
15,3,49.959,27570.0,0,0
15,3,49.974,27568.0,0,0
15,3,49.974,27549.0,0,0
15,3,49.99,27566.0,0,0
15,3,50.005,27571.0,0,0
15,3,50.005,27571.0,0,0
15,3,50.021,27546.0,0,0
15,3,50.021,27543.0,0,0
15,3,50.037,27523.0,0,0
15,3,50.037,27523.0,0,0
15,3,50.052,27461.0,0,0
15,3,50.052,27455.0,0,0
15,3,50.068,27493.0,0,0
15,3,50.068,27493.0,0,0
15,3,50.083,27519.0,0,0
15,3,50.083,27504.0,0,0
15,3,50.099,27448.0,0,0
15,3,50.099,27448.0,0,0
15,3,50.115,27428.0,0,0
15,3,50.115,27404.0,0,0
15,3,50.13,27328.0,0,0
15,3,50.13,27311.0,0,0
15,3,50.146,27262.0,0,0
15,3,50.146,27300.0,0,0
15,3,50.161,27330.0,0,0
15,3,50.161,27310.0,0,0
15,3,50.177,27290.0,0,0
15,3,50.177,27209.0,0,0
15,3,50.193,27201.0,0,0
15,3,50.193,27219.0,0,0
15,3,50.208,27238.0,0,0
15,3,50.208,27249.0,0,0
15,3,50.224,27255.0,0,0
15,3,50.224,27260.0,0,0
15,3,50.239,27262.0,0,0
15,3,50.239,27279.0,0,0
15,3,50.255,27258.0,0,0
15,3,50.255,27185.0,0,0
15,3,50.271,27185.0,0,0
15,3,50.271,27122.0,0,0
15,3,50.286,27114.0,0,0
15,3,50.286,27090.0,0,0
15,3,50.302,27090.0,0,0
15,3,50.302,27088.0,0,0
15,3,50.317,27091.0,0,0
15,3,50.317,27082.0,0,0
15,3,50.333,27082.0,0,0
15,3,50.349,27053.0,0,0
15,3,50.35,27016.0,0,0
15,3,50.35,27018.0,0,0
15,3,50.365,27018.0,0,0
15,3,50.365,27041.0,0,0
15,3,50.381,27044.0,0,0
15,3,50.396,27047.0,0,0
15,3,50.396,27039.0,0,0
15,3,50.412,27015.0,0,0
15,3,50.412,26891.0,0,0
15,3,50.428,26762.0,0,0
15,3,50.428,26724.0,0,0
15,3,50.443,26686.0,0,0
15,3,50.443,26527.0,0,0
15,3,50.459,26422.0,0,0
15,3,50.459,26420.0,0,0
15,3,50.474,26418.0,0,0
15,3,50.474,26403.0,0,0
15,3,50.49,26401.0,0,26401.0
15,3,50.49,26383.0,0,0
15,3,50.506,26377.0,0,0
15,3,50.506,26301.0,0,0
15,3,50.521,26183.0,0,0
15,3,50.521,26072.0,0,0
15,3,50.537,26072.0,0,0
15,3,50.537,25857.0,0,0
15,3,50.552,25602.0,0,0
15,3,50.552,25237.0,0,0
15,3,50.568,25237.0,0,0
15,3,50.568,24860.0,0,0
15,3,50.584,24601.0,0,0
15,3,50.584,24374.0,0,0
15,3,50.599,24374.0,0,0
15,3,50.599,24244.0,0,0
15,3,50.615,24105.0,0,0
15,3,50.615,23861.0,0,0
15,3,50.63,23797.0,0,0
15,3,50.63,23807.0,0,0
15,3,50.646,23681.0,0,0
15,3,50.646,23510.0,0,0
15,3,50.662,23491.0,0,0
15,3,50.662,23435.0,0,0
15,3,50.677,23109.0,0,0
15,3,50.693,22744.0,0,0
15,3,50.693,22637.0,0,0
15,3,50.708,22530.0,0,0
15,3,50.708,22460.0,0,0
15,3,50.724,22424.0,0,0
15,3,50.724,22403.0,0,0
15,3,50.74,22397.0,0,0
15,3,50.74,22346.0,0,0
15,3,50.755,22311.0,0,0
15,3,50.755,22310.0,0,0
15,3,50.771,22310.0,0,0
15,3,50.771,22334.0,0,0
15,3,50.786,22325.0,0,0
15,3,50.786,22281.0,0,0
15,3,50.802,22281.0,0,0
15,3,50.802,22271.0,0,0
15,3,50.818,22290.0,0,0
15,3,50.818,22273.0,0,0
15,3,50.833,22273.0,0,0
15,3,50.833,22253.0,0,0
15,3,50.849,22261.0,0,0
15,3,50.849,22261.0,0,0
15,3,50.864,22261.0,0,0
15,3,50.864,22256.0,0,0
15,3,50.88,22255.0,0,0
15,3,50.88,22226.0,0,0
15,3,50.896,22220.0,0,0
15,3,50.896,22203.0,0,0
15,3,50.911,22229.0,0,0
15,3,50.911,22229.0,0,0
15,3,50.927,22237.0,0,0
15,3,50.927,22246.0,0,0
15,3,50.942,22263.0,0,0
15,3,50.942,22215.0,0,0
15,3,50.958,22239.0,0,0
15,3,50.958,22264.0,0,0
15,3,50.974,22311.0,0,0
15,3,50.974,22358.0,0,0
15,3,50.989,22395.0,0,0
15,3,50.989,22408.0,0,0
15,3,51.005,22455.0,0,0
15,3,51.005,22605.0,0,0
15,3,51.02,22890.0,0,0
15,3,51.02,22890.0,0,0
15,3,51.036,23200.0,0,0
15,3,51.052,23479.0,0,0
15,3,51.052,23747.0,0,0
15,3,51.067,23747.0,0,0
15,3,51.067,24086.0,0,0
15,3,51.083,24438.0,0,0
15,3,51.083,24751.0,0,0
15,3,51.098,24751.0,0,0
15,3,51.098,25034.0,0,0
15,3,51.114,25345.0,0,0
15,3,51.114,25595.0,0,0
15,3,51.131,25595.0,0,0
15,3,51.131,25748.0,0,0
15,3,51.146,25884.0,0,0
15,3,51.146,26021.0,0,0
15,3,51.162,26053.0,0,0
15,3,51.162,26150.0,0,0
15,3,51.177,26293.0,0,0
15,3,51.177,26397.0,0,0
15,3,51.193,26424.0,0,0
15,3,51.193,26505.0,0,0
15,3,51.209,26554.0,0,0
15,3,51.209,26615.0,0,0
15,3,51.224,26626.0,0,0
15,3,51.224,26637.0,0,0
15,3,51.24,26624.0,0,0
15,3,51.24,26606.0,0,0
15,3,51.255,26616.0,0,0
15,3,51.255,26620.0,0,0
15,3,51.271,26605.0,0,0
15,3,51.271,26599.0,0,0
15,3,51.287,26645.0,0,0
15,3,51.287,26645.0,0,0
15,3,51.302,26692.0,0,0
15,3,51.302,26727.0,0,0
15,3,51.318,26737.0,0,0
15,3,51.318,26737.0,0,0
15,3,51.333,26736.0,0,0
15,3,51.333,26799.0,0,0
15,3,51.349,26849.0,0,0
15,3,51.349,26849.0,0,0
15,3,51.365,26827.0,0,0
15,3,51.365,26804.0,0,0
15,3,51.381,26842.0,0,0
15,3,51.381,26842.0,0,0
15,3,51.397,26870.0,0,0
15,3,51.397,26925.0,0,0
15,3,51.412,26962.0,0,0
15,3,51.412,26958.0,0,0
15,3,51.428,26949.0,0,0
15,3,51.428,26931.0,0,0
15,3,51.444,26919.0,0,0
15,3,51.444,26915.0,0,0
15,3,51.459,26911.0,0,0
15,3,51.475,26885.0,0,0
15,3,51.475,26924.0,0,0
15,3,51.49,27002.0,0,0
15,3,51.49,27081.0,0,0
15,3,51.506,27245.0,0,0
15,3,51.506,27364.0,0,0
15,3,51.522,27411.0,0,0
15,3,51.522,27427.0,0,0
15,3,51.537,27452.0,0,0
15,3,51.537,27430.0,0,0
15,3,51.553,27365.0,0,0
15,3,51.553,27365.0,0,0
15,3,51.568,27265.0,0,0
