AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
-0.3974,0.9502,0.1656,0.1854,0.2542,0.3174,-0.4112,-1.5575,-5.6262,0,0,0,0.0
-0.3995,0.949,0.164,0.1854,0.2542,0.3174,-0.2187,-1.6363,-5.88,0,0,0,0.00999999999476131
-0.398,0.9503,0.1669,0.1842,0.2547,0.3068,-0.3762,-1.3212,-5.67,0,0,0,0.01999999998952262
-0.398,0.9503,0.1669,0.1842,0.2547,0.3068,-0.3762,-1.3212,-5.67,0,0,0,0.01999999998952262
-0.398,0.9483,0.1617,0.1846,0.2577,0.315,0.0437,-1.2862,-5.8362,0,0,0,0.029999999998835847
-0.3976,0.9496,0.1644,0.1846,0.2577,0.315,0.07,-1.4175,-5.7925,0,0,0,0.03999999999359716
-0.3978,0.9501,0.1622,0.1846,0.2577,0.315,-0.14,-1.1287,-6.1863,0,0,0,0.05000000000291038
-0.3994,0.9501,0.1626,0.1849,0.2562,0.3161,-0.14,-1.1287,-6.1863,0,0,0,0.059999999997671694
-0.3962,0.9512,0.1643,0.1849,0.2562,0.3161,-0.0263,-1.1812,-5.8538,0,0,0,0.059999999997671694
-0.3962,0.9512,0.1643,0.1833,0.2559,0.3165,-0.1925,-1.3913,-6.16,0,0,0,0.07000000000698492
-0.396,0.9482,0.1618,0.1833,0.2559,0.3165,-0.525,-1.1988,-6.1512,0,0,0,0.08999999999650754
-0.398,0.9503,0.1615,0.1833,0.2559,0.3165,-0.525,-1.1988,-6.1512,0,0,0,0.08999999999650754
-0.3954,0.9492,0.1636,0.1832,0.2562,0.3162,-0.3762,-1.7763,-6.0113,0,0,0,0.09999999999126885
-0.3978,0.9501,0.1615,0.1832,0.2562,0.3162,-1.1113,-1.7675,-6.0025,0,0,0,0.11000000000058208
-0.3978,0.9501,0.1615,0.186,0.2545,0.3105,-0.5163,-1.3563,-5.7838,0,0,0,0.11000000000058208
-0.3966,0.9511,0.1606,0.186,0.2545,0.3105,-0.5163,-1.3563,-5.7838,0,0,0,0.1300000000046566
-0.3967,0.9503,0.1632,0.186,0.2545,0.3176,-0.2187,-1.7062,-5.7575,0,0,0,0.139999999984866
-0.3966,0.9497,0.1617,0.1835,0.255,0.3176,-0.42,-1.365,-5.5388,0,0,0,0.139999999984866
-0.3955,0.95,0.1626,0.1835,0.255,0.3176,-0.3325,-1.5225,-5.5037,0,0,0,0.14999999999417923
-0.3963,0.9511,0.1593,0.1838,0.2566,0.3111,-0.3325,-1.5225,-5.5037,0,0,0,0.15999999998894054
-0.3963,0.9511,0.1593,0.1838,0.2566,0.3111,-0.2887,-1.1988,-5.5563,0,0,0,0.15999999998894054
-0.3985,0.9516,0.1626,0.1825,0.2559,0.3189,-0.2713,-1.5662,-5.4163,0,0,0,0.16999999999825377
-0.3933,0.9487,0.1618,0.1825,0.2559,0.3189,-0.2713,-1.5662,-6.1337,0,0,0,0.17999999999301508
-0.3974,0.9493,0.1621,0.1825,0.2559,0.3189,-0.105,-1.1375,-6.1337,0,0,0,0.17999999999301508
-0.3966,0.9512,0.1672,0.1838,0.2561,0.3155,-0.2975,-1.1375,-5.7137,0,0,0,0.1900000000023283
-0.3966,0.9512,0.1672,0.1838,0.2561,0.3155,-0.4638,-1.1725,-5.7225,0,0,0,0.19999999999708962
-0.3977,0.9503,0.1639,0.1845,0.2566,0.3168,-0.4638,-1.1725,-5.7225,0,0,0,0.20999999999185093
-0.3989,0.9515,0.1621,0.1845,0.2566,0.3168,-0.9538,-1.19,-5.9412,0,0,0,0.21999999998661224
-0.3987,0.9503,0.1657,0.1845,0.2566,0.3168,-0.035,-1.2862,-5.705,0,0,0,0.21999999998661224
-0.3966,0.9486,0.1639,0.1855,0.2556,0.3142,-0.105,-1.5313,-5.5912,0,0,0,0.22999999999592546
-0.3988,0.9489,0.1641,0.1855,0.2556,0.3142,-0.105,-1.5313,-5.5912,0,0,0,0.23999999999068677
-0.3988,0.9489,0.1641,0.1853,0.2565,0.3144,-0.1663,-1.5838,-5.95,0,0,0,0.25
-0.397,0.9493,0.1615,0.1853,0.2565,0.3144,-0.105,-1.6538,-5.9062,0,0,0,0.2599999999947613
-0.4022,0.9499,0.1598,0.1853,0.2565,0.3144,-0.6212,-1.4963,-5.8888,0,0,0,0.2599999999947613
-0.3952,0.9499,0.1668,0.1842,0.2546,0.3186,-0.6212,-1.4963,-5.8888,0,0,0,0.27000000000407454
