Hour,Minute,Second,IR1,Blinks
20,19,19.735,14071.0,0,0
20,19,19.74,14071.0,0,0
20,19,19.755,14071.0,0,0
20,19,19.765,14056.0,0,0
20,19,19.775,14054.0,0,0
20,19,19.78,14069.0,0,0
20,19,19.79,14074.0,0,0
20,19,19.8,14066.0,0,0
20,19,19.805,14068.0,0,0
20,19,19.815,14066.0,0,0
20,19,19.82,14066.0,0,0
20,19,19.83,14069.0,0,0
20,19,19.835,14059.0,0,0
20,19,19.84,14054.0,0,0
20,19,19.85,14054.0,0,0
20,19,19.86,14060.0,0,0
20,19,19.87,14064.0,0,0
20,19,19.88,14063.0,0,0
20,19,19.885,14063.0,0,0
20,19,19.89,14071.0,0,0
20,19,19.9,14067.0,0,0
20,19,19.91,14070.0,0,0
20,19,19.915,14070.0,0,0
20,19,19.925,14070.0,0,0
20,19,19.93,14078.0,0,0
20,19,19.94,14053.0,0,0
20,19,19.945,14053.0,0,0
20,19,19.96,14071.0,0,0
20,19,19.965,14075.0,0,0
20,19,19.975,14080.0,0,0
20,19,19.98,14080.0,0,0
20,19,19.99,14066.0,0,0
20,19,19.995,14064.0,0,0
20,19,20.005,14072.0,0,0
20,19,20.01,14072.0,0,0
20,19,20.02,14078.0,0,0
20,19,20.03,14071.0,0,0
20,19,20.035,14064.0,0,0
20,19,20.045,14067.0,0,0
20,19,20.05,14079.0,0,0
20,19,20.06,14054.0,0,0
20,19,20.065,14074.0,0,0
20,19,20.075,14070.0,0,0
20,19,20.085,14061.0,0,0
20,19,20.09,14062.0,0,0
20,19,20.1,14066.0,0,0
20,19,20.105,14072.0,0,0
20,19,20.115,14078.0,0,0
20,19,20.12,14062.0,0,0
20,19,20.13,14059.0,0,0
20,19,20.14,14056.0,0,0
20,19,20.145,14054.0,0,0
20,19,20.155,14089.0,0,0
20,19,20.16,14066.0,0,0
20,19,20.17,14063.0,0,0
20,19,20.18,14062.0,0,0
20,19,20.19,14071.0,0,0
20,19,20.2,14067.0,0,0
20,19,20.21,14061.0,0,0
20,19,20.215,14060.0,0,0
20,19,20.22,14070.0,0,0
20,19,20.225,14075.0,0,0
20,19,20.235,14059.0,0,0
20,19,20.24,14059.0,0,0
20,19,20.25,14068.0,0,0
20,19,20.26,14079.0,0,0
20,19,20.27,14071.0,0,0
20,19,20.28,14071.0,0,0
20,19,20.29,14062.0,0,0
20,19,20.299,14075.0,0,0
20,19,20.307,14084.0,0,0
20,19,20.313,14084.0,0,0
20,19,20.318,14060.0,0,0
20,19,20.323,14061.0,0,0
20,19,20.333,14059.0,0,0
20,19,20.338,14059.0,0,0
20,19,20.348,14068.0,0,0
20,19,20.353,14067.0,0,0
20,19,20.363,14075.0,0,0
20,19,20.368,14075.0,0,0
20,19,20.378,14071.0,0,0
20,19,20.388,14076.0,0,0
20,19,20.393,14069.0,0,0
20,19,20.403,14069.0,0,0
20,19,20.413,14055.0,0,0
20,19,20.418,14066.0,0,0
20,19,20.428,14064.0,0,0
20,19,20.433,14067.0,0,0
20,19,20.443,14077.0,0,0
20,19,20.448,14056.0,0,0
20,19,20.458,14070.0,0,0
20,19,20.468,14068.0,0,0
20,19,20.473,14064.0,0,0
20,19,20.483,14063.0,0,0
20,19,20.488,14064.0,0,0
20,19,20.498,14065.0,0,0
20,19,20.508,14066.0,0,0
20,19,20.513,14063.0,0,0
20,19,20.523,14075.0,0,0
20,19,20.528,14076.0,0,0
20,19,20.538,14077.0,0,0
20,19,20.548,14064.0,0,0
20,19,20.553,14080.0,0,0
20,19,20.563,14077.0,0,0
20,19,20.568,14076.0,0,0
20,19,20.578,14068.0,0,0
20,19,20.588,14069.0,0,0
20,19,20.593,14067.0,0,0
20,19,20.603,14067.0,0,0
20,19,20.608,14063.0,0,0
20,19,20.618,14058.0,0,0
20,19,20.628,14078.0,0,0
20,19,20.633,14078.0,0,0
20,19,20.643,14075.0,0,0
20,19,20.653,14075.0,0,0
20,19,20.658,14079.0,0,0
20,19,20.668,14079.0,0,0
20,19,20.678,14056.0,0,0
20,19,20.688,14071.0,0,0
20,19,20.693,14064.0,0,0
20,19,20.703,14064.0,0,0
20,19,20.708,14068.0,0,0
20,19,20.718,14068.0,0,0
20,19,20.728,14058.0,0,0
20,19,20.733,14058.0,0,0
20,19,20.743,14070.0,0,0
20,19,20.748,14060.0,0,0
20,19,20.758,14061.0,0,0
20,19,20.768,14061.0,0,0
20,19,20.778,14068.0,0,0
20,19,20.783,14074.0,0,0
20,19,20.793,14081.0,0,0
20,19,20.798,14081.0,0,0
20,19,20.808,14071.0,0,0
20,19,20.813,14074.0,0,0
20,19,20.823,14058.0,0,0
20,19,20.828,14060.0,0,0
20,19,20.838,14068.0,0,0
20,19,20.848,14079.0,0,0
20,19,20.853,14076.0,0,0
20,19,20.858,14073.0,0,0
20,19,20.868,14065.0,0,0
20,19,20.873,14065.0,0,0
20,19,20.883,14062.0,0,0
20,19,20.893,14066.0,0,0
20,19,20.898,14070.0,0,0
20,19,20.908,14068.0,0,0
20,19,20.913,14069.0,0,0
20,19,20.923,14072.0,0,0
20,19,20.933,14076.0,0,0
20,19,20.943,14085.0,0,0
20,19,20.948,14069.0,0,0
20,19,20.953,14069.0,0,0
20,19,20.963,14070.0,0,0
20,19,20.973,14075.0,0,0
20,19,20.978,14065.0,0,0
20,19,20.988,14069.0,0,0
20,19,20.993,14071.0,0,0
20,19,21.003,14072.0,0,0
20,19,21.008,14068.0,0,0
20,19,21.018,14066.0,0,0
20,19,21.028,14066.0,0,0
20,19,21.033,14076.0,0,0
20,19,21.043,14060.0,0,0
20,19,21.048,14062.0,0,0
20,19,21.058,14062.0,0,0
20,19,21.068,14056.0,0,0
20,19,21.073,14060.0,0,0
20,19,21.083,14063.0,0,0
20,19,21.088,14063.0,0,0
20,19,21.098,14065.0,0,0
20,19,21.108,14063.0,0,0
20,19,21.113,14065.0,0,0
20,19,21.123,14065.0,0,0
20,19,21.133,14062.0,0,0
20,19,21.138,14077.0,0,0
20,19,21.148,14071.0,0,0
20,19,21.153,14071.0,0,0
20,19,21.163,14072.0,0,0
20,19,21.173,14070.0,0,0
20,19,21.178,14079.0,0,0
20,19,21.188,14079.0,0,0
20,19,21.193,14089.0,0,0
20,19,21.203,14070.0,0,0
20,19,21.208,14068.0,0,0
20,19,21.218,14072.0,0,0
20,19,21.223,14084.0,0,0
20,19,21.238,14064.0,0,0
20,19,21.243,14068.0,0,0
20,19,21.253,14068.0,0,0
20,19,21.258,14070.0,0,0
20,19,21.268,14052.0,0,0
20,19,21.273,14063.0,0,0
20,19,21.283,14131.0,0,0
20,19,21.293,14081.0,0,0
20,19,21.303,14072.0,0,0
20,19,21.308,14068.0,0,0
20,19,21.318,14067.0,0,0
20,19,21.323,14066.0,0,0
20,19,21.328,14073.0,0,0
20,19,21.338,14078.0,0,0
20,19,21.348,14076.0,0,0
20,19,21.353,14074.0,0,0
20,19,21.363,14079.0,0,0
20,19,21.373,14065.0,0,0
20,19,21.378,14069.0,0,0
20,19,21.388,14071.0,0,0
20,19,21.393,14070.0,0,0
20,19,21.403,14071.0,0,0
20,19,21.408,14068.0,0,0
20,19,21.418,14067.0,0,0
20,19,21.428,14062.0,0,0
20,19,21.433,14088.0,0,0
20,19,21.443,14066.0,0,0
20,19,21.448,14066.0,0,0
20,19,21.458,14064.0,0,0
20,19,21.468,14067.0,0,0
20,19,21.473,14075.0,0,0
20,19,21.483,14075.0,0,0
20,19,21.493,14075.0,0,0
20,19,21.498,14077.0,0,0
20,19,21.508,14063.0,0,0
20,19,21.513,14063.0,0,0
20,19,21.523,14076.0,0,0
20,19,21.528,14067.0,0,0
20,19,21.538,14078.0,0,0
20,19,21.548,14078.0,0,0
20,19,21.553,14074.0,0,0
20,19,21.563,14066.0,0,0
20,19,21.568,14076.0,0,0
20,19,21.578,14076.0,0,0
20,19,21.588,14075.0,0,0
20,19,21.593,14076.0,0,0
20,19,21.603,14074.0,0,0
20,19,21.613,14074.0,0,0
20,19,21.618,14075.0,0,0
20,19,21.628,14085.0,0,0
20,19,21.638,14078.0,0,0
20,19,21.643,14079.0,0,0
20,19,21.653,14083.0,0,0
20,19,21.658,14063.0,0,0
20,19,21.668,14081.0,0,0
20,19,21.673,14080.0,0,0
20,19,21.683,14078.0,0,0
20,19,21.688,14076.0,0,0
20,19,21.698,14091.0,0,0
20,19,21.703,14086.0,0,0
20,19,21.713,14082.0,0,0
20,19,21.723,14084.0,0,0
20,19,21.728,14082.0,0,0
20,19,21.733,14076.0,0,0
20,19,21.743,14071.0,0,0
20,19,21.753,14078.0,0,0
20,19,21.763,14067.0,0,0
20,19,21.768,14073.0,0,0
20,19,21.778,14079.0,0,0
20,19,21.788,14087.0,0,0
20,19,21.793,14075.0,0,0
20,19,21.803,14079.0,0,0
20,19,21.808,14081.0,0,0
20,19,21.818,14074.0,0,0
20,19,21.823,14065.0,0,0
20,19,21.833,14050.0,0,0
20,19,21.843,14045.0,0,0
20,19,21.848,14071.0,0,0
20,19,21.858,14078.0,0,0
20,19,21.863,14060.0,0,0
20,19,21.873,14060.0,0,0
20,19,21.883,14058.0,0,0
20,19,21.888,14075.0,0,0
20,19,21.898,14074.0,0,0
20,19,21.903,14074.0,0,0
20,19,21.913,14088.0,0,0
20,19,21.923,14077.0,0,0
20,19,21.928,14057.0,0,0
20,19,21.938,14057.0,0,0
20,19,21.943,14040.0,0,0
20,19,21.953,14059.0,0,0
20,19,21.958,14067.0,0,0
20,19,21.968,14067.0,0,0
20,19,21.978,14072.0,0,0
20,19,21.983,14089.0,0,0
20,19,21.993,14077.0,0,0
20,19,21.998,14077.0,0,0
20,19,22.008,14096.0,0,0
20,19,22.018,14067.0,0,0
20,19,22.023,14048.0,0,0
20,19,22.033,14052.0,0,0
20,19,22.043,14066.0,0,0
20,19,22.048,14076.0,0,0
20,19,22.058,14090.0,0,0
20,19,22.063,14092.0,0,0
20,19,22.073,14099.0,0,0
20,19,22.078,14094.0,0,0
20,19,22.088,14075.0,0,0
20,19,22.098,14068.0,0,0
20,19,22.103,14062.0,0,0
20,19,22.113,14067.0,0,0
20,19,22.123,14052.0,0,0
20,19,22.128,14062.0,0,0
20,19,22.138,14072.0,0,0
20,19,22.148,14088.0,0,0
20,19,22.153,14075.0,0,0
20,19,22.163,14067.0,0,0
20,19,22.173,14065.0,0,0
20,19,22.183,14073.0,0,0
20,19,22.188,14046.0,0,0
20,19,22.198,14066.0,0,0
20,19,22.203,14073.0,0,0
20,19,22.208,14069.0,0,0
20,19,22.218,14079.0,0,0
20,19,22.223,14091.0,0,0
20,19,22.233,14091.0,0,0
20,19,22.243,14063.0,0,0
20,19,22.248,14063.0,0,0
20,19,22.258,14052.0,0,0
20,19,22.263,14052.0,0,0
20,19,22.273,14060.0,0,0
20,19,22.283,14064.0,0,0
20,19,22.288,14078.0,0,0
20,19,22.298,14078.0,0,0
20,19,22.303,14092.0,0,0
20,19,22.313,14088.0,0,0
20,19,22.323,14082.0,0,0
20,19,22.328,14082.0,0,0
20,19,22.338,14065.0,0,0
20,19,22.343,14068.0,0,0
20,19,22.353,14055.0,0,0
20,19,22.363,14055.0,0,0
20,19,22.368,14077.0,0,0
20,19,22.378,14080.0,0,0
20,19,22.388,14073.0,0,0
20,19,22.393,14073.0,0,0
20,19,22.403,14059.0,0,0
20,19,22.408,14067.0,0,0
20,19,22.418,14063.0,0,0
20,19,22.423,14058.0,0,0
20,19,22.433,14043.0,0,0
20,19,22.438,14048.0,0,0
20,19,22.448,14066.0,0,0
20,19,22.458,14071.0,0,0
20,19,22.463,14087.0,0,0
20,19,22.473,14093.0,0,0
20,19,22.478,14076.0,0,0
20,19,22.488,14077.0,0,0
20,19,22.498,14078.0,0,0
20,19,22.503,14044.0,0,0
20,19,22.513,14059.0,0,0
20,19,22.523,14063.0,0,0
20,19,22.528,14068.0,0,0
20,19,22.538,14088.0,0,0
20,19,22.543,14077.0,0,0
20,19,22.553,14078.0,0,0
20,19,22.558,14079.0,0,0
20,19,22.568,14077.0,0,0
20,19,22.578,14064.0,0,0
20,19,22.583,14062.0,0,0
20,19,22.593,14062.0,0,0
20,19,22.598,14064.0,0,0
20,19,22.608,14048.0,0,0
20,19,22.618,14085.0,0,0
20,19,22.623,14085.0,0,0
20,19,22.633,14086.0,0,0
20,19,22.638,14068.0,0,0
20,19,22.648,14059.0,0,0
20,19,22.658,14059.0,0,0
20,19,22.663,14061.0,0,0
20,19,22.673,14065.0,0,0
20,19,22.683,14060.0,0,0
20,19,22.688,14060.0,0,0
20,19,22.698,14083.0,0,0
20,19,22.703,14073.0,0,0
20,19,22.713,14060.0,0,0
20,19,22.723,14060.0,0,0
20,19,22.728,14070.0,0,0
20,19,22.738,14072.0,0,0
20,19,22.743,14064.0,0,0
20,19,22.753,14064.0,0,0
20,19,22.763,14067.0,0,0
20,19,22.768,14060.0,0,0
20,19,22.778,14072.0,0,0
20,19,22.783,14072.0,0,0
20,19,22.793,14091.0,0,0
20,19,22.803,14069.0,0,0
20,19,22.808,14078.0,0,0
20,19,22.818,14077.0,0,0
20,19,22.823,14075.0,0,0
20,19,22.833,14066.0,0,0
20,19,22.843,14062.0,0,0
20,19,22.848,14066.0,0,0
20,19,22.858,14080.0,0,0
20,19,22.863,14080.0,0,0
20,19,22.873,14070.0,0,0
20,19,22.883,14074.0,0,0
20,19,22.888,14078.0,0,0
20,19,22.898,14074.0,0,0
20,19,22.903,14074.0,0,0
20,19,22.913,14073.0,0,0
20,19,22.918,14072.0,0,0
20,19,22.928,14072.0,0,0
20,19,22.933,14072.0,0,0
20,19,22.943,14082.0,0,0
20,19,22.953,14086.0,0,0
20,19,22.958,14067.0,0,0
20,19,22.968,14056.0,0,0
20,19,22.978,14065.0,0,0
20,19,22.983,14068.0,0,0
20,19,22.993,14069.0,0,0
20,19,22.998,14087.0,0,0
20,19,23.008,14002.0,0,0
20,19,23.018,14059.0,0,0
20,19,23.023,14079.0,0,0
20,19,23.033,14076.0,0,0
20,19,23.038,14084.0,0,0
20,19,23.048,14084.0,0,0
20,19,23.058,14056.0,0,0
20,19,23.068,14052.0,0,0
20,19,23.073,14038.0,0,0
20,19,23.083,14038.0,0,0
20,19,23.088,14060.0,0,0
20,19,23.098,14054.0,0,0
20,19,23.103,14059.0,0,0
20,19,23.113,14059.0,0,0
20,19,23.118,14065.0,0,0
20,19,23.128,14056.0,0,0
20,19,23.138,14065.0,0,0
20,19,23.148,14065.0,0,0
20,19,23.155,14075.0,0,0
20,19,23.16,14070.0,0,0
20,19,23.17,14071.0,0,0
20,19,23.175,14071.0,0,0
20,19,23.185,14087.0,0,0
20,19,23.195,14085.0,0,0
20,19,23.2,14077.0,0,0
20,19,23.21,14077.0,0,0
20,19,23.215,14071.0,0,0
20,19,23.225,14077.0,0,0
20,19,23.23,14064.0,0,0
20,19,23.24,14067.0,0,0
20,19,23.25,14078.0,0,0
20,19,23.255,14043.0,0,0
20,19,23.265,14017.0,0,0
20,19,23.275,14023.0,0,0
20,19,23.28,14041.0,0,0
20,19,23.285,14037.0,0,0
20,19,23.295,14009.0,0,0
20,19,23.305,13994.0,0,0
20,19,23.31,13980.0,0,0
20,19,23.32,13968.0,0,0
20,19,23.33,13952.0,0,0
20,19,23.335,13941.0,0,0
20,19,23.345,13930.0,0,0
20,19,23.35,13913.0,0,0
20,19,23.36,13913.0,0,0
20,19,23.37,13954.0,0,0
20,19,23.375,13968.0,0,0
20,19,23.385,14016.0,0,0
20,19,23.39,14028.0,0,0
20,19,23.4,14046.0,0,0
20,19,23.41,14053.0,0,0
20,19,23.415,14102.0,0,0
20,19,23.425,14067.0,0,0
20,19,23.43,14022.0,0,0
20,19,23.44,14007.0,0,0
20,19,23.45,13989.0,0,0
