AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
-0.1307,1.0195,-0.0828,0.1824,0.1935,0.0717,-0.3063,-1.4438,-5.1013,0,0,0,0.0
-0.1307,1.0195,-0.0828,0.1824,0.1935,0.0717,-0.56,-1.3825,-5.1363,0,0,0,0.0
-0.1327,1.0225,-0.0859,0.1818,0.1944,0.0768,-0.56,-1.3825,-5.1363,0,0,0,0.014999999999417923
-0.129,1.0255,-0.0816,0.1818,0.1944,0.0768,-0.3413,-1.1812,-5.3025,0,0,0,0.014999999999417923
-0.1259,1.0255,-0.0845,0.1818,0.1944,0.0768,-0.2887,-1.0588,-5.0838,0,0,0,0.031000000002677552
-0.1261,1.0205,-0.0896,0.1804,0.1928,0.0722,-0.3762,-0.49,-5.1188,0,0,0,0.031000000002677552
-0.1261,1.0215,-0.0833,0.1804,0.1928,0.0722,-0.3762,-0.49,-5.1188,0,0,0,0.046000000002095476
-0.1284,1.0215,-0.0833,0.1799,0.1926,0.0733,-0.8138,-0.5775,-5.1887,0,0,0,0.046000000002095476
-0.1301,1.0171,-0.0867,0.1799,0.1926,0.0733,-1.155,-0.9625,-5.5213,0,0,0,0.062000000005355105
-0.131,1.0151,-0.0817,0.1799,0.1926,0.0733,-1.0938,-0.9187,-5.5475,0,0,0,0.07799999999406282
-0.1321,1.014,-0.0836,0.1805,0.1918,0.0823,-1.0938,-0.9187,-5.5475,0,0,0,0.07799999999406282
-0.1332,1.0169,-0.0803,0.1805,0.1918,0.0823,-0.6388,-1.015,-5.3288,0,0,0,0.0930000000007567
-0.1332,1.0169,-0.0803,0.1806,0.1926,0.0829,-0.28,-0.8225,-5.6438,0,0,0,0.0930000000007567
-0.1304,1.0169,-0.0829,0.1806,0.1926,0.0829,-0.28,-0.8225,-5.2587,0,0,0,0.10900000000401633
-0.1319,1.0178,-0.0844,0.1806,0.1926,0.0624,-0.4375,-0.77,-5.2587,0,0,0,0.10900000000401633
-0.1316,1.0189,-0.0794,0.1814,0.1936,0.0762,-0.7875,-0.7262,-5.18,0,0,0,0.125
-0.1331,1.0189,-0.0819,0.1814,0.1936,0.0762,-0.7262,-1.12,-5.5125,0,0,0,0.13300000000162981
-0.1331,1.0182,-0.0814,0.1818,0.1924,0.0731,-0.7262,-1.12,-5.5125,0,0,0,0.14100000000325963
