Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,33,57.995,17408.0,0,0
14,33,57.995,17439.0,0,0
14,33,58.01,17456.0,0,0
14,33,58.01,17456.0,0,0
14,33,58.01,17459.0,0,0
14,33,58.01,17451.0,0,0
14,33,58.026,17433.0,0,0
14,33,58.026,17433.0,0,0
14,33,58.026,17413.0,0,0
14,33,58.042,17387.0,0,0
14,33,58.042,17376.0,0,0
14,33,58.042,17376.0,0,0
14,33,58.059,17363.0,0,0
14,33,58.059,17366.0,0,0
14,33,58.075,17370.0,0,0
14,33,58.075,17370.0,0,0
14,33,58.09,17411.0,0,0
14,33,58.09,17432.0,0,0
14,33,58.106,17438.0,0,0
14,33,58.106,17439.0,0,0
14,33,58.122,17443.0,0,0
14,33,58.122,17426.0,0,0
14,33,58.137,17412.0,0,0
14,33,58.137,17409.0,0,0
14,33,58.153,17403.0,0,0
14,33,58.153,17408.0,0,0
14,33,58.168,17416.0,0,0
14,33,58.184,17420.0,0,0
14,33,58.184,17425.0,0,0
14,33,58.2,17418.0,0,0
14,33,58.2,17428.0,0,0
14,33,58.215,17436.0,0,0
14,33,58.215,17444.0,0,0
14,33,58.231,17452.0,0,0
14,33,58.231,17463.0,0,0
14,33,58.246,17441.0,0,0
14,33,58.246,17434.0,0,0
14,33,58.262,17441.0,0,0
14,33,58.262,17432.0,0,0
14,33,58.278,17432.0,0,0
14,33,58.278,17433.0,0,0
14,33,58.293,17456.0,0,0
14,33,58.293,17470.0,0,0
14,33,58.309,17472.0,0,0
14,33,58.309,17472.0,0,0
14,33,58.324,17454.0,0,0
14,33,58.324,17439.0,0,0
14,33,58.34,17425.0,0,0
14,33,58.34,17425.0,0,0
14,33,58.356,17427.0,0,0
14,33,58.356,17425.0,0,0
14,33,58.371,17438.0,0,0
14,33,58.371,17438.0,0,0
14,33,58.387,17439.0,0,0
14,33,58.387,17443.0,0,0
14,33,58.402,17422.0,0,0
14,33,58.402,17422.0,0,0
14,33,58.418,17425.0,0,0
14,33,58.418,17415.0,0,0
14,33,58.434,17413.0,0,0
14,33,58.434,17413.0,0,0
14,33,58.449,17420.0,0,0
14,33,58.449,17413.0,0,0
14,33,58.465,17393.0,0,0
14,33,58.465,17392.0,0,0
14,33,58.48,17391.0,0,0
14,33,58.48,17384.0,0,0
14,33,58.496,17398.0,0,0
14,33,58.496,17398.0,0,0
14,33,58.512,17400.0,0,0
14,33,58.512,17382.0,0,0
14,33,58.527,17379.0,0,0
14,33,58.543,17379.0,0,0
14,33,58.543,17380.0,0,0
14,33,58.558,17377.0,0,0
14,33,58.558,17383.0,0,0
14,33,58.574,17376.0,0,0
14,33,58.574,17370.0,0,0
14,33,58.591,17374.0,0,0
14,33,58.597,17396.0,0,0
14,33,58.597,17392.0,0,0
14,33,58.612,17391.0,0,0
14,33,58.612,17369.0,0,0
14,33,58.628,17368.0,0,0
14,33,58.628,17356.0,0,0
14,33,58.643,17353.0,0,0
14,33,58.643,17368.0,0,0
14,33,58.659,17345.0,0,0
14,33,58.659,17370.0,0,0
14,33,58.675,17370.0,0,0
14,33,58.675,17348.0,0,0
14,33,58.69,17358.0,0,0
14,33,58.69,17339.0,0,0
14,33,58.706,17339.0,0,0
14,33,58.706,17323.0,0,0
14,33,58.721,17319.0,0,0
14,33,58.721,17317.0,0,0
14,33,58.737,17317.0,0,0
14,33,58.737,17326.0,0,0
14,33,58.753,17336.0,0,0
14,33,58.753,17324.0,0,0
14,33,58.768,17324.0,0,0
14,33,58.768,17315.0,0,0
14,33,58.784,17309.0,0,0
14,33,58.784,17319.0,0,0
14,33,58.799,17319.0,0,0
14,33,58.799,17318.0,0,0
14,33,58.815,17323.0,0,0
14,33,58.815,17321.0,0,0
14,33,58.831,17325.0,0,0
14,33,58.846,17339.0,0,0
14,33,58.846,17331.0,0,0
14,33,58.862,17313.0,0,0
14,33,58.862,17310.0,0,0
14,33,58.877,17308.0,0,0
14,33,58.877,17304.0,0,0
14,33,58.893,17301.0,0,0
14,33,58.893,17297.0,0,0
14,33,58.909,17293.0,0,0
14,33,58.909,17305.0,0,0
14,33,58.924,17301.0,0,0
14,33,58.924,17301.0,0,0
14,33,58.94,17302.0,0,0
14,33,58.94,17304.0,0,0
14,33,58.955,17298.0,0,0
14,33,58.955,17316.0,0,0
14,33,58.971,17323.0,0,0
14,33,58.971,17303.0,0,0
14,33,58.987,17298.0,0,0
14,33,58.987,17283.0,0,0
14,33,59.002,17283.0,0,0
14,33,59.002,17271.0,0,0
14,33,59.018,17259.0,0,0
14,33,59.018,17269.0,0,0
14,33,59.033,17269.0,0,0
14,33,59.033,17265.0,0,0
14,33,59.054,17281.0,0,0
14,33,59.062,17291.0,0,0
14,33,59.062,17291.0,0,0
14,33,59.078,17291.0,0,0
14,33,59.078,17302.0,0,0
14,33,59.093,17290.0,0,0
14,33,59.093,17290.0,0,0
14,33,59.109,17284.0,0,0
14,33,59.109,17282.0,0,0
14,33,59.124,17301.0,0,0
14,33,59.124,17301.0,0,0
14,33,59.14,17319.0,0,0
14,33,59.14,17310.0,0,0
14,33,59.156,17324.0,0,0
14,33,59.156,17324.0,0,0
14,33,59.171,17327.0,0,0
