AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
-0.1964,1.0197,-0.0281,0.2027,0.2135,0.095,-0.525,-1.0237,-6.125,0,0,0,0.0
-0.1978,1.0183,-0.0312,0.201,0.2122,0.0961,-0.525,-1.0237,-6.125,0,0,0,0.0
-0.1992,1.0198,-0.0296,0.201,0.2122,0.0961,-0.3675,-0.5775,-5.8888,0,0,0,0.014999999999417923
-0.1992,1.0198,-0.0296,0.2004,0.2142,0.0904,-0.1925,-0.9013,-6.16,0,0,0,0.014999999999417923
-0.1992,1.0199,-0.0287,0.2004,0.2142,0.0904,-0.3762,-1.1025,-6.3088,0,0,0,0.030999999995401595
-0.2012,1.0194,-0.0326,0.2004,0.2142,0.0904,-0.3762,-1.1025,-6.3088,0,0,0,0.030999999995401595
-0.2025,1.0232,-0.0318,0.2012,0.215,0.1006,0.035,-1.1725,-6.335,0,0,0,0.046000000002095476
-0.1997,1.0225,-0.0328,0.2012,0.215,0.1006,0.2275,-1.75,-6.86,0,0,0,0.06199999999807915
-0.1997,1.0244,-0.0363,0.2026,0.2133,0.0896,0.2275,-1.75,-7.1663,0,0,0,0.06199999999807915
-0.1995,1.0244,-0.0363,0.2026,0.2133,0.0896,0.1925,-1.7938,-7.1663,0,0,0,0.06199999999807915
-0.1976,1.0261,-0.0392,0.2015,0.2146,0.0894,-0.3938,-1.9688,-7.3763,0,0,0,0.07800000000133878
-0.1938,1.0273,-0.038,0.2015,0.2146,0.0894,-0.5863,-1.8813,-8.0675,0,0,0,0.09299999999348074
-0.191,1.0286,-0.0363,0.2015,0.2146,0.0894,-0.5863,-1.8813,-8.0675,0,0,0,0.09299999999348074
-0.1906,1.025,-0.0398,0.2037,0.2162,0.1009,-0.6913,-1.2775,-7.8663,0,0,0,0.10899999999674037
-0.1906,1.025,-0.0398,0.2037,0.2162,0.1009,-0.6737,-0.5775,-7.6038,0,0,0,0.10899999999674037
-0.1903,1.0277,-0.0377,0.2028,0.2151,0.0922,-1.05,-0.6037,-7.6475,0,0,0,0.12400000000343425
-0.188,1.0238,-0.0407,0.2028,0.2151,0.0922,-1.05,-0.6037,-7.6475,0,0,0,0.12400000000343425
-0.1916,1.0265,-0.041,0.2028,0.2151,0.0922,-1.715,0.2275,-7.7263,0,0,0,0.13999999999941792
-0.1921,1.0273,-0.0441,0.204,0.2155,0.0929,-1.3563,0.4812,-7.3587,0,0,0,0.13999999999941792
-0.1921,1.0331,-0.0439,0.204,0.2155,0.0929,-1.0412,0.805,-8.2163,0,0,0,0.15600000000267755
-0.1964,1.0331,-0.0439,0.2037,0.2162,0.0943,-1.0412,0.805,-8.2163,0,0,0,0.15600000000267755
-0.1989,1.0271,-0.042,0.2037,0.2162,0.0943,-2.31,0.8313,-7.6912,0,0,0,0.17099999999481952
-0.2083,1.0208,-0.0449,0.2037,0.2162,0.0943,-2.4762,0.4025,-7.9187,0,0,0,0.17099999999481952
-0.21,1.0159,-0.0418,0.2055,0.2148,0.0978,-2.2575,0.595,-7.8488,0,0,0,0.18699999999807915
-0.2058,1.0014,-0.035,0.2055,0.2148,0.0978,-2.2575,0.595,-7.8488,0,0,0,0.18699999999807915
-0.2058,1.0014,-0.035,0.2056,0.2171,0.0951,-1.2687,-0.6475,-7.2187,0,0,0,0.20199999999749707
-0.1918,0.9836,-0.0303,0.2056,0.2171,0.0951,-0.2187,-1.33,-6.8688,0,0,0,0.20199999999749707
-0.1827,0.9745,-0.0224,0.2056,0.2171,0.0951,2.0213,-1.4262,-4.97,0,0,0,0.2180000000007567
-0.1706,0.976,-0.0116,0.2046,0.2132,0.0942,0.8575,-1.4262,-4.97,0,0,0,0.2180000000007567
-0.1592,0.978,-0.0074,0.2046,0.2132,0.0942,0.5688,-0.5337,-2.8963,0,0,0,0.23400000000401633
-0.1592,0.9936,-0.0056,0.2048,0.2166,0.0946,-0.0875,0.0787,-1.5838,0,0,0,0.23400000000401633
-0.1576,0.9934,-0.0056,0.2048,0.2166,0.0946,-0.0875,0.0787,-1.5838,0,0,0,0.2489999999961583
-0.1561,1.0033,0.0003,0.2029,0.2174,0.0958,-1.2075,1.2862,-1.4612,0,0,0,0.2489999999961583
-0.1615,1.0161,-0.0038,0.2029,0.2174,0.0958,-1.2775,2.4938,-1.9688,0,0,0,0.2649999999994179
-0.172,1.0167,-0.0043,0.2029,0.2174,0.0958,-1.2513,3.0275,-3.8937,0,0,0,0.2649999999994179
-0.181,1.0189,-0.0049,0.203,0.2146,0.0922,-1.2513,3.0275,-3.8937,0,0,0,0.27999999999883585
-0.181,1.0189,-0.0049,0.203,0.2146,0.0922,-1.1988,3.4738,-6.09,0,0,0,0.27999999999883585
-0.1886,1.02,-0.004,0.205,0.2155,0.0966,-1.295,3.5612,-8.1725,0,0,0,0.2960000000020955
-0.1975,1.0206,-0.0114,0.205,0.2155,0.0966,-0.2537,3.4562,-9.9838,0,0,0,0.2960000000020955
-0.2118,1.0241,-0.0143,0.205,0.2155,0.0966,-0.2537,3.4562,-9.9838,0,0,0,0.3120000000053551
-0.2263,1.027,-0.0224,0.2063,0.2192,0.0828,-0.5163,2.7738,-11.6812,0,0,0,0.3120000000053551
-0.2263,1.027,-0.0246,0.2063,0.2192,0.0828,0.3762,1.61,-12.6875,0,0,0,0.32699999999749707
-0.2319,1.0264,-0.0246,0.2054,0.2172,0.0917,0.9975,0.7875,-13.86,0,0,0,0.32699999999749707
-0.2397,1.0284,-0.0295,0.2054,0.2172,0.0917,0.9975,0.7875,-13.86,0,0,0,0.3430000000007567
-0.2494,1.0315,-0.0278,0.2054,0.2172,0.0917,1.1025,-0.5863,-14.175,0,0,0,0.3430000000007567
-0.2558,1.037,-0.0316,0.2088,0.219,0.0879,1.225,-2.6775,-14.4462,0,0,0,0.3580000000001746
-0.2564,1.0402,-0.0315,0.2088,0.219,0.0879,0.525,-4.2875,-14.7788,0,0,0,0.3580000000001746
-0.2564,1.0402,-0.0315,0.209,0.2198,0.0909,0.525,-4.2875,-14.7788,0,0,0,0.3739999999961583
-0.2588,1.0369,-0.031,0.209,0.2198,0.0909,-0.2275,-5.6788,-14.3238,0,0,0,0.6549999999988358
-0.2595,1.0363,-0.0335,0.209,0.2198,0.0909,-1.225,-6.7987,-13.65,0,0,0,0.6549999999988358
-0.2594,1.0363,-0.0358,0.2108,0.22,0.0893,-1.225,-6.7987,-12.4163,0,0,0,0.6549999999988358
-0.2619,1.037,-0.0401,0.2108,0.22,0.0893,-2.6513,-7.595,-12.4163,0,0,0,0.6699999999982538
-0.2619,1.037,-0.0412,0.2101,0.2203,0.0938,-4.515,-8.1375,-11.0337,0,0,0,0.6699999999982538
-0.2634,1.038,-0.0412,0.2101,0.2203,0.0938,-5.0662,-9.0825,-10.6225,0,0,0,0.6699999999982538
-0.2607,1.0363,-0.0412,0.2101,0.2224,0.1008,-5.0662,-9.0825,-10.6225,0,0,0,0.7019999999974971
-0.253,1.0337,-0.0415,0.2103,0.2224,0.1008,-5.985,-10.255,-10.3863,0,0,0,0.7019999999974971
-0.244,1.0358,-0.0451,0.2103,0.2224,0.1008,-8.05,-11.0425,-10.7013,0,0,0,0.7019999999974971
-0.2259,1.0309,-0.0419,0.2104,0.2223,0.096,-9.415,-11.515,-10.0887,0,0,0,0.716999999996915
-0.2259,1.0309,-0.0419,0.2104,0.2223,0.096,-9.415,-11.515,-10.0887,0,0,0,0.716999999996915
-0.2086,1.0233,-0.0354,0.2108,0.2241,0.0947,-9.52,-11.3488,-9.8612,0,0,0,0.716999999996915
-0.1922,1.0169,-0.0349,0.2108,0.2241,0.0947,-10.7975,-9.59,-10.0013,0,0,0,0.716999999996915
-0.191,1.0122,-0.0345,0.2108,0.2241,0.0947,-11.2963,-8.4438,-9.52,0,0,0,0.716999999996915
-0.1842,1.0045,-0.0289,0.212,0.223,0.1119,-11.2963,-8.4438,-9.52,0,0,0,0.716999999996915
-0.1842,1.0045,-0.0289,0.212,0.223,0.1119,-11.97,-6.7375,-9.1263,0,0,0,0.716999999996915
-0.1849,0.9983,-0.0269,0.2123,0.224,0.1021,-11.7338,-4.9262,-9.1175,0,0,0,0.716999999996915
-0.1876,0.9751,-0.0308,0.2123,0.224,0.1021,-10.4475,-3.92,-8.4263,0,0,0,0.716999999996915
-0.1869,0.9566,-0.0401,0.2123,0.224,0.1021,-10.4475,-3.92,-8.4263,0,0,0,0.716999999996915
-0.1747,0.9433,-0.0436,0.212,0.2247,0.1015,-8.4788,-3.3075,-6.7987,0,0,0,0.7330000000001746
-0.148,0.9562,-0.0454,0.212,0.2247,0.1015,-4.9788,-2.4413,-4.9963,0,0,0,0.7330000000001746
-0.148,0.9562,-0.0454,0.2122,0.2238,0.1046,-0.4988,-1.925,-2.4237,0,0,0,0.7330000000001746
-0.1394,0.9847,-0.0512,0.2122,0.2238,0.1046,-2.24,-1.925,-2.4237,0,0,0,0.7330000000001746
-0.1455,1.0019,-0.0448,0.2122,0.2238,0.1046,-1.1287,-1.5313,1.2775,0,0,0,0.7330000000001746
-0.1526,1.0245,-0.0425,0.2118,0.224,0.1145,0.2013,0.7437,3.3688,0,0,0,0.7330000000001746
-0.1545,1.0313,-0.0306,0.2118,0.224,0.1145,0.2013,0.7437,3.3688,0,0,0,0.7479999999995925
-0.1545,1.0313,-0.0306,0.211,0.225,0.1035,-0.3762,0.875,2.6163,0,0,0,0.7479999999995925
-0.141,1.028,-0.0247,0.211,0.225,0.1035,-2.3537,1.9688,1.5925,0,0,0,0.7479999999995925
-0.1491,1.0296,-0.017,0.211,0.2221,0.1068,-4.2263,3.4825,1.0938,0,0,0,0.7479999999995925
-0.1695,1.0217,-0.0074,0.2091,0.2221,0.1068,-4.2263,3.4825,1.0938,0,0,0,0.7479999999995925
-0.1837,1.0162,0.0027,0.2091,0.2221,0.1068,-6.3263,4.025,1.75,0,0,0,0.7479999999995925
-0.1843,1.0135,0.0138,0.2101,0.2215,0.1082,-7.4375,4.76,1.7763,0,0,0,0.7479999999995925
-0.1843,1.0135,0.0138,0.2101,0.2215,0.1082,-8.5487,4.8562,0.735,0,0,0,0.7640000000028522
-0.1796,1.0088,0.0187,0.2095,0.2235,0.1005,-8.5487,4.8562,0.735,0,0,0,0.7640000000028522
-0.1801,1.0028,0.0365,0.2095,0.2235,0.1005,-9.5813,5.3025,-1.0588,0,0,0,0.7640000000028522
-0.1886,0.9999,0.0398,0.2095,0.2235,0.1005,-9.6512,6.5275,-3.78,0,0,0,0.7640000000028522
-0.1985,1.0075,0.0412,0.2084,0.2221,0.1012,-9.3888,7.7263,-6.2737,0,0,0,0.7640000000028522
-0.1985,1.0075,0.0412,0.2084,0.2221,0.1012,-9.3888,7.7263,-6.2737,0,0,0,0.7640000000028522
-0.2179,1.0049,0.0358,0.2074,0.224,0.1052,-8.8638,7.84,-9.6775,0,0,0,0.7640000000028522
-0.2275,1.0067,0.0375,0.2074,0.224,0.1052,-8.0413,7.735,-12.8363,0,0,0,0.7640000000028522
-0.2366,1.0044,0.0318,0.2074,0.224,0.1052,-6.0988,7.28,-15.3125,0,0,0,0.7640000000028522
-0.2463,1.0044,0.0284,0.2108,0.2276,0.1152,-6.0988,7.28,-15.3125,0,0,0,0.7640000000028522
-0.2528,1.0043,0.029,0.2108,0.2276,0.1152,-5.1625,6.4837,-16.87,0,0,0,0.7799999999988358
-0.2528,1.0043,0.029,0.2136,0.2245,0.1044,-4.4363,5.0225,-16.9312,0,0,0,0.7799999999988358
-0.2537,1.0001,0.0282,0.2136,0.2245,0.1044,-4.4363,2.7825,-16.5462,0,0,0,0.7799999999988358
-0.2585,1.0047,0.021,0.2136,0.2245,0.1044,-2.9225,3.5788,-16.5462,0,0,0,0.7799999999988358
