Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,41,33.965,27028.0,0,0
14,41,33.965,27053.0,0,0
14,41,33.98,27053.0,0,0
14,41,33.98,27056.0,0,0
14,41,33.98,27051.0,0,0
14,41,33.98,27046.0,0,0
14,41,33.996,27045.0,0,0
14,41,33.996,27042.0,0,0
14,41,33.996,27048.0,0,0
14,41,33.996,27042.0,0,0
14,41,34.012,27042.0,0,0
14,41,34.012,27042.0,0,0
14,41,34.027,27032.0,0,0
14,41,34.027,27033.0,0,0
14,41,34.043,27029.0,0,0
14,41,34.043,27026.0,0,0
14,41,34.058,27046.0,0,0
14,41,34.058,27035.0,0,0
14,41,34.074,27032.0,0,0
14,41,34.074,27031.0,0,0
14,41,34.09,27029.0,0,0
14,41,34.09,27030.0,0,0
14,41,34.105,27015.0,0,0
14,41,34.105,27015.0,0,0
14,41,34.121,27011.0,0,0
14,41,34.121,27001.0,0,0
14,41,34.136,26994.0,0,0
14,41,34.136,26994.0,0,0
14,41,34.152,27013.0,0,0
14,41,34.168,26998.0,0,0
14,41,34.168,26990.0,0,0
14,41,34.183,26990.0,0,0
14,41,34.183,26996.0,0,0
14,41,34.199,26992.0,0,0
14,41,34.199,27003.0,0,0
14,41,34.214,27003.0,0,0
14,41,34.214,27018.0,0,0
14,41,34.23,27005.0,0,0
14,41,34.23,27010.0,0,0
14,41,34.246,27009.0,0,0
14,41,34.246,27007.0,0,0
14,41,34.262,27003.0,0,0
14,41,34.262,26982.0,0,0
14,41,34.278,26985.0,0,0
14,41,34.278,26997.0,0,0
14,41,34.293,26974.0,0,0
14,41,34.293,26966.0,0,0
14,41,34.309,26963.0,0,0
14,41,34.309,26960.0,0,0
14,41,34.325,26940.0,0,0
14,41,34.325,26944.0,0,0
14,41,34.34,26947.0,0,0
14,41,34.34,26949.0,0,0
14,41,34.356,26941.0,0,0
14,41,34.356,26943.0,0,0
14,41,34.371,26933.0,0,0
14,41,34.371,26930.0,0,0
14,41,34.389,26938.0,0,0
14,41,34.389,26937.0,0,0
14,41,34.405,26915.0,0,0
14,41,34.405,26915.0,0,0
14,41,34.42,26937.0,0,0
14,41,34.42,26925.0,0,0
14,41,34.437,26918.0,0,0
14,41,34.437,26918.0,0,0
14,41,34.452,26916.0,0,0
14,41,34.452,26908.0,0,0
14,41,34.468,26908.0,0,0
14,41,34.468,26908.0,0,0
14,41,34.484,26910.0,0,0
14,41,34.484,26905.0,0,0
14,41,34.499,26904.0,0,0
14,41,34.499,26903.0,0,0
14,41,34.515,26901.0,0,0
14,41,34.515,26897.0,0,0
14,41,34.53,26889.0,0,0
14,41,34.53,26886.0,0,0
14,41,34.546,26878.0,0,0
