Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,43,21.379,33087.0,0,0
14,43,21.395,33100.0,33100.0,0
14,43,21.395,33091.0,33091.0,0
14,43,21.41,32821.0,32821.0,0
14,43,21.41,32821.0,32821.0,0
14,43,21.41,32318.0,32318.0,0
14,43,21.41,32143.0,32143.0,0
14,43,21.41,32802.0,32802.0,0
14,43,21.41,32802.0,32802.0,0
14,43,21.426,33096.0,33096.0,0
14,43,21.426,33309.0,0,0
14,43,21.426,33476.0,0,0
14,43,21.426,33496.0,0,0
14,43,21.442,33559.0,0,0
14,43,21.442,33621.0,0,0
14,43,21.458,33815.0,0,0
14,43,21.458,33891.0,0,0
14,43,21.474,34120.0,0,0
14,43,21.474,34408.0,0,0
14,43,21.489,34751.0,0,0
14,43,21.489,34905.0,0,0
14,43,21.505,35060.0,0,0
14,43,21.505,35331.0,0,0
14,43,21.521,35527.0,0,0
14,43,21.521,35657.0,0,0
14,43,21.536,35701.0,0,0
14,43,21.536,35832.0,0,0
14,43,21.552,35924.0,0,0
14,43,21.567,35952.0,0,0
14,43,21.567,35952.0,0,0
14,43,21.583,35925.0,0,0
14,43,21.583,35890.0,0,0
14,43,21.599,35919.0,0,0
14,43,21.599,35919.0,0,0
14,43,21.614,35999.0,0,0
14,43,21.614,36062.0,0,0
14,43,21.631,36123.0,0,0
14,43,21.637,36123.0,0,0
14,43,21.637,36144.0,0,0
14,43,21.652,36156.0,0,0
14,43,21.652,36155.0,0,0
14,43,21.668,36155.0,0,0
14,43,21.668,36144.0,0,0
14,43,21.684,36127.0,0,0
14,43,21.684,36135.0,0,0
14,43,21.7,36142.0,0,0
14,43,21.7,36163.0,0,0
14,43,21.716,36166.0,0,0
14,43,21.716,36132.0,0,0
14,43,21.731,36139.0,0,0
14,43,21.731,36147.0,0,0
14,43,21.747,36173.0,0,0
14,43,21.747,36171.0,0,0
14,43,21.763,36207.0,0,0
14,43,21.763,36219.0,0,0
14,43,21.778,36230.0,0,0
14,43,21.778,36244.0,0,0
14,43,21.794,36253.0,0,0
14,43,21.794,36257.0,0,0
14,43,21.809,36246.0,0,0
14,43,21.809,36246.0,0,0
14,43,21.825,36288.0,0,0
14,43,21.825,36288.0,0,0
14,43,21.841,36277.0,0,0
14,43,21.841,36325.0,0,0
14,43,21.856,36301.0,0,0
14,43,21.856,36301.0,0,0
14,43,21.872,36298.0,0,0
14,43,21.872,36281.0,0,0
14,43,21.887,36269.0,0,0
14,43,21.903,36269.0,0,0
14,43,21.903,36264.0,0,0
14,43,21.919,36282.0,0,0
14,43,21.919,36285.0,0,0
14,43,21.934,36286.0,0,0
14,43,21.934,36289.0,0,0
14,43,21.95,36292.0,0,0
14,43,21.95,36297.0,0,0
14,43,21.965,36285.0,0,0
14,43,21.965,36273.0,0,0
14,43,21.981,36234.0,0,0
14,43,21.981,36241.0,0,0
14,43,21.997,36258.0,0,0
14,43,21.997,36264.0,0,0
14,43,22.012,36260.0,0,0
14,43,22.012,36297.0,0,0
14,43,22.028,36274.0,0,0
14,43,22.028,36274.0,0,0
14,43,22.043,36273.0,0,0
14,43,22.043,36258.0,0,0
14,43,22.059,36269.0,0,0
14,43,22.059,36269.0,0,0
14,43,22.075,36250.0,36250.0,0
14,43,22.075,36178.0,36178.0,0
14,43,22.09,35909.0,35909.0,0
14,43,22.09,35909.0,35909.0,0
14,43,22.106,35213.0,35213.0,0
14,43,22.106,34620.0,34620.0,0
14,43,22.121,34885.0,34885.0,0
14,43,22.121,34949.0,34949.0,0
14,43,22.137,35131.0,35131.0,0
14,43,22.153,35961.0,35961.0,0
14,43,22.153,36785.0,36785.0,0
14,43,22.153,36937.0,36937.0,0
14,43,22.184,37394.0,37394.0,0
14,43,22.199,37831.0,37831.0,0
14,43,22.199,38181.0,38181.0,0
14,43,22.215,38254.0,38254.0,0
14,43,22.215,38328.0,38328.0,0
14,43,22.215,38512.0,38512.0,0
14,43,22.215,38572.0,38572.0,0
14,43,22.231,38637.0,38637.0,0
14,43,22.231,38659.0,38659.0,0
14,43,22.246,38574.0,38574.0,0
14,43,22.246,38528.0,38528.0,0
14,43,22.262,38405.0,38405.0,0
14,43,22.262,38405.0,38405.0,0
14,43,22.277,38333.0,38333.0,0
14,43,22.277,38206.0,38206.0,0
14,43,22.293,38127.0,38127.0,0
14,43,22.293,38127.0,0,0
14,43,22.309,38071.0,0,0
14,43,22.309,38107.0,0,0
14,43,22.324,38167.0,0,0
14,43,22.324,38167.0,0,0
14,43,22.34,38186.0,38186.0,0
14,43,22.34,38047.0,38047.0,0
14,43,22.355,37836.0,37836.0,0
14,43,22.355,37829.0,37829.0,0
14,43,22.371,37809.0,37809.0,0
14,43,22.371,37584.0,37584.0,0
14,43,22.387,37323.0,37323.0,0
14,43,22.387,37231.0,37231.0,0
14,43,22.402,37140.0,37140.0,0
14,43,22.402,36846.0,36846.0,0
14,43,22.418,36444.0,36444.0,0
14,43,22.418,36082.0,36082.0,0
14,43,22.433,35962.0,35962.0,0
14,43,22.433,35676.0,35676.0,0
14,43,22.449,35391.0,35391.0,0
14,43,22.449,35223.0,35223.0,0
14,43,22.465,35223.0,35223.0,0
14,43,22.465,35248.0,35248.0,0
14,43,22.48,35522.0,35522.0,0
14,43,22.48,35786.0,0,0
14,43,22.496,35786.0,0,0
14,43,22.496,36097.0,0,0
14,43,22.558,36269.0,36269.0,0
14,43,22.574,36628.0,36628.0,0
14,43,22.574,36628.0,36628.0,0
14,43,22.589,37014.0,37014.0,0
14,43,22.589,37199.0,37199.0,0
14,43,22.605,37392.0,37392.0,0
14,43,22.605,37392.0,37392.0,0
14,43,22.605,37675.0,37675.0,0
14,43,22.605,37862.0,37862.0,0
14,43,22.605,37938.0,37938.0,0
14,43,22.605,37937.0,37937.0,0
14,43,22.605,37937.0,37937.0,0
14,43,22.621,37784.0,37784.0,0
14,43,22.621,37281.0,37281.0,0
14,43,22.621,36986.0,36986.0,0
14,43,22.636,36692.0,36692.0,0
14,43,22.636,35870.0,35870.0,0
14,43,22.652,34932.0,34932.0,0
14,43,22.652,34335.0,34335.0,0
14,43,22.667,34123.0,34123.0,0
14,43,22.667,33462.0,0,0
14,43,22.683,32922.0,0,0
14,43,22.683,32769.0,0,0
14,43,22.699,32718.0,0,0
14,43,22.699,32984.0,0,0
14,43,22.714,33079.0,0,0
14,43,22.714,33175.0,0,0
14,43,22.73,33175.0,0,0
14,43,22.73,33246.0,0,0
14,43,22.745,33178.0,0,0
14,43,22.745,33177.0,0,0
14,43,22.761,33177.0,0,0
14,43,22.761,33216.0,0,0
14,43,22.777,33214.0,0,0
14,43,22.777,33207.0,0,0
14,43,22.792,33207.0,0,0
14,43,22.792,33231.0,0,0
14,43,22.808,33277.0,0,0
14,43,22.808,33251.0,0,0
14,43,22.823,33253.0,0,0
14,43,22.823,33262.0,0,0
14,43,22.839,33251.0,0,0
14,43,22.855,33174.0,0,0
14,43,22.855,33120.0,0,0
14,43,22.87,33066.0,0,0
14,43,22.87,32741.0,0,0
14,43,22.886,32446.0,0,0
14,43,22.886,32312.0,0,0
14,43,22.901,32268.0,0,0
14,43,22.901,32177.0,0,0
14,43,22.917,32087.0,0,0
14,43,22.917,32015.0,0,0
14,43,22.933,31991.0,0,0
14,43,22.933,31977.0,0,0
14,43,22.948,31945.0,0,0
14,43,22.948,31896.0,0,0
14,43,22.964,31896.0,0,0
14,43,22.964,31788.0,0,0
14,43,22.979,31674.0,0,0
14,43,22.979,31566.0,0,0
14,43,22.995,31566.0,0,0
14,43,22.995,31430.0,0,0
14,43,23.011,31392.0,0,0
14,43,23.011,31416.0,0,0
14,43,23.026,31416.0,0,0
14,43,23.026,31411.0,0,0
14,43,23.042,31401.0,0,0
14,43,23.042,31408.0,0,0
14,43,23.057,31406.0,0,0
14,43,23.057,31401.0,0,0
14,43,23.073,31401.0,0,0
14,43,23.073,31417.0,0,0
14,43,23.089,31420.0,0,0
14,43,23.089,31430.0,0,0
14,43,23.104,31429.0,0,0
14,43,23.12,31414.0,0,0
14,43,23.12,31414.0,0,0
14,43,23.135,31415.0,0,0
14,43,23.135,31388.0,0,0
14,43,23.151,31379.0,0,0
14,43,23.151,31359.0,0,0
14,43,23.167,31353.0,0,0
14,43,23.167,31263.0,0,0
14,43,23.182,31233.0,0,0
14,43,23.182,31186.0,0,0
14,43,23.198,31186.0,0,0
14,43,23.198,31189.0,0,0
14,43,23.213,31210.0,0,0
14,43,23.213,31228.0,0,0
14,43,23.229,31228.0,0,0
14,43,23.229,31235.0,0,0
14,43,23.245,31222.0,0,0
14,43,23.245,31220.0,0,0
14,43,23.26,31220.0,0,0
14,43,23.26,31226.0,0,0
14,43,23.276,31265.0,0,0
14,43,23.276,31271.0,0,0
14,43,23.293,31271.0,0,0
14,43,23.293,31269.0,0,0
14,43,23.309,31277.0,0,0
14,43,23.309,31279.0,0,0
14,43,23.326,31275.0,0,0
14,43,23.326,31264.0,0,0
14,43,23.341,31258.0,0,0
14,43,23.341,31263.0,0,0
