AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
-0.1609,1.016,-0.078,0.1806,0.191,0.0686,-7.5163,-2.6075,-15.7325,0,0,0,0.0
-0.1644,1.0221,-0.0784,0.1806,0.191,0.0686,-8.2338,-5.0575,-16.3188,0,0,0,0.0
-0.1677,1.0235,-0.0717,0.1843,0.1922,0.0695,-8.82,-6.5887,-16.8263,0,0,0,0.015000000006693881
-0.1833,1.0194,-0.0688,0.1843,0.1922,0.0695,-9.1875,-8.6012,-17.71,0,0,0,0.031000000002677552
-0.176,1.0194,-0.0688,0.1842,0.193,0.0662,-9.1875,-8.6012,-17.71,0,0,0,0.031000000002677552
-0.1781,1.0178,-0.0658,0.1842,0.193,0.0662,-9.3713,-9.7037,-17.8325,0,0,0,0.04700000000593718
-0.1802,1.016,-0.065,0.1842,0.193,0.0662,-8.6187,-11.27,-18.1213,0,0,0,0.04700000000593718
-0.1768,1.0136,-0.0607,0.1862,0.194,0.0669,-7.8313,-12.25,-17.6138,0,0,0,0.06199999999807915
-0.1713,1.0083,-0.0603,0.1862,0.194,0.0669,-7.8313,-12.25,-17.6138,0,0,0,0.06199999999807915
-0.1713,1.0083,-0.0603,0.1877,0.1936,0.0726,-6.755,-12.53,-16.555,0,0,0,0.07800000000133878
-0.1681,1.0042,-0.0592,0.1877,0.1936,0.0726,-5.3725,-12.7575,-15.6275,0,0,0,0.07800000000133878
-0.1627,1.0077,-0.0619,0.1877,0.1936,0.0726,-3.9113,-11.9963,-14.175,0,0,0,0.09300000000803266
-0.1615,1.0122,-0.0635,0.1888,0.1965,0.0758,-3.9113,-11.9963,-14.175,0,0,0,0.09300000000803266
-0.1599,1.0171,-0.063,0.1888,0.1965,0.0758,-3.4037,-11.4012,-13.23,0,0,0,0.10900000000401633
-0.1599,1.0182,-0.0661,0.1894,0.1968,0.0694,-2.345,-10.8413,-12.6175,0,0,0,0.10900000000401633
-0.1686,1.0182,-0.0661,0.1894,0.1968,0.0694,-1.5137,-10.5262,-12.53,0,0,0,0.12500000000727596
-0.1732,1.0228,-0.0706,0.1903,0.1965,0.0757,-1.5137,-10.5262,-12.53,0,0,0,0.12500000000727596
-0.1679,1.025,-0.0667,0.1903,0.1965,0.0757,-1.1025,-10.6225,-12.6438,0,0,0,0.13999999999941792
-0.1637,1.0302,-0.0693,0.1903,0.1965,0.0757,-0.7613,-10.395,-12.4862,0,0,0,0.13999999999941792
-0.1574,1.0336,-0.0671,0.192,0.1978,0.0822,-0.7613,-10.395,-11.7688,0,0,0,0.15600000000267755
