Hour,Minute,Second,IR1,Blinks,Actual Blinks
23,37,0.428,9785.0,0,0
23,37,0.428,9784.0,0,0
23,37,0.444,9777.0,0,0
23,37,0.444,9787.0,0,0
23,37,0.46,9780.0,0,0
23,37,0.46,9778.0,0,0
23,37,0.475,9790.0,0,0
23,37,0.475,9777.0,0,0
23,37,0.491,9775.0,0,0
23,37,0.506,9775.0,0,0
23,37,0.506,9787.0,0,0
23,37,0.522,9790.0,0,0
23,37,0.522,9787.0,0,0
23,37,0.538,9786.0,0,0
23,37,0.538,9791.0,0,0
23,37,0.553,9791.0,0,0
23,37,0.553,9799.0,0,0
23,37,0.569,9799.0,0,0
23,37,0.569,9783.0,0,0
23,37,0.584,9779.0,0,0
23,37,0.584,9792.0,0,0
23,37,0.6,9792.0,0,0
23,37,0.6,9780.0,0,0
23,37,0.616,9791.0,0,0
23,37,0.616,9785.0,0,0
23,37,0.631,9785.0,0,0
23,37,0.631,9791.0,0,0
23,37,0.647,9793.0,0,0
23,37,0.647,9780.0,0,0
23,37,0.662,9780.0,0,0
23,37,0.662,9782.0,0,0
23,37,0.678,9780.0,0,0
23,37,0.678,9783.0,0,0
23,37,0.694,9783.0,0,0
23,37,0.694,9783.0,0,0
23,37,0.709,9789.0,0,0
23,37,0.709,9783.0,0,0
23,37,0.725,9783.0,0,0
23,37,0.725,9783.0,0,0
23,37,0.74,9790.0,0,0
23,37,0.74,9789.0,0,0
23,37,0.756,9787.0,0,0
23,37,0.756,9784.0,0,0
23,37,0.772,9789.0,0,0
23,37,0.772,9772.0,0,0
23,37,0.787,9776.0,0,0
23,37,0.787,9790.0,0,0
23,37,0.803,9795.0,0,0
23,37,0.803,9780.0,0,0
23,37,0.818,9774.0,0,0
23,37,0.818,9768.0,0,0
23,37,0.834,9795.0,0,0
23,37,0.834,9797.0,0,0
23,37,0.85,9792.0,0,0
23,37,0.85,9787.0,0,0
23,37,0.865,9787.0,0,0
23,37,0.865,9780.0,0,0
23,37,0.881,9779.0,0,0
23,37,0.881,9779.0,0,0
23,37,0.896,9792.0,0,0
23,37,0.896,9795.0,0,0
23,37,0.912,9785.0,0,0
23,37,0.912,9782.0,0,0
23,37,0.928,9785.0,0,0
23,37,0.943,9796.0,0,0
23,37,0.943,9795.0,0,0
23,37,0.959,9795.0,0,0
23,37,0.959,9785.0,0,0
23,37,0.974,9792.0,0,0
23,37,0.974,9791.0,0,0
23,37,0.99,9791.0,0,0
23,37,0.99,9798.0,0,0
23,37,1.006,9794.0,0,0
23,37,1.006,9795.0,0,0
23,37,1.021,9795.0,0,0
23,37,1.021,9789.0,0,0
23,37,1.037,9791.0,0,0
23,37,1.037,9791.0,0,0
23,37,1.052,9791.0,0,0
23,37,1.052,9796.0,0,0
23,37,1.068,9785.0,0,0
23,37,1.068,9791.0,0,0
23,37,1.084,9791.0,0,0
23,37,1.084,9789.0,0,0
23,37,1.099,9784.0,0,0
23,37,1.099,9784.0,0,0
23,37,1.115,9784.0,0,0
23,37,1.115,9795.0,0,0
23,37,1.13,9790.0,0,0
23,37,1.13,9785.0,0,0
23,37,1.146,9785.0,0,0
23,37,1.146,9781.0,0,0
23,37,1.162,9794.0,0,0
23,37,1.162,9802.0,0,0
23,37,1.177,9798.0,0,0
23,37,1.177,9787.0,0,0
23,37,1.193,9794.0,0,0
23,37,1.193,9791.0,0,0
23,37,1.208,9792.0,0,0
23,37,1.208,9798.0,0,0
23,37,1.224,9799.0,0,0
23,37,1.24,9799.0,0,9799.0
23,37,1.24,9799.0,0,0
23,37,1.24,9799.0,0,0
23,37,1.255,9803.0,0,0
23,37,1.255,9798.0,0,0
23,37,1.271,9810.0,0,0
23,37,1.286,9823.0,0,0
23,37,1.286,9827.0,0,0
23,37,1.302,9831.0,0,0
23,37,1.302,9832.0,0,0
23,37,1.318,9834.0,0,0
23,37,1.318,9860.0,0,0
23,37,1.333,9863.0,0,0
23,37,1.333,9865.0,0,0
23,37,1.349,9866.0,0,0
23,37,1.349,9882.0,0,0
23,37,1.364,9885.0,0,0
23,37,1.364,9894.0,0,0
23,37,1.38,9898.0,0,0
23,37,1.38,9913.0,0,0
23,37,1.396,9923.0,0,0
23,37,1.396,9934.0,0,0
23,37,1.411,9934.0,0,0
23,37,1.411,9944.0,0,0
23,37,1.427,9949.0,0,0
23,37,1.427,9970.0,0,0
23,37,1.442,9970.0,0,0
23,37,1.442,9994.0,0,0
23,37,1.458,10002.0,0,0
23,37,1.458,10010.0,0,0
23,37,1.474,10010.0,0,0
23,37,1.474,10023.0,0,0
23,37,1.489,10028.0,0,0
23,37,1.489,10051.0,0,0
23,37,1.505,10051.0,0,0
23,37,1.505,10079.0,0,0
23,37,1.52,10100.0,0,0
23,37,1.52,10106.0,0,0
23,37,1.536,10106.0,0,0
23,37,1.536,10133.0,0,0
23,37,1.552,10155.0,0,0
23,37,1.552,10184.0,0,0
23,37,1.567,10184.0,0,0
23,37,1.567,10210.0,0,0
23,37,1.583,10235.0,0,0
23,37,1.583,10253.0,0,0
23,37,1.598,10253.0,0,0
23,37,1.598,10279.0,0,0
23,37,1.614,10325.0,0,0
23,37,1.614,10343.0,0,0
23,37,1.63,10350.0,0,0
23,37,1.645,10373.0,0,0
23,37,1.645,10405.0,0,0
23,37,1.661,10434.0,0,0
23,37,1.661,10437.0,0,0
23,37,1.676,10448.0,0,0
23,37,1.676,10476.0,0,0
23,37,1.692,10505.0,0,0
23,37,1.692,10524.0,0,0
23,37,1.708,10544.0,0,0
23,37,1.708,10568.0,0,0
23,37,1.723,10591.0,0,0
23,37,1.723,10596.0,0,0
23,37,1.739,10601.0,0,0
