AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
-0.076,1.0313,-0.0873,0.147,0.1726,0.034,-2.1263,-5.32,-12.285,0,0,0,0.0
-0.0782,1.0247,-0.091,0.147,0.1726,0.034,-2.3537,-5.2587,-10.3687,0,0,0,0.0
-0.0764,1.0217,-0.0899,0.147,0.1726,0.034,-2.3537,-5.2587,-10.3687,0,0,0,0.01599999999598367
-0.0675,1.0194,-0.095,0.1463,0.1722,0.0242,-1.96,-5.6525,-8.1462,0,0,0,0.01599999999598367
-0.0627,1.0201,-0.0989,0.1463,0.1722,0.0242,-0.6037,-5.6262,-6.1425,0,0,0,0.030999999995401595
-0.0627,1.0201,-0.1005,0.1486,0.1711,0.0294,0.245,-4.8738,-4.06,0,0,0,0.030999999995401595
-0.0557,1.0198,-0.1005,0.1486,0.1711,0.0294,0.245,-4.8738,-4.06,0,0,0,0.046999999998661224
-0.0446,1.0247,-0.1055,0.1486,0.1721,0.0363,0.8313,-4.9,-3.2462,0,0,0,0.046999999998661224
-0.0342,1.0299,-0.1039,0.147,0.1721,0.0363,1.0325,-4.0163,-2.1613,0,0,0,0.06199999999807915
-0.0283,1.0292,-0.1072,0.147,0.1721,0.0363,1.0325,-3.465,-1.1287,0,0,0,0.07799999999406282
-0.031,1.0244,-0.1113,0.1447,0.1717,0.0362,0.4112,-3.465,-1.1287,0,0,0,0.07799999999406282
-0.031,1.0244,-0.1113,0.1447,0.1717,0.0362,1.1725,-2.835,-1.8288,0,0,0,0.09399999999732245
-0.0285,1.0234,-0.1143,0.1465,0.1705,0.0281,2.0125,-1.9863,-2.66,0,0,0,0.09399999999732245
-0.0209,1.0213,-0.1136,0.1465,0.1705,0.0281,2.0125,-1.9863,-2.66,0,0,0,0.09399999999732245
-0.0163,1.0149,-0.1149,0.1465,0.1705,0.0281,1.925,-1.4875,-3.3775,0,0,0,0.10899999999674037
-0.0142,1.0122,-0.1143,0.1455,0.1708,0.0366,2.24,-0.3938,-3.29,0,0,0,0.10899999999674037
-0.0142,1.0122,-0.1143,0.1455,0.1708,0.0366,2.1263,0.4462,-3.4913,0,0,0,0.125
-0.0218,1.0116,-0.117,0.1462,0.1707,0.0308,2.1263,0.4462,-3.4913,0,0,0,0.125
-0.0261,1.0181,-0.1186,0.1462,0.1707,0.0308,3.0625,0.4025,-3.9288,0,0,0,0.13999999999214197
-0.0277,1.0185,-0.115,0.1462,0.1707,0.0308,2.9488,0.5512,-4.0425,0,0,0,0.1559999999954016
-0.0275,1.0091,-0.1133,0.1447,0.1708,0.0304,2.6688,1.12,-4.1388,0,0,0,0.1559999999954016
-0.0337,1.0072,-0.1141,0.1447,0.1708,0.0304,2.6688,1.12,-4.1388,0,0,0,0.17199999999138527
-0.0337,1.0072,-0.1141,0.1453,0.17,0.0304,3.0888,1.365,-4.4275,0,0,0,0.17199999999138527
-0.0343,1.0079,-0.1125,0.1453,0.17,0.0304,3.8588,1.3038,-4.935,0,0,0,0.18699999999807915
-0.034,1.009,-0.116,0.1453,0.17,0.0304,3.5875,1.4963,-4.9175,0,0,0,0.18699999999807915
-0.0321,1.0086,-0.1158,0.1454,0.1708,0.0274,3.5875,1.4963,-4.9175,0,0,0,0.20300000000133878
-0.0282,1.0065,-0.1142,0.1454,0.1708,0.0274,3.675,0.875,-5.3113,0,0,0,0.20300000000133878
-0.0282,1.0065,-0.1142,0.144,0.1718,0.0318,2.9137,1.2337,-5.0925,0,0,0,0.21799999999348074
-0.0212,1.0057,-0.1139,0.144,0.1718,0.0318,2.8525,1.5313,-4.795,0,0,0,0.21799999999348074
-0.0248,1.0077,-0.1114,0.144,0.1697,0.0306,2.8525,1.5313,-4.795,0,0,0,0.23399999999674037
-0.0148,1.0192,-0.1114,0.1455,0.1697,0.0306,2.6862,1.9338,-4.305,0,0,0,0.23399999999674037
-0.0131,1.0233,-0.11,0.1455,0.1697,0.0306,1.4787,2.9313,-4.095,0,0,0,0.24999999999272404
-0.0268,1.0018,-0.1187,0.1454,0.1703,0.0241,1.4787,2.9313,-4.2263,0,0,0,0.24999999999272404
-0.0268,1.0018,-0.1187,0.1454,0.1703,0.0241,0.665,3.395,-4.2263,0,0,0,0.2649999999994179
-0.035,0.9921,-0.1215,0.1451,0.1698,0.0252,1.7413,3.7362,-4.7775,0,0,0,0.2649999999994179
-0.0367,0.9963,-0.1285,0.1451,0.1698,0.0252,2.5287,2.835,-4.9437,0,0,0,0.28100000000267755
-0.0334,0.9964,-0.1291,0.1451,0.1698,0.0252,2.5287,2.835,-4.9437,0,0,0,0.28100000000267755
-0.0293,0.9976,-0.124,0.1432,0.1722,0.0294,3.1412,1.6275,-4.8913,0,0,0,0.2959999999948195
-0.0293,0.9976,-0.1396,0.1432,0.1722,0.0294,4.2263,0.7962,-5.18,0,0,0,0.2959999999948195
-0.029,0.9978,-0.1268,0.144,0.1708,0.0251,4.41,0.665,-6.1687,0,0,0,0.31199999999807915
-0.0218,1.005,-0.1265,0.144,0.1708,0.0251,4.41,0.665,-6.1687,0,0,0,0.31199999999807915
-0.0173,1.0108,-0.1196,0.144,0.1708,0.0251,4.7075,0.4375,-6.1775,0,0,0,0.3279999999940628
-0.0114,1.0115,-0.1183,0.1452,0.1701,0.023,3.9288,0.9013,-6.5625,0,0,0,0.3279999999940628
-0.0187,1.0136,-0.1177,0.1452,0.1701,0.023,3.0625,1.5575,-7.2625,0,0,0,0.3430000000007567
-0.0187,1.0136,-0.1177,0.1458,0.1695,0.0231,3.0625,1.5575,-7.2625,0,0,0,0.3430000000007567
-0.0212,1.0119,-0.1164,0.1458,0.1695,0.0231,2.6862,2.38,-8.6625,0,0,0,0.35899999999674037
-0.0281,1.0056,-0.1167,0.1458,0.1695,0.0231,2.9575,3.0975,-9.31,0,0,0,0.35899999999674037
-0.035,1.008,-0.1175,0.1454,0.1713,0.0246,2.6075,3.6137,-10.0188,0,0,0,0.3739999999961583
-0.0348,1.0108,-0.1163,0.1454,0.1713,0.0246,2.6075,3.6137,-10.0188,0,0,0,0.3739999999961583
-0.0348,1.0108,-0.1163,0.1466,0.1714,0.0264,3.0013,3.1588,-10.9375,0,0,0,0.3899999999994179
-0.0383,1.0022,-0.115,0.1466,0.1714,0.0264,2.485,3.3075,-10.9462,0,0,0,0.3899999999994179
-0.0417,0.9988,-0.1191,0.1466,0.1727,0.0184,3.01,3.08,-11.165,0,0,0,0.4059999999954016
-0.0476,1.0025,-0.1192,0.1462,0.1727,0.0184,3.01,3.08,-11.165,0,0,0,0.4059999999954016
-0.052,1.0069,-0.1252,0.1462,0.1727,0.0184,3.0625,3.1412,-11.1475,0,0,0,0.4209999999948195
-0.0597,1.0078,-0.1291,0.1473,0.1746,0.0144,3.6225,2.1875,-11.2087,0,0,0,0.4209999999948195
-0.0597,1.0078,-0.1291,0.1473,0.1746,0.0144,3.6225,2.1875,-11.2087,0,0,0,0.4369999999908032
-0.0694,1.0124,-0.1347,0.1473,0.1742,0.025,4.165,1.8813,-11.9175,0,0,0,0.4369999999908032
-0.0733,1.0199,-0.1363,0.1473,0.1742,0.025,4.5325,0.3675,-12.0487,0,0,0,0.45199999999749707
-0.0688,1.0281,-0.1324,0.1473,0.1742,0.025,5.215,-1.1287,-12.6088,0,0,0,0.45199999999749707
-0.0753,1.0338,-0.1386,0.1488,0.1751,0.0199,5.215,-1.1287,-12.6088,0,0,0,0.4680000000007567
-0.0753,1.0338,-0.1386,0.1488,0.1751,0.0199,5.3288,-1.7062,-13.02,0,0,0,0.4680000000007567
-0.0773,1.0364,-0.1354,0.1515,0.1744,0.0186,4.3663,-2.2575,-13.0288,0,0,0,0.48399999999674037
-0.0808,1.0336,-0.1377,0.1515,0.1744,0.0186,2.8,-2.6337,-12.3462,0,0,0,0.4989999999961583
-0.0859,1.0354,-0.1432,0.1515,0.1744,0.0186,2.8,-2.6337,-12.3462,0,0,0,0.4989999999961583
-0.0867,1.0355,-0.1379,0.1499,0.1771,0.021,1.68,-2.975,-12.0138,0,0,0,0.514999999992142
-0.0914,1.0352,-0.1347,0.1499,0.1771,0.021,0.5775,-3.9813,-11.4187,0,0,0,0.514999999992142
-0.0914,1.0352,-0.1347,0.1513,0.1779,0.0186,-0.2713,-4.7337,-11.2087,0,0,0,0.5299999999988358
-0.0944,1.0289,-0.1328,0.1513,0.1779,0.0186,-0.2713,-4.7337,-11.2087,0,0,0,0.5299999999988358
-0.1006,1.031,-0.1333,0.1513,0.1779,0.0186,-1.5225,-5.18,-11.06,0,0,0,0.5460000000020955
-0.0951,1.0262,-0.1315,0.151,0.1796,0.0293,-2.17,-5.5037,-10.4738,0,0,0,0.5460000000020955
-0.0972,1.0221,-0.1315,0.151,0.1796,0.0293,-2.7562,-6.2387,-9.94,0,0,0,0.5619999999980791
-0.0972,1.0221,-0.1265,0.1527,0.1776,0.015,-2.7562,-6.2387,-9.94,0,0,0,0.5619999999980791
-0.0942,1.0209,-0.1265,0.1527,0.1776,0.015,-2.8963,-5.495,-9.3275,0,0,0,0.5769999999974971
-0.0918,1.0203,-0.1229,0.1527,0.1779,0.0171,-3.4037,-5.4338,-8.7587,0,0,0,0.5769999999974971
-0.0927,1.0197,-0.1235,0.1547,0.1779,0.0171,-3.2462,-4.8562,-8.0675,0,0,0,0.5929999999934807
-0.0908,1.0208,-0.1204,0.1547,0.1779,0.0171,-3.2462,-4.8562,-8.0675,0,0,0,0.5929999999934807
-0.0885,1.0179,-0.1197,0.1546,0.1778,0.0162,-2.975,-3.99,-7.105,0,0,0,0.6080000000001746
