Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,50,9.343,23896.0,0,0
15,50,9.343,23844.0,0,0
15,50,9.343,23711.0,0,0
15,50,9.359,23615.0,0,0
15,50,9.359,23600.0,0,0
15,50,9.359,23555.0,0,0
15,50,9.374,23551.0,0,0
15,50,9.374,23552.0,0,0
15,50,9.374,23561.0,0,0
15,50,9.39,23570.0,0,0
15,50,9.39,23609.0,0,0
15,50,9.39,23613.0,0,0
15,50,9.406,23598.0,0,0
15,50,9.406,23593.0,0,0
15,50,9.406,23534.0,0,0
15,50,9.421,23471.0,0,0
15,50,9.421,23416.0,0,0
15,50,9.437,23416.0,0,0
15,50,9.437,23450.0,0,0
15,50,9.437,23500.0,0,0
15,50,9.452,23547.0,0,0
15,50,9.452,23547.0,0,0
15,50,9.468,23562.0,0,0
15,50,9.484,23567.0,0,0
15,50,9.484,23577.0,0,0
15,50,9.499,23577.0,0,0
15,50,9.499,23633.0,0,0
15,50,9.515,23717.0,0,0
15,50,9.515,23779.0,0,0
15,50,9.53,23783.0,0,0
15,50,9.53,23797.0,0,0
15,50,9.546,23805.0,0,0
15,50,9.546,23759.0,0,0
15,50,9.562,23714.0,0,0
15,50,9.562,23670.0,0,0
15,50,9.578,23627.0,0,0
15,50,9.578,23611.0,0,0
15,50,9.594,23644.0,0,0
15,50,9.594,23655.0,0,0
15,50,9.609,23726.0,0,0
15,50,9.609,23791.0,0,0
15,50,9.625,23828.0,0,0
15,50,9.625,23828.0,0,0
15,50,9.641,23844.0,0,0
15,50,9.641,23812.0,0,0
15,50,9.656,23834.0,0,0
15,50,9.656,23834.0,0,0
15,50,9.672,23870.0,0,0
15,50,9.672,23912.0,0,0
15,50,9.687,23990.0,0,0
15,50,9.687,23990.0,0,0
15,50,9.703,24037.0,0,0
15,50,9.703,24021.0,0,0
15,50,9.719,23988.0,0,0
15,50,9.719,23979.0,0,0
15,50,9.734,23954.0,0,0
15,50,9.734,23966.0,0,0
15,50,9.75,24015.0,0,0
15,50,9.75,24039.0,0,0
15,50,9.765,24063.0,0,0
15,50,9.765,24071.0,0,0
15,50,9.781,24106.0,0,0
15,50,9.781,24127.0,0,0
15,50,9.797,24134.0,0,0
15,50,9.797,24164.0,0,0
15,50,9.812,24187.0,0,0
15,50,9.828,24215.0,0,0
15,50,9.828,24215.0,0,0
15,50,9.843,24230.0,0,0
15,50,9.843,24231.0,0,0
15,50,9.843,24213.0,0,0
15,50,9.859,24213.0,0,0
15,50,9.875,24203.0,0,0
15,50,9.875,24181.0,0,0
15,50,9.89,24184.0,0,0
15,50,9.89,24181.0,0,0
15,50,9.906,24174.0,0,0
15,50,9.906,24195.0,0,0
15,50,9.921,24187.0,0,0
15,50,9.921,24178.0,0,0
15,50,9.937,24170.0,0,0
15,50,9.937,24130.0,0,0
15,50,9.953,24108.0,0,0
15,50,9.953,24104.0,0,0
15,50,9.968,24103.0,0,0
15,50,9.968,24108.0,0,0
15,50,9.984,24079.0,0,0
15,50,9.984,24034.0,0,0
15,50,9.999,24034.0,0,0
15,50,9.999,23986.0,0,0
15,50,10.015,23865.0,0,0
15,50,10.015,23727.0,0,0
15,50,10.031,23727.0,0,0
15,50,10.031,23603.0,0,0
15,50,10.046,23526.0,0,0
15,50,10.046,23503.0,0,0
15,50,10.062,23503.0,0,0
15,50,10.062,23525.0,0,0
15,50,10.077,23548.0,0,0
15,50,10.077,23559.0,0,0
15,50,10.093,23568.0,0,0
15,50,10.093,23597.0,0,0
15,50,10.109,23643.0,0,0
15,50,10.109,23695.0,0,0
15,50,10.124,23719.0,0,0
15,50,10.124,23744.0,0,0
15,50,10.14,23785.0,0,0
15,50,10.14,23819.0,0,0
15,50,10.155,23814.0,0,0
15,50,10.155,23813.0,0,0
15,50,10.171,23819.0,0,0
15,50,10.187,23756.0,0,0
15,50,10.187,23729.0,0,0
15,50,10.202,23729.0,0,0
15,50,10.202,23737.0,0,0
15,50,10.218,23769.0,0,0
15,50,10.218,23838.0,0,0
15,50,10.233,23838.0,0,0
15,50,10.233,23919.0,0,0
15,50,10.249,23983.0,0,0
15,50,10.249,24005.0,0,0
15,50,10.265,24002.0,0,0
15,50,10.265,23996.0,0,0
15,50,10.28,23971.0,0,0
15,50,10.28,23940.0,0,0
15,50,10.296,23935.0,0,0
15,50,10.296,23931.0,0,0
15,50,10.311,23946.0,0,0
15,50,10.311,23959.0,0,0
15,50,10.327,23968.0,0,0
15,50,10.327,23972.0,0,0
15,50,10.343,23984.0,0,0
15,50,10.343,23964.0,0,0
15,50,10.358,23959.0,0,0
15,50,10.358,23959.0,0,0
15,50,10.374,23948.0,0,0
15,50,10.374,23935.0,0,0
15,50,10.389,23959.0,0,0
15,50,10.389,23959.0,0,0
15,50,10.405,23976.0,0,0
15,50,10.405,23991.0,0,0
15,50,10.421,23980.0,0,0
15,50,10.421,23980.0,0,0
15,50,10.436,23953.0,0,0
15,50,10.436,23945.0,0,0
15,50,10.452,23937.0,0,0
15,50,10.452,23944.0,0,0
15,50,10.467,23967.0,0,0
15,50,10.467,24017.0,0,0
15,50,10.483,24081.0,0,0
15,50,10.483,24108.0,0,0
15,50,10.499,24135.0,0,0
15,50,10.499,24143.0,0,0
15,50,10.514,24115.0,0,0
15,50,10.53,24079.0,0,0
15,50,10.53,24068.0,0,0
15,50,10.53,24035.0,0,0
15,50,10.545,24039.0,0,0
15,50,10.561,24065.0,0,0
15,50,10.561,24065.0,0,0
15,50,10.577,24112.0,0,0
15,50,10.577,24116.0,0,0
15,50,10.593,24068.0,0,0
15,50,10.593,24068.0,0,0
15,50,10.609,24018.0,0,0
15,50,10.609,23976.0,0,0
15,50,10.624,23953.0,0,0
15,50,10.624,23953.0,0,0
15,50,10.64,23986.0,0,0
15,50,10.64,24061.0,0,0
15,50,10.656,24078.0,0,0
15,50,10.656,24074.0,0,0
15,50,10.671,24064.0,0,0
15,50,10.671,24025.0,0,0
15,50,10.687,23928.0,0,0
15,50,10.687,23896.0,0,0
15,50,10.702,23865.0,0,0
15,50,10.702,23867.0,0,0
15,50,10.718,23919.0,0,0
15,50,10.718,23964.0,0,0
15,50,10.734,23979.0,0,0
15,50,10.734,24002.0,0,0
15,50,10.749,23977.0,0,0
15,50,10.749,23911.0,0,0
15,50,10.765,23911.0,0,0
15,50,10.765,23808.0,0,0
15,50,10.78,23779.0,0,0
15,50,10.78,23784.0,0,0
15,50,10.796,23784.0,0,0
15,50,10.796,23808.0,0,0
15,50,10.812,23825.0,0,0
15,50,10.812,23839.0,0,0
15,50,10.827,23825.0,0,0
15,50,10.827,23786.0,0,0
15,50,10.843,23738.0,0,0
15,50,10.843,23674.0,0,0
15,50,10.858,23662.0,0,0
15,50,10.858,23651.0,0,0
15,50,10.874,23666.0,0,0
15,50,10.89,23707.0,0,0
15,50,10.89,23688.0,0,0
15,50,10.905,23682.0,0,0
15,50,10.905,23648.0,0,0
15,50,10.921,23600.0,0,0
15,50,10.921,23562.0,0,0
15,50,10.936,23562.0,0,0
15,50,10.936,23523.0,0,0
15,50,10.952,23525.0,0,0
15,50,10.952,23479.0,0,0
15,50,10.968,23479.0,0,0
15,50,10.968,23449.0,0,0
15,50,10.983,23402.0,0,0
15,50,10.983,23381.0,0,0
15,50,10.999,23381.0,0,0
15,50,10.999,23390.0,0,0
15,50,11.014,23405.0,0,0
15,50,11.014,23428.0,0,0
15,50,11.03,23425.0,0,0
15,50,11.03,23417.0,0,0
15,50,11.046,23402.0,0,0
15,50,11.046,23365.0,0,0
15,50,11.061,23346.0,0,0
15,50,11.061,23327.0,0,0
15,50,11.077,23291.0,0,0
15,50,11.077,23261.0,0,0
15,50,11.092,23247.0,0,0
15,50,11.092,23243.0,0,0
15,50,11.108,23226.0,0,0
15,50,11.108,23190.0,0,0
15,50,11.124,23153.0,0,0
15,50,11.124,23153.0,0,0
15,50,11.139,23099.0,0,0
15,50,11.139,23035.0,0,0
15,50,11.155,23003.0,0,0
15,50,11.155,23003.0,0,0
15,50,11.17,23006.0,0,0
15,50,11.17,22995.0,0,0
15,50,11.186,22998.0,0,0
15,50,11.186,22998.0,0,0
15,50,11.202,22962.0,0,0
15,50,11.202,22952.0,0,0
15,50,11.217,22901.0,0,0
15,50,11.217,22895.0,0,0
15,50,11.233,22878.0,0,0
15,50,11.233,22876.0,0,0
15,50,11.248,22882.0,0,0
15,50,11.264,22885.0,0,0
15,50,11.264,22888.0,0,0
15,50,11.28,22879.0,0,0
15,50,11.28,22847.0,0,0
15,50,11.295,22804.0,0,0
15,50,11.295,22804.0,0,0
15,50,11.311,22774.0,0,0
15,50,11.311,22743.0,0,0
15,50,11.326,22727.0,0,0
15,50,11.326,22727.0,0,0
15,50,11.342,22707.0,0,0
15,50,11.342,22674.0,0,0
15,50,11.358,22650.0,0,0
15,50,11.358,22650.0,0,0
15,50,11.373,22617.0,0,0
15,50,11.373,22595.0,0,0
15,50,11.389,22595.0,0,0
15,50,11.389,22608.0,0,0
15,50,11.404,22650.0,0,0
15,50,11.404,22677.0,0,0
15,50,11.42,22685.0,0,0
15,50,11.42,22659.0,0,0
15,50,11.436,22633.0,0,0
15,50,11.436,22523.0,0,0
15,50,11.451,22355.0,0,0
15,50,11.451,22378.0,0,0
15,50,11.467,22386.0,0,0
15,50,11.467,22477.0,0,0
15,50,11.482,22489.0,0,0
15,50,11.498,22550.0,0,0
15,50,11.498,22550.0,0,0
15,50,11.514,22549.0,0,0
15,50,11.514,22508.0,0,0
15,50,11.529,22457.0,0,0
15,50,11.529,22457.0,0,0
15,50,11.545,22381.0,0,0
15,50,11.545,22367.0,0,0
15,50,11.56,22388.0,0,0
15,50,11.56,22388.0,0,0
15,50,11.576,22422.0,0,0
15,50,11.576,22444.0,0,0
15,50,11.592,22391.0,0,0
15,50,11.592,22374.0,0,0
15,50,11.607,22323.0,0,0
15,50,11.607,22225.0,0,0
15,50,11.623,22175.0,0,0
15,50,11.623,22171.0,0,0
15,50,11.638,22168.0,0,0
15,50,11.638,22188.0,0,0
15,50,11.654,22200.0,0,0
15,50,11.654,22197.0,0,0
15,50,11.67,22197.0,0,0
15,50,11.67,22148.0,0,0
15,50,11.685,22094.0,0,0
15,50,11.685,22051.0,0,0
15,50,11.701,22051.0,0,0
15,50,11.701,21994.0,0,0
15,50,11.716,21920.0,0,0
15,50,11.716,21794.0,0,0
15,50,11.732,21794.0,0,0
15,50,11.732,21670.0,0,0
15,50,11.748,21536.0,0,0
15,50,11.748,21443.0,0,0
15,50,11.763,21431.0,0,0
15,50,11.763,21395.0,0,0
15,50,11.779,21365.0,0,0
15,50,11.779,21342.0,0,0
15,50,11.794,21303.0,0,0
15,50,11.794,21264.0,0,0
15,50,11.81,21169.0,0,0
15,50,11.81,21091.0,0,0
15,50,11.826,20953.0,0,0
15,50,11.826,20907.0,0,0
15,50,11.841,20784.0,0,0
15,50,11.857,20824.0,0,0
15,50,11.857,20859.0,0,0
15,50,11.872,20859.0,0,0
15,50,11.872,20833.0,0,0
15,50,11.888,20774.0,0,0
15,50,11.888,20681.0,0,0
15,50,11.904,20681.0,0,0
15,50,11.904,20584.0,0,0
15,50,11.919,20501.0,0,0
15,50,11.919,20450.0,0,0
15,50,11.935,20436.0,0,0
15,50,11.935,20396.0,0,0
15,50,11.95,20377.0,0,0
15,50,11.95,20315.0,0,0
15,50,11.966,20253.0,0,0
15,50,11.966,20192.0,0,0
15,50,11.982,20066.0,0,0
15,50,11.982,19943.0,0,0
15,50,11.997,19850.0,0,0
15,50,11.997,19819.0,0,0
15,50,12.013,19751.0,0,0
15,50,12.013,19714.0,0,0
15,50,12.028,19675.0,0,0
15,50,12.028,19675.0,0,0
15,50,12.044,19602.0,0,0
15,50,12.044,19523.0,0,0
15,50,12.06,19428.0,0,0
15,50,12.06,19428.0,0,0
15,50,12.075,19393.0,0,0
15,50,12.075,19355.0,0,0
15,50,12.091,19290.0,0,0
15,50,12.091,19260.0,0,0
