AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
0.1096,0.9816,-0.2342,0.0703,0.1568,-0.1126,-2.7912,-7.14,-10.7013,0,0,0,0.0
0.1074,0.9842,-0.2374,0.0703,0.1568,-0.1126,-2.3537,-7.455,-10.5,0,0,0,0.0
0.0999,0.9818,-0.2366,0.0725,0.1569,-0.1095,-2.3537,-7.455,-10.5,0,0,0,0.01600000000325963
0.0999,0.9818,-0.2334,0.0725,0.1569,-0.1095,-2.0125,-7.4637,-10.2638,0,0,0,0.01600000000325963
0.1065,0.9828,-0.2334,0.0718,0.1571,-0.1089,-1.575,-7.63,-10.3512,0,0,0,0.0319999999992433
0.1034,0.9828,-0.2394,0.0718,0.1571,-0.1089,-1.575,-7.63,-9.8088,0,0,0,0.0319999999992433
0.103,0.9794,-0.2399,0.0718,0.1571,-0.1089,-1.2425,-7.6388,-9.8088,0,0,0,0.04700000000593718
0.1077,0.9762,-0.2327,0.0724,0.1579,-0.1064,-1.9162,-8.3912,-9.2312,0,0,0,0.04700000000593718
0.1067,0.9757,-0.2402,0.0724,0.1579,-0.1064,-0.9975,-8.1112,-8.4613,0,0,0,0.06300000000192085
0.1067,0.9757,-0.2402,0.0742,0.1574,-0.108,-0.9975,-8.1112,-8.4613,0,0,0,0.06300000000192085
0.1039,0.9773,-0.2433,0.0742,0.1574,-0.108,-0.0875,-7.7613,-8.645,0,0,0,0.07800000000133878
0.1035,0.9806,-0.242,0.0742,0.1574,-0.108,-0.4638,-8.1025,-7.9713,0,0,0,0.07800000000133878
0.1021,0.9806,-0.2475,0.0752,0.1582,-0.105,0.1925,-8.4,-7.945,0,0,0,0.0940000000045984
0.1038,0.9785,-0.2506,0.0752,0.1582,-0.105,0.1925,-8.4,-7.945,0,0,0,0.0940000000045984
0.1038,0.9785,-0.235,0.0754,0.1588,-0.1106,0.2975,-8.1637,-8.0675,0,0,0,0.11000000000058208
0.1041,0.9775,-0.2474,0.0754,0.1588,-0.1106,0.455,-7.8138,-7.5425,0,0,0,0.11000000000058208
0.1061,0.9768,-0.2546,0.0754,0.1599,-0.1078,0.8575,-7.175,-7.63,0,0,0,0.12500000000727596
0.1046,0.9762,-0.2539,0.0752,0.1599,-0.1078,0.8575,-7.175,-7.63,0,0,0,0.12500000000727596
0.1047,0.9747,-0.2517,0.0752,0.1599,-0.1078,0.9275,-7.0175,-7.3412,0,0,0,0.14099999999598367
0.1067,0.9725,-0.2561,0.0762,0.159,-0.1052,1.155,-6.9388,-6.7288,0,0,0,0.14099999999598367
0.1067,0.9725,-0.2561,0.0762,0.159,-0.1052,2.5375,-6.7987,-6.1337,0,0,0,0.15600000000267755
0.1044,0.9739,-0.2582,0.0765,0.1576,-0.1082,2.5375,-6.7987,-6.1337,0,0,0,0.15600000000267755
0.1059,0.9747,-0.2597,0.0765,0.1576,-0.1082,2.625,-6.475,-5.95,0,0,0,0.17200000000593718
0.1085,0.974,-0.2617,0.0765,0.1576,-0.1082,2.555,-6.265,-5.3987,0,0,0,0.18800000000192085
0.1087,0.9759,-0.265,0.0774,0.1567,-0.118,2.7125,-5.9938,-5.2937,0,0,0,0.18800000000192085
0.1087,0.9759,-0.265,0.0774,0.1567,-0.118,2.7125,-5.9938,-5.2937,0,0,0,0.20300000000133878
0.11,0.9779,-0.261,0.0777,0.1592,-0.1086,2.3625,-5.6788,-5.075,0,0,0,0.20300000000133878
0.1118,0.9776,-0.2597,0.0777,0.1592,-0.1086,2.6775,-5.4687,-5.0225,0,0,0,0.20300000000133878
0.1127,0.9765,-0.2613,0.0777,0.1592,-0.1086,2.6775,-5.4687,-4.7075,0,0,0,0.22000000000116415
0.1173,0.9785,-0.2639,0.0789,0.1593,-0.1114,2.1,-4.585,-4.7075,0,0,0,0.22000000000116415
0.1251,0.9801,-0.2604,0.0789,0.1593,-0.1114,2.0912,-3.5,-4.8038,0,0,0,0.23500000000058208
0.1251,0.9801,-0.2604,0.0777,0.1582,-0.1098,1.8025,-2.4938,-4.5413,0,0,0,0.23500000000058208
0.1296,0.9807,-0.2633,0.0777,0.1582,-0.1098,1.8025,-2.4938,-4.5413,0,0,0,0.2510000000038417
0.1313,0.9822,-0.256,0.0777,0.1582,-0.1098,1.1025,-1.295,-4.4975,0,0,0,0.2669999999998254
0.136,0.9832,-0.2547,0.0758,0.1594,-0.1089,0.3675,-0.4638,-4.06,0,0,0,0.2669999999998254
0.1381,0.9817,-0.2556,0.0758,0.1594,-0.1089,0.0088,-0.0088,-4.2962,0,0,0,0.28200000000651926
0.1381,0.9817,-0.2556,0.0754,0.1578,-0.1066,0.0088,-0.0088,-4.2962,0,0,0,0.28200000000651926
0.1337,0.9785,-0.2521,0.0754,0.1578,-0.1066,-0.2013,0.8575,-4.2263,0,0,0,0.29800000000250293
0.1312,0.9763,-0.2515,0.0754,0.1598,-0.1147,0.1488,1.8988,-4.2875,0,0,0,0.29800000000250293
0.1306,0.9756,-0.256,0.0751,0.1598,-0.1147,-0.0613,1.6013,-5.005,0,0,0,0.31300000000192085
0.1238,0.9774,-0.2528,0.0751,0.1598,-0.1147,-0.0613,1.6013,-5.005,0,0,0,0.31300000000192085
0.1244,0.977,-0.2536,0.0768,0.1602,-0.1101,0.2187,1.6538,-4.6638,0,0,0,0.3290000000051805
0.1244,0.977,-0.2536,0.0768,0.1602,-0.1101,0.455,1.6975,-5.0662,0,0,0,0.3290000000051805
0.1233,0.9745,-0.255,0.0761,0.159,-0.1144,0.665,1.61,-5.6262,0,0,0,0.34500000000116415
0.1176,0.9783,-0.2545,0.0761,0.159,-0.1144,0.665,1.61,-5.6262,0,0,0,0.34500000000116415
0.1164,0.9775,-0.2536,0.0761,0.159,-0.1144,1.1463,1.295,-5.9588,0,0,0,0.3600000000005821
0.1165,0.9772,-0.2524,0.0758,0.1588,-0.1029,0.8925,0.6388,-6.0725,0,0,0,0.3600000000005821
0.1165,0.9772,-0.2524,0.0758,0.1588,-0.1029,0.8925,0.2887,-6.265,0,0,0,0.37599999999656575
0.1138,0.976,-0.2567,0.0761,0.1586,-0.1098,1.505,0.2887,-6.265,0,0,0,0.37599999999656575
0.1125,0.9787,-0.255,0.0761,0.1586,-0.1098,1.0762,-0.3762,-6.3525,0,0,0,0.39100000000325963
0.1138,0.9769,-0.2561,0.0761,0.1586,-0.1098,0.7175,-0.6913,-5.88,0,0,0,0.39100000000325963
0.1098,0.9771,-0.2574,0.0774,0.1587,-0.1084,0.7175,-0.6913,-5.88,0,0,0,0.4069999999992433
0.1074,0.9731,-0.2602,0.0774,0.1587,-0.1084,-0.14,-1.2862,-5.8012,0,0,0,0.4069999999992433
0.1074,0.9731,-0.2602,0.0789,0.161,-0.1088,-0.2537,-1.925,-5.6613,0,0,0,0.42300000000250293
0.1086,0.9747,-0.256,0.0789,0.161,-0.1088,-0.2975,-2.0213,-5.5213,0,0,0,0.42300000000250293
0.1075,0.9733,-0.2602,0.0789,0.161,-0.1088,-0.2975,-2.0213,-5.5213,0,0,0,0.43800000000192085
0.1089,0.9754,-0.2636,0.077,0.1601,-0.1096,-0.595,-2.3712,-4.9788,0,0,0,0.43800000000192085
0.1116,0.9733,-0.256,0.077,0.1601,-0.1096,-0.945,-2.625,-5.2063,0,0,0,0.4539999999979045
0.1116,0.9733,-0.256,0.077,0.161,-0.1066,-1.4262,-2.4062,-5.2238,0,0,0,0.4539999999979045
0.1147,0.9694,-0.2562,0.077,0.161,-0.1066,-1.4262,-2.4062,-5.2238,0,0,0,0.4690000000045984
0.1139,0.9693,-0.2581,0.077,0.161,-0.1116,-1.5662,-2.3625,-5.6962,0,0,0,0.4690000000045984
0.1146,0.9701,-0.2529,0.0758,0.1598,-0.1116,-1.6625,-2.5725,-6.0988,0,0,0,0.4850000000005821
0.1163,0.9688,-0.2526,0.0758,0.1598,-0.1116,-1.575,-2.6163,-6.6588,0,0,0,0.4850000000005821
0.1188,0.9694,-0.2555,0.075,0.1581,-0.1099,-1.575,-2.6163,-6.6588,0,0,0,0.5010000000038417
0.1188,0.9694,-0.2555,0.075,0.1581,-0.1099,-1.2862,-2.4588,-6.7987,0,0,0,0.5010000000038417
0.1144,0.9714,-0.2539,0.0761,0.1587,-0.1103,-1.2775,-2.8175,-6.965,0,0,0,0.5160000000032596
0.1145,0.9736,-0.2489,0.0761,0.1587,-0.1103,-1.4262,-2.765,-7.2013,0,0,0,0.5160000000032596
0.1189,0.9729,-0.2524,0.0761,0.1587,-0.1103,-1.4262,-2.765,-7.2013,0,0,0,0.5319999999992433
0.1182,0.9771,-0.2532,0.0776,0.1593,-0.1152,-1.4,-2.45,-7.6562,0,0,0,0.5319999999992433
0.1182,0.9771,-0.2532,0.0776,0.1593,-0.1152,-1.1375,-2.3187,-7.805,0,0,0,0.5470000000059372
0.118,0.9797,-0.2514,0.0793,0.159,-0.1086,-1.1375,-2.31,-7.9363,0,0,0,0.5470000000059372
0.1185,0.9803,-0.2509,0.0793,0.159,-0.1086,-1.1025,-2.31,-7.9363,0,0,0,0.5630000000019209
0.1157,0.9813,-0.2508,0.0793,0.159,-0.1086,-1.54,-1.7413,-7.945,0,0,0,0.5630000000019209
0.116,0.9802,-0.2486,0.0794,0.161,-0.1045,-1.6187,-1.2163,-8.0413,0,0,0,0.5790000000051805
0.1078,0.9814,-0.2498,0.0794,0.161,-0.1045,-1.6187,-1.2163,-8.0413,0,0,0,0.5940000000045984
0.1078,0.9814,-0.2498,0.0782,0.1594,-0.1101,-1.19,-0.9187,-7.9713,0,0,0,0.5940000000045984
0.1071,0.9802,-0.2459,0.0782,0.1594,-0.1101,-1.5225,-1.2075,-8.505,0,0,0,0.6100000000005821
0.1039,0.9819,-0.2506,0.0782,0.1594,-0.1101,-1.1463,-1.4088,-8.3038,0,0,0,0.6100000000005821
0.1039,0.9844,-0.2487,0.0814,0.1593,-0.1154,-1.1463,-1.4088,-8.3038,0,0,0,0.625000000007276
0.103,0.9825,-0.2485,0.0814,0.1593,-0.1154,-0.7613,-1.33,-8.26,0,0,0,0.625000000007276
0.103,0.9825,-0.2485,0.0797,0.1593,-0.1041,-0.6125,-0.9187,-7.4988,0,0,0,0.6410000000032596
0.1002,0.9801,-0.2501,0.0797,0.1593,-0.1041,-0.105,-0.7262,-6.9388,0,0,0,0.6410000000032596
0.0983,0.9819,-0.2486,0.0797,0.1593,-0.1094,-0.105,-0.7262,-6.9388,0,0,0,0.6569999999992433
0.0982,0.9823,-0.2455,0.0799,0.1589,-0.1094,-0.14,-1.1812,-6.6675,0,0,0,0.6569999999992433
0.0988,0.9806,-0.2497,0.0799,0.1589,-0.1094,0.0787,-1.0063,-6.3263,0,0,0,0.6719999999986612
0.0999,0.9797,-0.25,0.0801,0.1599,-0.1062,-0.1925,-1.3038,-5.5912,0,0,0,0.6719999999986612
0.0999,0.9797,-0.25,0.0801,0.1599,-0.1062,-0.1925,-1.3038,-5.5912,0,0,0,0.6880000000019209
0.0981,0.981,-0.2479,0.0797,0.1599,-0.1019,-0.4025,-1.6975,-5.0487,0,0,0,0.6880000000019209
0.1017,0.9787,-0.2488,0.0797,0.1599,-0.1019,-0.2625,-1.5662,-4.8387,0,0,0,0.7030000000013388
0.0992,0.979,-0.2521,0.0797,0.1599,-0.1019,0.0437,-1.8813,-4.725,0,0,0,0.7030000000013388
0.101,0.9794,-0.2499,0.0793,0.1596,-0.1094,0.0437,-1.8813,-4.725,0,0,0,0.7189999999973224
0.101,0.9794,-0.2499,0.0793,0.1596,-0.1094,-0.28,-2.2925,-4.2438,0,0,0,0.7189999999973224
0.1075,0.9779,-0.2464,0.0787,0.1613,-0.1093,-0.0088,-2.45,-4.5237,0,0,0,0.7350000000005821
0.1125,0.9748,-0.2516,0.0787,0.1613,-0.1093,-0.0088,-2.45,-4.55,0,0,0,0.7350000000005821
0.1118,0.976,-0.2523,0.0787,0.1613,-0.1093,-0.2013,-2.5725,-4.55,0,0,0,0.75
0.1149,0.9745,-0.2497,0.0794,0.1608,-0.1129,-0.2887,-2.1962,-4.5675,0,0,0,0.75
0.1144,0.9753,-0.2516,0.0794,0.1608,-0.1129,-0.2013,-2.0563,-4.6463,0,0,0,0.7660000000032596
0.1144,0.9753,-0.2516,0.0784,0.1591,-0.1081,-0.2013,-2.0563,-4.6463,0,0,0,0.7660000000032596
0.1144,0.9734,-0.2516,0.0784,0.1591,-0.1081,-0.2187,-2.6075,-4.6988,0,0,0,0.7810000000026776
0.1134,0.9761,-0.2503,0.0784,0.1591,-0.1081,-0.2887,-2.5287,-5.285,0,0,0,0.7810000000026776
0.1144,0.9775,-0.2543,0.0815,0.1578,-0.117,-0.0175,-2.6425,-5.9588,-0.7089234051421415,0.6556281523415913,0.0,0.7969999999986612
0.1151,0.9781,-0.2514,0.0815,0.1578,-0.117,-0.0175,-2.6425,-5.9588,-1.3752250063245905,1.2488079959215959,-0.12419750001568901,0.8440000000045984
0.1151,0.9781,-0.2514,0.079,0.16,-0.1107,-0.4288,-2.695,-6.1775,-5.4981882261272474,2.5570478394794005,-0.12419750001568901,0.8440000000045984
0.1164,0.9798,-0.2502,0.079,0.16,-0.1107,-0.84,-3.0712,-6.5363,-9.61376409307726,4.1945029983680975,-0.17026550001390134,0.8590000000040163
0.1182,0.9784,-0.2473,0.079,0.16,-0.1112,-0.7437,-2.7738,-6.72,-11.61296946616256,5.353956533244656,-0.17026550001390134,0.8590000000040163
0.1133,0.977,-0.2506,0.079,0.1589,-0.1112,-0.7437,-2.7738,-6.72,-12.82583396805482,5.846146042017041,-0.17026550001390134,0.8590000000040163
0.1119,0.9759,-0.2497,0.079,0.1589,-0.1112,-0.9013,-2.135,-6.9738,-13.563315645369238,6.107228969146831,-0.17026550001390134,0.8590000000040163
0.1091,0.9748,-0.2502,0.08,0.1609,-0.1062,-1.0325,-2.4237,-6.8425,-13.992591644827376,6.147084068274705,-0.17026550001390134,0.8590000000040163
0.1091,0.9748,-0.2502,0.08,0.1609,-0.1062,-0.5425,-2.0387,-6.72,-14.139772966979695,6.165736207124816,-0.20288470000571324,0.875
0.1074,0.9747,-0.2508,0.0799,0.1599,-0.1126,-0.5425,-2.0387,-6.72,-14.245766800379766,6.130916579426918,-0.20288470000571324,0.875
0.1041,0.9755,-0.2528,0.0799,0.1599,-0.1126,-0.5863,-2.0475,-6.895,-14.353979173762955,6.0115915280272,-0.20288470000571324,0.875
0.1036,0.9762,-0.2482,0.0799,0.1599,-0.1126,-0.14,-1.8725,-6.7725,-14.340855787856874,5.944655422441349,-0.20288470000571324,0.875
