Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,51,43.18,15349.0,0,0
15,51,43.196,15350.0,0,0
15,51,43.196,15353.0,0,0
15,51,43.211,15327.0,0,0
15,51,43.211,15344.0,0,0
15,51,43.227,15351.0,0,0
15,51,43.227,15358.0,0,0
15,51,43.242,15355.0,0,0
15,51,43.242,15362.0,0,0
15,51,43.258,15371.0,0,0
15,51,43.258,15375.0,0,0
15,51,43.274,15356.0,0,0
15,51,43.274,15343.0,0,0
15,51,43.289,15328.0,0,0
15,51,43.289,15324.0,0,0
15,51,43.305,15322.0,0,0
15,51,43.305,15315.0,0,0
15,51,43.32,15324.0,0,0
15,51,43.32,15324.0,0,0
15,51,43.336,15305.0,0,0
15,51,43.352,15311.0,0,0
15,51,43.352,15312.0,0,0
15,51,43.367,15312.0,0,0
15,51,43.367,15299.0,0,0
15,51,43.383,15281.0,0,0
15,51,43.383,15280.0,0,0
15,51,43.398,15280.0,0,0
15,51,43.398,15268.0,0,0
15,51,43.414,15255.0,0,0
15,51,43.414,15251.0,0,0
15,51,43.43,15251.0,0,0
15,51,43.43,15254.0,0,0
15,51,43.445,15258.0,0,0
15,51,43.445,15279.0,0,0
15,51,43.461,15274.0,0,0
15,51,43.461,15270.0,0,0
15,51,43.476,15261.0,0,0
15,51,43.476,15235.0,0,0
15,51,43.492,15222.0,0,0
15,51,43.492,15218.0,0,0
15,51,43.508,15198.0,0,0
15,51,43.508,15207.0,0,0
15,51,43.523,15209.0,0,0
15,51,43.523,15210.0,0,0
15,51,43.539,15246.0,0,0
15,51,43.539,15246.0,0,0
15,51,43.554,15228.0,0,0
15,51,43.554,15228.0,0,0
15,51,43.57,15200.0,0,0
15,51,43.57,15197.0,0,0
15,51,43.586,15210.0,0,0
15,51,43.586,15210.0,0,0
15,51,43.601,15213.0,0,0
15,51,43.601,15205.0,0,0
15,51,43.617,15204.0,0,0
15,51,43.617,15204.0,0,0
15,51,43.632,15196.0,0,0
15,51,43.632,15176.0,0,0
15,51,43.648,15179.0,0,0
15,51,43.648,15179.0,0,0
15,51,43.664,15181.0,0,0
15,51,43.664,15202.0,0,0
15,51,43.679,15206.0,0,0
15,51,43.679,15215.0,0,0
15,51,43.695,15224.0,0,0
15,51,43.695,15222.0,0,0
15,51,43.71,15194.0,0,0
15,51,43.71,15188.0,0,0
15,51,43.726,15183.0,0,0
15,51,43.726,15180.0,0,0
15,51,43.742,15186.0,0,0
15,51,43.742,15194.0,0,0
15,51,43.757,15197.0,0,0
15,51,43.773,15190.0,0,0
15,51,43.773,15200.0,0,0
15,51,43.788,15189.0,0,0
15,51,43.788,15189.0,0,0
15,51,43.804,15207.0,0,0
15,51,43.804,15197.0,0,0
15,51,43.82,15193.0,0,0
15,51,43.82,15193.0,0,0
15,51,43.835,15193.0,0,0
15,51,43.835,15191.0,0,0
15,51,43.851,15169.0,0,0
15,51,43.851,15169.0,0,0
15,51,43.866,15162.0,0,0
15,51,43.866,15167.0,0,0
15,51,43.882,15145.0,0,0
15,51,43.882,15146.0,0,0
15,51,43.898,15149.0,0,0
15,51,43.898,15090.0,0,0
15,51,43.915,15053.0,0,0
15,51,43.915,15045.0,0,0
15,51,43.931,15021.0,0,0
15,51,43.946,14975.0,0,0
15,51,43.946,14946.0,0,0
15,51,43.946,14947.0,0,0
15,51,43.962,14948.0,0,0
15,51,43.962,14951.0,0,0
15,51,43.978,14957.0,0,0
15,51,43.978,14964.0,0,0
15,51,43.993,14967.0,0,0
15,51,43.993,14946.0,0,0
15,51,44.009,14948.0,0,0
15,51,44.009,14952.0,0,0
15,51,44.024,14952.0,0,0
15,51,44.024,14933.0,0,0
15,51,44.04,14954.0,0,0
15,51,44.04,14945.0,0,0
15,51,44.056,14945.0,0,0
15,51,44.056,14939.0,0,0
15,51,44.071,14936.0,0,0
15,51,44.071,14925.0,0,0
15,51,44.087,14925.0,0,0
15,51,44.087,14938.0,0,0
15,51,44.102,14960.0,0,0
15,51,44.118,14978.0,0,0
15,51,44.118,14978.0,0,0
15,51,44.134,14983.0,0,0
15,51,44.134,14954.0,0,0
15,51,44.149,14945.0,0,0
15,51,44.149,14943.0,0,0
15,51,44.165,14938.0,0,0
15,51,44.165,14933.0,0,0
15,51,44.18,14954.0,0,0
15,51,44.18,14961.0,0,0
15,51,44.196,14968.0,0,0
15,51,44.196,14967.0,0,0
15,51,44.212,14963.0,0,0
15,51,44.212,14969.0,0,0
15,51,44.227,14971.0,0,0
15,51,44.227,14961.0,0,0
15,51,44.243,14972.0,0,0
15,51,44.243,14971.0,0,0
15,51,44.258,14971.0,0,0
15,51,44.258,14973.0,0,0
15,51,44.274,14977.0,0,0
15,51,44.274,14956.0,0,0
15,51,44.29,14956.0,0,0
15,51,44.29,14950.0,0,0
15,51,44.305,14950.0,0,0
15,51,44.305,14949.0,0,0
15,51,44.321,14949.0,0,0
15,51,44.321,14972.0,0,0
15,51,44.336,14974.0,0,0
15,51,44.336,14957.0,0,0
15,51,44.352,14957.0,0,0
15,51,44.352,14971.0,0,0
15,51,44.368,14960.0,0,0
15,51,44.368,14941.0,0,0
15,51,44.383,14940.0,0,0
15,51,44.383,14940.0,0,0
15,51,44.399,14936.0,0,0
15,51,44.399,14940.0,0,0
15,51,44.414,14942.0,0,0
15,51,44.414,14944.0,0,0
15,51,44.43,14951.0,0,0
15,51,44.43,14945.0,0,0
15,51,44.446,14956.0,0,0
15,51,44.461,14960.0,0,0
15,51,44.461,14953.0,0,0
15,51,44.477,14950.0,0,0
15,51,44.477,14953.0,0,0
15,51,44.492,14955.0,0,0
15,51,44.492,14953.0,0,0
15,51,44.508,14934.0,0,0
15,51,44.508,14939.0,0,0
15,51,44.524,14939.0,0,0
15,51,44.524,14934.0,0,0
15,51,44.539,14935.0,0,0
15,51,44.539,14932.0,0,0
15,51,44.555,14932.0,0,0
15,51,44.555,14944.0,0,0
15,51,44.57,14946.0,0,0
15,51,44.57,14947.0,0,0
15,51,44.586,14947.0,0,0
15,51,44.586,14938.0,0,0
15,51,44.602,14934.0,0,0
15,51,44.602,14932.0,0,0
15,51,44.617,14932.0,0,0
15,51,44.617,14934.0,0,0
15,51,44.633,14949.0,0,0
15,51,44.633,14924.0,0,0
15,51,44.648,14921.0,0,0
15,51,44.648,14918.0,0,0
15,51,44.664,14922.0,0,0
15,51,44.664,14929.0,0,0
15,51,44.68,14938.0,0,0
15,51,44.68,14941.0,0,0
15,51,44.695,14929.0,0,0
15,51,44.695,14929.0,0,0
15,51,44.711,14926.0,0,0
15,51,44.711,14925.0,0,0
15,51,44.726,14940.0,0,0
15,51,44.726,14938.0,0,0
15,51,44.742,14936.0,0,0
15,51,44.742,14936.0,0,0
15,51,44.758,14913.0,0,0
15,51,44.773,14934.0,0,0
15,51,44.773,14943.0,0,0
15,51,44.789,14943.0,0,0
15,51,44.789,14963.0,0,0
15,51,44.804,14960.0,0,0
15,51,44.804,14958.0,0,0
15,51,44.82,14958.0,0,0
15,51,44.82,14943.0,0,0
15,51,44.836,14920.0,0,0
15,51,44.836,14918.0,0,0
15,51,44.851,14918.0,0,0
15,51,44.851,14921.0,0,0
15,51,44.867,14951.0,0,0
15,51,44.867,14944.0,0,0
15,51,44.882,14949.0,0,0
15,51,44.882,14955.0,0,0
15,51,44.898,14959.0,0,0
15,51,44.898,14940.0,0,0
15,51,44.914,14940.0,0,0
15,51,44.914,14941.0,0,0
15,51,44.931,14925.0,0,0
15,51,44.931,14935.0,0,0
15,51,44.947,14944.0,0,0
15,51,44.947,14948.0,0,0
15,51,44.962,14925.0,0,0
15,51,44.962,14940.0,0,0
15,51,44.978,14933.0,0,0
15,51,44.978,14933.0,0,0
15,51,44.994,14947.0,0,0
15,51,44.994,14937.0,0,0
15,51,45.009,14951.0,0,0
15,51,45.009,14951.0,0,0
15,51,45.025,14944.0,0,0
15,51,45.025,14930.0,0,0
15,51,45.04,14914.0,0,0
15,51,45.04,14914.0,0,0
15,51,45.056,14914.0,0,0
15,51,45.056,14917.0,0,0
15,51,45.072,14931.0,0,0
15,51,45.072,14931.0,0,0
15,51,45.087,14933.0,0,0
15,51,45.087,14932.0,0,0
15,51,45.103,14919.0,0,0
15,51,45.103,14917.0,0,0
15,51,45.118,14915.0,0,0
