AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
0.2444,0.9332,-0.2569,0.0268,0.1311,-0.0887,1.7763,2.975,-0.0525,0,0,0,0.0
0.2506,0.9396,-0.2568,0.0246,0.1318,-0.0768,1.7763,2.975,-0.0525,0,0,0,0.01599999999598367
0.2584,0.9407,-0.253,0.0246,0.1318,-0.0768,0.875,3.1237,-0.4812,0,0,0,0.01599999999598367
0.2623,0.941,-0.2522,0.0246,0.1318,-0.0768,0.6825,3.1412,-0.6913,0,0,0,0.031000000002677552
0.2622,0.9396,-0.2489,0.0254,0.1306,-0.0834,0.6825,3.1412,-0.9363,0,0,0,0.031000000002677552
0.2622,0.9396,-0.2489,0.0254,0.1306,-0.0834,0.2537,3.0538,-0.9363,0,0,0,0.046999999998661224
0.2622,0.9387,-0.2472,0.0238,0.1319,-0.0898,-0.2275,3.3775,-1.1988,0,0,0,0.046999999998661224
0.256,0.9421,-0.2464,0.0238,0.1319,-0.0898,-0.8838,3.6488,-1.8463,0,0,0,0.06199999999807915
0.2481,0.9443,-0.2472,0.0238,0.1319,-0.0898,-0.8838,3.6488,-1.8463,0,0,0,0.06199999999807915
0.2467,0.9448,-0.243,0.0227,0.1318,-0.0807,-1.5488,3.4388,-2.6775,0,0,0,0.07800000000133878
0.2467,0.9448,-0.2416,0.0227,0.1318,-0.0807,-2.2225,2.8263,-3.6837,0,0,0,0.07800000000133878
0.2427,0.9467,-0.2416,0.023,0.1301,-0.0854,-2.905,2.205,-4.305,0,0,0,0.09399999999732245
0.2403,0.9462,-0.238,0.023,0.1301,-0.0854,-2.905,2.205,-4.305,0,0,0,0.09399999999732245
0.2358,0.9457,-0.2314,0.023,0.1301,-0.0854,-3.0363,0.875,-5.7575,0,0,0,0.10900000000401633
0.2269,0.9414,-0.2336,0.0233,0.1302,-0.0866,-3.4388,0.0437,-6.86,0,0,0,0.10900000000401633
0.2218,0.941,-0.2319,0.0233,0.1302,-0.0866,-3.7887,-1.2775,-7.8663,0,0,0,0.125
0.2218,0.941,-0.2319,0.0241,0.13,-0.0787,-3.7887,-1.2775,-7.8663,0,0,0,0.125
0.2214,0.9407,-0.2306,0.0241,0.13,-0.0787,-4.3575,-2.3187,-8.5312,0,0,0,0.13999999999941792
0.2233,0.9411,-0.2325,0.0241,0.13,-0.0787,-4.2613,-3.7887,-9.4325,0,0,0,0.13999999999941792
0.2322,0.9403,-0.2286,0.0257,0.1303,-0.085,-4.0163,-4.97,-9.6687,0,0,0,0.15600000000267755
0.2364,0.942,-0.2313,0.0257,0.1303,-0.085,-4.0163,-4.97,-9.6687,0,0,0,0.15600000000267755
0.2364,0.942,-0.2273,0.025,0.1299,-0.089,-3.3863,-4.725,-9.3188,0,0,0,0.17199999999866122
0.2408,0.9391,-0.2273,0.025,0.1299,-0.089,-3.0712,-4.5937,-8.5837,0,0,0,0.17199999999866122
0.238,0.9386,-0.2324,0.0257,0.1314,-0.0847,-2.4675,-4.2263,-8.1287,0,0,0,0.1870000000053551
0.2331,0.9418,-0.2336,0.0257,0.1314,-0.0847,-2.4675,-4.2263,-8.1287,0,0,0,0.1870000000053551
0.2314,0.9406,-0.2369,0.0257,0.1314,-0.0847,-1.8025,-4.4887,-7.7,0,0,0,0.20300000000133878
0.2397,0.942,-0.2342,0.0278,0.1314,-0.0816,-1.645,-4.2525,-7.2187,0,0,0,0.20300000000133878
0.2397,0.942,-0.2342,0.0278,0.1314,-0.0816,-1.645,-4.2525,-6.2562,0,0,0,0.2180000000007567
0.2366,0.9457,-0.2293,0.0262,0.131,-0.0774,-1.6275,-3.6137,-6.2562,0,0,0,0.2180000000007567
0.2366,0.94,-0.2315,0.0262,0.131,-0.0774,-0.21,-2.8175,-5.4075,0,0,0,0.23399999999674037
0.2342,0.9368,-0.2357,0.0262,0.131,-0.0774,0.315,-2.5725,-4.9788,0,0,0,0.23399999999674037
0.2344,0.9368,-0.2353,0.0278,0.1307,-0.0821,0.315,-2.5725,-4.9788,0,0,0,0.25
0.2344,0.9368,-0.2435,0.0278,0.1307,-0.0821,0.315,-2.6775,-4.8738,0,0,0,0.2650000000066939
0.2361,0.9355,-0.2435,0.0255,0.1312,-0.0822,0.5163,-2.8175,-4.0163,0,0,0,0.26600000000325963
0.2356,0.9429,-0.2394,0.0255,0.1312,-0.0822,0.8487,-3.4037,-3.8412,0,0,0,0.26600000000325963
0.2388,0.9448,-0.242,0.0255,0.1312,-0.0822,0.8487,-3.4037,-3.8412,0,0,0,0.2819999999992433
0.2406,0.9424,-0.2392,0.0269,0.133,-0.0857,0.9625,-3.8588,-3.85,0,0,0,0.2969999999986612
0.2361,0.9416,-0.2408,0.0269,0.133,-0.0857,1.435,-3.8412,-3.8412,0,0,0,0.2969999999986612
0.2361,0.9416,-0.2408,0.027,0.1307,-0.0865,1.6975,-3.8937,-4.235,0,0,0,0.3129999999946449
0.2342,0.9392,-0.2414,0.027,0.1307,-0.0865,1.6975,-3.8937,-4.235,0,0,0,0.3129999999946449
0.2325,0.9371,-0.2397,0.027,0.1307,-0.0865,1.82,-3.85,-4.1825,0,0,0,0.3289999999979045
0.2344,0.9338,-0.2416,0.0271,0.1306,-0.0879,2.5638,-4.9088,-4.55,0,0,0,0.3289999999979045
0.2367,0.9306,-0.246,0.0271,0.1306,-0.0879,3.045,-4.725,-4.445,0,0,0,0.3440000000045984
0.2367,0.9306,-0.2496,0.0266,0.1311,-0.0856,3.045,-4.725,-4.445,0,0,0,0.3440000000045984
0.2431,0.9324,-0.2496,0.0266,0.1311,-0.0856,2.9838,-4.235,-3.3075,0,0,0,0.3600000000005821
0.2485,0.9337,-0.2481,0.0266,0.1325,-0.084,3.08,-4.1737,-2.8788,0,0,0,0.3600000000005821
0.2485,0.936,-0.2514,0.0259,0.1325,-0.084,2.8437,-4.2175,-2.5638,0,0,0,0.375
0.2494,0.9382,-0.2595,0.0259,0.1325,-0.084,2.8437,-4.2175,-2.5638,0,0,0,0.375
0.2478,0.942,-0.2588,0.0266,0.1302,-0.0874,3.1588,-3.9288,-1.8988,0,0,0,0.39099999999598367
0.2478,0.942,-0.2588,0.0266,0.1302,-0.0874,3.4125,-4.1737,-1.4,0,0,0,0.39099999999598367
0.2459,0.9414,-0.2618,0.0254,0.1306,-0.0854,3.4125,-4.1737,-1.1638,0,0,0,0.40899999999965075
0.2466,0.9378,-0.2611,0.0254,0.1306,-0.0854,2.6513,-4.9262,-1.1638,0,0,0,0.4110000000000582
0.2455,0.9325,-0.262,0.0254,0.1306,-0.0854,2.17,-5.32,-0.6825,0,0,0,0.4110000000000582
0.2467,0.9285,-0.2603,0.0242,0.1317,-0.089,2.2225,-5.9062,-1.0412,0,0,0,0.42599999999947613
0.2467,0.9285,-0.2603,0.0242,0.1317,-0.089,2.2225,-5.9062,-1.0412,0,0,0,0.42599999999947613
0.2475,0.9286,-0.2595,0.0245,0.1306,-0.0849,2.3975,-5.635,-1.3212,0,0,0,0.44200000000273576
