AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.1729,0.9756,0.05,-0.4506,0.2115,0.0118,-2.7037,0.4725,-14.4725,0,0,0,1.6210643182669993
-0.1744,0.9475,0.0538,-0.4506,0.2115,0.0118,-3.43,0.9013,-14.3062,0,0,0,1.6331484356723542
-0.171,0.9767,0.0555,-0.4518,0.2102,0.0114,-3.0275,1.1638,-13.6763,0,0,0,1.6452718377845974
-0.1756,0.9743,0.0569,-0.4518,0.2102,0.0114,-2.66,1.1812,-14.3675,0,0,0,1.654611688368223
-0.1743,0.9745,0.0528,-0.4502,0.2128,0.0108,-3.0888,1.1287,-14.7262,0,0,0,1.6667793300152502
-0.1727,0.9753,0.0562,-0.4502,0.2128,0.0108,-2.8438,0.9625,-14.2012,0,0,0,1.6789027321274934
-0.1739,0.9755,0.055,-0.4494,0.2102,0.01,-2.9663,1.4787,-14.4462,0,0,0,1.6909234985190373
-0.172,0.9749,0.0557,-0.4494,0.2102,0.01,-3.1588,1.1375,-13.895,0,0,0,1.703046192798724
-0.1725,0.973,0.0559,-0.4497,0.2114,0.0115,-3.2375,0.665,-14.3062,0,0,0,1.7151830437295414
-0.1765,0.975,0.0578,-0.4514,0.21,0.011,-3.0713,0.8575,-14.0437,0,0,0,1.7273078615068975
-0.1746,0.9747,0.0578,-0.4514,0.21,0.011,-3.0363,1.1638,-13.965,0,0,0,1.7393066850891885
-0.174,0.9739,0.0569,-0.4502,0.2106,0.0114,-3.2987,1.3125,-14.3675,0,0,0,1.7488149998212723
-0.1739,0.9753,0.058,-0.4502,0.2106,0.0114,-3.1937,1.0937,-14.6037,0,0,0,1.7608470915337209
-0.1754,0.9767,0.0522,-0.4495,0.2118,0.0094,-3.2725,0.9975,-14.0963,0,0,0,1.7730395073202272
-0.1761,0.9762,0.0545,-0.4495,0.2118,0.0117,-3.1238,0.98,-14.2712,0,0,0,1.7851462753673917
-0.174,0.9752,0.0531,-0.4515,0.2104,0.0117,-2.555,1.1375,-14.4375,0,0,0,1.7971617330147613
-0.1749,0.9756,0.0534,-0.4508,0.2101,0.0104,-2.9575,1.4875,-14.4987,0,0,0,1.8092918595362917
-0.1737,0.9738,0.0522,-0.4508,0.2101,0.0104,-2.8087,0.9887,-14.0,0,0,0,1.8213965040857865
-0.1749,0.9737,0.0562,-0.4505,0.2104,0.0121,-3.0538,1.3125,-14.5338,0,0,0,1.8307370625019685
-0.1725,0.974,0.0549,-0.4505,0.2104,0.0121,-2.9138,1.015,-14.3762,0,0,0,1.8428367522235674
-0.1738,0.9751,0.0528,-0.4508,0.2094,0.0141,-3.2375,1.0062,-14.6825,0,0,0,1.854928301870766
-0.1748,0.975,0.0547,-0.4512,0.2107,0.0113,-3.36,1.0325,-14.6825,0,0,0,1.8670481648202264
-0.1746,0.9754,0.0496,-0.4512,0.2107,0.0113,-3.325,0.8138,-14.5513,0,0,0,1.8793789618715375
-0.1726,0.9771,0.0559,-0.4492,0.2089,0.0103,-3.0625,1.2075,-14.6212,0,0,0,1.8913116031097914
-0.1726,0.9747,0.0531,-0.4492,0.2089,0.0103,-2.695,1.2775,-14.8837,0,0,0,1.9033727159570586
-0.1756,0.9742,0.0492,-0.4514,0.211,0.0119,-2.9488,1.0762,-15.0062,0,0,0,1.9155021346460324
