AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.1621,0.974,0.0596,-0.4153,0.202,-0.0293,-2.6688,1.085,-14.4637,0,0,0,1.6196182163539756
-0.1626,0.9491,0.0605,-0.4115,0.2034,-0.029,-2.5375,1.0762,-14.2975,0,0,0,1.6317819649219418
-0.1571,0.9506,0.0653,-0.4115,0.2034,-0.029,-2.6863,1.4262,-15.0762,0,0,0,1.643905367034185
-0.1618,0.9761,0.0584,-0.4154,0.201,-0.0275,-3.325,1.2687,-14.5075,0,0,0,1.656077963509108
-0.1647,0.9763,0.059,-0.4154,0.201,-0.0275,-2.905,0.9713,-14.0262,0,0,0,1.6682388807468482
-0.1654,0.9757,0.059,-0.4168,0.2008,-0.028,-2.8438,1.1812,-14.2275,0,0,0,1.680379978673005
-0.1634,0.9758,0.0629,-0.4168,0.2008,-0.028,-2.1963,1.3125,-14.525,0,0,0,1.692538418496797
-0.1654,0.9744,0.0563,-0.4136,0.2019,-0.0324,-2.1263,1.4525,-14.2537,0,0,0,1.7048398404970115
-0.1649,0.9752,0.0562,-0.4152,0.2027,-0.0319,-1.9775,1.3475,-14.4725,0,0,0,1.7169094473349573
-0.1601,0.9754,0.0536,-0.4152,0.2027,-0.0319,-2.6513,1.1287,-14.4462,0,0,0,1.7290877064703327
-0.1627,0.9745,0.0591,-0.4142,0.2047,-0.0284,-2.9225,1.2775,-14.3062,0,0,0,1.741112719857216
-0.1638,0.9759,0.0562,-0.4142,0.2047,-0.0284,-3.36,0.9625,-14.0525,0,0,0,1.7505951987009856
-0.1633,0.9758,0.0578,-0.4143,0.2035,-0.0271,-2.6688,0.84,-14.3238,0,0,0,1.7627957545618922
-0.1647,0.9759,0.0551,-0.4129,0.2007,-0.0261,-2.415,0.7263,-14.4725,0,0,0,1.7749655197065892
-0.1606,0.9764,0.0605,-0.4129,0.2007,-0.0261,-2.7213,0.84,-14.8137,0,0,0,1.7871384700977906
-0.1615,0.9764,0.0572,-0.4177,0.2044,-0.0291,-3.1588,0.6825,-14.6475,0,0,0,1.7992413450658937
-0.1642,0.9773,0.0541,-0.4177,0.2044,-0.0291,-3.1675,1.68,-14.245,0,0,0,1.8114634898197752
-0.1623,0.9766,0.0591,-0.4131,0.2027,-0.0266,-3.15,1.12,-14.2712,0,0,0,1.8236056494947668
-0.1628,0.9753,0.0523,-0.4145,0.2028,-0.0278,-3.2725,0.9363,-14.315,0,0,0,1.835792756537099
-0.1642,0.9757,0.055,-0.4145,0.2028,-0.0278,-2.6075,1.26,-14.28,0,0,0,1.847906956826107
-0.1638,0.9768,0.0523,-0.4128,0.2035,-0.0266,-3.43,1.19,-14.2712,0,0,0,1.8600841542126476
-0.1618,0.9751,0.0583,-0.4128,0.2035,-0.0266,-3.5,1.05,-14.0175,0,0,0,1.8721880909295858
-0.1622,0.9756,0.0557,-0.4148,0.2018,-0.029,-3.2462,1.0937,-14.2275,0,0,0,1.88168401859193
-0.1652,0.9759,0.0578,-0.4152,0.2033,-0.0272,-3.22,1.1812,-14.5425,0,0,0,1.893797157132103
-0.1615,0.9758,0.0595,-0.4152,0.2033,-0.0272,-2.975,0.945,-14.4987,0,0,0,1.9059679840256347
-0.1619,0.9743,0.0584,-0.4153,0.2036,-0.0277,-3.1763,1.1025,-14.5862,0,0,0,1.9181826965376725
-0.1652,0.9762,0.0581,-0.4153,0.2036,-0.0277,-2.94,1.2337,-14.2012,0,0,0,1.9303124691429243
