AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
0.1101,0.9775,-0.2851,0.1046,0.151,-0.0333,5.8888,1.7763,-8.7238,0,0,0,0.0
0.1114,0.9877,-0.2842,0.1046,0.151,-0.0333,5.6262,2.3625,-9.0037,0,0,0,0.014999999999417923
0.1114,0.9877,-0.2842,0.1034,0.151,-0.0317,4.375,2.8875,-9.0913,0,0,0,0.014999999999417923
0.1078,0.9919,-0.2842,0.1034,0.151,-0.0317,4.375,2.8875,-9.0913,0,0,0,0.031000000002677552
0.1022,0.9936,-0.2866,0.1039,0.1502,-0.0371,3.2987,3.78,-9.17,0,0,0,0.031000000002677552
0.0952,0.9936,-0.2857,0.1039,0.1502,-0.0371,1.8637,4.1475,-9.1788,0,0,0,0.046000000002095476
0.0875,1.0008,-0.2874,0.1039,0.1502,-0.0371,0.2275,3.6925,-9.2837,0,0,0,0.046000000002095476
0.0784,1.0041,-0.2919,0.1063,0.151,-0.0386,0.2275,3.6925,-9.2837,0,0,0,0.062000000005355105
0.0784,1.0041,-0.2919,0.1063,0.151,-0.0386,-0.8575,3.5,-10.0188,0,0,0,0.062000000005355105
0.0706,1.0072,-0.2921,0.1066,0.152,-0.0352,-1.4525,2.1613,-10.5962,0,0,0,0.07800000000133878
0.0665,1.0102,-0.2837,0.1066,0.152,-0.0352,-2.8263,0.7262,-10.6663,0,0,0,0.07800000000133878
0.0648,1.0069,-0.2819,0.1066,0.152,-0.0352,-2.8263,0.7262,-10.6663,0,0,0,0.0930000000007567
0.0592,1.0052,-0.2816,0.1068,0.1537,-0.0343,-4.0425,-0.3675,-10.4038,0,0,0,0.0930000000007567
0.0592,1.0052,-0.2783,0.1068,0.1537,-0.0343,-5.775,-1.225,-10.4475,0,0,0,0.10900000000401633
0.0545,1.0064,-0.2783,0.109,0.1534,-0.0333,-6.6675,-1.7237,-10.4825,0,0,0,0.10900000000401633
0.0545,1.0066,-0.2716,0.109,0.1534,-0.0333,-6.6675,-1.7237,-10.4825,0,0,0,0.12400000000343425
0.0498,1.0022,-0.2711,0.109,0.1534,-0.0333,-7.5862,-2.4762,-9.8787,0,0,0,0.12400000000343425
0.0444,0.993,-0.268,0.1078,0.1533,-0.0317,-8.54,-3.0888,-9.7913,0,0,0,0.14000000000669388
0.043,0.9826,-0.2633,0.1078,0.1533,-0.0317,-8.4875,-3.8763,-8.7762,0,0,0,0.14000000000669388
0.043,0.9826,-0.2633,0.1106,0.1495,-0.0357,-8.4875,-3.8763,-8.7762,0,0,0,0.15600000000267755
0.0506,0.9778,-0.2624,0.1106,0.1495,-0.0357,-8.7325,-4.5763,-7.91,0,0,0,0.15600000000267755
0.0542,0.9736,-0.2588,0.1106,0.1495,-0.0357,-8.1112,-4.795,-7.2187,0,0,0,0.17100000000209548
0.0603,0.9725,-0.2614,0.1094,0.1518,-0.0307,-8.1112,-4.1562,-6.3,0,0,0,0.17100000000209548
0.0694,0.9739,-0.2525,0.1094,0.1518,-0.0307,-8.33,-4.1562,-6.3,0,0,0,0.18699999999807915
0.0694,0.9739,-0.2529,0.1098,0.1522,-0.0304,-7.7787,-3.2638,-5.8625,0,0,0,0.18699999999807915
0.0758,0.9715,-0.2529,0.1098,0.1522,-0.0304,-7.3675,-2.9838,-5.5825,0,0,0,0.20200000000477303
0.0764,0.9706,-0.253,0.1098,0.1527,-0.0279,-7.3675,-2.9838,-5.5825,0,0,0,0.20200000000477303
0.0806,0.9654,-0.2531,0.1098,0.1527,-0.0279,-6.405,-2.2313,-5.1275,0,0,0,0.21800000000803266
0.0878,0.962,-0.2491,0.1098,0.1527,-0.0279,-6.0637,-1.0063,-5.32,0,0,0,0.21800000000803266
0.0934,0.9571,-0.2514,0.1102,0.1534,-0.0373,-4.3137,-0.0263,-5.18,0,0,0,0.23400000000401633
0.0934,0.9571,-0.2514,0.1102,0.1534,-0.0373,-4.3137,-0.0263,-5.18,0,0,0,0.23400000000401633
0.0945,0.9639,-0.2531,0.1091,0.1521,-0.0282,-3.5612,0.4725,-4.8125,0,0,0,0.24900000000343425
0.098,0.978,-0.248,0.1091,0.1521,-0.0282,-2.7738,1.2163,-4.62,0,0,0,0.24900000000343425
