AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
0.2073,0.9302,-0.2807,0.0463,0.1301,-0.0581,-7.1137,1.3125,-12.8538,0,0,0,0.0
0.2036,0.9323,-0.2802,0.0463,0.1301,-0.0581,-6.1863,1.1638,-13.1775,0,0,0,0.0
0.2045,0.9343,-0.277,0.048,0.1325,-0.056,-5.8625,1.26,-13.0025,0,0,0,0.01600000000325963
0.2045,0.9325,-0.2771,0.048,0.1325,-0.056,-5.1188,1.505,-13.4312,0,0,0,0.01600000000325963
0.2047,0.9325,-0.2771,0.0478,0.1319,-0.0627,-5.1188,1.505,-13.4312,0,0,0,0.030999999995401595
0.2011,0.9299,-0.2795,0.0478,0.1319,-0.0627,-4.06,1.8813,-13.1425,0,0,0,0.030999999995401595
0.1963,0.9315,-0.2786,0.0478,0.1319,-0.0627,-3.255,2.1962,-12.565,0,0,0,0.046999999998661224
0.195,0.9326,-0.278,0.0485,0.1319,-0.0576,-1.9075,1.785,-11.41,0,0,0,0.046999999998661224
0.195,0.9351,-0.2796,0.0485,0.1319,-0.0576,-1.9075,1.785,-11.41,0,0,0,0.0629999999946449
0.195,0.9351,-0.2796,0.0493,0.1323,-0.0631,-0.9887,1.8988,-10.5612,0,0,0,0.0629999999946449
0.1865,0.9393,-0.2838,0.0493,0.1323,-0.0631,0.07,1.54,-9.87,0,0,0,0.07800000000133878
0.1797,0.9427,-0.2832,0.0493,0.1323,-0.0631,1.4525,1.2775,-9.31,0,0,0,0.07800000000133878
0.1742,0.9471,-0.2857,0.0522,0.1321,-0.0578,1.4525,1.2775,-9.31,0,0,0,0.09399999999732245
0.1726,0.9522,-0.2904,0.0522,0.1321,-0.0578,2.065,0.2537,-8.2688,0,0,0,0.09399999999732245
0.1726,0.9678,-0.2927,0.0514,0.1341,-0.0594,2.6513,-0.1225,-7.4725,0,0,0,0.10899999999674037
0.1732,0.958,-0.2927,0.0514,0.1341,-0.0594,2.6513,-1.68,-7.0,0,0,0,0.10899999999674037
0.1725,0.9598,-0.2904,0.0502,0.1333,-0.0641,3.0888,-1.68,-7.0,0,0,0,0.125
0.1701,0.9612,-0.2973,0.0502,0.1333,-0.0641,3.4913,-2.4413,-6.2387,0,0,0,0.125
0.1686,0.9639,-0.2991,0.0502,0.1333,-0.0641,2.905,-3.3425,-5.7663,0,0,0,0.14099999999598367
0.1685,0.9626,-0.296,0.0504,0.1338,-0.0639,2.905,-3.3425,-5.7663,0,0,0,0.14099999999598367
0.1685,0.9626,-0.296,0.0504,0.1338,-0.0639,2.2313,-4.2787,-5.3463,0,0,0,0.15600000000267755
0.1687,0.9573,-0.2969,0.053,0.1332,-0.0654,1.6275,-4.3488,-5.2762,0,0,0,0.15600000000267755
0.1706,0.9565,-0.2999,0.053,0.1332,-0.0654,1.75,-5.3113,-4.8562,0,0,0,0.17199999999866122
0.1717,0.9559,-0.2992,0.053,0.1332,-0.0654,1.75,-5.3113,-4.8562,0,0,0,0.17199999999866122
0.1781,0.9507,-0.2981,0.0501,0.1332,-0.0599,1.0762,-5.6,-4.4363,0,0,0,0.18699999999807915
0.1781,0.9507,-0.2996,0.0501,0.1332,-0.0599,0.7962,-5.9237,-4.2175,0,0,0,0.20300000000133878
0.1799,0.9482,-0.2996,0.0514,0.1329,-0.066,0.1575,-6.1163,-4.1912,0,0,0,0.20300000000133878
0.1827,0.9469,-0.301,0.0514,0.1329,-0.066,0.1575,-6.1163,-4.1912,0,0,0,0.21899999999732245
0.1894,0.945,-0.3005,0.0514,0.1329,-0.066,0.0613,-6.1163,-3.8412,0,0,0,0.21899999999732245
0.1895,0.942,-0.3074,0.0494,0.1345,-0.0679,-0.2275,-5.5912,-3.745,0,0,0,0.23399999999674037
0.192,0.9439,-0.3043,0.0494,0.1345,-0.0679,-0.1138,-4.8387,-3.8325,0,0,0,0.23399999999674037
0.192,0.9439,-0.3043,0.0524,0.1331,-0.0658,-0.1138,-4.8387,-3.8325,0,0,0,0.24999999999272404
0.1967,0.9442,-0.2991,0.0524,0.1331,-0.0658,-0.2187,-4.1475,-3.8412,0,0,0,0.24999999999272404
0.2005,0.9441,-0.3063,0.0524,0.1331,-0.0658,-0.0175,-3.4475,-3.7538,0,0,0,0.2649999999994179
0.1981,0.9454,-0.308,0.0521,0.1342,-0.0617,0.2187,-2.45,-3.4825,0,0,0,0.2649999999994179
0.1997,0.9432,-0.3046,0.0521,0.1342,-0.0617,0.2187,-2.45,-3.4825,0,0,0,0.28100000000267755
0.1997,0.9432,-0.3045,0.0534,0.1316,-0.0695,0.6388,-1.3737,-3.36,0,0,0,0.28100000000267755
0.2013,0.9433,-0.3045,0.0534,0.1316,-0.0695,0.0787,-0.1838,-3.1237,0,0,0,0.2969999999986612
0.2022,0.9461,-0.3062,0.0509,0.1331,-0.0589,0.0787,-0.1838,-3.185,0,0,0,0.2969999999986612
0.2076,0.9482,-0.3041,0.0509,0.1331,-0.0589,-0.3063,0.1225,-3.185,0,0,0,0.31199999999807915
0.2051,0.9467,-0.3038,0.0509,0.1331,-0.0589,-0.4375,1.33,-3.185,0,0,0,0.31199999999807915
0.1986,0.943,-0.3047,0.0498,0.1339,-0.0602,-0.49,2.66,-3.0888,0,0,0,0.3279999999940628
0.1986,0.943,-0.3047,0.0498,0.1339,-0.0602,-0.49,2.66,-3.0888,0,0,0,0.3279999999940628
0.194,0.9407,-0.3049,0.05,0.1326,-0.0686,0.1663,3.4388,-3.4825,0,0,0,0.3430000000007567
0.1961,0.9398,-0.3018,0.05,0.1326,-0.0686,0.4025,3.325,-3.5875,0,0,0,0.3430000000007567
0.1984,0.9445,-0.3034,0.05,0.1326,-0.0686,0.3237,3.43,-3.22,0,0,0,0.35899999999674037
0.1974,0.9463,-0.3004,0.0494,0.1328,-0.0627,0.3237,3.43,-3.22,0,0,0,0.35899999999674037
0.1974,0.9463,-0.2989,0.0494,0.1328,-0.0627,0.5163,3.5963,-3.5612,0,0,0,0.375
0.2004,0.9481,-0.2989,0.048,0.1334,-0.0656,0.9363,3.185,-3.6137,0,0,0,0.375
0.2009,0.9457,-0.2976,0.048,0.1334,-0.0656,0.7525,3.5087,-2.8788,0,0,0,0.3899999999994179
0.2015,0.945,-0.2966,0.048,0.1334,-0.0656,0.7525,3.5087,-2.8788,0,0,0,0.3899999999994179
0.1967,0.9439,-0.2991,0.048,0.1342,-0.0732,0.0088,2.9313,-2.6775,0,0,0,0.4059999999954016
0.1986,0.9404,-0.2944,0.048,0.1342,-0.0732,-0.5337,2.8263,-2.5638,0,0,0,0.4059999999954016
0.1986,0.9404,-0.2944,0.0471,0.1322,-0.0655,-0.5425,2.5988,-2.415,0,0,0,0.4210000000020955
0.1984,0.9379,-0.2964,0.0471,0.1322,-0.0655,-0.5425,2.5988,-2.415,0,0,0,0.4210000000020955
0.1956,0.9357,-0.2977,0.0471,0.1322,-0.0655,-0.455,1.5662,-2.1437,0,0,0,0.43699999999807915
0.1957,0.9376,-0.2974,0.0475,0.1325,-0.0697,-0.2887,1.435,-1.8288,0,0,0,0.43699999999807915
0.2005,0.9382,-0.2946,0.0475,0.1325,-0.0697,-0.2887,1.2163,-1.715,0,0,0,0.4530000000013388
0.2005,0.9382,-0.3102,0.0474,0.1329,-0.0698,-0.3938,1.2163,-1.715,0,0,0,0.4530000000013388
0.2011,0.9363,-0.299,0.0474,0.1329,-0.0698,-0.14,0.5337,-1.7413,0,0,0,0.4680000000007567
0.1992,0.9392,-0.2977,0.0474,0.1309,-0.0703,-0.6037,0.07,-1.8725,0,0,0,0.4680000000007567
0.2014,0.9384,-0.2948,0.0466,0.1309,-0.0703,-0.6037,0.07,-1.8725,0,0,0,0.4859999999971478
0.2017,0.9381,-0.2962,0.0466,0.1309,-0.0703,-0.56,-0.5863,-2.0738,0,0,0,0.4859999999971478
0.2022,0.9389,-0.2946,0.0439,0.1318,-0.0658,-1.0412,-1.1812,-2.5812,0,0,0,0.5009999999965657
0.2022,0.9389,-0.2946,0.0439,0.1318,-0.0658,-1.0762,-2.0213,-2.9313,0,0,0,0.5009999999965657
0.203,0.9409,-0.2967,0.0457,0.1323,-0.0634,-1.0762,-2.0213,-2.9313,0,0,0,0.5169999999998254
0.2068,0.9412,-0.2954,0.0457,0.1323,-0.0634,-1.5662,-2.6163,-3.045,0,0,0,0.5169999999998254
0.2072,0.9406,-0.2982,0.0457,0.1323,-0.0634,-1.1638,-3.29,-3.605,0,0,0,0.532999999995809
0.2062,0.9403,-0.2964,0.0458,0.1318,-0.0715,-1.4438,-3.85,-4.41,0,0,0,0.532999999995809
0.2062,0.9403,-0.2964,0.0458,0.1318,-0.0715,-1.4438,-3.85,-4.41,0,0,0,0.5480000000025029
0.207,0.9396,-0.2937,0.0451,0.1318,-0.0674,-1.8025,-4.0075,-4.1737,0,0,0,0.5480000000025029
0.2115,0.9386,-0.2924,0.0451,0.1318,-0.0674,-2.065,-4.1912,-4.6112,0,0,0,0.5639999999984866
0.2098,0.9386,-0.2964,0.0451,0.1318,-0.0674,-1.3388,-4.0075,-4.8212,0,0,0,0.5639999999984866
0.2122,0.9396,-0.2935,0.0453,0.1322,-0.0609,-1.3388,-4.0075,-4.8212,0,0,0,0.5789999999979045
0.2147,0.9386,-0.2923,0.0453,0.1322,-0.0609,-1.2337,-4.0687,-4.6725,0,0,0,0.5950000000011642
0.2147,0.9386,-0.2923,0.0444,0.1308,-0.0666,-1.26,-4.0687,-5.11,0,0,0,0.5950000000011642
0.2172,0.938,-0.2954,0.0444,0.1308,-0.0666,-1.4262,-3.255,-4.935,0,0,0,0.5950000000011642
0.2189,0.938,-0.2955,0.0444,0.1308,-0.0666,-1.4262,-3.255,-4.935,0,0,0,0.6109999999971478
0.218,0.9364,-0.2914,0.0446,0.1301,-0.0721,-1.3825,-2.7912,-5.145,0,0,0,0.6109999999971478
0.2211,0.9359,-0.2916,0.0446,0.1301,-0.0721,-1.3038,-2.8612,-5.3288,0,0,0,0.6260000000038417
0.2211,0.9359,-0.2916,0.0457,0.131,-0.0727,-1.3038,-2.8612,-5.1275,0,0,0,0.6419999999998254
0.22,0.9331,-0.2974,0.0457,0.131,-0.0727,-1.0675,-1.8725,-5.1275,0,0,0,0.6419999999998254
0.2179,0.9354,-0.2959,0.0457,0.131,-0.0654,-0.6825,-1.2687,-5.1275,0,0,0,0.6569999999992433
0.2173,0.9357,-0.2941,0.0454,0.1328,-0.0654,-0.175,-0.5863,-5.2325,0,0,0,0.6569999999992433
0.2191,0.9355,-0.2935,0.0454,0.1328,-0.0654,-0.175,-0.5863,-5.2325,0,0,0,0.672999999995227
0.2167,0.9363,-0.2961,0.0448,0.1318,-0.0623,-0.07,-0.4812,-5.25,0,0,0,0.672999999995227
0.2167,0.9363,-0.2961,0.0448,0.1318,-0.0623,0.2887,0.28,-5.3812,0,0,0,0.6889999999984866
0.2139,0.9405,-0.2926,0.0434,0.1332,-0.0717,0.1575,0.6913,-5.39,0,0,0,0.6889999999984866
0.2108,0.9411,-0.2903,0.0434,0.1332,-0.0717,0.1575,0.6913,-5.39,0,0,0,0.7039999999979045
0.2097,0.9415,-0.2929,0.0434,0.1332,-0.0717,0.1663,0.525,-5.2675,0,0,0,0.7039999999979045
