Hour,Minute,Second,IR1,Blinks,Actual Blinks
14,58,48.873,33713.0,0,0
14,58,48.873,33790.0,0,0
14,58,48.888,33809.0,0,0
14,58,48.888,33828.0,0,0
14,58,48.888,33849.0,0,0
14,58,48.888,33882.0,0,0
14,58,48.904,33903.0,0,0
14,58,48.904,33925.0,0,0
14,58,48.904,33952.0,0,0
14,58,48.92,33988.0,0,0
14,58,48.92,34015.0,0,0
14,58,48.935,34025.0,0,0
14,58,48.935,34041.0,0,0
14,58,48.951,34055.0,0,0
14,58,48.951,34058.0,0,0
14,58,48.966,34058.0,0,0
14,58,48.966,34066.0,0,0
14,58,48.982,34086.0,0,0
14,58,48.982,34081.0,0,0
14,58,48.998,34081.0,0,0
14,58,48.998,34072.0,0,0
14,58,49.013,34070.0,0,0
14,58,49.013,34088.0,0,0
14,58,49.029,34088.0,0,0
14,58,49.029,34062.0,0,0
14,58,49.044,34036.0,0,0
14,58,49.044,34027.0,0,0
14,58,49.06,34024.0,0,0
14,58,49.076,34018.0,0,0
14,58,49.076,34011.0,0,0
14,58,49.091,33995.0,0,0
14,58,49.091,33997.0,0,0
14,58,49.091,34006.0,0,0
14,58,49.107,34012.0,0,0
14,58,49.107,34014.0,0,0
14,58,49.122,34023.0,0,0
14,58,49.122,34033.0,0,0
14,58,49.138,34066.0,0,0
14,58,49.138,34059.0,0,0
14,58,49.154,34065.0,0,0
14,58,49.154,34067.0,0,0
14,58,49.169,34081.0,0,0
14,58,49.169,34081.0,0,0
14,58,49.185,34094.0,0,0
14,58,49.185,34094.0,0,0
14,58,49.2,34090.0,0,0
14,58,49.2,34091.0,0,0
14,58,49.216,34112.0,0,0
14,58,49.216,34112.0,0,0
14,58,49.232,34113.0,0,0
14,58,49.247,34103.0,0,0
14,58,49.247,34084.0,0,0
14,58,49.263,34084.0,0,0
14,58,49.263,34073.0,0,0
14,58,49.278,34047.0,0,0
14,58,49.278,34052.0,0,0
14,58,49.294,34052.0,0,0
14,58,49.294,34029.0,0,0
14,58,49.31,33982.0,0,0
14,58,49.31,33988.0,0,0
14,58,49.325,33986.0,0,0
14,58,49.325,33983.0,0,0
14,58,49.341,33987.0,0,0
14,58,49.341,33956.0,0,0
14,58,49.356,33954.0,0,0
14,58,49.356,33953.0,0,0
14,58,49.372,33951.0,0,0
14,58,49.372,33969.0,0,0
14,58,49.388,33954.0,0,0
14,58,49.388,33950.0,0,0
14,58,49.403,33959.0,0,0
14,58,49.403,33955.0,0,0
14,58,49.419,33956.0,0,0
14,58,49.419,33957.0,0,0
14,58,49.434,33930.0,0,0
14,58,49.434,33829.0,0,0
14,58,49.45,33760.0,0,0
14,58,49.45,33760.0,0,0
14,58,49.466,33669.0,0,0
14,58,49.466,33573.0,0,0
14,58,49.481,33429.0,0,0
14,58,49.481,33429.0,0,0
14,58,49.497,33324.0,0,0
14,58,49.497,33162.0,0,0
14,58,49.512,33009.0,0,0
14,58,49.512,33009.0,0,0
14,58,49.528,32884.0,0,0
14,58,49.528,32794.0,0,0
14,58,49.544,32623.0,0,0
14,58,49.559,32576.0,0,0
14,58,49.559,32436.0,0,0
14,58,49.575,32225.0,0,0
14,58,49.575,31897.0,0,0
14,58,49.59,31805.0,0,0
14,58,49.59,31531.0,0,0
14,58,49.606,31216.0,0,0
14,58,49.606,30982.0,0,0
14,58,49.622,30885.0,0,0
14,58,49.622,30788.0,0,0
14,58,49.637,30613.0,0,0
14,58,49.637,30501.0,0,0
14,58,49.653,30420.0,0,0
14,58,49.653,30394.0,0,0
14,58,49.668,30245.0,0,0
14,58,49.668,30094.0,0,0
14,58,49.684,29987.0,0,0
14,58,49.684,29952.0,0,0
14,58,49.7,29806.0,0,0
14,58,49.7,29814.0,0,0
14,58,49.715,29871.0,0,0
14,58,49.715,29871.0,0,0
14,58,49.731,29872.0,0,0
14,58,49.731,30010.0,0,0
14,58,49.746,29954.0,0,0
14,58,49.746,29954.0,0,0
14,58,49.762,30001.0,0,0
14,58,49.762,30063.0,0,0
14,58,49.778,29968.0,29968.0,0
14,58,49.778,29968.0,29968.0,0
14,58,49.793,29751.0,29751.0,0
14,58,49.793,29700.0,29700.0,0
14,58,49.809,29683.0,29683.0,0
14,58,49.809,29656.0,29656.0,0
14,58,49.824,29578.0,29578.0,0
14,58,49.824,29413.0,29413.0,0
14,58,49.84,29168.0,29168.0,0
14,58,49.84,29110.0,29110.0,0
14,58,49.856,28939.0,28939.0,0
14,58,49.856,28638.0,28638.0,0
14,58,49.871,28458.0,28458.0,0
14,58,49.871,28430.0,28430.0,0
14,58,49.887,28403.0,28403.0,0
14,58,49.902,28556.0,28556.0,0
14,58,49.902,28791.0,28791.0,0
14,58,49.918,29007.0,29007.0,0
14,58,49.918,29080.0,0,0
14,58,49.934,29318.0,0,0
14,58,49.934,29586.0,0,0
14,58,50.012,29845.0,0,0
14,58,50.012,29845.0,0,0
14,58,50.027,29936.0,0,0
14,58,50.027,29966.0,0,0
14,58,50.027,29948.0,0,0
14,58,50.027,29948.0,0,0
14,58,50.027,29933.0,0,0
