Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,0,3.587,36493.0,0,0
15,0,3.602,36467.0,0,0
15,0,3.602,36455.0,0,0
15,0,3.618,36451.0,0,0
15,0,3.618,36448.0,0,0
15,0,3.618,36443.0,0,0
15,0,3.618,36434.0,0,0
15,0,3.618,36425.0,0,0
15,0,3.618,36417.0,0,0
15,0,3.634,36381.0,0,0
15,0,3.634,36368.0,0,0
15,0,3.649,36355.0,0,0
15,0,3.649,36351.0,0,0
15,0,3.665,36323.0,0,0
15,0,3.665,36316.0,0,0
15,0,3.68,36323.0,0,0
15,0,3.68,36323.0,0,0
15,0,3.696,36300.0,0,0
15,0,3.696,36277.0,0,0
15,0,3.712,36236.0,0,0
15,0,3.712,36236.0,0,0
15,0,3.729,36245.0,0,0
15,0,3.731,36239.0,0,0
15,0,3.731,36219.0,0,0
15,0,3.747,36219.0,0,0
15,0,3.747,36215.0,0,0
15,0,3.762,36230.0,0,0
15,0,3.778,36226.0,0,0
15,0,3.778,36226.0,0,0
15,0,3.794,36232.0,0,0
15,0,3.794,36222.0,0,0
15,0,3.794,36228.0,0,0
15,0,3.809,36228.0,0,0
15,0,3.809,36230.0,0,0
15,0,3.825,36249.0,0,0
15,0,3.825,36224.0,0,0
15,0,3.84,36224.0,0,0
15,0,3.84,36227.0,0,0
15,0,3.856,36211.0,0,0
15,0,3.872,36176.0,0,0
15,0,3.872,36167.0,0,0
15,0,3.887,36158.0,0,0
15,0,3.887,36153.0,0,0
15,0,3.903,36108.0,0,0
15,0,3.903,36037.0,0,0
15,0,3.918,36094.0,0,0
15,0,3.918,36076.0,0,0
15,0,3.934,36078.0,0,0
15,0,3.934,36068.0,0,0
15,0,3.95,36065.0,0,0
15,0,3.95,36059.0,0,0
15,0,3.965,36033.0,0,0
15,0,3.965,36038.0,0,0
15,0,3.981,36038.0,0,0
15,0,3.981,36038.0,0,0
15,0,3.996,36036.0,0,0
15,0,3.996,36045.0,0,0
15,0,4.012,36045.0,0,0
15,0,4.012,36049.0,0,0
15,0,4.028,36074.0,0,0
15,0,4.028,36074.0,0,0
15,0,4.043,36074.0,0,0
15,0,4.043,36073.0,0,0
15,0,4.059,35995.0,0,0
15,0,4.059,35942.0,0,0
15,0,4.074,35938.0,0,0
15,0,4.074,35927.0,0,0
15,0,4.09,35911.0,0,0
15,0,4.09,35934.0,0,0
15,0,4.106,35940.0,0,0
15,0,4.106,35958.0,0,0
15,0,4.121,35957.0,0,0
15,0,4.137,35933.0,0,0
15,0,4.137,35935.0,0,0
15,0,4.152,35937.0,0,0
15,0,4.152,35943.0,0,0
15,0,4.168,35911.0,0,0
15,0,4.168,35900.0,0,0
15,0,4.184,35897.0,0,0
15,0,4.184,35876.0,0,0
15,0,4.199,35882.0,0,0
15,0,4.199,35811.0,0,0
15,0,4.215,35811.0,0,0
15,0,4.215,35735.0,0,0
15,0,4.23,35626.0,0,0
15,0,4.23,35519.0,0,0
15,0,4.246,35519.0,0,0
15,0,4.246,35415.0,0,0
15,0,4.262,35367.0,0,0
15,0,4.262,35275.0,0,0
15,0,4.277,35275.0,0,0
15,0,4.277,35203.0,0,0
15,0,4.293,35158.0,0,0
15,0,4.293,35048.0,0,0
15,0,4.308,35048.0,0,0
15,0,4.308,34917.0,0,0
15,0,4.324,34839.0,0,0
15,0,4.324,34767.0,0,0
15,0,4.34,34767.0,0,0
15,0,4.34,34683.0,0,0
15,0,4.355,34575.0,0,0
15,0,4.355,34507.0,0,0
15,0,4.371,34493.0,0,0
15,0,4.371,34453.0,0,0
15,0,4.386,34364.0,0,0
15,0,4.386,34326.0,0,0
15,0,4.402,34309.0,0,0
15,0,4.402,34292.0,0,0
15,0,4.418,34237.0,0,0
15,0,4.418,34225.0,0,0
15,0,4.433,34213.0,0,0
15,0,4.433,34201.0,0,0
15,0,4.449,34184.0,0,0
15,0,4.449,34142.0,0,0
15,0,4.464,34107.0,0,0
15,0,4.464,34096.0,0,0
15,0,4.48,34058.0,0,0
