Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,2,25.107,29553.0,0,0
15,2,25.107,29553.0,0,0
15,2,25.107,29577.0,0,0
15,2,25.122,29594.0,0,0
15,2,25.122,29630.0,0,0
15,2,25.138,29633.0,0,0
15,2,25.138,29642.0,0,0
15,2,25.153,29636.0,0,0
15,2,25.153,29629.0,0,0
15,2,25.169,29619.0,0,0
15,2,25.169,29610.0,0,0
15,2,25.185,29637.0,0,0
15,2,25.185,29683.0,0,0
15,2,25.2,29695.0,0,0
15,2,25.216,29700.0,0,0
15,2,25.216,29750.0,0,0
15,2,25.231,29786.0,0,0
15,2,25.231,29837.0,0,0
15,2,25.247,29837.0,0,0
15,2,25.247,29834.0,0,0
15,2,25.263,29900.0,0,0
15,2,25.263,29924.0,0,0
15,2,25.278,29924.0,0,0
15,2,25.278,29948.0,0,0
15,2,25.294,29971.0,0,29971.0
15,2,25.294,29993.0,0,0
15,2,25.309,29993.0,0,0
15,2,25.309,30008.0,0,0
15,2,25.325,30011.0,0,0
15,2,25.325,30019.0,0,0
15,2,25.341,30019.0,0,0
15,2,25.341,30011.0,0,0
15,2,25.356,30039.0,0,0
15,2,25.356,30037.0,0,0
15,2,25.372,30030.0,0,0
15,2,25.372,30010.0,0,0
15,2,25.387,29953.0,0,0
15,2,25.387,29809.0,0,0
15,2,25.403,29708.0,0,0
15,2,25.403,29608.0,0,0
15,2,25.419,29384.0,0,0
15,2,25.419,29183.0,0,0
15,2,25.434,29042.0,0,0
15,2,25.434,28996.0,0,0
15,2,25.45,28962.0,0,0
15,2,25.45,29008.0,0,0
15,2,25.465,29068.0,0,0
15,2,25.465,29089.0,0,0
15,2,25.481,29126.0,0,0
15,2,25.481,29010.0,0,0
15,2,25.497,28952.0,0,0
15,2,25.497,28952.0,0,0
15,2,25.512,28975.0,0,0
15,2,25.512,29141.0,0,0
15,2,25.528,29340.0,0,0
15,2,25.528,29340.0,0,0
15,2,25.543,29563.0,0,0
15,2,25.543,29794.0,0,0
15,2,25.559,30030.0,0,0
15,2,25.575,30030.0,0,0
15,2,25.575,30220.0,0,0
15,2,25.59,30369.0,0,0
15,2,25.59,30483.0,0,0
15,2,25.606,30514.0,0,0
15,2,25.606,30610.0,0,0
15,2,25.621,30697.0,0,0
15,2,25.621,30756.0,0,0
15,2,25.637,30768.0,0,0
15,2,25.637,30781.0,0,0
15,2,25.653,30815.0,0,0
15,2,25.653,30885.0,0,0
15,2,25.668,30912.0,0,0
15,2,25.668,30921.0,0,0
15,2,25.684,30965.0,0,0
15,2,25.684,30982.0,0,0
15,2,25.699,30909.0,0,0
15,2,25.699,30971.0,0,0
15,2,25.715,30976.0,0,0
15,2,25.715,30992.0,0,0
15,2,25.731,30976.0,0,0
15,2,25.731,30976.0,0,0
15,2,25.746,30962.0,0,0
15,2,25.746,30951.0,0,0
15,2,25.762,30957.0,0,0
15,2,25.762,30957.0,0,0
15,2,25.777,30983.0,0,0
15,2,25.777,30977.0,0,0
15,2,25.793,30964.0,0,0
15,2,25.793,30964.0,0,0
15,2,25.809,30954.0,0,0
15,2,25.809,30943.0,0,0
15,2,25.824,30934.0,0,0
15,2,25.824,30932.0,0,0
15,2,25.84,30928.0,0,0
15,2,25.855,30919.0,0,0
15,2,25.857,30913.0,0,0
15,2,25.857,30907.0,0,0
15,2,25.873,30902.0,0,0
15,2,25.873,30897.0,0,0
15,2,25.889,30901.0,0,0
15,2,25.889,30902.0,0,0
15,2,25.904,30903.0,0,0
15,2,25.904,30889.0,0,0
15,2,25.92,30860.0,0,0
15,2,25.935,30850.0,0,0
15,2,25.935,30847.0,0,0
15,2,25.951,30859.0,0,0
15,2,25.951,30839.0,0,0
15,2,25.967,30822.0,0,0
15,2,25.967,30822.0,0,0
15,2,25.982,30817.0,0,0
15,2,25.982,30817.0,0,0
15,2,25.998,30806.0,0,0
15,2,25.998,30806.0,0,0
15,2,26.013,30783.0,0,0
15,2,26.013,30812.0,0,0
15,2,26.029,30805.0,0,0
15,2,26.029,30805.0,0,0
15,2,26.045,30803.0,0,0
15,2,26.045,30789.0,0,0
15,2,26.06,30787.0,0,0
15,2,26.06,30783.0,0,0
15,2,26.076,30771.0,0,0
15,2,26.076,30749.0,0,0
15,2,26.091,30734.0,0,0
15,2,26.091,30728.0,0,0
15,2,26.107,30722.0,0,0
15,2,26.107,30697.0,0,0
15,2,26.123,30712.0,0,0
15,2,26.123,30696.0,0,0
15,2,26.138,30691.0,0,0
15,2,26.138,30636.0,0,0
15,2,26.154,30551.0,0,0
15,2,26.154,30550.0,0,0
15,2,26.169,30550.0,0,0
15,2,26.169,30506.0,0,0
15,2,26.185,30408.0,0,0
15,2,26.185,30351.0,0,0
15,2,26.201,30351.0,0,0
15,2,26.201,30283.0,0,0
15,2,26.216,30159.0,0,0
15,2,26.216,30006.0,0,0
15,2,26.232,30006.0,0,0
15,2,26.232,29898.0,0,0
15,2,26.247,29782.0,0,0
15,2,26.247,29614.0,0,0
15,2,26.263,29614.0,0,0
15,2,26.263,29520.0,0,0
15,2,26.279,29523.0,0,0
15,2,26.279,29538.0,0,0
15,2,26.294,29545.0,0,0
15,2,26.294,29568.0,0,0
15,2,26.31,29617.0,0,0
15,2,26.325,29644.0,0,0
15,2,26.325,29657.0,0,0
15,2,26.341,29671.0,0,0
15,2,26.341,29705.0,0,0
15,2,26.358,29725.0,0,0
15,2,26.359,29737.0,0,0
15,2,26.359,29741.0,0,0
15,2,26.374,29751.0,0,0
15,2,26.374,29739.0,0,0
15,2,26.39,29749.0,0,0
15,2,26.405,29749.0,0,0
15,2,26.405,29767.0,0,0
15,2,26.421,29761.0,0,0
15,2,26.421,29757.0,0,0
15,2,26.437,29757.0,0,0
15,2,26.437,29751.0,0,0
15,2,26.452,29728.0,0,0
15,2,26.452,29719.0,0,0
15,2,26.468,29719.0,0,0
15,2,26.468,29695.0,0,0
15,2,26.483,29659.0,0,0
