AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time Elapsed(s)
0.1884,0.9506,-0.264,0.0479,0.13,-0.0573,-3.7362,3.0275,-10.7537,0,0,0,0.0
0.1828,0.9524,-0.2627,0.0479,0.13,-0.0573,-3.6925,2.4762,-10.1325,0,0,0,0.014999999999417923
0.1859,0.9454,-0.2575,0.0479,0.13,-0.0573,-4.0425,2.1962,-9.4675,0,0,0,0.014999999999417923
0.187,0.946,-0.2614,0.0483,0.1309,-0.0518,-4.0425,2.1962,-9.4675,0,0,0,0.030999999995401595
0.1889,0.9464,-0.2618,0.0483,0.1309,-0.0518,-4.3225,1.855,-8.9425,0,0,0,0.030999999995401595
0.1889,0.9464,-0.2618,0.0477,0.1302,-0.0547,-3.9725,1.3212,-8.4963,0,0,0,0.046999999998661224
0.1877,0.9448,-0.2599,0.0477,0.1302,-0.0547,-3.57,1.4438,-7.2537,0,0,0,0.046999999998661224
0.1877,0.942,-0.2581,0.0477,0.1302,-0.0547,-3.57,1.4438,-7.2537,0,0,0,0.06199999999080319
0.1866,0.9388,-0.2602,0.048,0.1282,-0.0627,-2.6425,0.9538,-7.1487,0,0,0,0.06199999999080319
0.1903,0.9363,-0.2691,0.048,0.1282,-0.0627,-1.5838,0.2887,-6.9475,0,0,0,0.07799999999406282
0.1903,0.9363,-0.271,0.0488,0.1298,-0.0535,-1.5838,-1.9512,-6.65,0,0,0,0.07799999999406282
0.1939,0.9378,-0.271,0.0488,0.1298,-0.0535,0.0525,-0.2625,-6.65,0,0,0,0.09299999999348074
0.1973,0.9374,-0.2684,0.0486,0.1288,-0.0587,2.1,-0.9275,-6.09,0,0,0,0.09299999999348074
0.1973,0.9369,-0.2727,0.0486,0.1288,-0.0587,2.6337,-1.19,-5.7663,0,0,0,0.10899999999674037
0.1943,0.9369,-0.2746,0.0486,0.1288,-0.0587,2.6337,-1.19,-5.7663,0,0,0,0.10899999999674037
0.1936,0.9392,-0.2761,0.05,0.1308,-0.0569,3.9813,-0.8313,-5.355,0,0,0,0.125
0.1936,0.9392,-0.2761,0.05,0.1308,-0.0569,5.0225,-0.9275,-5.5388,0,0,0,0.125
0.1968,0.9404,-0.2749,0.0503,0.1296,-0.0577,5.8625,-0.875,-5.4075,0,0,0,0.13999999999214197
0.1969,0.9381,-0.2796,0.0503,0.1296,-0.0577,5.8625,-0.875,-5.4075,0,0,0,0.13999999999214197
0.1947,0.942,-0.289,0.0503,0.1296,-0.0577,6.6062,-1.47,-5.3463,0,0,0,0.1559999999954016
0.1928,0.9404,-0.2918,0.0492,0.1298,-0.0604,6.5625,-0.945,-5.4338,0,0,0,0.1559999999954016
0.1928,0.9404,-0.2966,0.0492,0.1298,-0.0604,6.3437,-1.0938,-5.635,0,0,0,0.17099999999481952
0.1923,0.942,-0.2966,0.0486,0.1298,-0.0601,6.3437,-1.0938,-5.635,0,0,0,0.17099999999481952
0.1909,0.9454,-0.2996,0.0486,0.1298,-0.0601,6.8075,-1.6625,-5.74,0,0,0,0.18699999999807915
0.1912,0.9432,-0.2997,0.0486,0.1298,-0.0601,7.1663,-1.8288,-5.775,0,0,0,0.18699999999807915
0.1936,0.9453,-0.3041,0.049,0.1293,-0.0607,6.9475,-2.17,-6.3263,0,0,0,0.20300000000133878
0.1923,0.9479,-0.3098,0.049,0.1293,-0.0607,6.9475,-2.17,-6.3263,0,0,0,0.20300000000133878
0.1923,0.9479,-0.3098,0.0501,0.1315,-0.0634,6.7725,-2.2138,-6.09,0,0,0,0.21799999999348074
0.1967,0.9498,-0.3043,0.0501,0.1315,-0.0634,6.2125,-2.2838,-6.2125,0,0,0,0.21799999999348074
0.199,0.9475,-0.3045,0.0501,0.1315,-0.0634,5.4775,-1.505,-5.5213,0,0,0,0.23399999999674037
0.1998,0.949,-0.3116,0.0495,0.1298,-0.0614,5.4775,-1.505,-5.5213,0,0,0,0.23399999999674037
0.2021,0.9492,-0.3181,0.0495,0.1298,-0.0614,5.0225,-0.8313,-5.0662,0,0,0,0.2489999999961583
0.2021,0.9492,-0.3181,0.0498,0.1308,-0.0594,4.5588,-0.1488,-5.215,0,0,0,0.2489999999961583
0.2047,0.9451,-0.3145,0.0498,0.1308,-0.0594,4.5588,-0.1488,-4.9525,0,0,0,0.2649999999994179
0.2076,0.9409,-0.3151,0.0498,0.131,-0.0588,4.235,0.4988,-4.9525,0,0,0,0.28100000000267755
0.2086,0.9438,-0.3182,0.0496,0.131,-0.0588,3.4738,0.5425,-3.9025,0,0,0,0.28100000000267755
0.209,0.9447,-0.3165,0.0496,0.131,-0.0588,3.465,1.0237,-3.5438,0,0,0,0.2959999999948195
0.2108,0.9416,-0.3188,0.0478,0.1312,-0.067,3.465,1.0237,-3.5438,0,0,0,0.2959999999948195
0.2108,0.9416,-0.3188,0.0478,0.1312,-0.067,3.185,2.5988,-2.9137,0,0,0,0.31199999999807915
0.208,0.9389,-0.3161,0.0498,0.1314,-0.0653,3.0363,3.605,-2.8788,0,0,0,0.31199999999807915
0.207,0.9359,-0.3184,0.0498,0.1314,-0.0653,3.045,3.9987,-3.2987,0,0,0,0.32699999999749707
0.2038,0.9355,-0.3188,0.0498,0.1314,-0.0653,3.045,3.9987,-3.2987,0,0,0,0.32699999999749707
0.203,0.9399,-0.316,0.0488,0.1325,-0.0678,3.0975,4.2525,-2.7825,0,0,0,0.34299999999348074
0.203,0.9399,-0.316,0.0488,0.1325,-0.0678,2.94,4.3313,-3.0538,0,0,0,0.34299999999348074
0.211,0.9445,-0.314,0.0452,0.1321,-0.0678,2.1525,4.5937,-3.3688,0,0,0,0.35899999999674037
0.2119,0.9484,-0.3137,0.0452,0.1321,-0.0678,2.1525,4.5937,-3.3688,0,0,0,0.35899999999674037
0.2066,0.9473,-0.3149,0.0452,0.1321,-0.0678,1.9075,5.0838,-3.885,0,0,0,0.3739999999961583
0.2082,0.9519,-0.3137,0.0468,0.1327,-0.0801,1.295,5.1537,-4.2263,0,0,0,0.3739999999961583
0.2061,0.954,-0.3142,0.0468,0.1327,-0.0801,0.735,4.8038,-4.8212,0,0,0,0.3899999999994179
0.2061,0.954,-0.3142,0.0462,0.1306,-0.0694,0.735,4.8038,-4.8212,0,0,0,0.3899999999994179
0.2064,0.9507,-0.3059,0.0462,0.1306,-0.0694,0.2537,5.2413,-5.2762,0,0,0,0.4049999999915599
0.206,0.9461,-0.3073,0.0462,0.1306,-0.0694,-0.6562,5.0838,-6.0025,0,0,0,0.4049999999915599
0.2033,0.9475,-0.3041,0.0465,0.1328,-0.0677,-0.6562,5.5388,-6.825,0,0,0,0.4209999999948195
0.2026,0.9439,-0.301,0.0465,0.1328,-0.0677,-1.6013,5.5388,-6.825,0,0,0,0.4209999999948195
0.2026,0.9439,-0.301,0.0446,0.1327,-0.0704,-1.9688,5.775,-7.3063,0,0,0,0.4369999999908032
0.2001,0.9415,-0.3013,0.0446,0.1327,-0.0704,-2.5025,6.2038,-7.5862,0,0,0,0.4369999999908032
0.1993,0.9412,-0.3025,0.0446,0.1327,-0.071,-2.5025,6.2038,-7.5862,0,0,0,0.45199999999749707
0.1999,0.9387,-0.3001,0.0474,0.1318,-0.071,-2.5812,6.23,-8.26,0,0,0,0.45199999999749707
0.1977,0.9381,-0.2999,0.0474,0.1318,-0.071,-2.38,5.9588,-8.9425,0,0,0,0.4680000000007567
0.1997,0.9379,-0.299,0.0456,0.1328,-0.0646,-1.575,6.3175,-8.7675,0,0,0,0.4680000000007567
0.1997,0.9379,-0.299,0.0456,0.1328,-0.0646,-1.575,6.3175,-8.7675,0,0,0,0.48299999999289867
0.1997,0.9365,-0.2966,0.0449,0.1318,-0.0655,-1.1725,6.3088,-8.7413,0,0,0,0.48299999999289867
0.1996,0.9376,-0.2991,0.0449,0.1318,-0.0655,-0.9975,6.6675,-8.2425,0,0,0,0.4989999999961583
0.1973,0.9399,-0.3001,0.0449,0.1318,-0.0655,-0.5512,6.8775,-8.015,0,0,0,0.4989999999961583
0.2026,0.9412,-0.2957,0.0454,0.1333,-0.0667,-0.5512,6.8775,-8.015,0,0,0,0.514999999992142
0.2026,0.9412,-0.2957,0.0454,0.1333,-0.0667,-0.4112,6.7375,-7.9275,0,0,0,0.514999999992142
0.1998,0.9398,-0.2951,0.0462,0.1326,-0.0694,0.0437,6.7375,-7.525,0,0,0,0.5299999999988358
0.198,0.9414,-0.2976,0.0462,0.1326,-0.0694,-0.0875,6.8513,-6.965,0,0,0,0.5299999999988358
0.1993,0.9406,-0.2964,0.0462,0.1326,-0.0694,-0.0875,6.8513,-6.965,0,0,0,0.5460000000020955
0.1978,0.9407,-0.2969,0.0466,0.1335,-0.0678,0.3063,6.93,-5.8187,0,0,0,0.5460000000020955
0.1959,0.9359,-0.2926,0.0466,0.1335,-0.0678,1.015,7.5338,-5.39,0,0,0,0.5609999999942374
0.1959,0.9359,-0.2926,0.0472,0.1326,-0.0706,1.2425,6.8075,-5.0838,0,0,0,0.5609999999942374
0.194,0.9379,-0.293,0.0472,0.1326,-0.0706,1.2425,6.8075,-5.0838,0,0,0,0.5769999999974971
0.1908,0.9439,-0.2977,0.0472,0.1326,-0.0706,1.5575,6.3787,-5.145,0,0,0,0.5769999999974971
0.1914,0.9428,-0.2919,0.0462,0.1338,-0.078,1.1725,6.0375,-5.005,0,0,0,0.5929999999934807
0.1936,0.9446,-0.2902,0.0462,0.1338,-0.078,1.1725,6.0375,-4.4887,0,0,0,0.5929999999934807
0.1936,0.9446,-0.2902,0.0451,0.1329,-0.0824,1.7587,5.1537,-4.4887,0,0,0,0.6080000000001746
0.1948,0.9459,-0.2921,0.0451,0.1329,-0.0824,1.4,4.6375,-4.2088,0,0,0,0.6239999999961583
0.1961,0.948,-0.2941,0.0451,0.1329,-0.0718,0.77,4.1213,-4.2962,0,0,0,0.6239999999961583
0.1982,0.9462,-0.292,0.0456,0.1346,-0.0718,0.77,4.1213,-4.2962,0,0,0,0.6389999999955762
0.1994,0.9437,-0.2874,0.0456,0.1346,-0.0718,0.07,3.4213,-3.6837,0,0,0,0.6389999999955762
0.1994,0.9421,-0.2917,0.0451,0.1331,-0.0698,0.5337,3.3688,-3.9813,0,0,0,0.6549999999988358
0.1975,0.9421,-0.2917,0.0451,0.1331,-0.0698,0.035,2.45,-3.15,0,0,0,0.6549999999988358
0.2009,0.9439,-0.2919,0.0436,0.1326,-0.0734,0.035,2.45,-3.15,0,0,0,0.6709999999948195
0.2007,0.9437,-0.2887,0.0436,0.1326,-0.0734,-0.665,2.1788,-2.625,0,0,0,0.6709999999948195
0.2039,0.9419,-0.2889,0.0436,0.1326,-0.0734,-0.735,1.5662,-2.52,0,0,0,0.6859999999942374
