Hour,Minute,Second,IR1,Blinks,Actual Blinks
21,31,52.37,17311.0,0,0
21,31,52.374,17312.0,0,0
21,31,52.378,17312.0,0,0
21,31,52.386,17308.0,0,0
21,31,52.394,17314.0,0,0
21,31,52.402,17313.0,0,0
21,31,52.411,17313.0,0,0
21,31,52.419,17317.0,0,0
21,31,52.427,17333.0,0,0
21,31,52.436,17319.0,0,0
21,31,52.443,17319.0,0,0
21,31,52.45,17314.0,0,0
21,31,52.458,17307.0,0,0
21,31,52.465,17305.0,0,0
21,31,52.473,17301.0,0,0
21,31,52.481,17292.0,0,0
21,31,52.489,17301.0,0,0
21,31,52.497,17325.0,0,0
21,31,52.506,17315.0,0,0
21,31,52.513,17288.0,0,0
21,31,52.522,17306.0,0,0
21,31,52.529,17305.0,0,0
21,31,52.538,17305.0,0,0
21,31,52.546,17306.0,0,0
21,31,52.553,17296.0,0,0
21,31,52.562,17302.0,0,0
21,31,52.569,17299.0,0,0
21,31,52.578,17298.0,0,0
21,31,52.585,17308.0,0,0
21,31,52.593,17305.0,0,0
21,31,52.601,17304.0,0,0
21,31,52.609,17304.0,0,0
21,31,52.619,17284.0,0,0
21,31,52.626,17299.0,0,0
21,31,52.633,17312.0,0,0
21,31,52.642,17312.0,0,0
21,31,52.648,17327.0,0,0
21,31,52.656,17340.0,0,0
21,31,52.664,17344.0,0,0
21,31,52.672,17344.0,0,0
21,31,52.68,17338.0,0,0
21,31,52.688,17345.0,0,0
21,31,52.696,17334.0,0,0
21,31,52.704,17334.0,0,0
21,31,52.712,17336.0,0,0
21,31,52.72,17334.0,0,0
21,31,52.729,17325.0,0,0
21,31,52.736,17325.0,0,0
21,31,52.744,17326.0,0,0
21,31,52.752,17321.0,0,0
21,31,52.76,17339.0,0,0
21,31,52.768,17338.0,0,0
21,31,52.776,17336.0,0,0
21,31,52.784,17334.0,0,0
21,31,52.792,17319.0,0,0
21,31,52.8,17317.0,0,0
21,31,52.807,17312.0,0,0
21,31,52.815,17314.0,0,0
21,31,52.823,17328.0,0,0
21,31,52.831,17337.0,0,0
21,31,52.839,17346.0,0,0
21,31,52.847,17351.0,0,0
21,31,52.855,17351.0,0,0
21,31,52.863,17345.0,0,0
21,31,52.871,17339.0,0,0
21,31,52.879,17315.0,0,0
21,31,52.887,17296.0,0,0
21,31,52.895,17311.0,0,0
21,31,52.903,17317.0,0,0
21,31,52.911,17320.0,0,0
21,31,52.919,17328.0,0,0
21,31,52.927,17325.0,0,0
21,31,52.935,17324.0,0,0
21,31,52.943,17337.0,0,0
21,31,52.951,17337.0,0,0
21,31,52.959,17328.0,0,0
21,31,52.967,17328.0,0,0
21,31,52.975,17322.0,0,0
21,31,52.985,17295.0,0,0
21,31,52.993,17291.0,0,0
21,31,53.001,17291.0,0,0
21,31,53.009,17313.0,0,0
21,31,53.017,17315.0,0,0
21,31,53.025,17311.0,0,0
21,31,53.033,17311.0,0,0
21,31,53.041,17317.0,0,0
21,31,53.049,17311.0,0,0
21,31,53.057,17296.0,0,0
21,31,53.065,17296.0,0,0
21,31,53.073,17292.0,0,0
21,31,53.081,17273.0,0,0
21,31,53.089,17288.0,0,0
21,31,53.097,17290.0,0,0
21,31,53.104,17296.0,0,0
21,31,53.112,17298.0,0,0
21,31,53.119,17294.0,0,0
21,31,53.128,17285.0,0,0
21,31,53.136,17277.0,0,0
21,31,53.144,17288.0,0,0
21,31,53.152,17286.0,0,0
21,31,53.159,17277.0,0,0
21,31,53.167,17268.0,0,0
21,31,53.175,17285.0,0,0
21,31,53.183,17283.0,0,0
21,31,53.19,17284.0,0,0
21,31,53.198,17285.0,0,0
21,31,53.206,17278.0,0,0
21,31,53.214,17279.0,0,0
21,31,53.222,17273.0,0,0
21,31,53.23,17272.0,0,0
21,31,53.238,17261.0,0,0
21,31,53.246,17271.0,0,0
21,31,53.254,17273.0,0,0
21,31,53.262,17273.0,0,0
21,31,53.27,17264.0,0,0
21,31,53.278,17284.0,0,0
21,31,53.286,17275.0,0,0
21,31,53.294,17275.0,0,0
21,31,53.302,17265.0,0,0
21,31,53.31,17268.0,0,0
21,31,53.318,17260.0,0,0
21,31,53.326,17260.0,0,0
21,31,53.334,17261.0,0,0
21,31,53.342,17256.0,0,0
21,31,53.35,17260.0,0,0
21,31,53.358,17260.0,0,0
21,31,53.366,17252.0,0,0
21,31,53.374,17267.0,0,0
21,31,53.382,17248.0,0,0
21,31,53.39,17247.0,0,0
21,31,53.398,17245.0,0,0
21,31,53.406,17242.0,0,0
21,31,53.414,17244.0,0,0
21,31,53.422,17255.0,0,0
21,31,53.43,17267.0,0,0
21,31,53.438,17249.0,0,0
21,31,53.446,17253.0,0,0
21,31,53.454,17252.0,0,0
21,31,53.462,17251.0,0,0
21,31,53.47,17238.0,0,0
21,31,53.478,17253.0,0,0
21,31,53.486,17246.0,0,0
21,31,53.494,17244.0,0,0
21,31,53.502,17274.0,0,0
21,31,53.51,17266.0,0,0
21,31,53.519,17263.0,0,0
21,31,53.527,17262.0,0,0
21,31,53.535,17262.0,0,0
21,31,53.543,17263.0,0,0
21,31,53.55,17269.0,0,0
21,31,53.558,17269.0,0,0
21,31,53.566,17281.0,0,0
21,31,53.574,17275.0,0,0
21,31,53.582,17282.0,0,0
21,31,53.59,17282.0,0,0
21,31,53.598,17276.0,0,0
21,31,53.606,17278.0,0,0
21,31,53.615,17276.0,0,0
21,31,53.623,17276.0,0,0
21,31,53.63,17274.0,0,0
21,31,53.638,17271.0,0,0
21,31,53.646,17290.0,0,0
