AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2632,-0.2291,0.9035,-0.237,0.7338,0.3598,-2.9663,1.2337,-8.6363,0,0,0,1.6198888919168284
-0.2601,-0.2207,0.8678,-0.2349,0.7322,0.3618,-3.3075,1.1638,-8.61,0,0,0,1.632001279756733
-0.2628,-0.2297,0.906,-0.2349,0.7322,0.3618,-3.7188,1.6013,-8.5662,0,0,0,1.6440814613292976
-0.2632,-0.2264,0.9098,-0.2343,0.7346,0.358,-3.535,0.7875,-8.9075,0,0,0,1.6561726142676594
-0.2643,-0.2301,0.9092,-0.237,0.735,0.3594,-3.22,1.0412,-8.96,0,0,0,1.6683051752640294
-0.2634,-0.2286,0.906,-0.237,0.735,0.3594,-3.745,1.5925,-9.31,0,0,0,1.677661272883703
-0.2624,-0.2308,0.9073,-0.2352,0.7321,0.3587,-3.5175,1.1025,-9.1875,0,0,0,1.6897764920438132
-0.2635,-0.2286,0.9078,-0.2352,0.7321,0.3587,-4.2613,1.61,-9.0387,0,0,0,1.701878616347972
-0.2636,-0.2281,0.9065,-0.2357,0.7335,0.3599,-3.5613,1.7325,-8.645,0,0,0,1.7139552587702798
-0.267,-0.2282,0.9044,-0.2357,0.7335,0.3599,-3.1238,1.7587,-8.5312,0,0,0,1.7263061853375128
-0.2625,-0.2283,0.9099,-0.2342,0.7338,0.3644,-3.9288,0.8838,-9.0125,0,0,0,1.738184281430397
-0.2605,-0.2283,0.9109,-0.2337,0.7321,0.3609,-2.835,1.575,-9.0562,0,0,0,1.7502860518195302
-0.2613,-0.2283,0.9098,-0.2337,0.7321,0.3609,-3.6225,1.1112,-8.8638,0,0,0,1.7623439367454752
-0.2638,-0.2275,0.9066,-0.2347,0.7363,0.3605,-4.4012,1.155,-8.505,0,0,0,1.7718738066427726
-0.2635,-0.2297,0.9068,-0.2347,0.7363,0.3605,-4.2525,1.4787,-8.8812,0,0,0,1.783912934072355
-0.2602,-0.2273,0.9087,-0.2346,0.7332,0.359,-4.2438,1.5137,-9.1175,0,0,0,1.7960132888013853
-0.2625,-0.2301,0.9055,-0.2349,0.7337,0.3607,-3.9375,1.33,-8.8287,0,0,0,1.8081794717251976
-0.2633,-0.2275,0.9102,-0.2349,0.7337,0.3607,-3.08,1.225,-8.4962,0,0,0,1.8203007074407447
-0.2644,-0.228,0.9059,-0.2344,0.7322,0.3599,-3.7188,1.4437,-8.2687,0,0,0,1.8322633892247737
-0.2628,-0.2275,0.9087,-0.2344,0.7322,0.3599,-3.08,1.6362,-8.1375,0,0,0,1.8444104607371978
-0.2614,-0.2264,0.9079,-0.2349,0.7346,0.3688,-4.7163,1.3912,-8.7237,0,0,0,1.8537081623776293
-0.2627,-0.2278,0.9048,-0.2349,0.7346,0.3688,-4.3488,1.435,-9.2575,0,0,0,1.8658718678962618
-0.2612,-0.2286,0.9037,-0.2368,0.7339,0.3637,-4.4187,1.2512,-9.205,0,0,0,1.8779524033838522
-0.2622,-0.2295,0.9112,-0.2386,0.7338,0.3601,-4.0425,1.0412,-8.3475,0,0,0,1.8900577129232425
-0.2603,-0.2278,0.9052,-0.2386,0.7338,0.3601,-3.7013,0.9975,-8.7237,0,0,0,1.9021400179859616
