Hour,Minute,Second,IR1,Blinks
19,42,20.365,11700.0,0,0
19,42,20.38,11698.0,0,0
19,42,20.396,11698.0,0,0
19,42,20.411,11703.0,0,0
19,42,20.427,11701.0,0,0
19,42,20.443,11696.0,0,0
19,42,20.458,11696.0,0,0
19,42,20.474,11707.0,0,0
19,42,20.489,11697.0,0,0
19,42,20.505,11698.0,0,0
19,42,20.521,11698.0,0,0
19,42,20.536,11698.0,0,0
19,42,20.552,11698.0,0,0
19,42,20.567,11705.0,0,0
19,42,20.583,11705.0,0,0
19,42,20.599,11696.0,0,0
19,42,20.614,11707.0,0,0
19,42,20.63,11700.0,0,0
19,42,20.645,11700.0,0,0
19,42,20.661,11710.0,0,0
19,42,20.677,11704.0,0,0
19,42,20.692,11704.0,0,0
19,42,20.708,11704.0,0,0
19,42,20.723,11706.0,0,0
19,42,20.739,11703.0,0,0
19,42,20.755,11702.0,0,0
19,42,20.77,11702.0,0,0
19,42,20.786,11687.0,0,0
19,42,20.801,11712.0,0,0
19,42,20.817,11693.0,0,0
19,42,20.833,11693.0,0,0
19,42,20.848,11691.0,0,0
19,42,20.864,11699.0,0,0
19,42,20.879,11703.0,0,0
19,42,20.895,11703.0,0,0
19,42,20.911,11704.0,0,0
19,42,20.926,11697.0,0,0
19,42,20.942,11699.0,0,0
19,42,20.957,11699.0,0,0
19,42,20.973,11701.0,0,0
19,42,20.989,11699.0,0,0
19,42,21.004,11695.0,0,0
19,42,21.02,11695.0,0,0
19,42,21.035,11698.0,0,0
19,42,21.051,11704.0,0,0
19,42,21.067,11709.0,0,0
19,42,21.082,11708.0,0,0
19,42,21.098,11705.0,0,0
19,42,21.113,11704.0,0,0
19,42,21.129,11699.0,0,0
19,42,21.145,11699.0,0,0
19,42,21.16,11700.0,0,0
19,42,21.176,11693.0,0,0
19,42,21.191,11706.0,0,0
19,42,21.207,11704.0,0,0
19,42,21.223,11698.0,0,0
19,42,21.238,11709.0,0,0
19,42,21.254,11694.0,0,0
19,42,21.269,11697.0,0,0
19,42,21.285,11709.0,0,0
19,42,21.301,11700.0,0,0
19,42,21.316,11704.0,0,0
19,42,21.332,11710.0,0,0
19,42,21.347,11717.0,0,0
19,42,21.363,11712.0,0,0
19,42,21.379,11700.0,0,0
19,42,21.394,11703.0,0,0
19,42,21.41,11707.0,0,0
19,42,21.425,11705.0,0,0
19,42,21.441,11702.0,0,0
19,42,21.457,11699.0,0,0
19,42,21.472,11697.0,0,0
19,42,21.488,11700.0,0,0
19,42,21.503,11712.0,0,0
19,42,21.519,11707.0,0,0
19,42,21.535,11703.0,0,0
19,42,21.55,11700.0,0,0
19,42,21.566,11700.0,0,0
19,42,21.581,11698.0,0,0
19,42,21.597,11697.0,0,0
19,42,21.613,11708.0,0,0
19,42,21.628,11687.0,0,0
19,42,21.644,11693.0,0,0
19,42,21.659,11700.0,0,0
19,42,21.675,11693.0,0,0
19,42,21.691,11694.0,0,0
19,42,21.706,11701.0,0,0
19,42,21.722,11708.0,0,0
19,42,21.737,11702.0,0,0
19,42,21.753,11687.0,0,0
19,42,21.769,11691.0,0,0
19,42,21.784,11695.0,0,0
19,42,21.8,11692.0,0,0
19,42,21.815,11702.0,0,0
19,42,21.831,11709.0,0,0
19,42,21.847,11716.0,0,0
19,42,21.862,11688.0,0,0
19,42,21.878,11696.0,0,0
19,42,21.893,11702.0,0,0
19,42,21.909,11709.0,0,0
19,42,21.925,11710.0,0,0
19,42,21.94,11709.0,0,0
19,42,21.956,11707.0,0,0
19,42,21.971,11707.0,0,0
19,42,21.987,11693.0,0,0
19,42,22.003,11704.0,0,0
19,42,22.018,11701.0,0,0
19,42,22.034,11700.0,0,0
19,42,22.049,11701.0,0,0
19,42,22.065,11695.0,0,0
19,42,22.081,11703.0,0,0
19,42,22.096,11706.0,0,0
19,42,22.112,11717.0,0,0
19,42,22.127,11705.0,0,0
19,42,22.143,11693.0,0,0
19,42,22.159,11689.0,0,0
19,42,22.174,11700.0,0,0
19,42,22.19,11701.0,0,0
19,42,22.205,11709.0,0,0
19,42,22.221,11712.0,0,0
19,42,22.237,11706.0,0,0
19,42,22.252,11706.0,0,0
19,42,22.268,11700.0,0,0
19,42,22.283,11699.0,0,0
19,42,22.299,11701.0,0,0
19,42,22.315,11695.0,0,0
19,42,22.33,11707.0,0,0
19,42,22.346,11712.0,0,0
19,42,22.361,11710.0,0,0
19,42,22.377,11719.0,0,0
19,42,22.393,11704.0,0,0
19,42,22.408,11700.0,0,0
19,42,22.424,11699.0,0,0
19,42,22.439,11703.0,0,0
19,42,22.455,11696.0,0,0
19,42,22.471,11696.0,0,0
19,42,22.486,11697.0,0,0
19,42,22.502,11702.0,0,0
19,42,22.517,11711.0,0,0
19,42,22.533,11711.0,0,0
19,42,22.549,11702.0,0,0
19,42,22.564,11712.0,0,0
19,42,22.58,11712.0,0,0
19,42,22.595,11712.0,0,0
19,42,22.611,11696.0,0,0
19,42,22.627,11691.0,0,0
19,42,22.642,11709.0,0,0
19,42,22.66,11709.0,0,0
19,42,22.675,11694.0,0,0
19,42,22.691,11698.0,0,0
19,42,22.707,11705.0,0,0
19,42,22.722,11705.0,0,0
19,42,22.738,11698.0,0,0
19,42,22.753,11702.0,0,0
19,42,22.769,11702.0,0,0
19,42,22.785,11702.0,0,0
19,42,22.8,11704.0,0,0
19,42,22.816,11706.0,0,0
19,42,22.831,11701.0,0,0
19,42,22.847,11701.0,0,0
19,42,22.863,11694.0,0,0
19,42,22.878,11697.0,0,0
19,42,22.894,11711.0,0,0
19,42,22.909,11711.0,0,0
19,42,22.925,11700.0,0,0
19,42,22.941,11708.0,0,0
19,42,22.956,11709.0,0,0
19,42,22.972,11709.0,0,0
19,42,22.987,11705.0,0,0
19,42,23.003,11706.0,0,0
19,42,23.019,11708.0,0,0
19,42,23.034,11708.0,0,0
19,42,23.05,11719.0,0,0
19,42,23.065,11712.0,0,0
19,42,23.081,11718.0,0,0
19,42,23.097,11718.0,0,0
19,42,23.112,11718.0,0,0
19,42,23.128,11716.0,0,0
19,42,23.143,11713.0,0,0
19,42,23.159,11703.0,0,0
19,42,23.175,11710.0,0,0
19,42,23.19,11718.0,0,0
19,42,23.206,11701.0,0,0
19,42,23.221,11708.0,0,0
19,42,23.237,11697.0,0,0
19,42,23.253,11705.0,0,0
19,42,23.268,11704.0,0,0
19,42,23.284,11704.0,0,0
19,42,23.299,11703.0,0,0
19,42,23.315,11705.0,0,0
19,42,23.331,11698.0,0,0
19,42,23.346,11704.0,0,0
19,42,23.362,11699.0,0,0
19,42,23.377,11714.0,0,0
19,42,23.393,11710.0,0,0
19,42,23.409,11711.0,0,0
19,42,23.424,11707.0,0,0
19,42,23.44,11711.0,0,0
19,42,23.455,11701.0,0,0
19,42,23.471,11709.0,0,0
19,42,23.487,11709.0,0,0
19,42,23.502,11706.0,0,0
19,42,23.518,11708.0,0,0
19,42,23.533,11706.0,0,0
19,42,23.549,11712.0,0,0
19,42,23.565,11708.0,0,0
19,42,23.58,11709.0,0,0
19,42,23.596,11713.0,0,0
19,42,23.611,11701.0,0,0
19,42,23.627,11706.0,0,0
19,42,23.643,11698.0,0,0
19,42,23.658,11709.0,0,0
19,42,23.674,11704.0,0,0
19,42,23.689,11710.0,0,0
19,42,23.705,11697.0,0,0
19,42,23.721,11704.0,0,0
19,42,23.736,11714.0,0,0
19,42,23.752,11704.0,0,0
19,42,23.767,11695.0,0,0
19,42,23.783,11708.0,0,0
19,42,23.799,11714.0,0,0
19,42,23.814,11707.0,0,0
19,42,23.83,11701.0,0,0
19,42,23.845,11713.0,0,0
19,42,23.861,11701.0,0,0
19,42,23.877,11705.0,0,0
19,42,23.892,11700.0,0,0
19,42,23.908,11704.0,0,0
19,42,23.923,11709.0,0,0
19,42,23.939,11704.0,0,0
19,42,23.955,11700.0,0,0
19,42,23.97,11708.0,0,0
19,42,23.986,11705.0,0,0
19,42,24.001,11710.0,0,0
19,42,24.017,11700.0,0,0
19,42,24.033,11709.0,0,0
19,42,24.048,11718.0,0,0
19,42,24.064,11707.0,0,0
19,42,24.08,11711.0,0,0
19,42,24.095,11699.0,0,0
19,42,24.111,11701.0,0,0
19,42,24.126,11703.0,0,0
19,42,24.142,11703.0,0,0
19,42,24.158,11703.0,0,0
19,42,24.173,11702.0,0,0
19,42,24.189,11707.0,0,0
19,42,24.204,11716.0,0,0
19,42,24.22,11709.0,0,0
19,42,24.236,11704.0,0,0
19,42,24.251,11707.0,0,0
19,42,24.267,11714.0,0,0
19,42,24.282,11715.0,0,0
19,42,24.298,11710.0,0,0
19,42,24.314,11711.0,0,0
19,42,24.329,11708.0,0,0
19,42,24.345,11707.0,0,0
19,42,24.36,11706.0,0,0
19,42,24.376,11707.0,0,0
19,42,24.392,11706.0,0,0
19,42,24.407,11705.0,0,0
19,42,24.423,11717.0,0,0
19,42,24.438,11708.0,0,0
19,42,24.454,11713.0,0,0
19,42,24.47,11715.0,0,0
19,42,24.485,11709.0,0,0
19,42,24.501,11708.0,0,0
19,42,24.516,11710.0,0,0
19,42,24.532,11715.0,0,0
19,42,24.548,11712.0,0,0
19,42,24.563,11698.0,0,0
19,42,24.579,11714.0,0,0
19,42,24.594,11709.0,0,0
19,42,24.61,11705.0,0,0
19,42,24.626,11695.0,0,0
19,42,24.641,11707.0,0,0
19,42,24.657,11709.0,0,0
19,42,24.672,11701.0,0,0
19,42,24.688,11711.0,0,0
19,42,24.704,11694.0,0,0
19,42,24.719,11709.0,0,0
19,42,24.735,11704.0,0,0
19,42,24.75,11710.0,0,0
19,42,24.766,11705.0,0,0
19,42,24.782,11715.0,0,0
19,42,24.797,11707.0,0,0
19,42,24.813,11707.0,0,0
19,42,24.828,11713.0,0,0
19,42,24.844,11710.0,0,0
19,42,24.86,11709.0,0,0
19,42,24.875,11720.0,0,0
19,42,24.891,11705.0,0,0
19,42,24.906,11711.0,0,0
19,42,24.922,11706.0,0,0
19,42,24.938,11717.0,0,0
19,42,24.953,11713.0,0,0
19,42,24.969,11711.0,0,0
19,42,24.984,11714.0,0,0
19,42,25.0,11713.0,0,0
19,42,25.016,11723.0,0,0
19,42,25.031,11699.0,0,0
19,42,25.047,11712.0,0,0
19,42,25.062,11704.0,0,0
19,42,25.078,11711.0,0,0
19,42,25.094,11693.0,0,0
19,42,25.109,11714.0,0,0
19,42,25.125,11706.0,0,0
19,42,25.14,11709.0,0,0
19,42,25.156,11721.0,0,0
19,42,25.172,11706.0,0,0
19,42,25.187,11691.0,0,0
19,42,25.203,11708.0,0,0
19,42,25.218,11703.0,0,0
19,42,25.234,11698.0,0,0
19,42,25.25,11693.0,0,0
19,42,25.265,11707.0,0,0
19,42,25.281,11698.0,0,0
19,42,25.296,11703.0,0,0
19,42,25.312,11713.0,0,0
19,42,25.328,11715.0,0,0
19,42,25.343,11716.0,0,0
19,42,25.359,11717.0,0,0
19,42,25.374,11726.0,0,0
19,42,25.39,11716.0,0,0
19,42,25.406,11713.0,0,0
19,42,25.421,11715.0,0,0
19,42,25.437,11717.0,0,0
19,42,25.452,11706.0,0,0
19,42,25.468,11702.0,0,0
19,42,25.484,11710.0,0,0
19,42,25.499,11716.0,0,0
19,42,25.515,11709.0,0,0
19,42,25.53,11713.0,0,0
19,42,25.546,11705.0,0,0
19,42,25.562,11705.0,0,0
19,42,25.577,11711.0,0,0
19,42,25.593,11713.0,0,0
19,42,25.608,11714.0,0,0
19,42,25.624,11713.0,0,0
19,42,25.64,11715.0,0,0
19,42,25.655,11719.0,0,0
19,42,25.671,11726.0,0,0
19,42,25.686,11725.0,0,0
19,42,25.702,11727.0,0,0
19,42,25.718,11712.0,0,0
19,42,25.733,11720.0,0,0
19,42,25.749,11715.0,0,0
19,42,25.764,11725.0,0,0
19,42,25.78,11718.0,0,0
19,42,25.796,11726.0,0,0
19,42,25.811,11741.0,0,0
19,42,25.827,11755.0,0,0
19,42,25.842,11766.0,0,0
19,42,25.858,11777.0,0,0
19,42,25.874,11794.0,0,0
19,42,25.889,11806.0,0,0
19,42,25.905,11821.0,0,0
19,42,25.92,11840.0,0,0
19,42,25.936,11872.0,0,0
19,42,25.952,11887.0,0,0
19,42,25.967,11929.0,0,0
19,42,25.983,11969.0,0,0
19,42,25.998,12037.0,0,0
19,42,26.014,12078.0,0,0
19,42,26.03,12138.0,0,0
19,42,26.045,12215.0,0,0
19,42,26.061,12236.0,0,0
19,42,26.076,12268.0,0,0
19,42,26.092,12267.0,0,0
19,42,26.108,12309.0,0,0
19,42,26.123,12321.0,0,0
19,42,26.139,12349.0,0,0
19,42,26.154,12347.0,0,0
19,42,26.17,12315.0,0,0
19,42,26.186,12301.0,0,0
19,42,26.201,12282.0,0,0
19,42,26.217,12268.0,0,0
19,42,26.232,12289.0,0,0
19,42,26.248,12322.0,0,0
19,42,26.264,12424.0,0,0
19,42,26.279,12483.0,12483.0,0
19,42,26.295,12720.0,12720.0,0
