AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.1604,0.9765,0.0536,-0.7002,0.0363,-0.0067,-2.5813,1.1638,-15.0412,0,0,0,1.6186427571113031
-0.155,0.9517,0.0516,-0.7007,0.0333,-0.0067,-2.8612,1.085,-15.1112,0,0,0,1.631701159814931
-0.156,0.9514,0.0423,-0.7007,0.0333,-0.0067,-2.7125,1.4,-14.8925,0,0,0,1.6438351364714037
-0.1629,0.9776,0.0487,-0.7015,0.0344,-0.0086,-2.905,1.1025,-14.9362,0,0,0,1.6560066281206016
-0.1602,0.9757,0.0571,-0.7015,0.0344,-0.0086,-3.15,1.015,-15.1725,0,0,0,1.6682078486319594
-0.1607,0.9748,0.0514,-0.7003,0.0365,-0.0074,-3.2638,0.7788,-14.7,0,0,0,1.6803382861381748
-0.161,0.9761,0.0524,-0.7003,0.0365,-0.0074,-2.7913,1.3212,-14.4462,0,0,0,1.6925993182888777
-0.1609,0.9761,0.0558,-0.7006,0.0336,-0.002,-2.5813,1.4962,-14.9275,0,0,0,1.7046405692086142
-0.1602,0.9762,0.0484,-0.7001,0.034,-0.0078,-2.7562,1.0937,-15.2687,0,0,0,1.7168297566090978
-0.162,0.9761,0.0516,-0.7001,0.034,-0.0078,-2.135,1.085,-15.6712,0,0,0,1.7290090343888613
-0.1605,0.9737,0.0519,-0.7022,0.035,-0.0074,-3.2638,1.0587,-14.9713,0,0,0,1.7411759251427252
-0.1637,0.9766,0.0501,-0.7022,0.035,-0.0074,-2.8963,1.0587,-15.2075,0,0,0,1.7505129113510105
-0.1615,0.977,0.0525,-0.6995,0.0342,-0.0055,-2.8525,0.9363,-14.9362,0,0,0,1.762722979738011
-0.16,0.9758,0.0525,-0.6993,0.035,-0.0071,-3.3688,1.0937,-14.9625,0,0,0,1.774901903602749
-0.1645,0.9758,0.0512,-0.6993,0.035,-0.0071,-2.9838,1.0412,-14.84,0,0,0,1.7870684404415869
-0.1624,0.9761,0.0479,-0.7003,0.0354,-0.0074,-3.22,0.9887,-14.8662,0,0,0,1.7991649021053344
-0.1602,0.9762,0.0474,-0.7003,0.0354,-0.0074,-3.0975,1.1725,-15.0762,0,0,0,1.8113618756363836
-0.1615,0.9783,0.0544,-0.6994,0.0345,-0.0044,-3.22,0.9975,-14.9275,0,0,0,1.8235185028545018
-0.1615,0.9759,0.0515,-0.6994,0.0382,-0.0076,-3.255,1.085,-14.6912,0,0,0,1.8357076902549854
-0.1627,0.977,0.0519,-0.6994,0.0382,-0.0076,-2.8875,1.0675,-14.8137,0,0,0,1.847906433361163
-0.161,0.9734,0.0495,-0.7016,0.0355,-0.0072,-2.59,0.9975,-14.6387,0,0,0,1.8600057263451162
-0.1598,0.9742,0.0477,-0.7016,0.0355,-0.0072,-3.2813,1.155,-14.4025,0,0,0,1.872112451544609
-0.1617,0.9765,0.0474,-0.7024,0.0346,-0.0077,-3.6225,1.33,-14.595,0,0,0,1.8816207326253382
-0.161,0.9773,0.0539,-0.7026,0.0354,-0.007,-2.9663,0.9887,-14.84,0,0,0,1.8937823146538164
-0.1603,0.9761,0.0482,-0.7026,0.0354,-0.007,-3.6312,0.5775,-14.9713,0,0,0,1.905891871173515
-0.1636,0.9748,0.0555,-0.7013,0.0349,-0.0068,-3.395,0.8312,-14.9975,0,0,0,1.9181281292724182
-0.1617,0.9748,0.0493,-0.7013,0.0349,-0.0068,-3.1325,0.8925,-14.9625,0,0,0,1.9302345005568855
-0.1624,0.975,0.0487,-0.7002,0.0351,-0.0023,-2.7913,0.735,-14.665,0,0,0,1.9424084696112633
