AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2555,-0.2305,0.9082,-0.2728,0.6934,0.3718,-3.5438,1.435,-8.9512,0,0,0,1.619937378275351
-0.2522,-0.2217,0.8657,-0.2716,0.6947,0.3757,-2.6863,0.9887,-8.7325,0,0,0,1.6320713549318238
-0.2567,-0.2296,0.9043,-0.2716,0.6947,0.3757,-3.7362,0.8663,-8.9775,0,0,0,1.6441511825893627
-0.2561,-0.2308,0.9088,-0.2774,0.6966,0.3677,-3.4913,1.645,-8.96,0,0,0,1.656216145815822
-0.2558,-0.2322,0.9054,-0.2717,0.6923,0.3777,-3.8238,1.2687,-9.1875,0,0,0,1.6683897609551743
-0.2571,-0.2311,0.9084,-0.2717,0.6923,0.3777,-3.71,1.435,-8.9775,0,0,0,1.6778318599260955
-0.2583,-0.2303,0.9049,-0.2712,0.6892,0.3738,-3.29,1.0937,-9.1,0,0,0,1.689872049100755
-0.2563,-0.2311,0.904,-0.2712,0.6892,0.3738,-4.2263,1.2163,-8.3825,0,0,0,1.701918962660903
-0.2571,-0.2311,0.9037,-0.2713,0.6937,0.367,-3.5525,0.805,-8.7325,0,0,0,1.7140373670562445
-0.2576,-0.2301,0.9007,-0.2713,0.6937,0.367,-3.5875,1.19,-8.7062,0,0,0,1.726153647961432
-0.2591,-0.2306,0.9088,-0.2719,0.6942,0.3716,-3.2288,1.1725,-8.2512,0,0,0,1.7382727601868249
-0.2587,-0.2306,0.9088,-0.2737,0.6939,0.3726,-3.2375,0.735,-9.24,0,0,0,1.7503409086485153
-0.2572,-0.2288,0.9037,-0.2737,0.6939,0.3726,-3.36,1.0325,-9.66,0,0,0,1.759880334251507
-0.259,-0.2294,0.9099,-0.2731,0.6955,0.3736,-3.4825,0.9187,-8.89,0,0,0,1.7718571726365644
-0.2552,-0.2312,0.9107,-0.2731,0.6955,0.3736,-3.8325,1.3912,-9.2575,0,0,0,1.783969560476469
-0.2566,-0.2301,0.9017,-0.2739,0.6954,0.3729,-2.8438,1.575,-10.045,0,0,0,1.7960585899246764
-0.2578,-0.2304,0.9076,-0.2739,0.6954,0.3748,-3.29,1.4088,-8.995,0,0,0,1.8081808873853007
-0.2586,-0.2314,0.9093,-0.2718,0.6946,0.3748,-3.185,1.645,-9.3625,0,0,0,1.8203138022966963
-0.2546,-0.2316,0.9104,-0.2712,0.6942,0.3737,-3.78,1.7413,-9.415,0,0,0,1.8324371615023978
-0.2579,-0.2308,0.9043,-0.2712,0.6942,0.3737,-2.9575,1.4612,-9.6425,0,0,0,1.8446390898438068
-0.2584,-0.2295,0.9099,-0.2719,0.6945,0.3791,-2.9138,1.4175,-9.6512,0,0,0,1.8538458353226308
-0.2569,-0.2294,0.9092,-0.2719,0.6945,0.3791,-3.8937,1.3562,-9.17,0,0,0,1.8659844128744378
-0.2559,-0.2308,0.9093,-0.2723,0.6933,0.3714,-3.5875,1.4437,-8.9075,0,0,0,1.8780964467993164
-0.2571,-0.2302,0.9063,-0.2675,0.6925,0.3746,-3.6663,1.3562,-8.9162,0,0,0,1.8902063572340408
-0.2559,-0.2311,0.9096,-0.2675,0.6925,0.3746,-3.2375,1.295,-9.0913,0,0,0,1.9022745056957315
-0.2574,-0.2303,0.9005,-0.273,0.6954,0.3739,-3.8238,1.1025,-9.0825,0,0,0,1.9144031736268186
-0.2567,-0.2311,0.9063,-0.273,0.6954,0.3739,-3.15,1.0762,-9.5725,0,0,0,1.9265268867475458
-0.2566,-0.2313,0.904,-0.2734,0.6937,0.3734,-2.8087,1.3125,-9.4325,0,0,0,1.9386031752548278
-0.2568,-0.2289,0.9102,-0.2723,0.6928,0.374,-2.765,1.225,-9.625,0,0,0,1.9482310796142468
-0.2595,-0.2303,0.9056,-0.2723,0.6928,0.374,-2.73,1.015,-9.1,0,0,0,1.960033437891629
-0.2592,-0.2284,0.9097,-0.271,0.6926,0.3738,-2.555,1.05,-9.275,0,0,0,1.972178385913899
-0.2583,-0.2306,0.906,-0.271,0.6926,0.3738,-3.0188,1.1375,-9.8,0,0,0,1.9843077616750375
-0.2544,-0.2293,0.9098,-0.2754,0.6945,0.3713,-3.6925,1.155,-9.1087,0,0,0,1.9964343061159702
-0.2553,-0.23,0.9038,-0.2716,0.695,0.3751,-3.815,1.2687,-8.9687,0,0,0,2.0085173190087406
-0.258,-0.229,0.9094,-0.2716,0.695,0.3751,-3.8413,0.91,-9.1,0,0,0,2.020724909990561
-0.2528,-0.2315,0.9084,-0.2703,0.6936,0.3743,-3.885,1.155,-8.6012,0,0,0,2.0299727096123674
-0.2581,-0.2307,0.903,-0.2703,0.6936,0.3743,-3.4825,1.5312,-8.6975,0,0,0,2.0420985462232486
-0.2581,-0.2297,0.909,-0.2745,0.6947,0.371,-3.4388,1.5837,-8.7675,0,0,0,2.0541766043056593
-0.2585,-0.2295,0.9107,-0.2729,0.6943,0.3746,-4.1125,1.2775,-8.9775,0,0,0,2.0662734198844324
-0.2591,-0.2311,0.9074,-0.2729,0.6943,0.3746,-4.1038,1.225,-9.3537,0,0,0,2.0784059808808024
-0.2566,-0.2315,0.908,-0.2726,0.6942,0.3743,-3.4475,1.365,-8.96,0,0,0,2.0905215539559383
