AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2025,0.9667,0.0854,-0.6954,0.0418,0.0937,-2.7738,1.1112,-14.3762,0,0,0,1.6196532540655246
-0.1964,0.9426,0.0834,-0.697,0.0414,0.0958,-2.2225,0.7088,-14.91,0,0,0,1.6317798414242723
-0.2042,0.9658,0.09,-0.697,0.0414,0.0958,-2.6863,0.8225,-14.9537,0,0,0,1.6439043052853501
-0.203,0.9665,0.0847,-0.6968,0.0421,0.0979,-2.765,1.0937,-14.5775,0,0,0,1.6560386788022199
-0.2029,0.9682,0.0907,-0.6968,0.0421,0.0979,-2.835,1.015,-14.5513,0,0,0,1.6680725400960599
-0.2006,0.9673,0.0878,-0.6968,0.0416,0.1012,-2.5813,1.0675,-14.3937,0,0,0,1.6774722025307136
-0.2029,0.9665,0.0895,-0.6968,0.0416,0.1012,-2.3975,1.0937,-14.735,0,0,0,1.6895910037313393
-0.2047,0.9661,0.0881,-0.6955,0.0399,0.101,-2.3975,1.0412,-14.105,0,0,0,1.7017066196854604
-0.2056,0.9665,0.0879,-0.6966,0.0412,0.0962,-3.0275,1.1638,-14.2975,0,0,0,1.7138119720675116
-0.2031,0.9695,0.0881,-0.6966,0.0412,0.0962,-3.43,1.365,-14.14,0,0,0,1.72588511806824
-0.2025,0.9665,0.0897,-0.6954,0.0421,0.0974,-2.975,1.19,-14.3587,0,0,0,1.7380063966828134
-0.2044,0.9686,0.0913,-0.6954,0.0421,0.0974,-3.1763,1.295,-14.2537,0,0,0,1.750108209902082
-0.2029,0.9668,0.0902,-0.6953,0.0421,0.092,-2.4938,0.9975,-14.6387,0,0,0,1.7594827442809784
-0.2045,0.9662,0.0877,-0.6972,0.0426,0.0968,-2.5025,0.77,-14.1925,0,0,0,1.771548458039863
-0.2044,0.9663,0.0886,-0.6972,0.0426,0.0968,-2.2313,0.665,-14.4987,0,0,0,1.783693802961359
-0.2025,0.9664,0.09,-0.697,0.0408,0.0978,-2.5813,0.7088,-14.5687,0,0,0,1.7958837413339175
-0.2025,0.9664,0.087,-0.697,0.0408,0.0978,-2.4063,0.9887,-14.3675,0,0,0,1.8078765483394779
-0.204,0.9681,0.0914,-0.6969,0.041,0.1044,-2.5288,0.6212,-14.7262,0,0,0,1.8199564187494934
-0.2033,0.967,0.0872,-0.6974,0.0429,0.0975,-2.4763,0.6913,-15.1462,0,0,0,1.8320893766012498
-0.2044,0.9667,0.0859,-0.6974,0.0429,0.0975,-2.555,0.8838,-15.0062,0,0,0,1.8441497816159604
-0.2059,0.9675,0.0907,-0.6982,0.0415,0.0973,-2.5638,1.0325,-14.5075,0,0,0,1.8535979305807375
-0.2054,0.9684,0.0869,-0.6982,0.0415,0.0973,-2.4237,1.2512,-14.2537,0,0,0,1.865729472767381
-0.2011,0.9668,0.0888,-0.6956,0.0419,0.0974,-2.9138,0.49,-14.56,0,0,0,1.8777343129264028
-0.2011,0.9674,0.0825,-0.6963,0.0411,0.1006,-2.765,0.7962,-14.5075,0,0,0,1.889869394275829
-0.205,0.967,0.087,-0.6963,0.0411,0.1006,-2.4938,1.3387,-14.6212,0,0,0,1.9019864258950632
-0.2025,0.9658,0.0885,-0.698,0.0412,0.0959,-2.8612,1.6013,-14.8487,0,0,0,1.9141207994119327
-0.2045,0.9661,0.0861,-0.698,0.0412,0.0959,-2.6513,1.2775,-15.2337,0,0,0,1.9261674016917905
-0.202,0.967,0.0851,-0.6978,0.0414,0.0948,-2.625,1.4,-14.6825,0,0,0,1.9355504300613655
-0.2047,0.9672,0.0897,-0.6978,0.0426,0.0999,-2.1,1.365,-14.6825,0,0,0,1.947667815596878
-0.2033,0.9672,0.0897,-0.6958,0.0426,0.0999,-3.15,1.33,-14.7525,0,0,0,1.9597890942114515
-0.2035,0.9645,0.0855,-0.6978,0.0403,0.097,-2.4763,1.2687,-14.4112,0,0,0,1.9719167433190339
-0.2031,0.9659,0.0909,-0.6978,0.0403,0.097,-1.995,0.7263,-14.5687,0,0,0,1.9839626377663353
-0.205,0.9667,0.0892,-0.6976,0.041,0.0986,-3.465,0.5513,-13.6675,0,0,0,1.9960839163809088
-0.2017,0.9667,0.0922,-0.6976,0.041,0.0986,-2.6688,1.2512,-13.9475,0,0,0,2.0082133350698825
-0.2053,0.9653,0.0869,-0.6951,0.0409,0.0951,-2.8,0.77,-14.5862,0,0,0,2.020277633163654
-0.2037,0.9678,0.0827,-0.697,0.0406,0.0972,-2.9488,0.9363,-14.945,0,0,0,2.029645797049542
-0.2039,0.9657,0.0905,-0.697,0.0406,0.0972,-2.73,0.8925,-14.63,0,0,0,2.0417791088175763
-0.2028,0.9686,0.0872,-0.697,0.0419,0.0974,-2.485,0.9363,-14.5862,0,0,0,2.053892601274028
-0.2062,0.971,0.0877,-0.697,0.0419,0.0974,-2.8788,0.8487,-14.1662,0,0,0,2.065988397916566
-0.2016,0.9671,0.0905,-0.697,0.0411,0.0987,-3.325,0.91,-14.77,0,0,0,2.0781174626892613
-0.2008,0.9673,0.0921,-0.695,0.0406,0.0982,-3.3338,1.2775,-14.5513,0,0,0,2.0901838842807026
-0.2055,0.9672,0.0874,-0.695,0.0406,0.0982,-3.15,0.9975,-14.4637,0,0,0,2.102314364718511
-0.2045,0.9668,0.0868,-0.6976,0.0404,0.0978,-2.7562,1.155,-14.2187,0,0,0,2.1116733267811636
-0.2028,0.9685,0.092,-0.6976,0.0404,0.0978,-3.4213,0.945,-14.56,0,0,0,2.123802745470137
-0.2022,0.9667,0.0855,-0.6966,0.0422,0.0938,-2.6513,1.0237,-14.385,0,0,0,2.1358500555825515
-0.2038,0.9663,0.0818,-0.6978,0.0413,0.0972,-2.4938,1.2687,-14.6475,0,0,0,2.147959654959942
-0.2033,0.9678,0.0895,-0.6978,0.0413,0.0972,-1.9775,1.3125,-15.26,0,0,0,2.160082703155907
-0.206,0.9648,0.0888,-0.697,0.0398,0.0971,-2.9225,1.0937,-15.1375,0,0,0,2.172177084133332
-0.2033,0.9672,0.087,-0.697,0.0398,0.0971,-2.8875,1.2862,-14.805,0,0,0,2.1842675720316955
-0.2,0.9666,0.0862,-0.6966,0.0418,0.0967,-3.08,1.505,-14.4375,0,0,0,2.193649184736157
-0.2053,0.9691,0.0885,-0.6967,0.0411,0.0962,-2.5638,1.4,-14.4987,0,0,0,2.2057488744577562
-0.2048,0.9686,0.0872,-0.6967,0.0411,0.0962,-2.765,1.0237,-14.6037,0,0,0,2.217875815732782
-0.2026,0.9661,0.088,-0.6964,0.0402,0.0978,-2.6425,1.1025,-14.7262,0,0,0,2.229966657547424
-0.204,0.9681,0.0892,-0.6964,0.0402,0.0978,-2.7213,1.0762,-14.3062,0,0,0,2.2420359104690912
-0.2047,0.9664,0.0914,-0.6965,0.0421,0.1049,-2.7125,0.6825,-14.2975,0,0,0,2.2541593125813346
-0.2021,0.9672,0.0886,-0.696,0.0412,0.0944,-3.0013,1.1462,-14.4462,0,0,0,2.2663499587864497
-0.202,0.9662,0.0851,-0.696,0.0412,0.0944,-2.7738,0.9887,-14.6562,0,0,0,2.278411425549995
-0.2026,0.9684,0.086,-0.6973,0.0408,0.0974,-2.5813,0.875,-14.0875,0,0,0,2.2878001165800224
-0.2042,0.9666,0.088,-0.6973,0.0408,0.0974,-3.2813,1.1025,-14.4987,0,0,0,2.2998445953622104
