AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2578,-0.23,0.9104,-0.2733,0.6946,0.3665,-3.1675,1.3737,-8.715,0,0,0,1.6191669052643798
-0.2509,-0.2226,0.8785,-0.2718,0.6938,0.3739,-3.57,1.2425,-8.4875,0,0,0,1.631284247914644
-0.2566,-0.23,0.9082,-0.2718,0.6938,0.3739,-4.0338,1.1725,-9.31,0,0,0,1.643414331505834
-0.2572,-0.2315,0.9092,-0.2726,0.6946,0.3731,-3.9288,1.33,-8.6275,0,0,0,1.6554973443986045
-0.2574,-0.2295,0.9033,-0.2726,0.6946,0.3731,-3.605,1.0587,-9.0125,0,0,0,1.6675640772001923
-0.258,-0.2292,0.9041,-0.2732,0.6943,0.3681,-3.6837,1.3912,-8.3475,0,0,0,1.67977272992709
-0.2564,-0.2315,0.9097,-0.2719,0.6935,0.3739,-3.57,1.3125,-8.6625,0,0,0,1.6917598318478928
-0.2564,-0.2327,0.9079,-0.2719,0.6935,0.3739,-3.7538,1.2512,-8.9075,0,0,0,1.701195914263377
-0.2584,-0.2296,0.9064,-0.272,0.6934,0.3742,-3.2813,1.3212,-8.9687,0,0,0,1.7133334300701069
-0.2596,-0.2288,0.9084,-0.272,0.6934,0.3742,-2.975,1.4262,-8.6975,0,0,0,1.7253353964219897
-0.2542,-0.229,0.9077,-0.2722,0.6943,0.3729,-3.675,1.75,-9.3625,0,0,0,1.7374891923199023
-0.2558,-0.2299,0.9067,-0.2722,0.6943,0.3729,-3.4913,1.7937,-9.6075,0,0,0,1.7495693738924671
-0.2574,-0.2293,0.9053,-0.2736,0.693,0.3745,-2.975,1.1112,-9.8,0,0,0,1.7617486516722307
-0.2569,-0.2302,0.9106,-0.2722,0.6938,0.3706,-3.5788,0.9625,-8.9075,0,0,0,1.7737686676904247
-0.2569,-0.2306,0.9057,-0.2722,0.6938,0.3706,-3.5088,1.5487,-9.1962,0,0,0,1.783171836008518
