AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2724,-0.1966,0.911,-0.1794,0.7354,0.3362,-3.2025,1.1987,-10.7712,0,0,0
-0.2747,-0.1919,0.876,-0.18,0.7331,0.3433,-2.9663,1.6187,-10.8762,0,0,0
-0.2748,-0.1968,0.9118,-0.18,0.7331,0.3433,-3.535,1.1287,-10.5962,0,0,0
-0.2754,-0.1983,0.9125,-0.1817,0.7345,0.3363,-2.975,0.98,-10.4212,0,0,0
-0.2745,-0.1966,0.9153,-0.1793,0.7339,0.338,-3.045,1.365,-10.4912,0,0,0
-0.2733,-0.1978,0.9123,-0.1793,0.7339,0.338,-3.815,1.0587,-10.605,0,0,0
-0.2745,-0.1979,0.9137,-0.181,0.7342,0.3378,-3.185,0.8138,-10.3687,0,0,0
-0.2732,-0.1994,0.9147,-0.181,0.7342,0.3378,-3.6663,0.8487,-9.9837,0,0,0
-0.2753,-0.1979,0.918,-0.1807,0.7324,0.3357,-3.745,1.47,-10.2462,0,0,0
-0.276,-0.1979,0.9138,-0.1807,0.7324,0.3357,-3.5263,1.3387,-10.5612,0,0,0
-0.2725,-0.1968,0.9115,-0.1834,0.7329,0.3376,-3.3775,1.2163,-10.535,0,0,0
-0.2753,-0.1981,0.909,-0.1785,0.7338,0.3369,-3.5088,1.4875,-10.2025,0,0,0
-0.2714,-0.1981,0.9142,-0.1785,0.7338,0.3369,-4.0163,1.3912,-10.2462,0,0,0
-0.2738,-0.1983,0.9153,-0.1771,0.7334,0.3379,-3.3338,1.1725,-10.8062,0,0,0
-0.2749,-0.1984,0.9168,-0.1771,0.7334,0.3379,-3.0975,1.1725,-10.5437,0,0,0
-0.2723,-0.1966,0.9126,-0.1783,0.7325,0.34,-3.8588,1.4875,-10.2287,0,0,0
-0.2774,-0.1986,0.9057,-0.1818,0.7334,0.3373,-3.92,1.6013,-10.7975,0,0,0
-0.2722,-0.1975,0.9159,-0.1818,0.7334,0.3373,-3.2025,1.365,-10.6487,0,0,0
-0.2716,-0.1968,0.911,-0.1787,0.7334,0.3378,-2.4675,1.2687,-10.395,0,0,0
-0.2761,-0.1979,0.9192,-0.1787,0.7334,0.3378,-3.6138,1.6013,-10.01,0,0,0
-0.2727,-0.1986,0.9112,-0.1802,0.7339,0.3461,-2.9663,1.2337,-10.4038,0,0,0
-0.2772,-0.1978,0.9126,-0.1788,0.7346,0.3374,-3.1325,1.0937,-10.5612,0,0,0
-0.2722,-0.197,0.9101,-0.1788,0.7346,0.3374,-2.8525,0.9363,-10.5612,0,0,0
-0.2745,-0.1978,0.909,-0.1796,0.7349,0.3369,-3.08,1.155,-10.6225,0,0,0
-0.274,-0.1997,0.9126,-0.1796,0.7349,0.3369,-3.3163,0.98,-10.3162,0,0,0
-0.2756,-0.1979,0.9119,-0.1805,0.7325,0.3356,-3.3513,1.0412,-10.5612,0,0,0
-0.2741,-0.1967,0.9134,-0.1763,0.7323,0.3378,-3.7538,1.33,-10.4212,0,0,0
-0.2725,-0.1979,0.9095,-0.1763,0.7323,0.3378,-3.3513,1.2337,-10.5262,0,0,0
-0.2772,-0.1984,0.9094,-0.1846,0.7325,0.3415,-3.3338,1.2075,-10.08,0,0,0
-0.275,-0.1989,0.9141,-0.1846,0.7325,0.3415,-3.4213,1.505,-10.0362,0,0,0
-0.2734,-0.1992,0.9172,-0.1802,0.7339,0.3461,-3.5963,1.7587,-10.8413,0,0,0
-0.2734,-0.1975,0.9154,-0.1786,0.7322,0.3363,-3.36,0.9275,-10.1237,0,0,0
-0.274,-0.1986,0.9108,-0.1786,0.7322,0.3363,-3.36,1.61,-10.1763,0,0,0
-0.2752,-0.1971,0.9066,-0.1802,0.7334,0.3398,-3.6837,1.6975,-10.5525,0,0,0
-0.2768,-0.1957,0.9138,-0.1802,0.7334,0.3398,-3.8325,1.3562,-10.0712,0,0,0
-0.2729,-0.1975,0.9149,-0.1816,0.7334,0.336,-3.9725,1.295,-10.5,0,0,0
-0.2736,-0.199,0.914,-0.1797,0.7326,0.3388,-3.9025,1.3912,-10.465,0,0,0
-0.2736,-0.1994,0.9101,-0.1797,0.7326,0.3388,-4.305,1.7062,-10.1763,0,0,0
-0.275,-0.1989,0.9096,-0.1798,0.7346,0.3429,-3.57,1.4175,-10.5087,0,0,0
-0.2738,-0.1978,0.913,-0.1798,0.7346,0.3429,-3.255,1.1287,-10.7712,0,0,0
-0.2743,-0.1989,0.9159,-0.1791,0.735,0.3358,-3.7188,1.3475,-10.465,0,0,0
-0.2739,-0.1962,0.9077,-0.1774,0.7326,0.3364,-3.8413,0.91,-10.8238,0,0,0
-0.2782,-0.1984,0.9113,-0.1774,0.7326,0.3364,-3.29,0.8925,-10.9287,0,0,0
