AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2633,-0.2217,0.9055,-0.2705,0.689,0.3663,-3.5963,1.4875,-9.4062,0,0,0,1.6212642057067383
-0.2599,-0.2114,0.8648,-0.2706,0.6886,0.3713,-3.115,1.1638,-9.1087,0,0,0,1.6333574821352543
-0.2628,-0.2237,0.906,-0.2706,0.6886,0.3713,-3.5963,1.505,-9.7212,0,0,0,1.6428126759621269
-0.2599,-0.2205,0.9045,-0.269,0.6907,0.3691,-3.7713,1.2687,-9.5375,0,0,0,1.6548394163658096
-0.2633,-0.2195,0.906,-0.269,0.6907,0.3691,-4.2875,1.5662,-9.4587,0,0,0,1.666923491003657
-0.2617,-0.2216,0.9072,-0.2694,0.6881,0.368,-3.5788,1.2337,-9.8525,0,0,0,1.6790086273865819
-0.2621,-0.2234,0.9032,-0.2694,0.6882,0.3754,-3.7188,1.8987,-9.8437,0,0,0,1.6911829503559854
-0.2598,-0.2225,0.9055,-0.2694,0.6882,0.3754,-3.3163,1.0937,-9.6862,0,0,0,1.7032507449026504
-0.264,-0.2197,0.8956,-0.2686,0.6888,0.3713,-3.5175,1.4262,-9.975,0,0,0,1.715377643258609
-0.2659,-0.2214,0.9068,-0.2686,0.6888,0.3713,-3.3688,1.6275,-9.5375,0,0,0,1.7251042899102011
-0.2616,-0.2194,0.9106,-0.2689,0.6889,0.3697,-4.025,1.6362,-9.3187,0,0,0,1.7368454208881356
-0.2606,-0.2213,0.9094,-0.2689,0.6889,0.3697,-4.1125,1.1987,-9.3975,0,0,0,1.7489839984399427
-0.263,-0.2216,0.9076,-0.2688,0.6915,0.3722,-3.535,1.015,-9.625,0,0,0,1.7610160475690109
-0.2625,-0.2199,0.9073,-0.2708,0.6886,0.3741,-3.5613,1.0587,-9.7388,0,0,0,1.7731443615850722
-0.2603,-0.2206,0.9085,-0.2708,0.6886,0.3741,-3.815,1.4088,-8.7062,0,0,0,1.7852878939472392
-0.2627,-0.224,0.9065,-0.2706,0.6869,0.371,-3.6488,1.5137,-8.96,0,0,0,1.7973999278721178
-0.2674,-0.2197,0.9084,-0.2706,0.6869,0.371,-4.4363,1.4262,-9.4937,0,0,0,1.8067563794068173
-0.261,-0.2206,0.9102,-0.2692,0.6893,0.3702,-4.025,1.47,-9.1175,0,0,0,1.818907343984524
-0.2591,-0.2225,0.9071,-0.2692,0.6893,0.3688,-4.025,1.7937,-8.7587,0,0,0,1.8309514262244664
-0.2619,-0.2194,0.9071,-0.271,0.6874,0.3688,-3.605,1.3387,-9.2137,0,0,0,1.8430531966135997
-0.2632,-0.2207,0.9057,-0.2704,0.6897,0.3698,-3.6312,1.0325,-8.925,0,0,0,1.855191066335355
-0.2616,-0.221,0.9043,-0.2704,0.6897,0.3698,-3.99,0.9887,-9.3013,0,0,0,1.8672524904115573
-0.2641,-0.2212,0.908,-0.2692,0.6906,0.3697,-3.7625,1.0412,-9.66,0,0,0,1.8793797426825416
-0.2641,-0.2192,0.9065,-0.2692,0.6906,0.3697,-3.2987,0.9887,-9.87,0,0,0,1.891492130522446
-0.2628,-0.2214,0.9115,-0.271,0.6894,0.3696,-4.1038,1.2862,-9.2662,0,0,0,1.9010931373399111
-0.2636,-0.2216,0.9088,-0.2698,0.69,0.3709,-3.6312,1.2075,-9.205,0,0,0,1.913188891173607
-0.2641,-0.222,0.9002,-0.2698,0.69,0.3709,-3.6225,0.9538,-9.4237,0,0,0,1.9250365505742804
-0.261,-0.2199,0.9081,-0.2698,0.6895,0.3721,-4.2525,1.6975,-9.3187,0,0,0,1.9372161822690697
-0.2594,-0.2214,0.9162,-0.2698,0.6895,0.3721,-3.465,1.5225,-9.7388,0,0,0,1.9492620340841407
-0.26,-0.2203,0.9082,-0.27,0.6894,0.3709,-3.0013,1.225,-9.0562,0,0,0,1.9613896402701505
-0.2644,-0.2215,0.9082,-0.2729,0.6894,0.371,-3.6138,1.4612,-9.0125,0,0,0,1.973467698352561
-0.2608,-0.2198,0.9088,-0.2729,0.6894,0.371,-4.1125,1.3737,-9.6337,0,0,0,1.98287122058568
-0.2639,-0.22,0.9007,-0.2704,0.6874,0.371,-3.185,1.2425,-9.415,0,0,0,1.9949676822494273
-0.2639,-0.2228,0.9082,-0.2704,0.6874,0.371,-3.4038,1.4,-9.3625,0,0,0,2.007134573003291
-0.261,-0.2226,0.9084,-0.2707,0.69,0.3717,-3.675,1.3037,-9.7737,0,0,0,2.019121674924094
-0.2617,-0.2223,0.91,-0.2709,0.6894,0.3708,-3.7888,1.4437,-9.2662,0,0,0,2.0312365401691785
-0.2613,-0.2215,0.9052,-0.2709,0.6894,0.3708,-2.6163,1.2075,-9.94,0,0,0,2.043381842106474
-0.2608,-0.2204,0.9096,-0.2717,0.6894,0.3702,-3.605,1.1025,-9.1962,0,0,0,2.0554758263650412
-0.261,-0.2211,0.9049,-0.2717,0.6894,0.3702,-4.375,1.435,-9.1087,0,0,0,2.0675315878008322
-0.2618,-0.22,0.9073,-0.2696,0.6903,0.3742,-3.36,1.3212,-9.555,0,0,0,2.0769390030992336
-0.2646,-0.222,0.9077,-0.2755,0.6883,0.3678,-4.0862,1.4962,-9.3187,0,0,0,2.0890644857950895
-0.2638,-0.2206,0.9069,-0.2755,0.6883,0.3678,-3.08,1.3475,-9.8525,0,0,0,2.1011673179292996
-0.2627,-0.2222,0.9082,-0.2682,0.6884,0.37,-3.2113,0.9187,-9.6687,0,0,0,2.1132637795930473
-0.2625,-0.2235,0.9059,-0.2682,0.6884,0.37,-3.4213,0.9975,-9.6512,0,0,0,2.125335467204995
-0.2614,-0.2236,0.9064,-0.2682,0.6876,0.369,-3.5175,1.3125,-9.7737,0,0,0,2.137444669809668
-0.2609,-0.2215,0.9071,-0.2701,0.69,0.3668,-3.6925,1.3562,-9.8175,0,0,0,2.1495935108972204
-0.2616,-0.2203,0.9059,-0.2701,0.69,0.3668,-3.7362,1.4962,-9.2837,0,0,0,2.1589227109749403
-0.2631,-0.2217,0.9074,-0.2693,0.6921,0.3706,-3.7888,1.4875,-9.6775,0,0,0,2.170994044671862
-0.2652,-0.2192,0.9071,-0.2693,0.6921,0.3706,-2.9925,1.4612,-9.8175,0,0,0,2.183147486654749
-0.2617,-0.219,0.9063,-0.2694,0.6891,0.3709,-3.8588,1.6013,-9.1612,0,0,0,2.195216342946491
-0.2622,-0.2222,0.9047,-0.2694,0.6891,0.3709,-3.71,1.365,-9.5113,0,0,0,2.207348903942861
-0.2652,-0.222,0.9038,-0.2717,0.6897,0.3723,-3.7975,1.4525,-9.2837,0,0,0,2.2194814649392307
-0.2604,-0.2222,0.91,-0.2717,0.6892,0.371,-3.5088,1.05,-9.7125,0,0,0,2.2315549221263073
-0.2611,-0.2216,0.9073,-0.2717,0.6892,0.371,-3.99,1.365,-10.01,0,0,0,2.243723228540274
-0.263,-0.2217,0.9072,-0.2691,0.6881,0.3731,-3.4563,1.2687,-9.2225,0,0,0,2.2530963140811817
-0.2641,-0.2205,0.9024,-0.2691,0.6881,0.3731,-3.7713,1.3737,-9.6512,0,0,0,2.2651970227252374
-0.2622,-0.2198,0.9079,-0.27,0.6891,0.3714,-4.13,1.2163,-9.4062,0,0,0,2.2772634016118
-0.2608,-0.2206,0.9069,-0.2694,0.6898,0.3706,-3.9813,1.4088,-9.4587,0,0,0,2.2893814520921154
-0.26,-0.222,0.9107,-0.2694,0.6898,0.3706,-4.3488,1.715,-9.0825,0,0,0,2.3015016260625853
-0.2599,-0.2203,0.908,-0.2743,0.69,0.3708,-3.6488,1.2075,-9.5725,0,0,0,2.313722665815383
-0.2622,-0.2212,0.9004,-0.2743,0.69,0.3708,-4.2263,1.5487,-9.3975,0,0,0,2.3257763037610193
-0.2634,-0.222,0.9084,-0.2706,0.689,0.3694,-3.6488,1.61,-9.59,0,0,0,2.3350771906366825
-0.2644,-0.2201,0.9062,-0.271,0.6902,0.3703,-2.9838,0.8225,-10.5175,0,0,0,2.3472525753511633
-0.2625,-0.2199,0.9076,-0.271,0.6902,0.3703,-3.395,0.9713,-10.1675,0,0,0,2.3595734191412108
