AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2598,-0.2225,0.9082,-0.2605,0.6903,0.3668,-4.3925,1.1462,-9.4237,0,0,0,1.6195300220807585
-0.2564,-0.2143,0.8714,-0.2667,0.6902,0.37,-3.4825,0.945,-9.0037,0,0,0,1.63177548197033
-0.2582,-0.221,0.9107,-0.2667,0.6902,0.37,-3.465,1.5662,-9.1875,0,0,0,1.6437346246041018
-0.26,-0.2258,0.9099,-0.2644,0.691,0.3677,-3.8675,1.61,-9.1175,0,0,0,1.6558760334761145
-0.2595,-0.2253,0.9105,-0.2635,0.6915,0.3686,-3.185,1.6625,-9.31,0,0,0,1.6679519680683708
-0.2589,-0.221,0.9037,-0.2635,0.6915,0.3686,-3.71,1.435,-9.4062,0,0,0,1.6800813438295092
-0.2583,-0.2234,0.9097,-0.2638,0.6887,0.3714,-3.7975,1.3212,-9.1787,0,0,0,1.6894278857434888
-0.2587,-0.223,0.9096,-0.2638,0.6887,0.3714,-3.3513,1.33,-9.4412,0,0,0,1.7015682328704245
-0.2587,-0.2198,0.9049,-0.2641,0.6904,0.3673,-3.4738,1.2425,-9.6075,0,0,0,1.7136296569466265
-0.2613,-0.2229,0.907,-0.2641,0.6904,0.3673,-4.025,1.3037,-9.3362,0,0,0,1.7257692962435107
-0.26,-0.2234,0.9082,-0.266,0.6914,0.3679,-3.92,1.1812,-9.5812,0,0,0,1.7379531749186086
-0.2564,-0.2222,0.9084,-0.2644,0.6901,0.3747,-3.6663,1.435,-9.1525,0,0,0,1.7499795614072653
-0.2583,-0.2237,0.909,-0.2644,0.6901,0.3747,-3.9988,1.295,-9.5725,0,0,0,1.7621117684886096
-0.2596,-0.2212,0.9044,-0.264,0.6908,0.3686,-3.0975,0.9013,-9.24,0,0,0,1.774122582716135
-0.2613,-0.2197,0.9046,-0.264,0.6908,0.3686,-3.5088,1.8288,-8.96,0,0,0,1.7835282284394083
-0.257,-0.2228,0.9073,-0.2632,0.6909,0.3666,-3.5788,1.3737,-8.7062,0,0,0,1.7956629129259325
-0.253,-0.2214,0.9159,-0.2632,0.6909,0.3871,-3.3863,1.2075,-8.855,0,0,0,1.8077607902497828
-0.257,-0.2207,0.9074,-0.2627,0.6899,0.3725,-3.3688,1.5662,-8.8638,0,0,0,1.819824691731165
-0.2619,-0.2224,0.9035,-0.2642,0.689,0.3701,-3.7188,1.0675,-8.9775,0,0,0,1.8319544214073291
-0.2529,-0.2236,0.9111,-0.2642,0.689,0.3701,-3.3513,0.77,-9.2225,0,0,0,1.8440668092472334
-0.2611,-0.2203,0.9069,-0.2639,0.6905,0.3667,-3.2462,1.3125,-9.2662,0,0,0,1.8561905223679607
-0.2622,-0.221,0.9085,-0.2639,0.6905,0.3667,-3.1675,1.1812,-9.7475,0,0,0,1.86580108489112
-0.2555,-0.2239,0.9069,-0.2636,0.6907,0.3682,-3.255,1.0587,-9.835,0,0,0,1.8776317563705591
-0.2564,-0.2237,0.9101,-0.2639,0.69,0.3702,-3.8325,1.3387,-9.7212,0,0,0,1.8897505146809261
-0.2597,-0.2235,0.9083,-0.2639,0.69,0.3702,-4.305,1.2075,-9.0212,0,0,0,1.9018367128089282
-0.2591,-0.2281,0.9057,-0.2644,0.6908,0.3706,-3.7275,1.2425,-8.7762,0,0,0,1.913960779844681
-0.2574,-0.2229,0.9071,-0.2644,0.6908,0.3706,-3.2375,1.12,-9.0475,0,0,0,1.9260526406130942
-0.2574,-0.2178,0.9107,-0.2631,0.6897,0.3682,-3.6312,1.68,-8.8725,0,0,0,1.9382174078768037
-0.2578,-0.2213,0.9093,-0.2647,0.6891,0.3697,-3.6488,1.9162,-8.9862,0,0,0,1.9502214977188408
-0.2609,-0.2217,0.9074,-0.2647,0.6891,0.3697,-4.06,1.4525,-8.5837,0,0,0,1.9598274593466658
