AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.2622,-0.2208,0.9086,-0.2678,0.6882,0.374,-3.57,1.5225,-8.6363,0,0,0,1.6200934548016892
-0.2525,-0.2151,0.8788,-0.2679,0.6882,0.374,-2.9838,1.3387,-9.17,0,0,0,1.6322178757524677
-0.2573,-0.2258,0.9053,-0.2648,0.6906,0.371,-3.43,1.3037,-9.7825,0,0,0,1.6442722215281556
-0.2579,-0.2186,0.906,-0.2648,0.6906,0.371,-3.955,1.6362,-9.59,0,0,0,1.6563962885639085
-0.2552,-0.224,0.907,-0.2663,0.689,0.3709,-3.6837,1.4175,-9.4587,0,0,0,1.6685072607437101
-0.2539,-0.2269,0.9099,-0.2663,0.689,0.3709,-3.4563,1.4437,-8.7587,0,0,0,1.6779727181063282
-0.2572,-0.222,0.9107,-0.2646,0.6907,0.3667,-3.9288,0.98,-9.4062,0,0,0,1.6899506182364628
-0.2624,-0.2224,0.91,-0.2658,0.6893,0.3667,-4.8213,1.3737,-9.5288,0,0,0,1.7020707922069327
-0.2607,-0.2253,0.9078,-0.2658,0.6893,0.3667,-3.7625,1.5137,-9.415,0,0,0,1.7144440154207856
-0.2627,-0.2269,0.9069,-0.2666,0.6887,0.371,-3.57,1.4437,-9.4237,0,0,0,1.7263277741540812
-0.2582,-0.2196,0.9116,-0.2666,0.6887,0.371,-3.8675,1.6625,-9.3275,0,0,0,1.7383814120997179
-0.2547,-0.2233,0.9115,-0.2661,0.6873,0.3698,-3.7275,1.575,-9.2575,0,0,0,1.750538039317836
-0.2577,-0.2232,0.9085,-0.2661,0.6873,0.3698,-3.4038,1.5575,-9.6862,0,0,0,1.7599210344794636
-0.258,-0.221,0.9111,-0.2675,0.6907,0.3658,-4.0163,0.9713,-9.1437,0,0,0,1.7723069986342421
-0.2575,-0.2228,0.9108,-0.2658,0.6902,0.371,-4.585,1.0675,-9.5987,0,0,0,1.7840969698857245
-0.256,-0.2267,0.9053,-0.2658,0.6902,0.371,-4.3838,1.05,-10.01,0,0,0,1.796258197999177
-0.2602,-0.2206,0.9081,-0.267,0.6891,0.3695,-3.465,1.2775,-10.0187,0,0,0,1.8083896972504696
-0.2602,-0.2256,0.9124,-0.267,0.6891,0.3695,-3.2462,1.2512,-9.8787,0,0,0,1.820488636319397
-0.261,-0.2241,0.9101,-0.2673,0.6883,0.3719,-3.71,1.05,-9.1175,0,0,0,1.8326438478774125
-0.2562,-0.22,0.9116,-0.2662,0.6895,0.3697,-3.4038,1.505,-9.3013,0,0,0,1.8447141198292574
-0.2585,-0.2204,0.9063,-0.2662,0.6895,0.3697,-3.01,1.5312,-9.7562,0,0,0,1.8541087941867334
-0.2582,-0.2242,0.908,-0.2682,0.689,0.3697,-3.0275,1.3212,-9.3975,0,0,0,1.8661801278836554
-0.2586,-0.2209,0.9126,-0.2682,0.689,0.3697,-3.5438,1.4088,-8.7587,0,0,0,1.8783268454810538
