AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.0246,-0.0084,0.9529,-0.2518,0.5272,0.3382,-2.7738,0.7525,-10.0012,0,0,0,1.619329352261181
-0.0348,-0.0048,0.9158,-0.2533,0.5278,0.3372,-2.5113,1.015,-9.3362,0,0,0,1.6314435096762139
-0.0317,-0.0078,0.9418,-0.2533,0.5278,0.3372,-2.9313,1.1638,-9.0738,0,0,0,1.643498917196979
-0.0265,-0.0103,0.9489,-0.2524,0.5268,0.3378,-2.87,1.2075,-9.7912,0,0,0,1.655638556493863
-0.025,-0.0109,0.9525,-0.2524,0.527,0.3385,-3.1675,1.0237,-9.485,0,0,0,1.6677389112228933
-0.0268,-0.007,0.9517,-0.2536,0.527,0.3385,-3.0975,1.4088,-8.9425,0,0,0,1.6798675791539803
-0.0246,-0.0073,0.9416,-0.2526,0.5257,0.3393,-2.4325,0.8838,-9.3712,0,0,0,1.6919258179949512
-0.0224,-0.0094,0.9506,-0.2526,0.5257,0.3393,-2.5113,0.6212,-9.6775,0,0,0,1.7012766068892393
-0.0236,-0.0085,0.9528,-0.2518,0.5276,0.339,-3.115,0.9013,-9.3275,0,0,0,1.713432526277306
-0.0272,-0.0068,0.9446,-0.2518,0.5276,0.339,-3.115,0.7525,-9.7562,0,0,0,1.7255746429793701
-0.0311,-0.0068,0.9435,-0.2536,0.5271,0.3355,-2.9838,0.98,-9.555,0,0,0,1.7376473923363949
-0.0299,-0.0045,0.9439,-0.2536,0.5277,0.3428,-3.3425,1.12,-9.1262,0,0,0,1.7496989067918771
-0.0267,-0.0099,0.9459,-0.2507,0.5277,0.3428,-2.8788,0.91,-9.0037,0,0,0,1.7618420852390184
-0.0215,-0.009,0.9533,-0.2533,0.5285,0.3383,-2.6775,1.155,-9.205,0,0,0,1.773975000150414
-0.0223,-0.0085,0.944,-0.2533,0.5285,0.3383,-2.7388,1.155,-9.7125,0,0,0,1.7860555356380046
-0.023,-0.0076,0.95,-0.251,0.5264,0.3388,-2.9575,1.4437,-9.6162,0,0,0,1.79539004444111
-0.027,-0.007,0.9512,-0.251,0.5264,0.3388,-3.4388,1.1987,-9.695,0,0,0,1.807533222888251
-0.026,-0.0073,0.9498,-0.2508,0.5274,0.3334,-3.36,0.4812,-9.1875,0,0,0,1.8196381785126157
-0.03,-0.0065,0.9511,-0.2517,0.5268,0.3386,-2.4237,0.9887,-9.3975,0,0,0,1.83174313413698
-0.0265,-0.0064,0.9496,-0.2517,0.5268,0.3386,-2.6775,1.0937,-9.8525,0,0,0,1.8438693246628872
-0.0227,-0.0077,0.9456,-0.2517,0.5276,0.3376,-3.2375,1.2862,-9.2837,0,0,0,1.8559558767059148
-0.0272,-0.0077,0.9449,-0.2517,0.5276,0.3376,-3.3863,1.4437,-9.9312,0,0,0,1.8680725115261276
-0.0256,-0.0078,0.947,-0.2521,0.5286,0.3414,-2.5988,1.1462,-9.5812,0,0,0,1.8774148064597986
-0.0255,-0.0088,0.9448,-0.2521,0.5262,0.3386,-3.36,1.0762,-9.975,0,0,0,1.8895877137690995
-0.0242,-0.008,0.9489,-0.2521,0.5262,0.3386,-3.5263,0.7263,-10.675,0,0,0,1.9016848832628985
-0.0246,-0.0085,0.9509,-0.2523,0.5263,0.3371,-3.2113,1.1638,-9.9137,0,0,0,1.9138372635007082
-0.0273,-0.0071,0.947,-0.2523,0.5263,0.3371,-3.2375,0.805,-9.31,0,0,0,1.9260059238297005
-0.0252,-0.0089,0.9481,-0.2521,0.5261,0.333,-2.8,0.7613,-9.7388,0,0,0,1.9379955031556835
-0.027,-0.0079,0.9462,-0.252,0.5273,0.3412,-2.4063,1.12,-9.8087,0,0,0,1.9500742690681454
-0.0252,-0.0066,0.9507,-0.252,0.5273,0.3412,-3.01,1.2075,-9.6425,0,0,0,1.9621909038883583
-0.0217,-0.0075,0.9512,-0.2516,0.5278,0.3372,-3.465,1.12,-9.5288,0,0,0,1.9715777921152688
-0.0227,-0.0085,0.9498,-0.2516,0.5278,0.3372,-2.9488,1.0325,-10.29,0,0,0,1.9837351271634385
-0.0253,-0.0081,0.9456,-0.2502,0.5265,0.3429,-3.2813,1.4175,-10.185,0,0,0,1.9959172362634077
-0.0271,-0.0061,0.9427,-0.2536,0.5274,0.3373,-3.325,1.3037,-9.5725,0,0,0,2.0079556558629386
-0.0257,-0.0068,0.9449,-0.2536,0.5274,0.3373,-2.835,0.9625,-10.185,0,0,0,2.020096002989874
-0.0272,-0.0065,0.946,-0.2518,0.5265,0.3383,-2.6513,0.9887,-9.66,0,0,0,2.032259000678455
-0.0243,-0.0079,0.9453,-0.2518,0.5265,0.3383,-2.625,0.735,-9.8262,0,0,0,2.0443904999297478
-0.0266,-0.0072,0.9437,-0.2528,0.5276,0.3362,-2.7037,0.665,-9.9488,0,0,0,2.056595613506388
-0.0254,-0.0059,0.9431,-0.252,0.5268,0.3395,-2.5725,0.6388,-9.9925,0,0,0,2.0657970502598264
-0.0235,-0.0063,0.9506,-0.252,0.5268,0.3395,-3.0975,0.7175,-9.9137,0,0,0,2.0779310269162994
-0.0256,-0.0088,0.9502,-0.2514,0.5266,0.3381,-3.15,0.7788,-9.5113,0,0,0,2.090134724832837
-0.0278,-0.0085,0.9464,-0.2514,0.5266,0.3381,-3.29,1.0587,-9.065,0,0,0,2.1022187994706845
-0.0261,-0.0068,0.9445,-0.2536,0.528,0.3437,-2.7388,1.015,-9.2137,0,0,0,2.1142172266723103
-0.0262,-0.0066,0.9486,-0.2536,0.528,0.3437,-3.1675,0.6212,-8.995,0,0,0,2.1263678373349912
-0.0264,-0.0068,0.9509,-0.2525,0.5262,0.3413,-2.8263,1.0062,-9.3975,0,0,0,2.138479163429819
-0.024,-0.0078,0.9522,-0.2515,0.5275,0.3375,-2.8438,0.945,-9.5288,0,0,0,2.1505908434396717
-0.024,-0.0065,0.9492,-0.2515,0.5275,0.3375,-3.0363,1.19,-9.7737,0,0,0,2.1600286954302845
-0.0261,-0.0056,0.9511,-0.2521,0.5278,0.3382,-2.6513,1.2163,-10.1763,0,0,0,2.172088703846384
-0.0255,-0.0063,0.9492,-0.2521,0.5278,0.3382,-2.8,1.0062,-10.01,0,0,0,2.1842601954955816
-0.025,-0.0075,0.9427,-0.2519,0.5274,0.3403,-2.6688,0.7175,-10.01,0,0,0,2.196433810634934
-0.0267,-0.0074,0.9447,-0.2535,0.5267,0.3379,-2.5638,0.5163,-10.0712,0,0,0,2.2086286606758287
-0.0265,-0.007,0.955,-0.2535,0.5267,0.3379,-2.9575,0.9538,-10.4038,0,0,0,2.220746357241119
-0.0262,-0.0073,0.944,-0.2528,0.527,0.3392,-2.9925,1.4088,-10.045,0,0,0,2.232879272152515
-0.0262,-0.0071,0.9445,-0.2528,0.527,0.3392,-2.45,1.225,-9.6687,0,0,0,2.245048286396533
-0.0256,-0.0077,0.9444,-0.2496,0.5285,0.3362,-3.2025,1.085,-9.7475,0,0,0,2.25714474806028
-0.0257,-0.0071,0.9494,-0.2521,0.5262,0.3386,-3.0538,1.0587,-9.9488,0,0,0,2.26644669668102
-0.0273,-0.0071,0.9511,-0.2521,0.5262,0.3386,-3.85,1.12,-9.2575,0,0,0,2.2785520062204103
-0.0267,-0.0035,0.9482,-0.2518,0.5264,0.3381,-3.1063,0.7088,-10.0012,0,0,0,2.2907585354571536
-0.0247,-0.0072,0.9467,-0.2518,0.5264,0.3381,-3.1238,0.9187,-9.7037,0,0,0,2.3028581823561325
-0.0265,-0.0049,0.9462,-0.2516,0.5279,0.3407,-2.9925,1.2775,-9.17,0,0,0,2.3149040341712035
