AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.0306,-0.9922,0.1046,-0.2878,1.0066,0.2318,-2.5638,1.0062,-7.0,0,0,0,1.6195572735377382
-0.0323,-0.9646,0.1039,-0.2898,1.0048,0.2309,-3.0713,0.7788,-6.9738,0,0,0,1.6315291571124357
-0.0273,-0.9909,0.1034,-0.2898,1.0048,0.2309,-3.29,1.2775,-7.2713,0,0,0,1.6436595946186514
-0.0267,-0.9913,0.091,-0.2901,1.0069,0.2341,-3.4913,1.2687,-7.2537,0,0,0,1.6557022611984908
-0.0224,-0.989,0.0887,-0.2901,1.0077,0.2326,-2.9138,0.6825,-6.9563,0,0,0,1.6678068629078295
-0.0228,-0.9891,0.0906,-0.2916,1.0077,0.2326,-2.7913,0.8838,-7.245,0,0,0,1.6799663214461535
-0.0239,-0.9921,0.086,-0.2904,1.0066,0.2308,-3.08,1.12,-6.8513,0,0,0,1.6920758779658522
-0.0235,-0.989,0.1019,-0.2904,1.0066,0.2308,-1.8025,1.54,-6.4313,0,0,0,1.7013679169658724
-0.0285,-0.9877,0.1146,-0.2884,1.0066,0.2321,-1.2425,1.0675,-7.0963,0,0,0,1.7137241522584912
-0.0301,-0.9899,0.1168,-0.2884,1.0066,0.2321,-1.4,1.3825,-6.9388,0,0,0,1.7256390555140493
-0.0289,-0.9889,0.1136,-0.2913,1.0065,0.2367,-3.5525,0.9975,-6.51,0,0,0,1.737726669302154
-0.0292,-0.992,0.1042,-0.2886,1.0046,0.2302,-3.7188,1.0587,-6.9212,0,0,0,1.7499151488725861
-0.0331,-0.9964,0.0925,-0.2886,1.0046,0.2302,-3.9288,1.1112,-6.8688,0,0,0,1.7619284405052917
-0.0308,-0.9963,0.0805,-0.2938,1.008,0.2321,-3.0888,0.7613,-6.615,0,0,0,1.7740595858415587
-0.0251,-0.9905,0.0846,-0.2938,1.008,0.2321,-2.5725,1.0675,-7.0437,0,0,0,1.783401526860204
-0.019,-0.9904,0.0886,-0.2898,1.007,0.2314,-1.435,1.3387,-7.0088,0,0,0,1.795563108888682
-0.0221,-0.9883,0.1005,-0.2898,1.007,0.2314,-1.2337,1.1287,-6.9212,0,0,0,1.8075944501876988
-0.0246,-0.988,0.1082,-0.2877,1.0059,0.2281,-2.0125,1.4525,-6.7375,0,0,0,1.819698697982012
-0.0268,-0.9881,0.1105,-0.2859,1.0057,0.2317,-2.485,0.8312,-6.3787,0,0,0,1.8317997605410936
-0.0299,-0.9895,0.1027,-0.2859,1.0057,0.2317,-3.4563,0.665,-6.3438,0,0,0,1.843936568517772
-0.0282,-0.9885,0.0986,-0.289,1.0065,0.2322,-4.1563,1.0237,-6.475,0,0,0,1.8560627590436791
-0.0259,-0.9925,0.0915,-0.289,1.0065,0.2322,-4.1475,0.9887,-6.1338,0,0,0,1.8680526922846878
-0.0239,-0.993,0.0864,-0.2914,1.0058,0.2337,-3.6925,1.085,-6.0988,0,0,0,1.8774965608307377
-0.0286,-0.9925,0.0911,-0.2905,1.0052,0.2323,-3.15,1.2687,-6.4225,0,0,0,1.8896185043763363
-0.0264,-0.991,0.0901,-0.2905,1.0052,0.2323,-2.555,1.0937,-6.4313,0,0,0,1.9017754855094802
-0.0234,-0.9905,0.1106,-0.2926,1.0065,0.2307,-1.8025,1.0062,-6.6238,0,0,0,1.9137756822862346
-0.0263,-0.9892,0.1064,-0.2926,1.0065,0.2307,-1.61,0.91,-6.4138,0,0,0,1.9259231077136842
-0.0251,-0.9882,0.1107,-0.2894,1.0064,0.2292,-3.1937,1.1112,-6.9212,0,0,0,1.9380478825794885
