AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2849,-0.1759,0.9165,-0.2824,0.7595,0.4113,-3.5263,1.1025,-9.8175,0,0,0
-0.2802,-0.1712,0.8756,-0.2822,0.7614,0.4113,-3.3863,1.2512,-10.1325,0,0,0
-0.2858,-0.1742,0.9101,-0.2822,0.7614,0.4113,-3.2025,0.77,-9.6775,0,0,0
-0.2843,-0.1751,0.9134,-0.2863,0.7608,0.4093,-3.08,1.155,-10.4387,0,0,0
-0.283,-0.1752,0.9154,-0.2863,0.7608,0.4093,-3.43,1.61,-10.15,0,0,0
-0.2811,-0.1773,0.9166,-0.2842,0.7593,0.4186,-3.64,1.0937,-9.7825,0,0,0
-0.2854,-0.1789,0.9103,-0.2814,0.7596,0.4116,-3.4563,1.12,-9.625,0,0,0
-0.2859,-0.1773,0.9159,-0.2814,0.7596,0.4116,-3.4038,1.3125,-9.695,0,0,0
-0.2854,-0.1756,0.9104,-0.2825,0.7602,0.4119,-3.5438,1.3212,-10.0275,0,0,0
-0.2872,-0.176,0.9127,-0.2825,0.7602,0.4119,-2.9488,1.295,-9.9663,0,0,0
-0.2836,-0.1773,0.9173,-0.2802,0.7607,0.4114,-3.5525,1.715,-10.2287,0,0,0
-0.279,-0.177,0.9158,-0.2802,0.7607,0.4114,-3.6575,1.2862,-10.22,0,0,0
-0.2833,-0.1773,0.912,-0.2834,0.7578,0.4119,-4.0075,1.2163,-10.29,0,0,0
-0.285,-0.1756,0.9112,-0.2836,0.7586,0.4112,-3.4038,1.2163,-9.7912,0,0,0
-0.2832,-0.1787,0.9151,-0.2836,0.7586,0.4112,-3.815,1.4612,-9.2837,0,0,0
-0.2843,-0.1744,0.914,-0.2823,0.7596,0.4122,-3.185,1.26,-9.625,0,0,0
-0.2866,-0.1764,0.9127,-0.2823,0.7596,0.4122,-2.9313,1.3125,-10.0362,0,0,0
-0.2815,-0.1766,0.9159,-0.2858,0.7597,0.4139,-3.2725,1.4612,-10.0887,0,0,0
-0.2802,-0.1755,0.9152,-0.2825,0.7599,0.4121,-3.71,1.085,-10.1675,0,0,0
-0.2869,-0.1781,0.9142,-0.2825,0.7599,0.4121,-2.3888,1.3737,-10.3687,0,0,0
-0.284,-0.1773,0.9162,-0.2853,0.7603,0.4086,-3.1325,1.0675,-9.6512,0,0,0
