AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,Time(s)
-0.1372,0.9766,0.0656,-0.1782,0.2297,0.0127,-2.415,1.61,-15.8375,0,0,0,1.6192024479516525
-0.1318,0.9514,0.0646,-0.1778,0.2294,0.0151,-2.2488,1.2862,-15.5662,0,0,0,1.6316517232421628
-0.1409,0.9504,0.067,-0.1778,0.2294,0.0151,-2.6775,0.98,-15.8725,0,0,0,1.6434540439263774
-0.1397,0.9747,0.0715,-0.1784,0.2302,0.0159,-2.8788,0.945,-16.17,0,0,0,1.655581611483232
-0.1391,0.9728,0.0694,-0.1784,0.2302,0.0159,-2.8788,0.945,-16.17,0,0,0,1.667617515340398
-0.1372,0.975,0.0703,-0.1782,0.2291,0.0149,-2.4675,1.1725,-16.0825,0,0,0,1.679744728983354
-0.1406,0.9758,0.0735,-0.1782,0.2291,0.0149,-4.3137,0.8575,-15.6712,0,0,0,1.691862386951053
-0.1391,0.9727,0.0687,-0.1794,0.2291,0.0156,-2.4325,0.9275,-15.8025,0,0,0,1.7012389817755578
-0.1388,0.975,0.0674,-0.1786,0.2295,0.0147,-2.5113,1.2337,-15.75,0,0,0,1.7136489726233444
-0.1376,0.9749,0.0719,-0.1786,0.2295,0.0147,-1.96,1.2425,-15.4612,0,0,0,1.7254268732485687
-0.14,0.9761,0.0747,-0.1791,0.2264,0.0151,-2.4675,1.26,-15.7937,0,0,0,1.7375176337599882
-0.1394,0.9751,0.0702,-0.1791,0.2264,0.0151,-2.1788,1.4088,-16.0125,0,0,0,1.749646970886335
-0.1406,0.9742,0.0709,-0.1802,0.2283,0.0175,-2.1,1.2337,-16.2575,0,0,0,1.7617111878553737
-0.1358,0.9749,0.0692,-0.1802,0.2283,0.0175,-1.9425,1.7587,-15.7412,0,0,0,1.7738185823200188
-0.1366,0.9749,0.0724,-0.179,0.2295,0.0133,-2.205,1.4612,-15.4,0,0,0,1.785864041852442
-0.1371,0.9762,0.0697,-0.1787,0.2301,0.0166,-1.855,1.2687,-15.7675,0,0,0,1.795347518674267
-0.1382,0.9756,0.0714,-0.1787,0.2301,0.0166,-2.345,0.9625,-15.7675,0,0,0,1.807422353060258
-0.1382,0.9746,0.066,-0.1784,0.2302,0.0168,-2.9313,0.805,-15.295,0,0,0,1.8194755986984463
-0.1394,0.9756,0.072,-0.1784,0.2302,0.0168,-2.7825,0.9975,-15.4437,0,0,0,1.831613783672253
-0.1379,0.9748,0.0662,-0.1795,0.2279,0.0186,-2.4588,1.2512,-15.6012,0,0,0,1.8437371042623267
-0.1401,0.9767,0.0683,-0.1788,0.2294,0.0157,-1.9162,1.295,-15.9775,0,0,0,1.8558459143825654
-0.1424,0.9742,0.0708,-0.1788,0.2294,0.0157,-2.1438,0.7175,-15.3825,0,0,0,1.8679674654031468
-0.1382,0.9751,0.0712,-0.1791,0.2295,0.0142,-2.1963,1.085,-15.1637,0,0,0,1.8773207019103564
-0.1358,0.9758,0.0692,-0.1791,0.2295,0.0142,-2.695,0.8925,-15.61,0,0,0,1.8893707623234588
-0.1399,0.9764,0.0684,-0.1785,0.2301,0.0163,-2.03,1.0412,-16.31,0,0,0,1.9015393838925292
-0.1377,0.9751,0.0692,-0.179,0.2294,0.0159,-1.2775,1.0762,-16.4762,0,0,0,1.9136368687680188
-0.1383,0.9757,0.0721,-0.179,0.2294,0.0159,-2.2925,1.435,-16.4062,0,0,0,1.925709225756721
