AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2632,0.9016,-0.2148,0.7182,0.3253,-3.465,0.63,-9.7125,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2578,-0.2536,0.8758,-0.2129,0.7167,0.3342,-3.605,0.8225,-9.4237,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.2619,0.8988,-0.2129,0.7167,0.3342,-3.4038,0.9363,-9.8175,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2585,-0.2632,0.8987,-0.2114,0.7182,0.3347,-2.87,1.0062,-10.2375,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2641,0.8964,-0.2114,0.7182,0.3347,-3.1763,1.0762,-9.3537,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2619,0.8987,-0.2136,0.7167,0.3336,-3.815,1.2687,-9.0913,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2585,-0.2614,0.9002,-0.2136,0.7167,0.3336,-3.4563,0.7263,-9.5113,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2576,-0.2622,0.9019,-0.2134,0.7166,0.3386,-3.4913,0.8838,-9.5987,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2599,-0.2608,0.8945,-0.2139,0.7155,0.3352,-3.185,0.5075,-9.5812,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2628,0.8977,-0.2139,0.7155,0.3352,-3.0275,0.7175,-9.6075,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2624,0.8988,-0.2134,0.7182,0.3342,-3.2725,0.9363,-10.2637,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2608,-0.2628,0.8994,-0.2134,0.7182,0.3342,-3.4738,0.8663,-9.8787,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2581,-0.2635,0.8975,-0.2137,0.7191,0.3337,-4.2962,0.8838,-9.2312,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2606,-0.2637,0.8969,-0.2129,0.7185,0.3338,-3.4913,0.98,-8.995,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2641,0.896,-0.2129,0.7185,0.3338,-4.0163,1.19,-8.9862,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2616,-0.2617,0.8994,-0.2146,0.7171,0.3353,-4.06,1.2075,-9.4762,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.2599,0.9046,-0.2146,0.7171,0.3353,-2.8963,1.1112,-10.2375,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2592,-0.2617,0.8999,-0.2168,0.7179,0.3343,-2.9925,0.6475,-10.2287,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2581,-0.2621,0.8957,-0.2138,0.7185,0.3352,-3.0188,1.0587,-9.7912,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2614,-0.2616,0.902,-0.2138,0.7185,0.3352,-2.9663,0.9975,-9.6337,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2579,-0.2638,0.9044,-0.213,0.7182,0.3338,-3.465,0.6563,-9.8,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.263,0.8996,-0.213,0.7182,0.3338,-3.675,0.4112,-10.15,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2583,-0.2613,0.903,-0.215,0.7197,0.3312,-3.1675,0.8925,-10.2637,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2609,-0.2608,0.9007,-0.2151,0.7169,0.3347,-3.1675,1.3912,-10.1412,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2585,-0.2634,0.8997,-0.2151,0.7169,0.3347,-3.4825,1.1375,-9.9137,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.2615,0.8951,-0.2127,0.7169,0.3363,-3.8588,1.19,-9.0475,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2601,-0.2616,0.8966,-0.2127,0.7169,0.3363,-3.5088,0.8312,-9.3975,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2587,-0.2632,0.9036,-0.2149,0.7172,0.3276,-3.6663,1.1375,-9.4325,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2585,-0.2618,0.9002,-0.212,0.7192,0.3328,-3.3163,0.9975,-10.3162,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.26,-0.2621,0.9007,-0.212,0.7192,0.3328,-3.3075,0.8225,-10.2987,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2577,-0.2625,0.8981,-0.2123,0.7179,0.3338,-3.5525,1.2075,-10.1325,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2598,-0.2619,0.8982,-0.2123,0.7179,0.3338,-4.2613,1.3037,-8.8462,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2628,-0.2592,0.898,-0.213,0.7189,0.3375,-3.2638,1.0237,-8.9775,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2603,-0.2619,0.9008,-0.215,0.7158,0.3368,-3.5263,0.665,-8.9162,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2622,0.9002,-0.215,0.7158,0.3368,-3.3075,0.7875,-9.3887,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2604,-0.2601,0.8983,-0.2152,0.7174,0.3336,-3.4125,0.6038,-9.8525,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2615,-0.2597,0.8993,-0.2152,0.7174,0.3336,-3.9025,0.8225,-9.5375,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2616,0.8962,-0.2131,0.7182,0.3361,-3.3775,0.8487,-9.7212,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2572,-0.2621,0.9049,-0.2134,0.7181,0.3322,-4.025,1.3037,-8.9775,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.258,-0.2614,0.8984,-0.2134,0.7181,0.3322,-3.8238,1.0675,-9.0913,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2636,0.8993,-0.2146,0.7179,0.3342,-3.5875,0.9713,-9.5987,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2567,-0.2641,0.9033,-0.2146,0.7179,0.3342,-3.4213,0.7788,-9.8262,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2614,0.8967,-0.2141,0.7166,0.3372,-3.605,0.9625,-9.7912,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2625,-0.2609,0.8972,-0.2139,0.7194,0.3374,-2.975,0.9713,-9.625,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2592,-0.2624,0.8964,-0.2139,0.7194,0.3374,-2.905,1.4262,-9.8875,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2567,-0.2615,0.8975,-0.2125,0.7176,0.3343,-3.7538,1.2775,-9.485,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2608,0.8978,-0.2125,0.7176,0.3343,-3.7275,1.2775,-9.45,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2595,-0.2612,0.9033,-0.2133,0.7194,0.3324,-3.0538,1.1812,-9.7562,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.255,-0.2633,0.8966,-0.2133,0.7194,0.3324,-3.15,1.19,-9.5987,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2598,-0.2624,0.8956,-0.214,0.7174,0.3328,-3.535,1.1112,-9.5375,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2636,-0.2611,0.8954,-0.2142,0.7186,0.334,-3.9725,1.505,-9.4762,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2599,-0.2633,0.8979,-0.2142,0.7186,0.334,-3.2813,1.1287,-9.2575,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.2628,0.8972,-0.2144,0.717,0.3301,-3.6488,1.3737,-9.555,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2641,-0.2601,0.899,-0.2144,0.717,0.3301,-3.815,1.2687,-9.5288,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2621,0.9016,-0.213,0.719,0.3346,-3.22,0.9187,-9.5375,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2571,-0.2633,0.9017,-0.2153,0.7178,0.3345,-3.2375,0.9013,-9.3975,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2624,-0.2607,0.8974,-0.2153,0.7178,0.3345,-3.2987,0.8925,-9.1,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2582,-0.2634,0.9056,-0.2129,0.7164,0.3351,-3.8763,0.9713,-9.1612,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2633,0.898,-0.2129,0.7164,0.3351,-3.2288,0.7613,-9.3187,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2616,-0.2603,0.8968,-0.2147,0.7179,0.3355,-3.1763,0.9187,-9.6775,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2628,-0.2608,0.9006,-0.2158,0.7182,0.3341,-3.0363,1.12,-10.0537,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2574,-0.2633,0.9014,-0.2158,0.7182,0.3341,-3.395,1.2425,-9.6687,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.2614,0.9008,-0.2135,0.7185,0.3346,-3.3863,1.1287,-9.4675,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2613,-0.2608,0.9031,-0.2135,0.7185,0.3346,-2.7913,1.05,-9.9312,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2566,-0.2619,0.8969,-0.2146,0.7182,0.3342,-3.185,0.91,-9.5113,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2569,-0.2613,0.9017,-0.2132,0.7188,0.335,-3.7975,1.3912,-9.5025,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.2621,0.9008,-0.2132,0.7188,0.335,-3.78,1.5312,-9.6687,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.263,-0.2628,0.8957,-0.2142,0.7179,0.3345,-3.0625,1.1725,-10.3687,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2561,-0.2643,0.8962,-0.2142,0.7179,0.3345,-3.29,0.7525,-10.255,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2608,-0.2618,0.9018,-0.2134,0.7194,0.3308,-2.9925,1.3212,-10.01,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2625,-0.2611,0.8985,-0.2114,0.717,0.3319,-3.71,1.435,-9.5725,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2599,-0.2614,0.9033,-0.2114,0.717,0.3319,-3.7275,1.3212,-9.695,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.259,-0.2622,0.8987,-0.2122,0.7182,0.3349,-2.905,1.3212,-9.5113,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2626,-0.2605,0.9019,-0.2122,0.7182,0.3349,-4.095,1.1725,-9.3712,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2623,-0.2621,0.9017,-0.2131,0.7186,0.3337,-3.955,1.4175,-9.4937,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.258,-0.2623,0.898,-0.2127,0.7187,0.3339,-3.8063,1.1725,-9.8087,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2613,0.8967,-0.2127,0.7187,0.3339,-3.9375,1.1638,-9.6075,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2614,-0.2609,0.9014,-0.2149,0.7186,0.3333,-3.7362,1.47,-9.625,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2577,-0.2643,0.9016,-0.2149,0.7186,0.3333,-3.5963,1.5487,-9.1962,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2582,-0.2622,0.8972,-0.2142,0.7172,0.335,-4.1213,1.085,-9.6512,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.263,-0.2591,0.9017,-0.2142,0.7181,0.3367,-3.5,1.1638,-9.9575,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2605,-0.2599,0.9004,-0.2148,0.7181,0.3367,-4.0425,1.3212,-9.7388,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2575,-0.2619,0.8964,-0.2126,0.7173,0.3342,-3.6312,0.945,-9.625,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.261,0.8991,-0.2126,0.7173,0.3342,-3.6925,1.12,-9.6775,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2583,-0.2632,0.9036,-0.214,0.718,0.3349,-3.8063,0.4812,-9.2662,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2584,-0.2635,0.8965,-0.214,0.718,0.3349,-4.1563,0.9625,-9.0825,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2585,-0.2635,0.9031,-0.2142,0.7209,0.3392,-4.2613,1.0675,-9.4587,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2626,-0.2614,0.9003,-0.215,0.7174,0.3335,-3.5,1.0237,-9.94,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2624,0.8996,-0.215,0.7174,0.3335,-3.605,1.1287,-9.8612,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2583,-0.2614,0.9032,-0.214,0.7158,0.3348,-3.2288,1.3737,-9.275,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2618,-0.2618,0.8961,-0.214,0.7158,0.3348,-3.4563,1.3562,-9.0562,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2592,-0.2596,0.9024,-0.2155,0.7174,0.3322,-4.06,1.1112,-8.925,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2596,-0.2619,0.9002,-0.2154,0.7191,0.3347,-3.78,1.015,-9.0825,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2598,-0.2637,0.8991,-0.2154,0.7191,0.3347,-3.4125,1.0937,-10.0187,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2597,-0.2606,0.9021,-0.2133,0.7167,0.3349,-3.8325,0.9275,-9.7737,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2627,0.898,-0.2133,0.7167,0.3349,-3.6312,0.9713,-10.01,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2597,-0.2634,0.8995,-0.2141,0.7184,0.33,-2.9838,1.3737,-10.5962,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2617,-0.2621,0.9002,-0.2134,0.7174,0.334,-3.4475,1.6887,-10.1587,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.259,-0.2623,0.9032,-0.2134,0.7174,0.334,-3.3513,1.1112,-9.7212,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2569,-0.2627,0.8974,-0.2182,0.7186,0.3354,-3.5,1.1638,-9.73,0,0,0,,,,,
,,,,,,,,,,,,,,,,
-0.2598,-0.263,0.8942,-0.2182,0.7186,0.3354,-3.8238,1.3387,-9.345,0,0,0,,,,,
,,,,,,,,,,,,,,Roll,Pitch,Yaw
-0.2583,-0.2603,0.9029,-0.2128,0.7199,0.3316,-3.5525,1.2687,-9.3625,-16.0446572213,-6.4809902838,-102.3895288775,,Min,-16.4698384462,-15.6170554625,-102.8543338129
,,,,,,,,,,,,,Max,-16.0327253646,-6.4809902838,-102.3701378094
-0.2572,-0.2619,0.9003,-0.214,0.7179,0.3344,-3.1238,0.77,-10.185,-16.2194681093,-11.3631895495,-102.5664549959,,Diff,0.4371130815,9.1360651787,0.4841960034
,,,,,,,,,,,,,StdDev,0.0814329116,1.3113912345,0.1156415009
-0.2555,-0.2626,0.8993,-0.214,0.7179,0.3344,-3.4125,1.2862,-10.0362,-16.2779269923,-12.9811177319,-102.597112095,,,,,
,,,,,,,,,,,,,,,,
-0.2597,-0.2602,0.9005,-0.2133,0.7189,0.3338,-3.8325,1.3475,-9.8437,-16.1170545302,-13.9681551886,-102.4696128868,,,,,
,,,,,,,,,,,,,,,,
