Hour,Minute,Second,IR1,Blinks,Actual Blinks
15,47,47.331,10454.0,0,0
15,47,47.346,10363.0,0,0
15,47,47.346,10286.0,0,0
15,47,47.362,10286.0,0,0
15,47,47.362,10202.0,0,0
15,47,47.362,10124.0,0,0
15,47,47.362,10055.0,0,0
15,47,47.362,10055.0,0,0
15,47,47.377,10001.0,0,0
15,47,47.377,9971.0,0,0
15,47,47.377,9960.0,0,0
15,47,47.393,9960.0,0,0
15,47,47.393,9983.0,0,0
15,47,47.409,10056.0,0,0
15,47,47.409,10191.0,0,0
15,47,47.424,10191.0,0,0
15,47,47.424,10370.0,0,0
15,47,47.44,10414.0,0,0
15,47,47.44,10317.0,0,0
15,47,47.455,10317.0,0,0
15,47,47.455,10166.0,0,0
15,47,47.471,10042.0,0,0
15,47,47.471,10022.0,0,0
15,47,47.487,10028.0,0,0
15,47,47.487,10048.0,0,0
15,47,47.502,10113.0,0,0
15,47,47.502,10162.0,0,0
15,47,47.518,10165.0,0,0
15,47,47.518,10176.0,0,0
15,47,47.533,10161.0,0,0
15,47,47.533,10133.0,0,0
15,47,47.549,10141.0,0,0
15,47,47.549,10167.0,0,0
15,47,47.565,10217.0,0,0
15,47,47.565,10302.0,0,0
15,47,47.58,10312.0,0,0
15,47,47.58,10322.0,0,0
15,47,47.596,10289.0,0,0
15,47,47.596,10215.0,0,0
15,47,47.611,10187.0,0,0
15,47,47.627,10160.0,0,0
15,47,47.627,10158.0,0,0
15,47,47.643,10171.0,0,0
15,47,47.643,10231.0,0,0
15,47,47.658,10251.0,0,0
15,47,47.658,10334.0,0,0
15,47,47.674,10346.0,0,0
15,47,47.674,10337.0,0,0
15,47,47.689,10335.0,0,0
15,47,47.689,10280.0,0,0
15,47,47.705,10268.0,0,0
15,47,47.705,10259.0,0,0
15,47,47.721,10259.0,0,0
15,47,47.721,10286.0,0,0
15,47,47.736,10312.0,0,0
15,47,47.736,10311.0,0,0
15,47,47.752,10311.0,0,0
15,47,47.752,10309.0,0,0
15,47,47.767,10319.0,0,0
15,47,47.767,10325.0,0,0
15,47,47.783,10325.0,0,0
15,47,47.783,10359.0,0,0
15,47,47.799,10386.0,0,0
15,47,47.799,10403.0,0,0
15,47,47.814,10403.0,0,0
15,47,47.814,10424.0,0,0
15,47,47.83,10421.0,0,0
15,47,47.83,10417.0,0,0
15,47,47.845,10417.0,0,0
15,47,47.845,10443.0,0,0
15,47,47.861,10480.0,0,0
15,47,47.861,10544.0,0,0
15,47,47.877,10544.0,0,0
15,47,47.877,10599.0,0,0
15,47,47.892,10659.0,0,0
15,47,47.892,10668.0,0,0
15,47,47.908,10670.0,0,0
15,47,47.908,10678.0,0,0
15,47,47.923,10654.0,0,0
15,47,47.939,10654.0,0,0
15,47,47.939,10655.0,0,0
15,47,47.955,10660.0,0,0
15,47,47.955,10672.0,0,0
15,47,47.97,10697.0,0,0
15,47,47.97,10699.0,0,0
15,47,47.986,10706.0,0,0
15,47,47.986,10717.0,0,0
15,47,48.001,10730.0,0,0
15,47,48.001,10745.0,0,0
15,47,48.017,10760.0,0,0
15,47,48.017,10799.0,0,0
15,47,48.033,10825.0,0,0
15,47,48.033,10824.0,0,0
15,47,48.048,10823.0,0,0
15,47,48.048,10833.0,0,0
15,47,48.064,10825.0,0,0
15,47,48.064,10833.0,0,0
15,47,48.079,10836.0,0,0
15,47,48.079,10865.0,0,0
15,47,48.095,10890.0,0,0
15,47,48.095,10903.0,0,0
15,47,48.111,10908.0,0,0
15,47,48.111,10949.0,0,0
15,47,48.126,10972.0,0,0
15,47,48.126,10983.0,0,0
15,47,48.142,10987.0,0,0
15,47,48.142,10983.0,0,0
15,47,48.157,10985.0,0,0
15,47,48.157,10983.0,0,0
15,47,48.173,10983.0,0,0
15,47,48.173,10997.0,0,0
15,47,48.189,11020.0,0,0
15,47,48.189,11035.0,0,0
15,47,48.204,11035.0,0,0
15,47,48.204,11050.0,0,0
15,47,48.22,11039.0,0,0
15,47,48.22,11061.0,0,0
15,47,48.235,11061.0,0,0
15,47,48.235,11068.0,0,0
15,47,48.251,11098.0,0,0
15,47,48.251,11117.0,0,0
15,47,48.267,11117.0,0,0
15,47,48.282,11111.0,0,0
