AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
-7884.0,-10288.0,10250.0,-534.0,11297.0,1650.0,-497.0,292.0,-910.0
-7856.0,-10195.0,10414.0,-496.0,11321.0,1577.0,-532.0,266.0,-1033.0
-7838.0,-10222.0,10318.0,-547.0,11298.0,1643.0,-497.0,280.0,-1194.0
-7918.0,-10210.0,10295.0,-555.0,11305.0,1650.0,-513.0,151.0,-1102.0
-7899.0,-10175.0,10346.0,-540.0,11284.0,1655.0,-468.0,130.0,-1161.0
-7900.0,-10173.0,10295.0,-535.0,11295.0,1645.0,-379.0,89.0,-1191.0
-7982.0,-10107.0,10327.0,-547.0,11314.0,1668.0,-398.0,159.0,-1092.0
-7991.0,-10024.0,10328.0,-561.0,11295.0,1677.0,-377.0,125.0,-1190.0
-8050.0,-10058.0,10222.0,-540.0,11317.0,1665.0,-326.0,135.0,-1287.0
-8053.0,-10049.0,10189.0,-527.0,11325.0,1654.0,-381.0,120.0,-1087.0
-8033.0,-10042.0,10190.0,-572.0,11311.0,1661.0,-328.0,149.0,-1064.0
-8061.0,-10036.0,10148.0,-546.0,11307.0,1648.0,-297.0,130.0,-1114.0
-8059.0,-10030.0,10193.0,-552.0,11308.0,1655.0,-337.0,220.0,-1020.0
-8039.0,-10056.0,10116.0,-543.0,11322.0,1647.0,-264.0,184.0,-1105.0
-8070.0,-10057.0,10139.0,-562.0,11334.0,1645.0,-442.0,215.0,-1075.0
-8071.0,-10085.0,10026.0,-520.0,11293.0,1637.0,-341.0,208.0,-1025.0
-7930.0,-10176.0,10233.0,-524.0,11332.0,1634.0,-400.0,215.0,-1051.0
-8006.0,-10163.0,10081.0,-571.0,11292.0,1640.0,-448.0,172.0,-1053.0
-8002.0,-10134.0,10095.0,-574.0,11319.0,1641.0,-328.0,158.0,-1048.0
