AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2377,-0.1695,0.9267,-0.2744,0.7022,0.3595,-3.1588,1.1987,-9.8087,0,0,0
-0.239,-0.1635,0.8881,-0.2754,0.7039,0.364,-3.5,1.0062,-9.8087,0,0,0
-0.2425,-0.1681,0.9244,-0.2754,0.7039,0.364,-3.7538,1.4875,-9.7912,0,0,0
-0.2407,-0.1682,0.9248,-0.273,0.7041,0.3689,-3.3513,1.19,-10.4038,0,0,0
-0.2416,-0.1693,0.9219,-0.273,0.7038,0.3652,-3.0538,1.015,-9.9837,0,0,0
-0.2417,-0.1703,0.9243,-0.2762,0.7038,0.3652,-3.7188,1.2512,-9.835,0,0,0
-0.2397,-0.169,0.928,-0.2767,0.703,0.3639,-3.185,1.4875,-10.0012,0,0,0
-0.2414,-0.1707,0.9202,-0.2767,0.703,0.3639,-3.1238,1.3212,-10.22,0,0,0
-0.2392,-0.1692,0.9223,-0.2763,0.7054,0.3673,-3.64,1.19,-9.8787,0,0,0
-0.2364,-0.1703,0.9285,-0.2763,0.7054,0.3673,-3.8063,1.435,-9.975,0,0,0
-0.2409,-0.1693,0.9229,-0.2755,0.704,0.371,-3.6925,1.1112,-9.5288,0,0,0
-0.2402,-0.1698,0.921,-0.2754,0.7042,0.3637,-3.3338,1.0937,-9.3275,0,0,0
-0.241,-0.171,0.9238,-0.2754,0.7042,0.3637,-2.8263,0.735,-9.3625,0,0,0
-0.2434,-0.1703,0.9229,-0.2737,0.7064,0.3652,-3.2462,0.9538,-9.3275,0,0,0
-0.2405,-0.1684,0.9249,-0.2737,0.7064,0.3652,-3.8588,1.435,-9.24,0,0,0
-0.2395,-0.1688,0.924,-0.2753,0.7055,0.3603,-3.9025,1.4525,-9.3362,0,0,0
-0.243,-0.169,0.922,-0.2774,0.7021,0.3657,-3.6312,1.5837,-9.8,0,0,0
-0.2431,-0.1696,0.9259,-0.2774,0.7021,0.3657,-3.8763,1.4787,-9.555,0,0,0
-0.2394,-0.1696,0.9246,-0.2737,0.701,0.3653,-3.8588,1.19,-9.3013,0,0,0
-0.2416,-0.169,0.9189,-0.2737,0.701,0.3653,-3.57,0.9538,-9.555,0,0,0
-0.2391,-0.1688,0.927,-0.2744,0.7034,0.3667,-3.3775,1.4875,-10.0012,0,0,0
-0.241,-0.1692,0.9256,-0.276,0.7034,0.3639,-3.2288,1.2512,-9.8875,0,0,0
-0.2418,-0.1693,0.9231,-0.276,0.7034,0.3639,-3.9463,1.3562,-9.6775,0,0,0
-0.2384,-0.1687,0.93,-0.2743,0.7037,0.3654,-4.1912,1.4787,-9.6162,0,0,0
-0.2395,-0.1697,0.9258,-0.2743,0.7037,0.3654,-4.48,1.3912,-9.2312,0,0,0
-0.2422,-0.1681,0.9221,-0.2754,0.7031,0.3678,-3.4125,1.05,-9.5375,0,0,0
-0.2399,-0.169,0.9299,-0.2751,0.7046,0.363,-3.0188,1.085,-9.695,0,0,0
-0.2409,-0.1695,0.9221,-0.2751,0.7046,0.363,-3.7362,1.2163,-9.4937,0,0,0
-0.2363,-0.169,0.926,-0.2741,0.7039,0.3629,-3.8937,1.2862,-9.4675,0,0,0
-0.2414,-0.1707,0.9237,-0.2741,0.7039,0.3629,-3.5263,1.26,-9.7212,0,0,0
-0.2414,-0.1698,0.9199,-0.2746,0.7035,0.3638,-3.43,1.295,-9.8437,0,0,0
-0.2392,-0.1699,0.9263,-0.2737,0.7034,0.363,-3.3863,1.2862,-9.7125,0,0,0
-0.2391,-0.1696,0.9243,-0.2737,0.7034,0.363,-3.0625,1.5662,-9.5288,0,0,0
-0.2428,-0.1696,0.9254,-0.2733,0.7038,0.3645,-3.6663,1.3387,-9.6687,0,0,0
-0.2372,-0.1715,0.9253,-0.2733,0.7038,0.3645,-3.36,1.1725,-10.1325,0,0,0
-0.2409,-0.1705,0.9277,-0.2742,0.7037,0.3618,-3.255,1.2075,-10.1587,0,0,0
-0.2408,-0.1722,0.9273,-0.2742,0.7046,0.3654,-3.4563,1.2687,-9.2837,0,0,0
-0.2367,-0.1704,0.9274,-0.2736,0.7046,0.3654,-3.3163,1.0587,-9.1525,0,0,0
-0.2406,-0.1714,0.9259,-0.2754,0.7042,0.3628,-3.1675,1.1987,-9.5375,0,0,0
-0.2399,-0.1702,0.923,-0.2754,0.7042,0.3628,-3.6312,1.12,-9.6687,0,0,0
-0.2422,-0.1706,0.9229,-0.2743,0.7051,0.3674,-2.9838,0.91,-9.7562,0,0,0
-0.2437,-0.1692,0.9237,-0.2743,0.7051,0.3674,-3.115,1.2512,-9.7212,0,0,0
-0.2402,-0.169,0.9267,-0.2763,0.7033,0.3574,-3.6575,1.6712,-9.9663,0,0,0
-0.2412,-0.1697,0.9241,-0.2762,0.7034,0.3645,-3.57,1.3825,-9.6425,0,0,0
-0.2414,-0.169,0.9248,-0.2762,0.7034,0.3645,-3.6663,0.8663,-9.2312,0,0,0
-0.24,-0.1688,0.9258,-0.275,0.7042,0.3646,-3.7188,1.3387,-9.4937,0,0,0
-0.24,-0.1706,0.921,-0.275,0.7042,0.3646,-3.5438,1.54,-9.415,0,0,0
-0.2419,-0.169,0.9226,-0.2785,0.7046,0.365,-3.8238,1.4525,-9.17,0,0,0
-0.2411,-0.1706,0.9275,-0.2726,0.7027,0.3641,-3.4738,1.3737,-9.1875,0,0,0
-0.2409,-0.1701,0.9267,-0.2726,0.7027,0.3641,-3.8063,0.9013,-9.8087,0,0,0
-0.2391,-0.1706,0.9232,-0.2754,0.7034,0.3641,-3.7362,1.1112,-9.1525,0,0,0
-0.2402,-0.1708,0.9249,-0.2754,0.7034,0.3641,-3.9288,1.3825,-9.0913,0,0,0
-0.2403,-0.169,0.9261,-0.2785,0.7068,0.3638,-4.1125,1.3562,-9.1087,0,0,0
-0.2426,-0.1706,0.9268,-0.2736,0.7034,0.3638,-3.3338,0.9363,-9.3975,0,0,0
-0.245,-0.1705,0.9245,-0.2736,0.7034,0.3638,-3.5088,1.8463,-10.1763,0,0,0
-0.2403,-0.1717,0.9225,-0.275,0.7036,0.3632,-3.4038,1.7062,-10.0625,0,0,0
-0.238,-0.171,0.9252,-0.275,0.7036,0.3632,-3.5525,1.0587,-9.6687,0,0,0
-0.2383,-0.1707,0.9237,-0.2754,0.704,0.3605,-3.5088,1.2163,-9.8,0,0,0
-0.2387,-0.1697,0.9322,-0.2756,0.7056,0.3674,-2.4675,1.26,-10.3775,0,0,0
-0.2399,-0.1696,0.9249,-0.2756,0.7056,0.3674,-2.485,1.4262,-9.8612,0,0,0
-0.2425,-0.1682,0.9267,-0.275,0.7026,0.3642,-2.6425,0.805,-9.7037,0,0,0
-0.2442,-0.1699,0.9244,-0.275,0.7026,0.3642,-3.9025,1.4962,-9.6862,0,0,0
-0.2424,-0.1684,0.9207,-0.2763,0.7033,0.3629,-4.0338,1.5837,-9.7912,0,0,0
-0.2404,-0.1687,0.9212,-0.2752,0.7035,0.3685,-3.1325,1.6625,-10.0712,0,0,0
-0.2378,-0.1678,0.9262,-0.2752,0.7035,0.3685,-2.8087,1.12,-9.8525,0,0,0
-0.2393,-0.1694,0.9216,-0.2733,0.7038,0.3636,-4.2875,1.295,-9.6775,0,0,0
-0.2419,-0.1687,0.9287,-0.2733,0.7038,0.3636,-3.8937,1.2075,-9.2925,0,0,0
-0.2413,-0.1712,0.9222,-0.2754,0.7037,0.3664,-3.3425,1.5575,-9.6425,0,0,0
-0.2429,-0.1682,0.9235,-0.2769,0.7038,0.3625,-3.1588,1.5837,-9.7212,0,0,0
-0.2418,-0.169,0.9259,-0.2769,0.7038,0.3625,-3.85,1.1462,-9.5987,0,0,0
-0.2438,-0.1695,0.9248,-0.2755,0.704,0.3642,-3.3338,1.3562,-9.4937,0,0,0
-0.2422,-0.1715,0.9211,-0.2755,0.704,0.3642,-3.6138,1.26,-10.0187,0,0,0
-0.2394,-0.1697,0.9279,-0.274,0.7046,0.3645,-3.4475,1.6187,-9.6512,0,0,0
-0.2374,-0.1698,0.9235,-0.274,0.7044,0.3602,-2.8175,1.3562,-10.045,0,0,0
-0.2367,-0.1709,0.9234,-0.275,0.7044,0.3602,-3.0363,1.5225,-9.03,0,0,0
-0.2367,-0.1687,0.9248,-0.2746,0.703,0.3644,-3.22,1.6362,-9.2662,0,0,0
-0.2427,-0.1694,0.9271,-0.2746,0.703,0.3644,-2.8263,1.0762,-9.9663,0,0,0
-0.2402,-0.1688,0.9265,-0.2751,0.7042,0.3598,-3.5,1.0237,-9.94,0,0,0
