Hour,Minute,Second,Microsecond,IR1,
11,10,4,471433,28389,4.47
11,10,4,483985,28389,4.48
11,10,4,491422,28394,4.49
11,10,4,504251,28393,4.50
11,10,4,512237,28390,4.51
11,10,4,524426,28387,4.52
11,10,4,536135,28404,4.54
11,10,4,545296,28383,4.55
11,10,4,557354,28384,4.56
11,10,4,565420,28388,4.57
11,10,4,577332,28379,4.58
11,10,4,586448,28382,4.59
11,10,4,598482,28391,4.60
11,10,4,610177,28391,4.61
11,10,4,618355,28385,4.62
11,10,4,631389,28389,4.63
11,10,4,639440,28391,4.64
11,10,4,651457,28385,4.65
11,10,4,659435,28389,4.66
11,10,4,672377,28391,4.67
11,10,4,684247,28391,4.68
11,10,4,692457,28389,4.69
11,10,4,704293,28386,4.70
11,10,4,713351,28390,4.71
11,10,4,725461,28390,4.73
11,10,4,733473,28389,4.73
11,10,4,745290,28385,4.75
11,10,4,758246,28391,4.76
11,10,4,766244,28388,4.77
11,10,4,778246,28381,4.78
11,10,4,786446,28388,4.79
11,10,4,799436,28392,4.80
11,10,4,807354,28392,4.81
11,10,4,819486,28392,4.82
11,10,4,831254,28395,4.83
11,10,4,840446,28393,4.84
11,10,4,852515,28389,4.85
11,10,4,860438,28399,4.86
11,10,4,872408,28386,4.87
11,10,4,880331,28424,4.88
11,10,4,893289,28907,4.89
11,10,4,905166,29931,4.91
11,10,4,913295,30616,4.91
11,10,4,926270,30696,4.93
11,10,4,934319,30658,4.93
11,10,4,946418,30514,4.95
11,10,4,954425,30213,4.95
11,10,4,966448,29862,4.97
11,10,4,979179,29540,4.98
11,10,4,987445,29238,4.99
11,10,4,999261,29037,5.00
11,10,5,7326,28923,5.01
11,10,5,20429,28830,5.02
11,10,5,28320,28751,5.03
11,10,5,40468,28696,5.04
11,10,5,52172,28660,5.05
11,10,5,61588,28634,5.06
11,10,5,73328,28615,5.07
11,10,5,81448,28602,5.08
11,10,5,93372,28591,5.09
11,10,5,102492,28576,5.10
11,10,5,114453,28573,5.11
11,10,5,126154,28567,5.13
11,10,5,134265,28554,5.13
11,10,5,147310,28545,5.15
11,10,5,155451,28538,5.16
11,10,5,167492,28529,5.17
11,10,5,175519,28519,5.18
11,10,5,188419,28514,5.19
11,10,5,200288,28520,5.20
11,10,5,208491,28517,5.21
11,10,5,220421,28506,5.22
11,10,5,229301,28500,5.23
11,10,5,241555,28497,5.24
11,10,5,249455,28491,5.25
11,10,5,261331,28487,5.26
11,10,5,274183,28482,5.27
11,10,5,282319,28478,5.28
11,10,5,294270,28480,5.29
11,10,5,302214,28473,5.30
11,10,5,315433,28468,5.32
11,10,5,323274,28464,5.32
11,10,5,335413,28465,5.34
11,10,5,347221,28475,5.35
11,10,5,356459,28472,5.36
11,10,5,368372,28469,5.37
11,10,5,376450,28471,5.38
11,10,5,388450,28464,5.39
11,10,5,397346,28460,5.40
11,10,5,409351,28461,5.41
11,10,5,421297,28462,5.42
11,10,5,429430,28459,5.43
11,10,5,442318,28456,5.44
11,10,5,450442,28462,5.45
11,10,5,462379,28460,5.46
11,10,5,470449,28457,5.47
11,10,5,483368,28453,5.48
11,10,5,496122,28452,5.50
11,10,5,503257,28461,5.50
11,10,5,515414,28465,5.52
11,10,5,524327,28467,5.52
11,10,5,536440,28469,5.54
11,10,5,544534,28460,5.54
11,10,5,556406,28451,5.56
11,10,5,569277,28457,5.57
11,10,5,577426,28455,5.58
11,10,5,589266,28460,5.59
11,10,5,597335,28462,5.60
11,10,5,610342,28457,5.61
11,10,5,618331,28464,5.62
