Hour,Minute,Second,Microsecond,IR1,,
11,7,7,865214,34520.0,7.9,
11,7,7,877084,34523.0,7.9,252.7380
11,7,7,888986,34524.0,7.9,84.0195
11,7,7,897063,34521.0,7.9,-371.4250
11,7,7,910150,34530.0,7.9,687.7054
11,7,7,918328,34519.0,7.9,-1345.0721
11,7,7,930247,34510.0,7.9,-755.0969
11,7,7,938265,34503.0,7.9,-873.0357
11,7,7,951286,34511.0,8.0,614.3921
11,7,7,963166,34515.0,8.0,336.7003
11,7,7,971109,34510.0,8.0,-629.4851
11,7,7,983118,34502.0,8.0,-666.1670
11,7,7,992276,34499.0,8.0,-327.5824
11,7,8,4177,34501.0,8.0,168.0531
11,7,8,12110,34496.0,8.0,-630.2786
11,7,8,24141,34494.0,8.0,-166.2372
11,7,8,37155,34496.0,8.0,153.6807
11,7,8,45096,34501.0,8.0,629.6436
11,7,8,57191,34494.0,8.1,-578.7516
11,7,8,65096,34480.0,8.1,-1771.0310
11,7,8,78174,34483.0,8.1,229.3929
11,7,8,86337,34477.0,8.1,-735.0239
11,7,8,98320,34487.0,8.1,834.5156
11,7,8,110032,34489.0,8.1,170.7650
11,7,8,119291,34485.0,8.1,-432.0121
11,7,8,131285,34480.0,8.1,-416.8751
11,7,8,139282,34469.0,8.1,-1375.5158
11,7,8,151133,34459.0,8.2,-843.8106
11,7,8,160296,34458.0,8.2,-109.1346
11,7,8,172205,34454.0,8.2,-335.8804
11,7,8,184085,34456.0,8.2,168.3502
11,7,8,192278,34457.0,8.2,122.0554
11,7,8,205172,34451.0,8.2,-465.3327
11,7,8,213117,34452.0,8.2,125.8653
11,7,8,225288,34453.0,8.2,82.1625
11,7,8,233078,34451.0,8.2,-256.7394
11,7,8,246349,34447.0,8.2,-301.4091
11,7,8,258071,34444.0,8.3,-255.9290
11,7,8,266116,34443.0,8.3,-124.3008
11,7,8,278069,34439.0,8.3,-334.6440
11,7,8,287050,34435.0,8.3,-445.3847
11,7,8,299204,34435.0,8.3,0.0000
11,7,8,307129,34431.0,8.3,-504.7319
11,7,8,319177,34430.0,8.3,-83.0013
11,7,8,332199,34423.0,8.3,-537.5518
11,7,8,340122,34410.0,8.3,-1640.7926
11,7,8,352244,34405.0,8.4,-412.4732
11,7,8,360277,34387.0,8.4,-2240.7569
11,7,8,373155,34370.0,8.4,-1320.0808
11,7,8,381708,34361.0,8.4,-1052.2624
11,7,8,393259,34367.0,8.4,519.4355
11,7,8,405060,34371.0,8.4,338.9543
11,7,8,414293,34375.0,8.4,433.2286
11,7,8,426339,34389.0,8.4,1162.2115
11,7,8,434112,34397.0,8.4,1029.2037
11,7,8,446393,34396.0,8.4,-81.4266
11,7,8,455289,34395.0,8.5,-112.4101
11,7,8,467076,34395.0,8.5,0.0000
11,7,8,479135,34393.0,8.5,-165.8512
11,7,8,487093,34392.0,8.5,-125.6597
11,7,8,500167,34398.0,8.5,458.9261
11,7,8,508165,34413.0,8.5,1875.4689
11,7,8,520148,34412.0,8.5,-83.4516
11,7,8,528258,34404.0,8.5,-986.4365
11,7,8,541253,34409.0,8.5,384.7634
11,7,8,553169,34417.0,8.6,671.3662
11,7,8,561078,34422.0,8.6,632.1912
11,7,8,573137,34413.0,8.6,-746.3305
11,7,8,581255,34397.0,8.6,-1970.9288
11,7,8,594079,34389.0,8.6,-623.8303
11,7,8,602164,34378.0,8.6,-1360.5442
11,7,8,614277,34246.0,8.6,-10897.3830
11,7,8,627177,34163.0,8.6,-6434.1085
11,7,8,635121,33809.0,8.6,-44561.9335
11,7,8,647257,33143.0,8.6,-54878.0488
11,7,8,655263,32404.0,8.7,-92305.7707
11,7,8,668094,31996.0,8.7,-31797.9892
11,7,8,676138,32060.0,8.7,7956.2407
11,7,8,688259,32322.0,8.7,21615.3783
11,7,8,700170,32531.0,8.7,17546.8055
11,7,8,708386,32784.0,8.7,30793.5735
11,7,8,721262,33013.0,8.7,17785.0264
11,7,8,729112,33216.0,8.7,25859.8726
11,7,8,741270,33397.0,8.7,14887.3170
11,7,8,749108,33541.0,8.7,18372.0337
11,7,8,762270,33668.0,8.8,9648.9895
11,7,8,774031,33768.0,8.8,8502.6783
11,7,8,782112,33857.0,8.8,11013.4884
11,7,8,794104,33931.0,8.8,6170.7805
11,7,8,803142,33994.0,8.8,6970.5687
11,7,8,815385,34030.0,8.8,2940.4558
11,7,8,823132,34058.0,8.8,3614.3023
11,7,8,835164,34084.0,8.8,2160.9043
11,7,8,848170,34124.0,8.8,3075.5036
11,7,8,856326,34151.0,8.9,3310.4463
11,7,8,868267,34175.0,8.9,2009.8819
11,7,8,876273,34193.0,8.9,2248.3138
11,7,8,889249,34207.0,8.9,1078.9149
11,7,8,897236,34223.0,8.9,2003.2553
11,7,8,909046,34233.0,8.9,846.7401
11,7,8,920957,34230.0,8.9,-251.8680
11,7,8,930145,34242.0,8.9,1306.0514
11,7,8,942261,34250.0,8.9,660.2839
11,7,8,950263,34254.0,9.0,499.8750
11,7,8,962130,34264.0,9.0,842.6730
11,7,8,971267,34273.0,9.0,985.0060
11,7,8,983088,34277.0,9.0,338.3808
11,7,8,995176,34290.0,9.0,1075.4467
11,7,9,3161,34297.0,9.0,876.6437
11,7,9,16350,34295.0,9.0,-151.6415
11,7,9,24055,34293.0,9.0,-259.5717
11,7,9,36135,34300.0,9.0,579.4702
11,7,9,44257,34313.0,9.0,1600.5910
11,7,9,57262,34297.0,9.1,-1230.2960
11,7,9,69171,34314.0,9.1,1427.4918
11,7,9,77097,34294.0,9.1,-2523.3409
11,7,9,89279,34296.0,9.1,164.1767
11,7,9,98098,34291.0,9.1,-566.9577
11,7,9,110127,34291.0,9.1,0.0000
11,7,9,118143,34283.0,9.1,-998.0040
11,7,9,130258,34289.0,9.1,495.2538
11,7,9,143172,34289.0,9.1,0.0000
11,7,9,151151,34287.0,9.2,-250.6580
11,7,9,163260,34289.0,9.2,165.1664
11,7,9,171086,34288.0,9.2,-127.7792
11,7,9,184143,34282.0,9.2,-459.5236
11,7,9,192264,34277.0,9.2,-615.6877
11,7,9,204126,34267.0,9.2,-843.0282
11,7,9,216040,34271.0,9.2,335.7395
11,7,9,225086,34273.0,9.2,221.0922
11,7,9,237144,34286.0,9.2,1078.1224
11,7,9,245222,34280.0,9.2,-742.7581
11,7,9,257108,34287.0,9.3,588.9282
11,7,9,265394,34286.0,9.3,-120.6855
11,7,9,278269,34294.0,9.3,621.3592
11,7,9,289984,34288.0,9.3,-512.1639
11,7,9,298272,34301.0,9.3,1568.5328
11,7,9,311257,34286.0,9.3,-1155.1791
11,7,9,319106,34279.0,9.3,-891.8334
11,7,9,331145,34271.0,9.3,-664.5070
11,7,9,339085,34256.0,9.3,-1889.1688
11,7,9,352142,34245.0,9.4,-842.4600
11,7,9,364152,34239.0,9.4,-499.5837
11,7,9,372233,34244.0,9.4,618.7353
11,7,9,384256,34239.0,9.4,-415.8696
11,7,9,393125,34238.0,9.4,-112.7523
11,7,9,405167,34239.0,9.4,83.0427
11,7,9,417009,34215.0,9.4,-2026.6847
11,7,9,425255,34227.0,9.4,1455.2510
11,7,9,438089,34231.0,9.4,311.6721
11,7,9,446339,34221.0,9.4,-1212.1212
11,7,9,458268,34210.0,9.5,-922.1226
11,7,9,466098,34195.0,9.5,-1915.7088
11,7,9,478243,34190.0,9.5,-411.6921
11,7,9,490929,34162.0,9.5,-2207.1575
11,7,9,499140,34162.0,9.5,0.0000
11,7,9,511091,34141.0,9.5,-1757.1751
11,7,9,519026,34138.0,9.5,-378.0718
11,7,9,532019,34108.0,9.5,-2308.9356
11,7,9,540384,34102.0,9.5,-717.2744
11,7,9,552240,34106.0,9.6,337.3819
11,7,9,563952,34114.0,9.6,683.0601
11,7,9,573077,34105.0,9.6,-986.3014
11,7,9,585057,34090.0,9.6,-1252.0868
11,7,9,593089,34080.0,9.6,-1245.0199
11,7,9,605135,34086.0,9.6,498.0907
11,7,9,614075,34088.0,9.6,223.7136
11,7,9,626254,34085.0,9.6,-246.3256
11,7,9,637905,34095.0,9.6,858.2954
11,7,9,646123,34090.0,9.6,-608.4205
11,7,9,658997,34083.0,9.7,-543.7316
11,7,9,667088,34082.0,9.7,-123.5941
11,7,9,679240,34071.0,9.7,-905.2008
11,7,9,687082,34071.0,9.7,0.0000
11,7,9,700113,34062.0,9.7,-690.6607
11,7,9,711995,34063.0,9.7,84.1609
11,7,9,720202,34062.0,9.7,-121.8472
11,7,9,732121,34044.0,9.7,-1510.1938
