Hour,Minute,Second,Microsecond,IR1,
11,41,33,567266,39020,33.567
11,41,33,575390,39143,33.575
11,41,33,588603,39242,33.589
11,41,33,596308,39345,33.596
11,41,33,608401,39420,33.608
11,41,33,620191,39479,33.620
11,41,33,628308,39508,33.628
11,41,33,641200,39532,33.641
11,41,33,651130,39546,33.651
11,41,33,661323,39562,33.661
11,41,33,669627,39564,33.670
11,41,33,682511,39571,33.683
11,41,33,694279,39571,33.694
11,41,33,702412,39580,33.702
11,41,33,715286,39584,33.715
11,41,33,723352,39578,33.723
11,41,33,735428,39574,33.735
11,41,33,743372,39583,33.743
11,41,33,755345,39603,33.755
11,41,33,768287,39607,33.768
11,41,33,776519,39610,33.777
11,41,33,788325,39614,33.788
11,41,33,796500,39613,33.797
11,41,33,809625,39628,33.810
11,41,33,817331,39633,33.817
11,41,33,829293,39625,33.829
11,41,33,841367,39633,33.841
11,41,33,850374,39631,33.850
11,41,33,862325,39631,33.862
11,41,33,870387,39631,33.870
11,41,33,882526,39629,33.883
11,41,33,891522,39624,33.892
11,41,33,903503,39623,33.904
11,41,33,915367,39630,33.915
11,41,33,923283,39628,33.923
11,41,33,936382,39625,33.936
11,41,33,944332,39620,33.944
11,41,33,956528,39621,33.957
11,41,33,964382,39622,33.964
11,41,33,977519,39604,33.978
11,41,33,989362,39541,33.989
11,41,33,997285,39401,33.997
11,41,34,9309,39240,34.009
11,41,34,18322,39085,34.018
11,41,34,30504,38913,34.031
11,41,34,38351,38774,34.038
11,41,34,50534,38665,34.051
11,41,34,63360,38562,34.063
11,41,34,71380,38502,34.071
11,41,34,83428,38513,34.083
11,41,34,91498,38563,34.091
11,41,34,104425,38589,34.104
11,41,34,112539,38599,34.113
11,41,34,124335,38602,34.124
11,41,34,136182,38597,34.136
11,41,34,145306,38594,34.145
11,41,34,157477,38594,34.157
11,41,34,165359,38593,34.165
11,41,34,177377,38587,34.177
11,41,34,186462,38593,34.186
11,41,34,198578,38596,34.199
11,41,34,210183,38591,34.210
11,41,34,218330,38585,34.218
11,41,34,231169,38590,34.231
11,41,34,239344,38592,34.239
11,41,34,251425,38592,34.251
11,41,34,259524,38587,34.260
11,41,34,272396,38588,34.272
11,41,34,284338,38591,34.284
11,41,34,292483,38589,34.292
11,41,34,304380,38588,34.304
11,41,34,313308,38583,34.313
11,41,34,325317,38581,34.325
11,41,34,333587,38588,34.334
11,41,34,345340,38593,34.345
11,41,34,358366,38585,34.358
11,41,34,366509,38583,34.367
11,41,34,378299,38595,34.378
11,41,34,386329,38583,34.386
11,41,34,399531,38587,34.400
11,41,34,407626,38596,34.408
11,41,34,419544,38588,34.420
11,41,34,431384,38591,34.431
11,41,34,439311,38591,34.439
11,41,34,452454,38590,34.452
11,41,34,460414,38590,34.460
11,41,34,472409,38596,34.472
11,41,34,480279,38598,34.480
11,41,34,493498,38586,34.493
11,41,34,505254,38584,34.505
11,41,34,513329,38586,34.513
11,41,34,525292,38596,34.525
11,41,34,534238,38586,34.534
11,41,34,546374,38586,34.546
11,41,34,554264,38591,34.554
11,41,34,566562,38591,34.567
11,41,34,579261,38595,34.579
11,41,34,587459,38590,34.587
11,41,34,599277,38581,34.599
11,41,34,607319,38580,34.607
11,41,34,620286,38577,34.620
11,41,34,628282,38583,34.628
11,41,34,640309,38588,34.640
11,41,34,652179,38599,34.652
11,41,34,661293,38580,34.661
11,41,34,673827,38583,34.674
11,41,34,683251,38583,34.683
11,41,34,693360,38608,34.693
11,41,34,703102,38606,34.703
11,41,34,714367,38614,34.714
11,41,34,726335,38584,34.726
11,41,34,734255,38603,34.734
11,41,34,747415,38588,34.747
11,41,34,755336,38585,34.755
11,41,34,767496,38589,34.767
11,41,34,775313,38679,34.775
11,41,34,788298,38805,34.788
11,41,34,800207,38915,34.800
11,41,34,808274,39049,34.808
11,41,34,820402,39184,34.820
11,41,34,829264,39314,34.829
11,41,34,841397,39421,34.841
11,41,34,849495,39493,34.849
11,41,34,861403,39564,34.861
11,41,34,874336,39595,34.874
11,41,34,882359,39621,34.882
11,41,34,894306,39636,34.894
11,41,34,902483,39636,34.902
11,41,34,915403,39653,34.915
11,41,34,923336,39661,34.923
11,41,34,935289,39670,34.935
11,41,34,947335,39673,34.947
11,41,34,956333,39670,34.956
11,41,34,968403,39695,34.968
11,41,34,976308,39694,34.976
11,41,34,988366,39694,34.988
11,41,34,997538,39680,34.998
11,41,35,9307,39677,35.009
11,41,35,21188,39686,35.021
11,41,35,29298,39680,35.029
11,41,35,42305,39686,35.042
11,41,35,50508,39682,35.051
11,41,35,62342,39690,35.062
11,41,35,70286,39683,35.070
11,41,35,83586,39667,35.084
11,41,35,95161,39678,35.095
11,41,35,103495,39668,35.103
11,41,35,115310,39668,35.115
11,41,35,123493,39665,35.123
11,41,35,136314,39651,35.136
11,41,35,144312,39656,35.144
11,41,35,156336,39628,35.156
11,41,35,169379,39564,35.169
11,41,35,177299,39409,35.177
11,41,35,189376,39195,35.189
11,41,35,197355,38985,35.197
11,41,35,210491,38808,35.210
11,41,35,218572,38661,35.219
11,41,35,230393,38553,35.230
11,41,35,242188,38496,35.242
11,41,35,250341,38510,35.250
11,41,35,263437,38552,35.263
11,41,35,271702,38555,35.272
11,41,35,283502,38558,35.284
11,41,35,291353,38569,35.291
11,41,35,304467,38570,35.304
11,41,35,316246,38582,35.316
11,41,35,324468,38585,35.324
11,41,35,336329,38592,35.336
11,41,35,345350,38595,35.345
11,41,35,357355,38591,35.357
11,41,35,365261,38599,35.365
11,41,35,377505,38598,35.378
11,41,35,390270,38588,35.390
11,41,35,398330,38595,35.398
11,41,35,410468,38584,35.410
11,41,35,418300,38589,35.418
11,41,35,431501,38591,35.432
11,41,35,439328,38593,35.439
11,41,35,451324,38594,35.451
11,41,35,463355,38584,35.463
11,41,35,472323,38589,35.472
11,41,35,484281,38591,35.484
11,41,35,492293,38591,35.492
11,41,35,504453,38590,35.504
11,41,35,513298,38589,35.513
11,41,35,525453,38596,35.525
11,41,35,537392,38595,35.537
11,41,35,545296,38601,35.545
11,41,35,558337,38608,35.558
11,41,35,566297,38612,35.566
11,41,35,578263,38612,35.578
11,41,35,586322,38612,35.586
11,41,35,599368,38618,35.599
11,41,35,611381,38620,35.611
11,41,35,619290,38629,35.619
11,41,35,631324,38636,35.631
11,41,35,640259,38634,35.640
11,41,35,652296,38636,35.652
11,41,35,660401,38637,35.660
11,41,35,672332,38637,35.672
11,41,35,685345,38628,35.685
11,41,35,693276,38625,35.693
11,41,35,705440,38635,35.705
11,41,35,713317,38634,35.713
11,41,35,726526,38628,35.727
11,41,35,734466,38621,35.734
11,41,35,746270,38620,35.746
11,41,35,758185,38621,35.758
11,41,35,767477,38615,35.767
11,41,35,779626,38606,35.780
11,41,35,787343,38602,35.787
11,41,35,799246,38597,35.799
11,41,35,808490,38597,35.808
11,41,35,820870,38606,35.821
11,41,35,832983,38608,35.833
11,41,35,848291,38605,35.848
11,41,35,853362,38607,35.853
11,41,35,862999,38612,35.863
11,41,35,873274,38608,35.873
11,41,35,881268,38606,35.881
11,41,35,894523,38613,35.895
11,41,35,906236,38605,35.906
11,41,35,914338,38608,35.914
11,41,35,926420,38603,35.926
11,41,35,934359,38604,35.934
11,41,35,947299,38589,35.947
11,41,35,955227,38603,35.955
11,41,35,967351,38643,35.967
11,41,35,980189,38649,35.980
11,41,35,988317,38571,35.988
11,41,36,221,38427,36.000
11,41,36,8226,38291,36.008
11,41,36,21439,38274,36.021
11,41,36,29418,38422,36.029
11,41,36,41427,38632,36.041
11,41,36,53354,38825,36.053
11,41,36,61283,38979,36.061
11,41,36,74420,39102,36.074
11,41,36,82449,39222,36.082
11,41,36,94469,39321,36.094
11,41,36,102412,39374,36.102
11,41,36,115313,39424,36.115
11,41,36,127312,39456,36.127
11,41,36,135363,39499,36.135
11,41,36,147282,39533,36.147
11,41,36,156276,39559,36.156
11,41,36,168436,39586,36.168
11,41,36,176295,39607,36.176
11,41,36,188332,39618,36.188
11,41,36,201258,39634,36.201
11,41,36,209355,39718,36.209
11,41,36,221394,39617,36.221
11,41,36,229271,39670,36.229
11,41,36,242462,39678,36.242
11,41,36,250305,39702,36.250
11,41,36,262230,39716,36.262
11,41,36,274163,39709,36.274
11,41,36,283290,39732,36.283
11,41,36,295306,39730,36.295
11,41,36,303461,39739,36.303
11,41,36,315301,39740,36.315
11,41,36,324340,39715,36.324
11,41,36,336458,39728,36.336
11,41,36,348322,39742,36.348
11,41,36,356526,39741,36.357
11,41,36,369338,39732,36.369
11,41,36,377235,39735,36.377
11,41,36,389284,39711,36.389
11,41,36,397238,39571,36.397
11,41,36,410314,39337,36.410
11,41,36,422321,39119,36.422
11,41,36,430268,38926,36.430
11,41,36,442733,38781,36.443
11,41,36,451294,38652,36.451
11,41,36,463283,38557,36.463
11,41,36,471262,38540,36.471
11,41,36,483524,38608,36.484
11,41,36,496323,38631,36.496
11,41,36,524782,38627,36.525
11,41,36,525180,38627,36.525
11,41,36,525471,38631,36.525
11,41,36,537327,38619,36.537
11,41,36,545284,38636,36.545
11,41,36,557239,38638,36.557
11,41,36,569327,38627,36.569
11,41,36,578265,38636,36.578
11,41,36,590362,38623,36.590
11,41,36,598229,38650,36.598
11,41,36,610373,38631,36.610
11,41,36,619283,38636,36.619
11,41,36,631460,38631,36.631
11,41,36,643272,38623,36.643
11,41,36,651263,38621,36.651
11,41,36,664232,38621,36.664
11,41,36,672222,38621,36.672
11,41,36,684308,38616,36.684
11,41,36,692428,38623,36.692
11,41,36,705352,38623,36.705
11,41,36,717251,38615,36.717
11,41,36,725251,38610,36.725
11,41,36,737282,38618,36.737
11,41,36,745455,38611,36.745
11,41,36,758352,38610,36.758
11,41,36,766539,38617,36.767
11,41,36,778420,38629,36.778
11,41,36,790132,38630,36.790
11,41,36,799467,38630,36.799
11,41,36,811538,38628,36.812
11,41,36,819331,38620,36.819
