Hour,Minute,Second,Microsecond,IR1
11,24,0,749259,36856.0
11,24,0,757136,36847.0
11,24,0,770119,36923.0
11,24,0,782040,36858.0
11,24,0,790107,36855.0
11,24,0,802129,36871.0
11,24,0,810305,36870.0
11,24,0,823198,36852.0
11,24,0,831115,36850.0
11,24,0,843227,36861.0
11,24,0,855015,36864.0
11,24,0,864992,36863.0
11,24,0,876238,36857.0
11,24,0,884230,36873.0
11,24,0,896173,36880.0
11,24,0,905345,36886.0
11,24,0,917176,36888.0
11,24,0,929207,36851.0
11,24,0,937161,36848.0
11,24,0,950219,36808.0
11,24,0,958326,36619.0
11,24,0,970090,36461.0
11,24,0,978137,36361.0
11,24,0,991209,36351.0
11,24,1,3106,36390.0
11,24,1,11311,36444.0
11,24,1,23351,36462.0
11,24,1,32326,36467.0
11,24,1,44180,36447.0
11,24,1,52412,36391.0
11,24,1,64198,36318.0
11,24,1,77062,36162.0
11,24,1,85216,35892.0
11,24,1,97219,35619.0
11,24,1,105264,35462.0
11,24,1,118339,35453.0
11,24,1,126323,35516.0
11,24,1,138329,35566.0
11,24,1,150244,35598.0
11,24,1,159181,35633.0
11,24,1,171075,35668.0
11,24,1,179168,35690.0
11,24,1,191314,35706.0
11,24,1,200294,35721.0
11,24,1,212227,35722.0
11,24,1,224226,35733.0
11,24,1,232177,35752.0
11,24,1,245239,35762.0
11,24,1,253318,35765.0
11,24,1,265330,35776.0
11,24,1,273275,35789.0
11,24,1,286185,35797.0
11,24,1,298081,35807.0
11,24,1,306311,35816.0
11,24,1,318301,35818.0
11,24,1,327231,35823.0
11,24,1,339342,35902.0
11,24,1,347170,35851.0
11,24,1,359206,35858.0
11,24,1,372138,35854.0
11,24,1,380129,35855.0
11,24,1,392187,35861.0
11,24,1,400189,35872.0
11,24,1,413124,35876.0
11,24,1,421166,35874.0
11,24,1,433264,35879.0
11,24,1,445071,35884.0
11,24,1,454132,35886.0
11,24,1,466281,35890.0
11,24,1,474142,35880.0
11,24,1,486181,35879.0
11,24,1,494098,35889.0
11,24,1,507226,35891.0
11,24,1,519219,35895.0
11,24,1,527381,35900.0
11,24,1,539298,35890.0
11,24,1,548145,35889.0
11,24,1,560149,35884.0
11,24,1,568161,35879.0
11,24,1,580088,35885.0
11,24,1,593225,35884.0
11,24,1,601236,35870.0
11,24,1,613230,35866.0
11,24,1,621118,35885.0
11,24,1,634316,35868.0
11,24,1,646003,35855.0
11,24,1,654088,35847.0
11,24,1,667118,35859.0
11,24,1,675159,35845.0
11,24,1,687232,35850.0
11,24,1,695232,35856.0
11,24,1,707194,35853.0
11,24,1,720104,35839.0
11,24,1,728146,35822.0
11,24,1,740208,35831.0
11,24,1,748123,35829.0
11,24,1,761217,35828.0
11,24,1,769148,35831.0
11,24,1,781180,35824.0
11,24,1,793091,35828.0
11,24,1,802091,35823.0
11,24,1,814018,35829.0
11,24,1,822103,35811.0
11,24,1,834168,35813.0
11,24,1,843097,35817.0
11,24,1,855081,35821.0
11,24,1,867073,35817.0
11,24,1,875156,35834.0
11,24,1,888061,35832.0
11,24,1,896178,35838.0
11,24,1,908307,35847.0
11,24,1,916178,35825.0
11,24,1,929317,35839.0
11,24,1,941109,35821.0
11,24,1,949299,35843.0
11,24,1,961301,35829.0
11,24,1,970180,35849.0
11,24,1,982110,35835.0
11,24,1,990172,35840.0
11,24,2,2141,35835.0
11,24,2,14954,35847.0
11,24,2,23298,35812.0
11,24,2,35199,35803.0
11,24,2,43193,35891.0
11,24,2,56188,36199.0
11,24,2,64152,36640.0
11,24,2,76210,36977.0
11,24,2,87945,37263.0
11,24,2,97190,37432.0
11,24,2,109222,37519.0
11,24,2,117307,37525.0
11,24,2,129213,37461.0
11,24,2,137314,37378.0
11,24,2,150206,37314.0
11,24,2,162051,37280.0
11,24,2,170202,37249.0
11,24,2,183134,37211.0
11,24,2,191072,37195.0
11,24,2,203320,37201.0
11,24,2,211142,37200.0
11,24,2,223147,37217.0
11,24,2,236105,37229.0
11,24,2,244102,37225.0
11,24,2,256229,37246.0
11,24,2,264126,37251.0
11,24,2,277217,37253.0
11,24,2,285217,37257.0
11,24,2,297113,37264.0
11,24,2,310075,37268.0
11,24,2,318464,37264.0
11,24,2,330125,37276.0
11,24,2,338275,37284.0
11,24,2,350079,37289.0
11,24,2,359130,37293.0
11,24,2,371120,37286.0
11,24,2,383108,37263.0
11,24,2,391067,37221.0
11,24,2,404220,37110.0
11,24,2,412158,36862.0
11,24,2,424227,36491.0
11,24,2,432149,36104.0
11,24,2,445214,35826.0
11,24,2,457088,35690.0
11,24,2,465132,35680.0
11,24,2,477071,35738.0
11,24,2,486067,35776.0
11,24,2,498089,35787.0
11,24,2,506082,35793.0
11,24,2,518111,35820.0
11,24,2,531026,35844.0
11,24,2,539112,35856.0
11,24,2,551060,35871.0
11,24,2,559068,35880.0
11,24,2,572296,35880.0
11,24,2,580296,35887.0
11,24,2,592080,35900.0
11,24,2,604084,35914.0
11,24,2,613082,35939.0
11,24,2,625087,35943.0
11,24,2,633325,35942.0
11,24,2,645157,35956.0
11,24,2,654064,35964.0
11,24,2,666186,35969.0
11,24,2,677934,35965.0
11,24,2,686259,35960.0
11,24,2,699057,35975.0
11,24,2,707036,35970.0
11,24,2,719095,35969.0
11,24,2,727192,35972.0
11,24,2,740275,35974.0
11,24,2,752015,35977.0
11,24,2,760094,35992.0
11,24,2,772119,36005.0
