Hour,Minute,Second,Microsecond,IR1
11,44,9,363178,39795.0
11,44,9,371121,39812.0
11,44,9,387002,39835.0
11,44,9,392423,39862.0
11,44,9,404184,39882.0
11,44,9,415803,39882.0
11,44,9,423896,39877.0
11,44,9,437020,39881.0
11,44,9,444983,39889.0
11,44,9,457053,39894.0
11,44,9,464976,39893.0
11,44,9,478126,39892.0
11,44,9,490007,39898.0
11,44,9,497984,39906.0
11,44,9,510024,39899.0
11,44,9,518944,39889.0
11,44,9,531031,39897.0
11,44,9,539134,39916.0
11,44,9,551102,39922.0
11,44,9,563991,39931.0
11,44,9,571974,39934.0
11,44,9,584127,39927.0
11,44,9,592111,39920.0
11,44,9,604916,39915.0
11,44,9,613127,39915.0
11,44,9,625240,39912.0
11,44,9,637137,39907.0
11,44,9,646198,39884.0
11,44,9,658098,39729.0
11,44,9,665973,39618.0
11,44,9,678125,39400.0
11,44,9,686996,39184.0
11,44,9,699029,38978.0
11,44,9,710877,38781.0
11,44,9,718876,38619.0
11,44,9,731979,38465.0
11,44,9,740116,38340.0
11,44,9,752008,38277.0
11,44,9,759915,38267.0
11,44,9,773000,38281.0
11,44,9,785040,38296.0
11,44,9,793230,38296.0
11,44,9,805018,38310.0
11,44,9,814009,38302.0
11,44,9,825922,38290.0
11,44,9,834015,38293.0
11,44,9,845884,38286.0
11,44,9,858863,38288.0
11,44,9,866947,38300.0
11,44,9,878958,38295.0
11,44,9,887118,38298.0
11,44,9,899937,38301.0
11,44,9,907938,38303.0
11,44,9,920133,38298.0
11,44,9,931927,38296.0
11,44,9,941174,38294.0
11,44,9,953319,38303.0
11,44,9,961102,38293.0
11,44,9,973016,38291.0
11,44,9,982138,38302.0
11,44,9,994129,38302.0
11,44,10,5917,38299.0
11,44,10,14137,38296.0
11,44,10,27234,38306.0
11,44,10,34963,38316.0
11,44,10,46905,38329.0
11,44,10,58858,38329.0
11,44,10,67910,38321.0
11,44,10,80007,38308.0
11,44,10,87979,38312.0
11,44,10,100130,38304.0
11,44,10,109096,38314.0
11,44,10,121156,38315.0
11,44,10,132851,38310.0
11,44,10,140968,38311.0
11,44,10,153821,38325.0
11,44,10,162026,38308.0
11,44,10,173930,38302.0
11,44,10,181983,38308.0
11,44,10,194123,38306.0
11,44,10,207042,38298.0
11,44,10,214997,38298.0
11,44,10,227024,38314.0
11,44,10,234982,38303.0
11,44,10,247961,38285.0
11,44,10,256004,38305.0
11,44,10,267983,38306.0
11,44,10,279795,38290.0
11,44,10,289119,38301.0
11,44,10,301045,38294.0
11,44,10,309130,38302.0
11,44,10,321152,38294.0
11,44,10,330105,38308.0
11,44,10,341924,38296.0
11,44,10,354658,38348.0
11,44,10,361967,38465.0
11,44,10,375058,38552.0
11,44,10,382908,38647.0
11,44,10,395000,38762.0
11,44,10,403282,38879.0
11,44,10,416008,39007.0
11,44,10,427990,39116.0
11,44,10,435942,39228.0
11,44,10,448016,39317.0
11,44,10,456989,39395.0
11,44,10,468956,39406.0
11,44,10,476988,39417.0
11,44,10,488964,39430.0
11,44,10,501915,39420.0
11,44,10,510103,39423.0
11,44,10,522036,39442.0
11,44,10,529969,39448.0
11,44,10,543003,39458.0
11,44,10,550899,39458.0
11,44,10,562967,39465.0
11,44,10,574913,39472.0
11,44,10,583987,39467.0
11,44,10,595856,39467.0
11,44,10,604130,39468.0
11,44,10,615969,39463.0
11,44,10,624909,39455.0
11,44,10,637117,39456.0
11,44,10,648830,39449.0
11,44,10,656874,39450.0
11,44,10,669958,39447.0
11,44,10,678108,39436.0
11,44,10,689910,39438.0
11,44,10,697992,39440.0
11,44,10,711010,39417.0
11,44,10,722838,39415.0
11,44,10,731102,39425.0
11,44,10,742956,39413.0
11,44,10,752116,39408.0
11,44,10,763968,39411.0
11,44,10,771972,39408.0
11,44,10,784112,39412.0
11,44,10,796893,39422.0
11,44,10,805240,39416.0
11,44,10,816912,39420.0
11,44,10,824912,39402.0
11,44,10,838107,39406.0
11,44,10,845959,39406.0
11,44,10,857880,39411.0
11,44,10,869959,39407.0
11,44,10,879003,39414.0
11,44,10,891102,39406.0
11,44,10,898976,39416.0
11,44,10,910936,39402.0
11,44,10,918888,39391.0
11,44,10,931906,39385.0
11,44,10,943790,39374.0
11,44,10,951900,39347.0
11,44,10,964938,39284.0
11,44,10,972969,39069.0
11,44,10,984978,38891.0
11,44,10,992872,38809.0
11,44,11,4935,38689.0
11,44,11,17952,38559.0
11,44,11,25961,38436.0
11,44,11,38016,38341.0
11,44,11,45935,38286.0
11,44,11,58861,38302.0
11,44,11,67017,38340.0
11,44,11,78988,38355.0
11,44,11,90946,38364.0
11,44,11,99955,38377.0
11,44,11,112006,38378.0
11,44,11,119850,38374.0
11,44,11,131973,38383.0
11,44,11,140993,38394.0
11,44,11,153002,38406.0
11,44,11,164796,38411.0
11,44,11,173075,38398.0
11,44,11,185929,38385.0
11,44,11,194076,38378.0
11,44,11,206003,38375.0
11,44,11,213986,38370.0
11,44,11,226978,38366.0
11,44,11,238817,38368.0
11,44,11,247101,38362.0
11,44,11,258955,38358.0
11,44,11,267909,38367.0
11,44,11,279907,38362.0
11,44,11,287973,38360.0
11,44,11,300113,38360.0
11,44,11,312890,38367.0
11,44,11,320882,38365.0
11,44,11,333003,38357.0
11,44,11,340969,38363.0
11,44,11,353961,38361.0
11,44,11,361900,38362.0
11,44,11,373951,38364.0
11,44,11,385846,38362.0
11,44,11,394941,38358.0
11,44,11,406942,38350.0
11,44,11,415159,38359.0
11,44,11,426888,38358.0
11,44,11,435903,38356.0
11,44,11,447950,38330.0
11,44,11,459964,38292.0
11,44,11,467863,38237.0
11,44,11,481040,38206.0
11,44,11,488956,38178.0
11,44,11,500966,38205.0
11,44,11,509091,38268.0
11,44,11,522005,38308.0
11,44,11,533789,38303.0
11,44,11,541895,38265.0
11,44,11,554036,38229.0
11,44,11,562874,38181.0
11,44,11,574948,38106.0
11,44,11,582919,37994.0
11,44,11,594954,37956.0
11,44,11,607965,37920.0
11,44,11,616079,37894.0
11,44,11,627841,37891.0
11,44,11,636224,37880.0
11,44,11,648886,37849.0
11,44,11,656834,37824.0
11,44,11,668954,37806.0
11,44,11,680961,37780.0
11,44,11,689888,37753.0
11,44,11,701907,37736.0
11,44,11,709965,37730.0
11,44,11,721935,37704.0
11,44,11,730086,37683.0
11,44,11,742971,37662.0
11,44,11,754963,37649.0
11,44,11,762907,37639.0
11,44,11,775860,37617.0
11,44,11,783868,37614.0
11,44,11,795939,37604.0
11,44,11,803974,37582.0
11,44,11,815962,37580.0
11,44,11,828753,37574.0
11,44,11,836955,37544.0
11,44,11,848911,37549.0
11,44,11,856862,37560.0
11,44,11,869837,37531.0
11,44,11,877924,37527.0
11,44,11,890098,37519.0
11,44,11,901897,37517.0
11,44,11,910921,37529.0
11,44,11,923078,37517.0
11,44,11,930957,37513.0
11,44,11,942911,37521.0
11,44,11,951932,37515.0
11,44,11,964065,37515.0
11,44,11,975765,37521.0
11,44,11,983904,37523.0
11,44,11,996959,37509.0
11,44,12,4891,37521.0
11,44,12,17091,37495.0
11,44,12,25092,37492.0
11,44,12,37991,37481.0
11,44,12,49938,37465.0
11,44,12,57929,37459.0
11,44,12,70054,37465.0
11,44,12,78918,37513.0
11,44,12,90959,37550.0
11,44,12,98951,37547.0
11,44,12,110930,37552.0
11,44,12,123839,37534.0
11,44,12,132098,37540.0
11,44,12,143965,37540.0
11,44,12,151980,37554.0
11,44,12,165064,37553.0
11,44,12,172872,37578.0
11,44,12,184941,37583.0
11,44,12,196905,37581.0
11,44,12,205988,37549.0
11,44,12,217988,37564.0
11,44,12,226076,37548.0
11,44,12,237927,37479.0
11,44,12,247064,37447.0
11,44,12,259080,37514.0
11,44,12,270896,37654.0
11,44,12,278836,37746.0
11,44,12,292082,37806.0
11,44,12,299862,37881.0
11,44,12,312078,37992.0
