Hour,Minute,Second,Microsecond,IR1
17,35,26,340808,37998.0
17,35,26,348783,38033.0
17,35,26,360678,38104.0
17,35,26,373513,38177.0
17,35,26,381660,38209.0
17,35,26,393601,38182.0
17,35,26,401656,38058.0
17,35,26,414861,38108.0
17,35,26,422694,38130.0
17,35,26,434661,38158.0
17,35,26,446683,38175.0
17,35,26,455718,38134.0
17,35,26,467817,38080.0
17,35,26,475890,38036.0
17,35,26,488895,38001.0
17,35,26,497039,37978.0
17,35,26,508898,37967.0
17,35,26,520690,37949.0
17,35,26,528669,37956.0
17,35,26,541694,37945.0
17,35,26,549896,37925.0
17,35,26,561737,37897.0
17,35,26,569892,37871.0
17,35,26,582899,37828.0
17,35,26,594682,37784.0
17,35,26,602704,37777.0
17,35,26,614604,37786.0
17,35,26,623895,37804.0
17,35,26,635783,37804.0
17,35,26,643914,37799.0
17,35,26,655712,37784.0
17,35,26,668608,37777.0
17,35,26,676897,37760.0
17,35,26,688674,37755.0
17,35,26,696680,37772.0
17,35,26,709938,37786.0
17,35,26,717713,37798.0
17,35,26,729891,37807.0
17,35,26,741686,37810.0
17,35,26,750722,37808.0
17,35,26,762854,37805.0
17,35,26,770880,37806.0
17,35,26,782894,37814.0
17,35,26,791712,37825.0
17,35,26,803871,37840.0
17,35,26,815647,37846.0
17,35,26,823712,37844.0
17,35,26,836738,37895.0
17,35,26,844651,37984.0
17,35,26,856734,38105.0
17,35,26,864871,38289.0
17,35,26,877667,38493.0
17,35,26,889615,38683.0
17,35,26,897867,38856.0
17,35,26,909795,38997.0
17,35,26,918700,39083.0
17,35,26,931035,39088.0
17,35,26,938698,39059.0
17,35,26,950981,39089.0
17,35,26,963590,39143.0
17,35,26,971993,39154.0
17,35,26,983741,39113.0
17,35,26,991717,39058.0
17,35,27,4883,39021.0
17,35,27,12691,39008.0
17,35,27,24868,39008.0
17,35,27,36706,39012.0
17,35,27,45705,39005.0
17,35,27,57800,38900.0
17,35,27,65693,38889.0
17,35,27,77870,38815.0
17,35,27,85976,38795.0
17,35,27,98764,38864.0
17,35,27,110706,38948.0
17,35,27,118689,39007.0
17,35,27,130804,39001.0
17,35,27,139869,38955.0
17,35,27,151740,38907.0
17,35,27,159647,38900.0
17,35,27,171685,38872.0
17,35,27,184575,38865.0
17,35,27,192745,38852.0
17,35,27,204808,38817.0
17,35,27,212881,38791.0
17,35,27,225865,38752.0
17,35,27,233711,38697.0
17,35,27,245966,38664.0
17,35,27,257553,38658.0
17,35,27,266956,38657.0
17,35,27,278849,38647.0
17,35,27,286718,38627.0
17,35,27,298744,38597.0
17,35,27,307871,38581.0
17,35,27,319872,38575.0
17,35,27,331650,38564.0
17,35,27,339803,38551.0
17,35,27,352691,38541.0
17,35,27,360876,38538.0
17,35,27,372871,38534.0
17,35,27,380694,38503.0
17,35,27,393641,38476.0
17,35,27,405513,38425.0
17,35,27,413596,38385.0
17,35,27,425577,38402.0
17,35,27,434625,38409.0
17,35,27,446638,38414.0
17,35,27,454675,38418.0
17,35,27,466876,38456.0
17,35,27,479729,38441.0
17,35,27,487872,38497.0
17,35,27,499725,38490.0
17,35,27,507688,38511.0
17,35,27,520879,38519.0
17,35,27,528691,38547.0
17,35,27,540877,38562.0
17,35,27,552630,38563.0
17,35,27,561687,38587.0
17,35,27,573794,38600.0
17,35,27,581847,38608.0
17,35,27,593874,38621.0
17,35,27,602680,38628.0
17,35,27,614873,38641.0
17,35,27,626616,38656.0
17,35,27,634863,38667.0
17,35,27,647796,38658.0
17,35,27,655719,38666.0
17,35,27,667707,38662.0
17,35,27,675882,38663.0
17,35,27,688774,38679.0
17,35,27,700693,38669.0
17,35,27,708715,38676.0
17,35,27,720769,38712.0
17,35,27,729674,38731.0
17,35,27,741876,38784.0
17,35,27,749883,38835.0
17,35,27,761766,38854.0
17,35,27,774705,38826.0
17,35,27,782890,38801.0
17,35,27,794622,38833.0
17,35,27,802680,38908.0
17,35,27,815847,38997.0
17,35,27,823674,39040.0
17,35,27,835844,39040.0
17,35,27,847672,39104.0
17,35,27,855671,39127.0
17,35,27,868741,39149.0
17,35,27,876705,39181.0
17,35,27,888682,39254.0
17,35,27,896744,39286.0
17,35,27,909863,39316.0
17,35,27,921587,39317.0
17,35,27,929676,39258.0
17,35,27,941819,39047.0
17,35,27,950830,38726.0
17,35,27,962970,38419.0
17,35,27,970622,38184.0
17,35,27,982853,38188.0
17,35,27,995686,38210.0
17,35,28,3685,38136.0
17,35,28,15638,38098.0
17,35,28,23591,38136.0
17,35,28,36858,38220.0
17,35,28,44844,38317.0
17,35,28,56927,38402.0
17,35,28,68461,38475.0
17,35,28,77748,38524.0
17,35,28,89599,38579.0
17,35,28,97837,38504.0
17,35,28,109740,38296.0
17,35,28,118745,38109.0
17,35,28,130842,37786.0
17,35,28,142686,37582.0
17,35,28,150584,37604.0
17,35,28,163800,37702.0
17,35,28,171650,37786.0
17,35,28,183854,37826.0
17,35,28,191698,37872.0
17,35,28,204725,37912.0
17,35,28,216488,37966.0
17,35,28,224677,38033.0
17,35,28,236801,38082.0
17,35,28,245827,38214.0
17,35,28,257836,38200.0
17,35,28,265660,38236.0
17,35,28,277695,38274.0
17,35,28,290679,38306.0
17,35,28,298851,38341.0
17,35,28,310815,38384.0
17,35,28,318673,38429.0
17,35,28,331858,38466.0
17,35,28,339858,38495.0
17,35,28,351982,38518.0
17,35,28,363582,38541.0
17,35,28,372717,38564.0
17,35,28,384814,38602.0
17,35,28,392676,38634.0
17,35,28,404615,38642.0
17,35,28,413608,38647.0
17,35,28,425615,38655.0
17,35,28,437504,38667.0
17,35,28,445590,38677.0
17,35,28,458561,38692.0
17,35,28,466638,38710.0
17,35,28,478741,38734.0
17,35,28,486846,38743.0
17,35,28,500011,38737.0
17,35,28,511604,38748.0
17,35,28,519656,38762.0
17,35,28,531798,38763.0
17,35,28,539828,38756.0
17,35,28,552854,38748.0
17,35,28,560938,38739.0
17,35,28,572924,38740.0
17,35,28,585681,38742.0
17,35,28,593840,38705.0
17,35,28,605877,38657.0
17,35,28,613661,38624.0
17,35,28,626845,38595.0
17,35,28,634642,38591.0
17,35,28,646858,38607.0
17,35,28,658621,38588.0
17,35,28,666682,38520.0
17,35,28,679692,38445.0
17,35,28,687631,38399.0
17,35,28,699834,38369.0
17,35,28,707859,38363.0
17,35,28,720849,38353.0
17,35,28,732672,38319.0
17,35,28,740644,38213.0
17,35,28,752805,37897.0
17,35,28,761830,37761.0
17,35,28,773828,37623.0
17,35,28,781676,37432.0
17,35,28,793846,37161.0
17,35,28,806700,36863.0
17,35,28,814837,36620.0
17,35,28,826657,36472.0
17,35,28,834857,36410.0
17,35,28,847655,36522.0
17,35,28,855607,36701.0
17,35,28,867826,36808.0
17,35,28,879657,36880.0
17,35,28,888641,36965.0
17,35,28,900796,37044.0
17,35,28,908744,37114.0
17,35,28,920685,37170.0
17,35,28,929896,37241.0
17,35,28,941825,37332.0
17,35,28,953625,37391.0
17,35,28,961843,37465.0
17,35,28,974781,37524.0
17,35,28,982636,37557.0
17,35,28,994820,37585.0
17,35,29,2834,37631.0
17,35,29,15819,37655.0
17,35,29,27702,37694.0
17,35,29,35651,37696.0
17,35,29,47621,37756.0
17,35,29,56656,37778.0
17,35,29,68829,37775.0
17,35,29,76643,37799.0
17,35,29,88710,37800.0
17,35,29,101602,37829.0
17,35,29,109800,37836.0
17,35,29,121692,37885.0
17,35,29,129603,37916.0
17,35,29,142673,37950.0
17,35,29,150701,37956.0
17,35,29,162802,37969.0
17,35,29,174615,37981.0
17,35,29,183682,37965.0
17,35,29,195802,37972.0
17,35,29,203664,37962.0
17,35,29,215835,37968.0
17,35,29,223763,37968.0
17,35,29,236821,37958.0
17,35,29,248610,37958.0
17,35,29,256653,37940.0
17,35,29,269835,37939.0
17,35,29,277645,37925.0
17,35,29,289705,37886.0
17,35,29,297832,37860.0
17,35,29,311050,37837.0
17,35,29,322535,37816.0
17,35,29,330829,37809.0
17,35,29,342740,37788.0
17,35,29,350688,37750.0
17,35,29,363712,37725.0
17,35,29,371826,37677.0
17,35,29,383827,37658.0
17,35,29,395638,37682.0
17,35,29,404831,37665.0
17,35,29,416654,37649.0
17,35,29,424830,37651.0
17,35,29,436652,37645.0
17,35,29,445701,37624.0
17,35,29,457799,37587.0
17,35,29,469587,37575.0
17,35,29,477614,37556.0
17,35,29,490828,37530.0
17,35,29,498706,37507.0
17,35,29,510857,37464.0
17,35,29,519124,37354.0
17,35,29,531828,37196.0
17,35,29,543558,36936.0
17,35,29,551815,36450.0
17,35,29,563820,35812.0
17,35,29,572675,35217.0
17,35,29,584928,34822.0
17,35,29,592634,34752.0
17,35,29,604803,35032.0
17,35,29,617708,35465.0
17,35,29,625671,35749.0
17,35,29,637614,35866.0
17,35,29,645592,36059.0
17,35,29,658575,36267.0
17,35,29,666596,36456.0
17,35,29,678583,36612.0
17,35,29,690519,36691.0
17,35,29,699615,36750.0
17,35,29,711835,36816.0
17,35,29,719824,36892.0
17,35,29,731755,36942.0
17,35,29,740815,36993.0
17,35,29,752706,37034.0
17,35,29,764736,37036.0
17,35,29,772825,37027.0
17,35,29,785683,37023.0
17,35,29,793814,37002.0
17,35,29,805826,36986.0
17,35,29,813801,36968.0
17,35,29,826797,36938.0
17,35,29,838712,36904.0
17,35,29,846704,36863.0
17,35,29,858661,36812.0
17,35,29,867812,36766.0
17,35,29,879812,36733.0
17,35,29,887687,36705.0
17,35,29,899810,36759.0
17,35,29,912735,36960.0
17,35,29,920864,37161.0
17,35,29,932629,37315.0
17,35,29,940620,37439.0
17,35,29,953635,37501.0
17,35,29,965485,37531.0
17,35,29,973765,37542.0
17,35,29,985620,37537.0
17,35,29,994586,37516.0
17,35,30,6684,37499.0
17,35,30,14680,37479.0
17,35,30,26700,37451.0
17,35,30,39587,37433.0
17,35,30,47670,37411.0
17,35,30,59709,37387.0
17,35,30,67635,37337.0
17,35,30,80974,37282.0
17,35,30,88783,37263.0
17,35,30,100639,37246.0
17,35,30,112577,37207.0
17,35,30,121608,37150.0
17,35,30,133676,37100.0
17,35,30,141784,37064.0
17,35,30,153633,37042.0
17,35,30,161649,37017.0
17,35,30,174635,36989.0
17,35,30,186491,36945.0
17,35,30,194775,36893.0
17,35,30,206495,36863.0
17,35,30,215680,36860.0
17,35,30,227820,36992.0
17,35,30,235796,37268.0
17,35,30,248685,37527.0
17,35,30,260548,37712.0
17,35,30,268806,37815.0
17,35,30,280623,37844.0
17,35,30,288575,37846.0
17,35,30,301638,37863.0
17,35,30,309899,37862.0
17,35,30,321812,37845.0
17,35,30,333499,37842.0
17,35,30,342853,37815.0
17,35,30,354696,37775.0
17,35,30,362619,37763.0
17,35,30,374660,37772.0
17,35,30,383806,37765.0
17,35,30,395810,37760.0
17,35,30,407544,37733.0
17,35,30,415650,37687.0
17,35,30,428712,37649.0
