Hour,Minute,Second,Microsecond,IR1,2 blinks
17,38,47,42278,36185,47.0
17,38,47,50553,36223,47.1
17,38,47,63300,36266,47.1
17,38,47,71237,36301,47.1
17,38,47,83617,36328,47.1
17,38,47,91225,36352,47.1
17,38,47,103242,36338,47.1
17,38,47,116161,36203,47.1
17,38,47,124241,35932,47.1
17,38,47,136254,35693,47.1
17,38,47,144429,35521,47.1
17,38,47,157267,35425,47.2
17,38,47,168093,35432,47.2
17,38,47,177395,35510,47.2
17,38,47,189339,35568,47.2
17,38,47,198464,35609,47.2
17,38,47,210346,35673,47.2
17,38,47,218246,35760,47.2
17,38,47,230337,35832,47.2
17,38,47,243202,35913,47.2
17,38,47,251309,36001,47.3
17,38,47,263294,36100,47.3
17,38,47,271459,36194,47.3
17,38,47,284363,36297,47.3
17,38,47,292269,36398,47.3
17,38,47,304289,36500,47.3
17,38,47,316259,36584,47.3
17,38,47,325473,36615,47.3
17,38,47,337357,36514,47.3
17,38,47,345356,36345,47.3
17,38,47,357472,36283,47.4
17,38,47,366316,36327,47.4
17,38,47,378534,36377,47.4
17,38,47,390176,36406,47.4
17,38,47,398327,36446,47.4
17,38,47,411357,36506,47.4
17,38,47,419463,36568,47.4
17,38,47,431342,36616,47.4
17,38,47,439464,36668,47.4
17,38,47,452345,36722,47.5
17,38,47,464270,36793,47.5
17,38,47,472601,36850,47.5
17,38,47,484365,36894,47.5
17,38,47,493299,36929,47.5
17,38,47,505348,36969,47.5
17,38,47,513455,37015,47.5
17,38,47,525467,37051,47.5
17,38,47,538253,37093,47.5
17,38,47,546903,37108,47.5
17,38,47,558401,37138,47.6
17,38,47,566441,37154,47.6
17,38,47,579408,37161,47.6
17,38,47,587425,37171,47.6
17,38,47,599486,37180,47.6
17,38,47,611271,37186,47.6
17,38,47,620646,37198,47.6
17,38,47,632294,37208,47.6
17,38,47,640286,37218,47.6
17,38,47,652387,37233,47.7
17,38,47,661498,37222,47.7
17,38,47,673481,37231,47.7
17,38,47,685263,37233,47.7
17,38,47,693454,37230,47.7
17,38,47,706364,37220,47.7
17,38,47,714284,37216,47.7
17,38,47,726462,37201,47.7
17,38,47,734463,37169,47.7
17,38,47,747465,37151,47.7
17,38,47,759265,37138,47.8
17,38,47,767461,37128,47.8
17,38,47,779382,37053,47.8
17,38,47,788375,37101,47.8
17,38,47,800442,37094,47.8
17,38,47,808436,37087,47.8
17,38,47,820328,37067,47.8
17,38,47,833143,37049,47.8
17,38,47,841449,37037,47.8
17,38,47,853305,37027,47.9
17,38,47,861306,37007,47.9
17,38,47,874453,36935,47.9
17,38,47,882435,36730,47.9
17,38,47,894441,36487,47.9
17,38,47,906188,36332,47.9
17,38,47,914429,36235,47.9
17,38,47,927391,36193,47.9
17,38,47,935443,36230,47.9
17,38,47,947282,36314,47.9
17,38,47,955525,36386,48.0
17,38,47,968440,36443,48.0
17,38,47,980130,36499,48.0
17,38,47,988259,36548,48.0
17,38,48,219,36593,48.0
17,38,48,9332,36633,48.0
17,38,48,21436,36659,48.0
17,38,48,29284,36694,48.0
17,38,48,41446,36738,48.0
17,38,48,54395,36766,48.1
17,38,48,62335,36783,48.1
17,38,48,74367,36758,48.1
17,38,48,82438,36648,48.1
17,38,48,95283,36547,48.1
17,38,48,103272,36503,48.1
17,38,48,115337,36452,48.1
17,38,48,127150,36457,48.1
17,38,48,136306,36545,48.1
17,38,48,148345,36639,48.1
17,38,48,156609,36704,48.2
17,38,48,168263,36773,48.2
17,38,48,177320,36831,48.2
17,38,48,189403,36868,48.2
17,38,48,201174,36903,48.2
17,38,48,209236,36941,48.2
17,38,48,222247,36976,48.2
17,38,48,230340,37003,48.2
17,38,48,242454,37040,48.2
17,38,48,255030,37076,48.3
17,38,48,263413,37099,48.3
17,38,48,275072,37109,48.3
17,38,48,283220,37116,48.3
17,38,48,295359,37063,48.3
17,38,48,304177,36940,48.3
17,38,48,316252,36810,48.3
17,38,48,324207,36633,48.3
17,38,48,336165,36483,48.3
17,38,48,349108,36479,48.3
17,38,48,357207,36550,48.4
17,38,48,369156,36615,48.4
17,38,48,377341,36672,48.4
17,38,48,390395,36724,48.4
17,38,48,398239,36772,48.4
17,38,48,410428,36821,48.4
17,38,48,422253,36864,48.4
17,38,48,431414,36891,48.4
17,38,48,443213,36911,48.4
17,38,48,451424,36928,48.5
17,38,48,463414,36948,48.5
17,38,48,472442,36962,48.5
17,38,48,484406,36973,48.5
17,38,48,496188,36988,48.5
17,38,48,504457,37008,48.5
17,38,48,517595,37019,48.5
17,38,48,525267,37003,48.5
17,38,48,537557,36984,48.5
17,38,48,545242,36990,48.5
17,38,48,558495,37003,48.6
17,38,48,570199,36991,48.6
17,38,48,578391,36980,48.6
17,38,48,590387,36966,48.6
17,38,48,599255,36936,48.6
17,38,48,611247,36909,48.6
17,38,48,619350,36872,48.6
17,38,48,631427,36845,48.6
17,38,48,644271,36819,48.6
17,38,48,652311,36785,48.7
17,38,48,664393,36750,48.7
17,38,48,672260,36701,48.7
17,38,48,685428,36649,48.7
17,38,48,693422,36619,48.7
17,38,48,705413,36671,48.7
17,38,48,717268,36865,48.7
17,38,48,725266,37061,48.7
17,38,48,738397,37139,48.7
17,38,48,746251,37176,48.7
17,38,48,758322,37190,48.8
17,38,48,766210,37196,48.8
17,38,48,779322,37193,48.8
17,38,48,791294,37180,48.8
17,38,48,799249,37158,48.8
17,38,48,811400,37096,48.8
17,38,48,820224,37012,48.8
17,38,48,832213,36947,48.8
17,38,48,840261,36920,48.8
17,38,48,852433,36901,48.9
17,38,48,865298,36876,48.9
17,38,48,873414,36841,48.9
17,38,48,885394,36799,48.9
17,38,48,893413,36764,48.9
17,38,48,906413,36732,48.9
17,38,48,914251,36699,48.9
17,38,48,926645,36647,48.9
17,38,48,938316,36600,48.9
17,38,48,947416,36561,48.9
17,38,48,959374,36525,49.0
17,38,48,967245,36486,49.0
17,38,48,979294,36442,49.0
17,38,48,988270,36416,49.0
17,38,49,423,36399,49.0
17,38,49,12186,36372,49.0
17,38,49,20242,36340,49.0
17,38,49,33264,36319,49.0
17,38,49,41421,36355,49.0
17,38,49,53423,36589,49.1
17,38,49,61246,36799,49.1
17,38,49,74292,36824,49.1
17,38,49,86244,36814,49.1
17,38,49,94215,36779,49.1
17,38,49,106358,36758,49.1
17,38,49,115420,36752,49.1
17,38,49,127238,36742,49.1
17,38,49,135275,36750,49.1
17,38,49,147430,36759,49.1
17,38,49,160281,36766,49.2
17,38,49,168301,36774,49.2
17,38,49,180386,36790,49.2
17,38,49,188303,36780,49.2
17,38,49,201387,36775,49.2
17,38,49,209255,36797,49.2
17,38,49,221409,36836,49.2
17,38,49,233228,36862,49.2
17,38,49,242417,36914,49.2
17,38,49,254419,36980,49.3
17,38,49,262423,36907,49.3
17,38,49,274454,36827,49.3
17,38,49,283230,36762,49.3
17,38,49,295420,36821,49.3
17,38,49,307298,36679,49.3
17,38,49,315252,36804,49.3
17,38,49,328319,36941,49.3
17,38,49,336301,37053,49.3
17,38,49,348593,37126,49.3
17,38,49,356414,37137,49.4
17,38,49,369255,37120,49.4
17,38,49,381150,37121,49.4
17,38,49,389279,37088,49.4
17,38,49,402439,37038,49.4
17,38,49,409207,36980,49.4
17,38,49,422304,36937,49.4
17,38,49,430269,36920,49.4
17,38,49,442296,36915,49.4
17,38,49,455105,36881,49.5
17,38,49,463165,36864,49.5
17,38,49,475186,36873,49.5
17,38,49,483309,36901,49.5
17,38,49,495215,36890,49.5
17,38,49,504274,36880,49.5
17,38,49,516230,36888,49.5
17,38,49,528214,36756,49.5
17,38,49,536188,36640,49.5
