Hour,Minute,Second,Microsecond,IR1
17,42,46,605210,38908.0
17,42,46,616992,38900.0
17,42,46,625030,38897.0
17,42,46,637953,38886.0
17,42,46,646044,38889.0
17,42,46,657975,38886.0
17,42,46,665977,38875.0
17,42,46,678995,38861.0
17,42,46,690865,38855.0
17,42,46,699009,38847.0
17,42,46,711031,38841.0
17,42,46,719013,38829.0
17,42,46,732103,38814.0
17,42,46,740004,38796.0
17,42,46,752120,38797.0
17,42,46,765084,38784.0
17,42,46,773023,38731.0
17,42,46,785333,38661.0
17,42,46,792952,38599.0
17,42,46,806093,38633.0
17,42,46,814065,38782.0
17,42,46,826093,39046.0
17,42,46,838060,39217.0
17,42,46,847011,39244.0
17,42,46,859159,39281.0
17,42,46,867007,39347.0
17,42,46,879045,39381.0
17,42,46,887345,39416.0
17,42,46,900186,39468.0
17,42,46,912067,39528.0
17,42,46,920046,39574.0
17,42,46,932159,39616.0
17,42,46,940998,39656.0
17,42,46,953078,39697.0
17,42,46,961197,39707.0
17,42,46,973176,39718.0
17,42,46,986069,39733.0
17,42,46,994011,39738.0
17,42,47,5954,39727.0
17,42,47,14016,39732.0
17,42,47,27476,39733.0
17,42,47,35205,39726.0
17,42,47,47313,39716.0
17,42,47,58923,39693.0
17,42,47,67965,39677.0
17,42,47,80150,39664.0
17,42,47,88013,39654.0
17,42,47,100195,39645.0
17,42,47,109050,39643.0
17,42,47,121199,39639.0
17,42,47,132966,39643.0
17,42,47,140929,39659.0
17,42,47,154123,39676.0
17,42,47,162092,39703.0
17,42,47,174200,39786.0
17,42,47,182024,39961.0
17,42,47,195186,40024.0
17,42,47,206958,39989.0
17,42,47,215124,39973.0
17,42,47,227125,39990.0
17,42,47,236019,40004.0
17,42,47,248206,40009.0
17,42,47,256165,40024.0
17,42,47,268013,40025.0
17,42,47,281067,40026.0
17,42,47,289018,40008.0
17,42,47,301201,40002.0
17,42,47,309021,39992.0
17,42,47,322054,39997.0
17,42,47,330194,39988.0
17,42,47,342086,39964.0
17,42,47,354063,39951.0
17,42,47,363012,39959.0
17,42,47,375193,39940.0
17,42,47,383017,39939.0
17,42,47,395192,39940.0
17,42,47,404176,39969.0
17,42,47,416037,40124.0
17,42,47,428054,40356.0
17,42,47,436040,40428.0
17,42,47,449182,40426.0
17,42,47,457171,40448.0
17,42,47,469124,40482.0
17,42,47,477017,40517.0
17,42,47,490197,40540.0
17,42,47,501976,40567.0
17,42,47,510006,40588.0
17,42,47,522019,40603.0
17,42,47,529945,40616.0
17,42,47,543186,40639.0
17,42,47,551204,40671.0
17,42,47,563015,40694.0
17,42,47,576071,40724.0
17,42,47,584181,40753.0
17,42,47,596018,40750.0
17,42,47,604187,40755.0
17,42,47,617028,40753.0
17,42,47,625029,40744.0
17,42,47,637213,40726.0
17,42,47,649007,40712.0
17,42,47,656967,40700.0
17,42,47,670064,40681.0
17,42,47,677947,40660.0
17,42,47,690198,40650.0
17,42,47,698125,40631.0
17,42,47,711195,40628.0
17,42,47,723070,40624.0
17,42,47,731012,40623.0
17,42,47,743028,40630.0
17,42,47,752198,40628.0
17,42,47,764175,40641.0
17,42,47,772004,40652.0
17,42,47,783997,40680.0
17,42,47,796969,40689.0
17,42,47,804989,40694.0
17,42,47,817165,40703.0
17,42,47,825017,40717.0
17,42,47,837966,40726.0
17,42,47,845941,40745.0
17,42,47,861195,40761.0
17,42,47,869944,40786.0
17,42,47,879035,40808.0
17,42,47,891070,40820.0
17,42,47,899158,40820.0
17,42,47,911175,40824.0
17,42,47,919979,40807.0
17,42,47,932032,40782.0
17,42,47,943895,40785.0
17,42,47,951967,40780.0
17,42,47,965161,40742.0
17,42,47,972977,40680.0
17,42,47,984948,40702.0
17,42,47,992904,40702.0
17,42,48,5916,40687.0
17,42,48,17893,40672.0
17,42,48,25923,40656.0
17,42,48,37968,40643.0
17,42,48,46971,40659.0
17,42,48,58959,40656.0
17,42,48,66982,40655.0
17,42,48,78960,40663.0
17,42,48,92083,40675.0
17,42,48,99992,40679.0
17,42,48,112163,40667.0
17,42,48,119982,40672.0
17,42,48,133063,40680.0
17,42,48,140938,40689.0
17,42,48,153072,40706.0
17,42,48,164882,40702.0
17,42,48,173962,40708.0
17,42,48,186043,40713.0
17,42,48,194168,40718.0
17,42,48,206160,40694.0
17,42,48,214987,40694.0
17,42,48,227174,40720.0
17,42,48,238993,40702.0
17,42,48,246983,40699.0
17,42,48,260168,40677.0
17,42,48,268002,40663.0
17,42,48,280146,40665.0
17,42,48,287980,40631.0
17,42,48,301138,40617.0
17,42,48,313057,40596.0
17,42,48,320964,40574.0
17,42,48,333149,40490.0
17,42,48,341995,40476.0
17,42,48,354168,40513.0
17,42,48,361967,40509.0
17,42,48,374034,40517.0
17,42,48,386990,40529.0
17,42,48,394913,40525.0
17,42,48,407269,40514.0
17,42,48,414925,40547.0
17,42,48,427137,40549.0
17,42,48,435974,40563.0
17,42,48,448041,40556.0
17,42,48,460055,40562.0
17,42,48,467961,40548.0
17,42,48,481016,40570.0
17,42,48,488977,40561.0
17,42,48,500980,40538.0
17,42,48,509271,40533.0
17,42,48,522023,40549.0
17,42,48,534054,40750.0
17,42,48,542007,41010.0
17,42,48,554142,41267.0
17,42,48,563176,41297.0
17,42,48,574959,41253.0
17,42,48,583147,41244.0
17,42,48,594988,41255.0
17,42,48,608063,41237.0
17,42,48,616134,41224.0
17,42,48,628043,41185.0
17,42,48,635956,41157.0
17,42,48,649050,41168.0
17,42,48,660942,41157.0
17,42,48,669025,41151.0
17,42,48,680825,41134.0
17,42,48,689907,41129.0
17,42,48,701973,41123.0
17,42,48,710147,41102.0
17,42,48,722055,41088.0
17,42,48,734927,41116.0
17,42,48,742978,41221.0
17,42,48,755048,41361.0
17,42,48,763014,41388.0
17,42,48,776103,41512.0
17,42,48,783991,41585.0
17,42,48,796015,41641.0
17,42,48,807935,41645.0
17,42,48,817147,41655.0
17,42,48,829015,41670.0
17,42,48,837150,41656.0
17,42,48,849041,41643.0
17,42,48,857937,41647.0
17,42,48,870191,41604.0
17,42,48,881808,41542.0
17,42,48,889986,41502.0
17,42,48,902919,41434.0
17,42,48,911129,41409.0
17,42,48,923138,41381.0
17,42,48,930972,41363.0
17,42,48,944146,41347.0
17,42,48,955943,41340.0
17,42,48,964056,41330.0
17,42,48,975967,41328.0
17,42,48,984984,41339.0
17,42,48,997010,41373.0
17,42,49,4958,41361.0
17,42,49,17162,41256.0
17,42,49,29830,41267.0
17,42,49,37950,41317.0
17,42,49,50133,41302.0
17,42,49,57971,41330.0
17,42,49,71176,41362.0
17,42,49,78963,41373.0
17,42,49,90976,41399.0
17,42,49,102881,41412.0
17,42,49,112139,41418.0
17,42,49,124078,41415.0
17,42,49,131979,41430.0
17,42,49,144154,41438.0
17,42,49,152911,41447.0
17,42,49,165015,41439.0
17,42,49,189846,41431.0
17,42,49,190289,41430.0
17,42,49,196864,41420.0
17,42,49,210631,41415.0
17,42,49,217902,41394.0
17,42,49,225902,41390.0
17,42,49,237910,41381.0
17,42,49,250795,41390.0
17,42,49,258925,41386.0
17,42,49,270837,41392.0
17,42,49,278917,41408.0
17,42,49,291950,41425.0
17,42,49,300084,41444.0
17,42,49,311999,41477.0
17,42,49,324891,41458.0
17,42,49,333052,41475.0
17,42,49,345052,41467.0
17,42,49,352931,41467.0
17,42,49,365133,41475.0
17,42,49,373900,41490.0
17,42,49,386120,41408.0
17,42,49,397965,41379.0
17,42,49,405914,41377.0
17,42,49,419057,41396.0
17,42,49,427118,41382.0
17,42,49,439119,41398.0
17,42,49,446947,41386.0
17,42,49,460019,41367.0
17,42,49,471965,41372.0
17,42,49,479950,41371.0
17,42,49,492147,41360.0
17,42,49,500948,41355.0
17,42,49,513010,41344.0
17,42,49,521127,41339.0
17,42,49,533114,41329.0
17,42,49,545966,41306.0
17,42,49,553948,41304.0
17,42,49,566094,41292.0
17,42,49,573968,41285.0
17,42,49,587126,41286.0
17,42,49,594966,41277.0
17,42,49,607122,41275.0
17,42,49,618966,41299.0
17,42,49,628224,41283.0
17,42,49,640090,41286.0
17,42,49,647916,41155.0
17,42,49,660124,41058.0
17,42,49,669017,41071.0
17,42,49,680936,41098.0
17,42,49,692870,41097.0
17,42,49,700990,41099.0
17,42,49,713952,41120.0
17,42,49,721919,41129.0
17,42,49,734101,41123.0
17,42,49,741940,41133.0
17,42,49,755123,41124.0
17,42,49,766898,41134.0
17,42,49,775122,41126.0
17,42,49,787062,41122.0
17,42,49,795975,41137.0
17,42,49,808115,41118.0
17,42,49,815947,41120.0
17,42,49,828131,41115.0
17,42,49,840995,41071.0
17,42,49,848932,41022.0
17,42,49,860928,40889.0
17,42,49,868949,40800.0
17,42,49,882122,40800.0
17,42,49,889976,40803.0
17,42,49,901934,40798.0
17,42,49,913988,40789.0
17,42,49,923134,40799.0
17,42,49,935098,40794.0
17,42,49,942933,40788.0
17,42,49,955069,40780.0
17,42,49,962927,40796.0
17,42,49,976024,40799.0
17,42,49,988004,40822.0
17,42,49,995951,40831.0
17,42,50,8121,40834.0
17,42,50,17100,40841.0
17,42,50,28956,40853.0
17,42,50,37129,40860.0
17,42,50,49126,40861.0
17,42,50,61998,40853.0
17,42,50,69957,40870.0
17,42,50,81973,40847.0
17,42,50,90123,40822.0
17,42,50,102980,40820.0
17,42,50,110931,40814.0
17,42,50,123021,40799.0
17,42,50,134851,40779.0
17,42,50,143976,40799.0
17,42,50,156124,40697.0
17,42,50,163976,40640.0
17,42,50,175984,40619.0
17,42,50,185126,40614.0
17,42,50,196877,40610.0
17,42,50,209003,40612.0
17,42,50,217040,40608.0
17,42,50,230119,40610.0
17,42,50,237918,40613.0
17,42,50,249996,40608.0
17,42,50,257908,40617.0
17,42,50,271134,40610.0
17,42,50,283006,40629.0
17,42,50,290873,40639.0
17,42,50,303120,40643.0
17,42,50,311985,40657.0
17,42,50,323977,40658.0
17,42,50,331942,40679.0
17,42,50,343952,40678.0
17,42,50,357034,40695.0
17,42,50,364933,40770.0
17,42,50,377221,40709.0
17,42,50,384983,40711.0
17,42,50,398025,40632.0
17,42,50,406111,40678.0
17,42,50,418126,40674.0
17,42,50,429951,40662.0
17,42,50,438906,40647.0
17,42,50,451282,40624.0
17,42,50,458900,40612.0
17,42,50,470882,40609.0
17,42,50,479936,40600.0
17,42,50,491994,40598.0
17,42,50,503806,40596.0
17,42,50,511896,40597.0
17,42,50,524926,40613.0
17,42,50,532917,40618.0
17,42,50,544961,40611.0
17,42,50,552948,40625.0
17,42,50,566117,40643.0
17,42,50,577920,40639.0
17,42,50,586102,40645.0
17,42,50,598100,40646.0
17,42,50,606942,40645.0
17,42,50,619061,40651.0
17,42,50,626867,40659.0
17,42,50,638990,40653.0
17,42,50,652018,40663.0
17,42,50,659957,40671.0
17,42,50,672138,40672.0
17,42,50,680106,40662.0
17,42,50,692998,40664.0
17,42,50,704730,40668.0
17,42,50,713105,40654.0
17,42,50,724865,40654.0
17,42,50,732951,40647.0
17,42,50,746118,40631.0
17,42,50,754109,40620.0
17,42,50,766016,40606.0
17,42,50,777889,40589.0
17,42,50,786960,40567.0
17,42,50,799005,40552.0
17,42,50,806918,40535.0
17,42,50,819141,40531.0
17,42,50,827895,40532.0
17,42,50,839972,40527.0
17,42,50,851893,40529.0
17,42,50,860938,40526.0
17,42,50,872904,40533.0
17,42,50,880885,40583.0
17,42,50,892951,40197.0
17,42,50,901110,39881.0
17,42,50,913928,39664.0
17,42,50,925879,39544.0
17,42,50,933900,39537.0
17,42,50,946001,39558.0
17,42,50,955089,39545.0
17,42,50,967093,39536.0
17,42,50,974881,39541.0
17,42,50,987101,39543.0
17,42,50,999884,39539.0
17,42,51,8098,39527.0
17,42,51,20007,39519.0
17,42,51,27927,39510.0
17,42,51,40964,39490.0
17,42,51,48885,39481.0
17,42,51,61087,39488.0
17,42,51,72897,39478.0
17,42,51,81916,39467.0
17,42,51,93951,39472.0
17,42,51,102243,39469.0
17,42,51,114047,39478.0
17,42,51,122903,39418.0
17,42,51,134922,39283.0
17,42,51,146753,39125.0
17,42,51,155095,38959.0
17,42,51,167953,38920.0
17,42,51,176097,38967.0
17,42,51,187943,39012.0
17,42,51,195901,39032.0
17,42,51,208931,39054.0
17,42,51,220897,39082.0
17,42,51,229110,39092.0
17,42,51,240877,39117.0
17,42,51,249927,39122.0
17,42,51,262110,39124.0
17,42,51,269929,39138.0
17,42,51,282068,39164.0
17,42,51,294972,39179.0
17,42,51,303089,39181.0
17,42,51,314871,39174.0
17,42,51,322871,39175.0
17,42,51,336142,39157.0
17,42,51,344102,39160.0
17,42,51,356210,39160.0
17,42,51,367826,39159.0
17,42,51,376946,39168.0
17,42,51,388881,39167.0
17,42,51,396968,39175.0
17,42,51,408993,39184.0
17,42,51,417951,39179.0
17,42,51,429919,39186.0
17,42,51,441946,39195.0
17,42,51,449942,39198.0
17,42,51,462881,39193.0
17,42,51,470894,39204.0
17,42,51,483100,39213.0
17,42,51,490952,39205.0
17,42,51,504009,39210.0
17,42,51,515829,39207.0
17,42,51,523863,39221.0
17,42,51,536042,39224.0
17,42,51,544932,39213.0
17,42,51,556975,39214.0
17,42,51,565101,39211.0
17,42,51,577101,39207.0
17,42,51,588936,39201.0
17,42,51,597976,39197.0
17,42,51,610207,39194.0
17,42,51,617905,39197.0
17,42,51,630145,39180.0
17,42,51,639097,39176.0
17,42,51,650927,39164.0
17,42,51,662941,39168.0
17,42,51,670919,39177.0
17,42,51,684018,39158.0
17,42,51,691919,39163.0
17,42,51,704014,39161.0
17,42,51,712141,39164.0
17,42,51,724928,39169.0
17,42,51,737006,39173.0
17,42,51,744916,39166.0
17,42,51,756974,39155.0
17,42,51,766104,39149.0
17,42,51,778074,39137.0
17,42,51,785928,39144.0
17,42,51,798080,39132.0
17,42,51,810831,39125.0
17,42,51,819077,39125.0
17,42,51,831046,39142.0
17,42,51,838856,39145.0
17,42,51,852090,39131.0
17,42,51,859924,39109.0
17,42,51,872024,39071.0
17,42,51,883924,39019.0
17,42,51,892908,38981.0
17,42,51,905038,38927.0
17,42,51,912882,38834.0
17,42,51,924918,38666.0
17,42,51,933846,38440.0
17,42,51,946077,38168.0
17,42,51,957951,37892.0
17,42,51,966085,37761.0
17,42,51,979012,37753.0
17,42,51,986891,37901.0
17,42,51,999081,37973.0
17,42,52,6899,38031.0
17,42,52,19938,38019.0
17,42,52,31953,37958.0
17,42,52,40030,37899.0
17,42,52,51777,37940.0
17,42,52,61328,38160.0
17,42,52,72826,38267.0
17,42,52,80848,38353.0
17,42,52,92853,38373.0
17,42,52,105765,38470.0
17,42,52,114463,38476.0
17,42,52,125925,38535.0
17,42,52,133904,38562.0
17,42,52,146891,38549.0
17,42,52,155053,38517.0
17,42,52,166957,38532.0
17,42,52,178816,38735.0
17,42,52,187934,39133.0
17,42,52,200039,39512.0
17,42,52,207904,39824.0
17,42,52,219888,40135.0
17,42,52,227938,40381.0
17,42,52,240989,40514.0
17,42,52,252956,40594.0
17,42,52,260897,40671.0
17,42,52,274036,40742.0
17,42,52,281899,40774.0
17,42,52,294082,40778.0
17,42,52,301902,40778.0
17,42,52,314099,40754.0
17,42,52,326831,40720.0
17,42,52,334840,40694.0
17,42,52,347101,40693.0
17,42,52,354895,40704.0
17,42,52,367996,40699.0
17,42,52,375920,40698.0
17,42,52,388073,40702.0
17,42,52,399907,40714.0
17,42,52,409069,40719.0
17,42,52,420960,40709.0
17,42,52,428959,40713.0
17,42,52,440946,40731.0
17,42,52,450046,40756.0
17,42,52,461921,40770.0
17,42,52,473798,40777.0
17,42,52,482075,40776.0
17,42,52,495080,40760.0
17,42,52,502894,40764.0
17,42,52,515081,40770.0
17,42,52,522923,40758.0
17,42,52,535923,40751.0
17,42,52,547956,40739.0
17,42,52,555921,40721.0
17,42,52,568080,40707.0
17,42,52,577013,40702.0
17,42,52,589076,40703.0
17,42,52,597071,40705.0
17,42,52,609069,40695.0
17,42,52,621836,40693.0
17,42,52,630087,40709.0
17,42,52,641917,40718.0
17,42,52,649903,40724.0
17,42,52,663086,40735.0
17,42,52,670909,40748.0
17,42,52,683089,40765.0
17,42,52,694874,40773.0
17,42,52,703898,40771.0
17,42,52,716078,40775.0
17,42,52,723922,40793.0
17,42,52,735853,40800.0
17,42,52,744866,40794.0
17,42,52,756945,40808.0
17,42,52,768957,40723.0
17,42,52,776900,40594.0
17,42,52,789974,40583.0
17,42,52,797891,40607.0
17,42,52,810048,40603.0
17,42,52,817883,40599.0
17,42,52,831014,40621.0
17,42,52,842823,40651.0
17,42,52,850894,40660.0
17,42,52,863053,40658.0
17,42,52,871880,40659.0
17,42,52,883887,40662.0
17,42,52,891841,40666.0
17,42,52,904077,40670.0
17,42,52,917088,40681.0
17,42,52,925060,40681.0
17,42,52,936959,40681.0
17,42,52,944836,40687.0
17,42,52,957955,40691.0
17,42,52,966045,40695.0
17,42,52,977891,40708.0
17,42,52,989937,40720.0
17,42,52,998041,40723.0
17,42,53,11062,40734.0
17,42,53,18875,40737.0
17,42,53,30946,40731.0
17,42,53,38925,40725.0
17,42,53,51950,40734.0
17,42,53,63709,40738.0
17,42,53,72061,40712.0
17,42,53,84990,40685.0
17,42,53,92973,40672.0
17,42,53,105053,40685.0
17,42,53,112892,40695.0
17,42,53,125066,40693.0
17,42,53,137934,40699.0
17,42,53,145874,40688.0
17,42,53,158064,40683.0
17,42,53,165858,40686.0
17,42,53,178951,40692.0
17,42,53,187044,40696.0
17,42,53,199049,40696.0
17,42,53,210923,40712.0
17,42,53,219956,40729.0
17,42,53,232050,40749.0
17,42,53,239923,40762.0
17,42,53,251920,40760.0
17,42,53,260830,40763.0
17,42,53,272944,40768.0
17,42,53,284975,40765.0
17,42,53,293065,40765.0
17,42,53,306065,40764.0
17,42,53,313874,40767.0
17,42,53,325883,40776.0
17,42,53,334063,40766.0
17,42,53,346841,40755.0
17,42,53,358746,40750.0
17,42,53,366887,40750.0
17,42,53,381416,40758.0
17,42,53,388203,40755.0
17,42,53,400045,40746.0
17,42,53,408033,40741.0
17,42,53,420035,40744.0
17,42,53,432937,40743.0
17,42,53,440869,40747.0
17,42,53,452915,40762.0
17,42,53,460875,40760.0
17,42,53,474045,40742.0
17,42,53,481809,40735.0
17,42,53,493945,40731.0
17,42,53,505943,40650.0
17,42,53,514863,40770.0
17,42,53,527063,40737.0
17,42,53,534803,40783.0
17,42,53,546911,40946.0
17,42,53,559796,41015.0
17,42,53,567866,41124.0
17,42,53,579926,41205.0
17,42,53,587862,41249.0
17,42,53,601042,41295.0
17,42,53,608869,41291.0
17,42,53,620826,41282.0
17,42,53,632778,41296.0
17,42,53,642009,41313.0
17,42,53,653786,41316.0
17,42,53,662024,41313.0
17,42,53,673859,41310.0
17,42,53,683031,41301.0
17,42,53,695022,41307.0
17,42,53,706833,41314.0
17,42,53,714859,41317.0
17,42,53,727731,41316.0
17,42,53,735803,41303.0
17,42,53,747809,41285.0
17,42,53,755767,41281.0
17,42,53,768830,41251.0
17,42,53,780690,41216.0
17,42,53,788789,41193.0
17,42,53,800718,41211.0
17,42,53,808838,41247.0
17,42,53,821970,41281.0
17,42,53,829870,41279.0
17,42,53,841869,41252.0
17,42,53,853825,41205.0
17,42,53,863045,41183.0
17,42,53,874934,41151.0
17,42,53,883032,41110.0
17,42,53,894936,41054.0
17,42,53,903887,41018.0
17,42,53,916038,40997.0
17,42,53,927917,40975.0
17,42,53,936035,40946.0
17,42,53,948962,40977.0
17,42,53,956872,40984.0
17,42,53,968877,40987.0
17,42,53,976735,41033.0
17,42,53,989949,41046.0
17,42,54,1698,41043.0
17,42,54,10037,41034.0
17,42,54,22013,41026.0
17,42,54,30845,41019.0
17,42,54,43047,41036.0
17,42,54,50974,41040.0
17,42,54,63040,41045.0
17,42,54,75881,41059.0
17,42,54,83863,41082.0
17,42,54,96069,41097.0
17,42,54,103845,41114.0
17,42,54,117041,41129.0
17,42,54,124864,41144.0
17,42,54,137043,41153.0
17,42,54,148789,41163.0
17,42,54,157837,41171.0
17,42,54,169832,41177.0
17,42,54,177894,41171.0
17,42,54,190038,41174.0
17,42,54,198870,41175.0
17,42,54,210920,41177.0
17,42,54,222823,41163.0
17,42,54,230911,41147.0
17,42,54,243954,41153.0
17,42,54,252019,41151.0
17,42,54,263966,41144.0
17,42,54,272005,41144.0
17,42,54,285030,41156.0
17,42,54,296826,41176.0
17,42,54,304917,41176.0
17,42,54,316818,41181.0
17,42,54,326057,41170.0
17,42,54,337868,41175.0
17,42,54,346032,41183.0
17,42,54,357906,41160.0
17,42,54,370878,41160.0
17,42,54,378860,41164.0
17,42,54,390977,41173.0
17,42,54,398836,41176.0
17,42,54,411919,41174.0
17,42,54,419806,41163.0
17,42,54,432041,41158.0
17,42,54,443877,41174.0
17,42,54,452862,41149.0
17,42,54,464875,41162.0
17,42,54,472830,41169.0
17,42,54,485027,41165.0
17,42,54,493869,41170.0
17,42,54,506054,41190.0
17,42,54,517876,41187.0
17,42,54,525805,41184.0
17,42,54,538980,41202.0
17,42,54,547031,41225.0
17,42,54,559036,41240.0
17,42,54,566803,41233.0
17,42,54,579022,41235.0
17,42,54,591881,41234.0
17,42,54,600037,41234.0
17,42,54,611842,41241.0
17,42,54,620035,41236.0
17,42,54,632925,41223.0
17,42,54,640858,41244.0
17,42,54,653020,41265.0
17,42,54,664839,41296.0
17,42,54,673844,41304.0
17,42,54,685982,41304.0
17,42,54,693846,41312.0
17,42,54,706053,41332.0
17,42,54,714941,41370.0
17,42,54,726931,41400.0
17,42,54,738896,41421.0
17,42,54,746838,41448.0
17,42,54,759968,41461.0
17,42,54,767849,41498.0
17,42,54,779789,41514.0
17,42,54,787789,41540.0
17,42,54,801006,41546.0
17,42,54,812819,41538.0
17,42,54,821011,41534.0
17,42,54,832984,41527.0
17,42,54,841818,41551.0
17,42,54,854015,41576.0
17,42,54,862004,41587.0
17,42,54,873906,41587.0
17,42,54,886887,41592.0
17,42,54,894820,41606.0
17,42,54,906784,41613.0
17,42,54,914871,41621.0
17,42,54,927808,41625.0
17,42,54,935901,41626.0
17,42,54,947900,41631.0
17,42,54,959896,41631.0
17,42,54,968892,41629.0
17,42,54,981035,41637.0
17,42,54,988799,41625.0
17,42,55,1021,41636.0
17,42,55,9834,41627.0
17,42,55,21930,41642.0
17,42,55,33894,41641.0
17,42,55,41855,41641.0
17,42,55,54801,41642.0
17,42,55,63010,41637.0
17,42,55,74878,41651.0
17,42,55,82770,41642.0
17,42,55,95862,41650.0
17,42,55,107808,41657.0
17,42,55,116006,41658.0
17,42,55,127864,41646.0
17,42,55,136826,41657.0
17,42,55,148844,41662.0
17,42,55,156868,41656.0
17,42,55,168878,41657.0
17,42,55,181877,41658.0
17,42,55,189865,41658.0
17,42,55,202010,41669.0
17,42,55,209845,41660.0
17,42,55,223201,41688.0
17,42,55,230917,41680.0
17,42,55,243009,41688.0
17,42,55,254711,41691.0
17,42,55,263999,41701.0
17,42,55,275856,41697.0
17,42,55,283769,41703.0
17,42,55,295897,41700.0
17,42,55,304770,41690.0
17,42,55,317000,41707.0
17,42,55,328864,41699.0
17,42,55,336815,41699.0
17,42,55,350083,41720.0
17,42,55,357833,41710.0
17,42,55,369992,41710.0
17,42,55,377847,41705.0
17,42,55,389998,41718.0
17,42,55,402895,41705.0
17,42,55,410991,41708.0
17,42,55,422994,41717.0
17,42,55,430796,41713.0
17,42,55,443990,41722.0
17,42,55,451818,41732.0
17,42,55,463986,41727.0
17,42,55,475891,41724.0
17,42,55,484773,41715.0
17,42,55,496760,41727.0
17,42,55,504722,41723.0
17,42,55,516798,41749.0
17,42,55,525858,41743.0
17,42,55,537785,41742.0
17,42,55,549700,41745.0
17,42,55,557797,41751.0
17,42,55,570797,41760.0
17,42,55,579045,41758.0
17,42,55,591122,41753.0
17,42,55,598765,41758.0
17,42,55,611871,41775.0
17,42,55,623905,41758.0
17,42,55,631842,41762.0
17,42,55,643985,41773.0
17,42,55,652804,41763.0
17,42,55,664993,41773.0
17,42,55,676787,41771.0
17,42,55,684854,41770.0
17,42,55,697775,41762.0
