Hour,Minute,Second,Microsecond,IR1,4 blinks
17,56,6,646759,37455,6.6
17,56,6,654890,37460,6.7
17,56,6,666668,37471,6.7
17,56,6,679578,37475,6.7
17,56,6,687629,37463,6.7
17,56,6,699587,37473,6.7
17,56,6,707663,37469,6.7
17,56,6,720651,37467,6.7
17,56,6,728647,37456,6.7
17,56,6,740653,37462,6.7
17,56,6,752579,37455,6.8
17,56,6,761692,37450,6.8
17,56,6,773824,37460,6.8
17,56,6,781707,37447,6.8
17,56,6,793862,37452,6.8
17,56,6,801860,37465,6.8
17,56,6,814859,37459,6.8
17,56,6,826738,37455,6.8
17,56,6,834720,37449,6.8
17,56,6,847795,37444,6.8
17,56,6,855694,37445,6.9
17,56,6,867703,37438,6.9
17,56,6,875847,37436,6.9
17,56,6,887716,37431,6.9
17,56,6,900736,37432,6.9
17,56,6,908691,37428,6.9
17,56,6,920872,37432,6.9
17,56,6,928699,37429,6.9
17,56,6,941865,37430,6.9
17,56,6,949624,37419,6.9
17,56,6,961767,37408,7.0
17,56,6,973740,37411,7.0
17,56,6,983033,37407,7.0
17,56,6,994684,37398,7.0
17,56,7,2699,37399,7.0
17,56,7,15676,37390,7.0
17,56,7,23737,37398,7.0
17,56,7,35705,37384,7.0
17,56,7,47669,37400,7.0
17,56,7,55688,37393,7.1
17,56,7,68763,37381,7.1
17,56,7,76834,37395,7.1
17,56,7,88776,37401,7.1
17,56,7,96701,37385,7.1
17,56,7,109848,37388,7.1
17,56,7,121738,37384,7.1
17,56,7,129605,37378,7.1
17,56,7,141694,37349,7.1
17,56,7,150693,37342,7.2
17,56,7,162862,37366,7.2
17,56,7,170748,37355,7.2
17,56,7,182748,37380,7.2
17,56,7,195750,37374,7.2
17,56,7,203704,37372,7.2
17,56,7,215843,37367,7.2
17,56,7,223703,37361,7.2
17,56,7,236854,37362,7.2
17,56,7,244750,37360,7.2
17,56,7,256752,37361,7.3
17,56,7,268744,37363,7.3
17,56,7,277699,37355,7.3
17,56,7,289827,37332,7.3
17,56,7,297773,37299,7.3
17,56,7,309870,37102,7.3
17,56,7,318690,36681,7.3
17,56,7,330672,36290,7.3
17,56,7,342641,36049,7.3
17,56,7,350628,36039,7.4
17,56,7,363708,36031,7.4
17,56,7,371898,35996,7.4
17,56,7,383846,35995,7.4
17,56,7,392066,36011,7.4
17,56,7,404855,36030,7.4
17,56,7,416788,36046,7.4
17,56,7,424691,36056,7.4
17,56,7,436999,36091,7.4
17,56,7,445762,36095,7.4
17,56,7,457858,36119,7.5
17,56,7,465664,36113,7.5
17,56,7,477856,36101,7.5
17,56,7,490767,36067,7.5
17,56,7,498697,35802,7.5
17,56,7,510852,35117,7.5
17,56,7,518617,33684,7.5
17,56,7,531646,33076,7.5
17,56,7,539600,33846,7.5
17,56,7,551645,34081,7.6
17,56,7,563568,33536,7.6
17,56,7,571612,33520,7.6
17,56,7,584650,33766,7.6
17,56,7,592618,34108,7.6
17,56,7,604669,34162,7.6
17,56,7,612651,34367,7.6
17,56,7,625803,34492,7.6
17,56,7,637769,34734,7.6
17,56,7,645699,34964,7.6
17,56,7,658868,35163,7.7
17,56,7,666712,35357,7.7
17,56,7,678749,35526,7.7
17,56,7,686858,35670,7.7
17,56,7,698677,35786,7.7
17,56,7,711766,35867,7.7
17,56,7,719693,35935,7.7
17,56,7,731872,35991,7.7
17,56,7,739769,36032,7.7
17,56,7,752741,36061,7.8
17,56,7,764635,36090,7.8
