Hour,Minute,Second,Microsecond,IR1
18,0,18,152170,30754.0
18,0,18,160215,30933.0
18,0,18,173163,31075.0
18,0,18,181169,31111.0
18,0,18,193341,31178.0
18,0,18,205130,31406.0
18,0,18,214346,31737.0
18,0,18,226239,32072.0
18,0,18,234168,32379.0
18,0,18,246432,32662.0
18,0,18,255206,32876.0
18,0,18,267229,33005.0
18,0,18,279156,33085.0
18,0,18,287171,33113.0
18,0,18,300278,33088.0
18,0,18,308170,33030.0
18,0,18,320355,32952.0
18,0,18,328151,32856.0
18,0,18,341343,32740.0
18,0,18,353047,32591.0
18,0,18,361350,32423.0
18,0,18,373145,32238.0
18,0,18,382349,32031.0
18,0,18,394340,31840.0
18,0,18,402267,31673.0
18,0,18,414359,31683.0
18,0,18,427143,31658.0
18,0,18,435171,31640.0
18,0,18,447275,31613.0
18,0,18,455207,31586.0
18,0,18,468336,31597.0
18,0,18,476161,31610.0
18,0,18,488345,31649.0
18,0,18,500139,31688.0
18,0,18,509173,31722.0
18,0,18,521276,31743.0
18,0,18,529330,31744.0
18,0,18,541191,31727.0
18,0,18,550354,31703.0
18,0,18,562227,31663.0
18,0,18,574145,31636.0
18,0,18,582154,31603.0
18,0,18,595266,31514.0
18,0,18,603288,31348.0
18,0,18,615336,31196.0
18,0,18,623248,31011.0
18,0,18,636342,30774.0
18,0,18,648180,30518.0
18,0,18,656212,30359.0
18,0,18,668289,30397.0
18,0,18,676332,30616.0
18,0,18,689134,30843.0
18,0,18,697325,30908.0
18,0,18,709198,30819.0
18,0,18,722182,30671.0
18,0,18,730344,30546.0
18,0,18,742251,30413.0
18,0,18,750314,30259.0
18,0,18,762106,30150.0
18,0,18,771328,30136.0
18,0,18,784290,30170.0
18,0,18,795164,30218.0
18,0,18,803163,30236.0
18,0,18,816120,30234.0
18,0,18,824332,30217.0
18,0,18,836115,30265.0
18,0,18,844114,30237.0
18,0,18,857191,30115.0
18,0,18,868971,29995.0
18,0,18,877063,29938.0
18,0,18,889356,30019.0
18,0,18,898095,30139.0
18,0,18,910190,30226.0
18,0,18,918092,30232.0
18,0,18,930124,30178.0
18,0,18,943167,30113.0
18,0,18,951163,30054.0
18,0,18,963148,29984.0
18,0,18,971151,29949.0
18,0,18,984330,29934.0
18,0,18,992317,29936.0
18,0,19,4104,29973.0
18,0,19,16073,29986.0
18,0,19,25338,29997.0
18,0,19,37248,30018.0
18,0,19,45118,29970.0
18,0,19,57299,29833.0
18,0,19,66181,29756.0
18,0,19,78194,29730.0
18,0,19,90147,29759.0
18,0,19,98150,29889.0
18,0,19,111189,30066.0
18,0,19,119169,30259.0
18,0,19,131171,30537.0
18,0,19,139298,30816.0
18,0,19,152183,31106.0
18,0,19,164137,31362.0
18,0,19,172182,31565.0
18,0,19,184448,31753.0
18,0,19,193100,31917.0
18,0,19,205255,32067.0
18,0,19,213143,32151.0
18,0,19,225137,32138.0
18,0,19,238198,31987.0
18,0,19,246135,31596.0
18,0,19,258148,31115.0
18,0,19,266334,30725.0
18,0,19,279180,30766.0
18,0,19,287310,30949.0
