Hour,Minute,Second,Microsecond,IR1
10,24,27,829000,382.0
10,24,27,841000,375.0
10,24,27,853000,386.0
10,24,27,862000,379.0
10,24,27,874000,375.0
10,24,27,882000,385.0
10,24,27,894000,388.0
10,24,27,902000,390.0
10,24,27,915000,384.0
10,24,27,923000,381.0
10,24,27,935000,387.0
10,24,27,947000,384.0
10,24,27,956000,385.0
10,24,27,968000,389.0
10,24,27,976000,382.0
10,24,27,988000,383.0
10,24,27,997000,386.0
10,24,28,9000,381.0
10,24,28,17000,377.0
10,24,28,29000,379.0
10,24,28,38000,364.0
10,24,28,50000,374.0
10,24,28,62000,381.0
10,24,28,70000,387.0
10,24,28,83000,378.0
10,24,28,91000,381.0
10,24,28,103000,386.0
10,24,28,111000,376.0
10,24,28,124000,386.0
10,24,28,132000,383.0
10,24,28,144000,375.0
10,24,28,156000,366.0
10,24,28,164000,387.0
10,24,28,177000,370.0
10,24,28,185000,380.0
10,24,28,197000,386.0
10,24,28,206000,372.0
10,24,28,218000,384.0
10,24,28,226000,390.0
10,24,28,238000,384.0
10,24,28,247000,375.0
10,24,28,259000,376.0
10,24,28,271000,386.0
10,24,28,279000,376.0
10,24,28,292000,387.0
10,24,28,300000,386.0
10,24,28,312000,386.0
10,24,28,320000,370.0
10,24,28,333000,383.0
10,24,28,341000,379.0
10,24,28,353000,379.0
10,24,28,365000,376.0
10,24,28,373000,378.0
10,24,28,386000,380.0
10,24,28,401000,386.0
10,24,28,406000,381.0
10,24,28,414000,370.0
10,24,28,427000,380.0
10,24,28,435000,383.0
10,24,28,447000,379.0
10,24,28,455000,375.0
10,24,28,468000,368.0
10,24,28,480000,364.0
10,24,28,488000,371.0
10,24,28,500000,380.0
10,24,28,509000,383.0
10,24,28,521000,388.0
10,24,28,529000,384.0
10,24,28,541000,382.0
10,24,28,550000,380.0
10,24,28,562000,374.0
10,24,28,574000,378.0
10,24,28,582000,381.0
10,24,28,595000,383.0
10,24,28,603000,380.0
10,24,28,615000,383.0
10,24,28,623000,385.0
10,24,28,636000,381.0
10,24,28,644000,380.0
10,24,28,656000,377.0
10,24,28,664000,371.0
10,24,28,677000,376.0
10,24,28,689000,372.0
10,24,28,697000,380.0
10,24,28,709000,384.0
10,24,28,718000,385.0
10,24,28,730000,362.0
10,24,28,738000,387.0
10,24,28,750000,375.0
10,24,28,758000,382.0
10,24,28,771000,381.0
10,24,28,783000,364.0
10,24,28,791000,370.0
10,24,28,804000,384.0
10,24,28,812000,386.0
10,24,28,824000,386.0
10,24,28,832000,378.0
10,24,28,844000,384.0
10,24,28,853000,383.0
10,24,28,865000,381.0
10,24,28,873000,377.0
10,24,28,885000,373.0
10,24,28,898000,388.0
10,24,28,906000,385.0
10,24,28,918000,377.0
10,24,28,926000,376.0
10,24,28,939000,373.0
10,24,28,947000,372.0
10,24,28,959000,374.0
10,24,28,967000,377.0
10,24,28,980000,381.0
10,24,28,992000,383.0
10,24,29,0,381.0
10,24,29,12000,389.0
10,24,29,21000,387.0
10,24,29,33000,386.0
10,24,29,41000,382.0
10,24,29,53000,378.0
10,24,29,62000,378.0
10,24,29,74000,375.0
10,24,29,82000,383.0
10,24,29,94000,384.0
10,24,29,107000,382.0
10,24,29,115000,386.0
10,24,29,127000,380.0
10,24,29,135000,374.0
10,24,29,148000,374.0
10,24,29,156000,377.0
10,24,29,168000,381.0
10,24,29,182000,380.0
10,24,29,188000,379.0
10,24,29,201000,384.0
10,24,29,209000,380.0
10,24,29,221000,376.0
10,24,29,229000,373.0
10,24,29,242000,377.0
10,24,29,250000,381.0
10,24,29,262000,368.0
10,24,29,270000,370.0
10,24,29,283000,372.0
10,24,29,291000,378.0
10,24,29,303000,381.0
10,24,29,315000,379.0
10,24,29,325000,377.0
10,24,29,336000,377.0
10,24,29,344000,369.0
10,24,29,356000,383.0
10,24,29,365000,376.0
10,24,29,377000,370.0
10,24,29,392000,377.0
10,24,29,399000,380.0
10,24,29,410000,385.0
10,24,29,418000,385.0
10,24,29,430000,371.0
10,24,29,438000,384.0
10,24,29,451000,385.0
10,24,29,459000,386.0
10,24,29,471000,380.0
10,24,29,479000,384.0
10,24,29,492000,376.0
10,24,29,500000,373.0
10,24,29,512000,371.0
10,24,29,524000,378.0
10,24,29,533000,379.0
10,24,29,545000,381.0
10,24,29,553000,379.0
10,24,29,565000,372.0
10,24,29,574000,380.0
10,24,29,586000,386.0
10,24,29,594000,385.0
10,24,29,606000,381.0
10,24,29,619000,380.0
10,24,29,627000,380.0
10,24,29,639000,376.0
10,24,29,647000,376.0
10,24,29,660000,375.0
10,24,29,668000,371.0
10,24,29,680000,375.0
10,24,29,688000,385.0
10,24,29,701000,385.0
10,24,29,709000,377.0
10,24,29,721000,375.0
10,24,29,733000,383.0
10,24,29,741000,383.0
10,24,29,754000,376.0
10,24,29,762000,381.0
10,24,29,774000,376.0
10,24,29,782000,372.0
10,24,29,795000,377.0
10,24,29,803000,379.0
10,24,29,815000,387.0
10,24,29,823000,385.0
10,24,29,836000,387.0
10,24,29,848000,388.0
10,24,29,856000,385.0
10,24,29,868000,368.0
10,24,29,877000,390.0
10,24,29,892000,372.0
10,24,29,902000,375.0
10,24,29,909000,382.0
10,24,29,918000,383.0
10,24,29,930000,378.0
10,24,29,942000,383.0
10,24,29,950000,384.0
10,24,29,963000,380.0
10,24,29,971000,376.0
10,24,29,983000,382.0
10,24,29,991000,371.0
10,24,30,4000,378.0
10,24,30,12000,381.0
10,24,30,24000,384.0
10,24,30,32000,372.0
10,24,30,45000,377.0
10,24,30,57000,378.0
10,24,30,65000,375.0
10,24,30,77000,374.0
10,24,30,86000,370.0
10,24,30,98000,372.0
10,24,30,106000,373.0
10,24,30,118000,377.0
10,24,30,126000,365.0
10,24,30,139000,376.0
10,24,30,151000,379.0
10,24,30,159000,381.0
10,24,30,172000,386.0
10,24,30,180000,382.0
10,24,30,192000,375.0
10,24,30,200000,374.0
10,24,30,212000,379.0
10,24,30,221000,380.0
10,24,30,233000,382.0
10,24,30,241000,386.0
10,24,30,253000,385.0
10,24,30,266000,382.0
10,24,30,274000,383.0
10,24,30,286000,387.0
10,24,30,294000,382.0
10,24,30,307000,372.0
10,24,30,315000,381.0
10,24,30,327000,375.0
10,24,30,335000,377.0
10,24,30,348000,374.0
10,24,30,360000,373.0
10,24,30,368000,382.0
10,24,30,380000,386.0
10,24,30,389000,369.0
10,24,30,401000,371.0
10,24,30,409000,380.0
10,24,30,421000,379.0
10,24,30,430000,391.0
10,24,30,442000,383.0
10,24,30,450000,364.0
10,24,30,462000,388.0
10,24,30,475000,373.0
10,24,30,483000,379.0
10,24,30,495000,380.0
10,24,30,503000,380.0
10,24,30,516000,374.0
10,24,30,524000,374.0
10,24,30,536000,382.0
10,24,30,544000,383.0
10,24,30,557000,378.0
10,24,30,569000,380.0
10,24,30,577000,367.0
10,24,30,589000,379.0
10,24,30,597000,385.0
10,24,30,610000,378.0
10,24,30,618000,375.0
10,24,30,630000,375.0
10,24,30,638000,370.0
10,24,30,651000,384.0
10,24,30,659000,379.0
10,24,30,671000,379.0
10,24,30,683000,389.0
10,24,30,692000,375.0
10,24,30,704000,385.0
10,24,30,712000,388.0
10,24,30,724000,384.0
10,24,30,733000,383.0
10,24,30,745000,380.0
10,24,30,753000,380.0
10,24,30,765000,374.0
10,24,30,778000,369.0
10,24,30,786000,380.0
10,24,30,798000,377.0
10,24,30,806000,370.0
10,24,30,819000,376.0
10,24,30,827000,370.0
10,24,30,839000,369.0
10,24,30,847000,383.0
10,24,30,860000,382.0
10,24,30,868000,383.0
10,24,30,880000,381.0
10,24,30,892000,374.0
10,24,30,902000,374.0
10,24,30,916000,382.0
10,24,30,921000,381.0
10,24,30,933000,382.0
10,24,30,942000,382.0
10,24,30,954000,386.0
10,24,30,962000,380.0
10,24,30,974000,384.0
10,24,30,987000,385.0
