Y:D:M,H:M:S,Seconds,IR1
2015:1:3,10:53:58.89,58.89,41587.0
2015:1:3,10:53:58.895,58.895,41588.0
2015:1:3,10:53:58.904,58.903999999999996,41602.0
2015:1:3,10:53:58.916,58.916,41611.0
2015:1:3,10:53:58.924,58.924,41567.0
2015:1:3,10:53:58.936,58.936,41505.0
2015:1:3,10:53:58.949,58.949,41480.0
2015:1:3,10:53:58.957,58.957,41503.0
2015:1:3,10:53:58.969,58.969,41544.0
2015:1:3,10:53:58.977,58.977,41590.0
2015:1:3,10:53:58.99,58.99,41603.0
2015:1:3,10:53:58.998,58.998,41588.0
2015:1:3,10:53:59.01,59.01,41626.0
2015:1:3,10:53:59.022,59.022,41671.0
2015:1:3,10:53:59.031,59.031,41667.0
2015:1:3,10:53:59.043,59.043,41649.0
2015:1:3,10:53:59.051,59.051,41682.0
2015:1:3,10:53:59.063,59.063,41720.0
2015:1:3,10:53:59.072,59.072,41714.0
2015:1:3,10:53:59.084,59.084,41695.0
2015:1:3,10:53:59.096,59.096,41682.0
2015:1:3,10:53:59.104,59.104,41665.0
2015:1:3,10:53:59.117,59.117,41647.0
2015:1:3,10:53:59.125,59.125,41634.0
2015:1:3,10:53:59.137,59.137,41620.0
2015:1:3,10:53:59.148,59.148,41613.0
2015:1:3,10:53:59.158,59.158,41606.0
2015:1:3,10:53:59.17,59.17,41592.0
2015:1:3,10:53:59.178,59.178,41588.0
2015:1:3,10:53:59.19,59.19,41580.0
2015:1:3,10:53:59.198,59.198,41573.0
2015:1:3,10:53:59.211,59.211,41585.0
2015:1:3,10:53:59.219,59.219,41549.0
2015:1:3,10:53:59.231,59.231,41423.0
2015:1:3,10:53:59.244,59.244,41248.0
2015:1:3,10:53:59.252,59.252,41108.0
2015:1:3,10:53:59.264,59.264,41105.0
2015:1:3,10:53:59.272,59.272,41166.0
2015:1:3,10:53:59.284,59.284,41186.0
2015:1:3,10:53:59.293,59.293,41212.0
2015:1:3,10:53:59.305,59.305,41233.0
2015:1:3,10:53:59.317,59.317,41239.0
2015:1:3,10:53:59.325,59.325,41248.0
2015:1:3,10:53:59.338,59.338,41251.0
2015:1:3,10:53:59.346,59.346,41235.0
2015:1:3,10:53:59.358,59.358,41004.0
2015:1:3,10:53:59.366,59.366,40143.0
2015:1:3,10:53:59.379,59.379,38973.0
2015:1:3,10:53:59.391,59.391,38092.0
2015:1:3,10:53:59.399,59.399,37951.0
2015:1:3,10:53:59.411,59.411,38102.0
2015:1:3,10:53:59.42,59.42,38190.0
2015:1:3,10:53:59.432,59.432,38280.0
2015:1:3,10:53:59.44,59.44,38383.0
2015:1:3,10:53:59.452,59.452,38466.0
2015:1:3,10:53:59.465,59.465,38555.0
2015:1:3,10:53:59.473,59.473,38624.0
2015:1:3,10:53:59.485,59.485,38690.0
2015:1:3,10:53:59.493,59.493,38724.0
2015:1:3,10:53:59.506,59.506,38754.0
2015:1:3,10:53:59.514,59.514,38798.0
2015:1:3,10:53:59.526,59.526,38831.0
2015:1:3,10:53:59.538,59.538,38837.0
2015:1:3,10:53:59.547,59.547,38852.0
2015:1:3,10:53:59.559,59.559,38866.0
2015:1:3,10:53:59.567,59.567,38923.0
2015:1:3,10:53:59.579,59.579,39076.0
2015:1:3,10:53:59.588,59.588,39239.0
2015:1:3,10:53:59.6,59.6,39284.0
2015:1:3,10:53:59.612,59.612,39306.0
2015:1:3,10:53:59.62,59.62,39309.0
2015:1:3,10:53:59.635,59.635,39306.0
2015:1:3,10:53:59.641,59.641,39318.0
2015:1:3,10:53:59.653,59.653,39321.0
2015:1:3,10:53:59.661,59.661,39321.0
2015:1:3,10:53:59.674,59.674,39308.0
2015:1:3,10:53:59.686,59.686,39295.0
2015:1:3,10:53:59.694,59.694,39297.0
2015:1:3,10:53:59.706,59.706,39293.0
2015:1:3,10:53:59.715,59.715,39284.0
2015:1:3,10:53:59.727,59.727,39279.0
2015:1:3,10:53:59.735,59.735,39295.0
2015:1:3,10:53:59.747,59.747,39302.0
2015:1:3,10:53:59.76,59.76,39311.0
2015:1:3,10:53:59.768,59.768,39328.0
2015:1:3,10:53:59.78,59.78,39327.0
2015:1:3,10:53:59.788,59.788,39332.0
2015:1:3,10:53:59.805,59.805,39342.0
2015:1:3,10:53:59.809,59.809,39342.0
2015:1:3,10:53:59.821,59.821,39356.0
2015:1:3,10:53:59.833,59.833,39369.0
2015:1:3,10:53:59.842,59.842,39367.0
2015:1:3,10:53:59.854,59.854,39349.0
2015:1:3,10:53:59.862,59.862,39344.0
2015:1:3,10:53:59.874,59.874,39366.0
2015:1:3,10:53:59.882,59.882,39358.0
2015:1:3,10:53:59.895,59.895,39331.0
2015:1:3,10:53:59.907,59.907,39320.0
2015:1:3,10:53:59.915,59.915,39343.0
2015:1:3,10:53:59.928,59.928,39343.0
2015:1:3,10:53:59.936,59.936,39275.0
2015:1:3,10:53:59.948,59.948,38942.0
2015:1:3,10:53:59.97,59.97,38096.0
2015:1:3,10:53:59.985,59.985,36545.0
2015:1:3,10:53:59.988,59.988,35160.0
2015:1:3,10:53:59.992,59.992,35041.0
2015:1:3,10:54:0.001,0.001,34970.0
2015:1:3,10:54:0.009,0.009,35821.0
2015:1:3,10:54:0.022,0.022,36770.0
2015:1:3,10:54:0.03,0.03,36878.0
